REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	18_0EX4_0229Kronos_MM1S-KB-6hr-2_H3K27Ac_hs-dm_i37.bam	42_0EXU_0229Kronos_MM1S-KB-6hr-2_Input_hs_i86.bam
6_MACS_peak_23877_lociStitched	chr6	108878208	108960677	6	75837	181646.2194	12807.4357
9_MACS_peak_9761_lociStitched	chr16	11761577	11843304	9	71329	293032.1585	14261.361499999999
6_MACS_peak_8288_lociStitched	chr14	91812818	91886084	6	60479	218677.0302	7018.882799999999
9_MACS_peak_19173_lociStitched	chr3	141079038	141151152	9	63578	508778.6928	14718.4674
5_MACS_peak_14095_lociStitched	chr2	37525695	37588322	5	53288	238803.01369999998	10909.6234
4_MACS_peak_14763_lociStitched	chr2	99054617	99108382	4	48748	227952.84699999998	10166.9615
6_MACS_peak_16436_lociStitched	chr20	32398649	32452401	6	38910	167845.9952	9976.3712
8_MACS_peak_10343_lociStitched	chr16	68269789	68320889	8	33027	88822.02	8411.06
9_MACS_peak_24179_lociStitched	chr6	138246655	138297659	9	24312	74221.0208	8308.551599999999
4_MACS_peak_16392_lociStitched	chr20	30261605	30312299	4	48378	205543.89239999998	10062.759
8_MACS_peak_23477_lociStitched	chr6	52392497	52443165	8	39552	145979.5748	9125.3068
5_MACS_peak_22698_lociStitched	chr6	289887	337909	5	34800	239202.38419999997	14901.226600000002
3_MACS_peak_1392_lociStitched	chr1	118142003	118188289	3	38136	145763.8712	5230.318
5_MACS_peak_11163_lociStitched	chr17	34597256	34641689	5	36789	125647.63739999999	9744.1569
4_MACS_peak_12372_lociStitched	chr18	46440330	46482895	4	38647	111550.0955	7295.641
7_MACS_peak_10466_lociStitched	chr16	78763256	78805024	7	34119	38167.598399999995	4176.8
8_MACS_peak_19568_lociStitched	chr3	183219889	183261429	8	28288	124046.748	10854.401999999998
5_MACS_peak_16363_lociStitched	chr20	25261489	25302980	5	24007	113087.8696	6314.9302
2_MACS_peak_22811_lociStitched	chr6	7878308	7919710	2	41269	301791.59859999997	8893.149599999999
7_MACS_peak_5645_lociStitched	chr12	7045151	7085724	7	28441	110520.85200000001	7148.9626
6_MACS_peak_8340_lociStitched	chr14	95945782	95986216	6	22867	42148.4016	3351.9786
6_MACS_peak_13400_lociStitched	chr19	42022494	42062557	6	23661	84769.3017	7119.1951
4_MACS_peak_11675_lociStitched	chr17	62150029	62187586	4	36135	112704.8013	7064.4717
4_MACS_peak_26228_lociStitched	chr8	27216345	27253317	4	23765	80813.3976	6573.6216
5_MACS_peak_11937_lociStitched	chr17	76710936	76746598	5	25258	73763.28080000001	6255.1148
