REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X18_0EX4_0229Kronos_MM1S.KB.6hr.2_H3K27Ac_hs.dm_i37.bam	X42_0EXU_0229Kronos_MM1S.KB.6hr.2_Input_hs_i86.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isSuperStretch
9_MACS_peak_19173_lociStitched	chr3	141079038	141151152	9	63578	508778.6928	14718.4674	1	ZBTB38		ZBTB38	1	1
9_MACS_peak_9761_lociStitched	chr16	11761577	11843304	9	71329	293032.1585	14261.3615	2	SNN,TXNDC11	ZC3H7A	TXNDC11	2	1
6_MACS_peak_23877_lociStitched	chr6	108878208	108960677	6	75837	181646.2194	12807.4357	3	FOXO3		FOXO3	3	1
6_MACS_peak_8288_lociStitched	chr14	91812818	91886084	6	60479	218677.0302	7018.8828	4	CCDC88C		CCDC88C	4	1
5_MACS_peak_14095_lociStitched	chr2	37525695	37588322	5	53288	238803.0137	10909.6234	5	QPCT,PRKD3		PRKD3	5	1
2_MACS_peak_22811_lociStitched	chr6	7878308	7919710	2	41269	301791.5986	8893.1496	6	BMP6,MUTED-TXNDC5,TXNDC5		TXNDC5	6	1
4_MACS_peak_14763_lociStitched	chr2	99054617	99108382	4	48748	227952.847	10166.9615	7	INPP4A		INPP4A	7	1
4_MACS_peak_16392_lociStitched	chr20	30261605	30312299	4	48378	205543.8924	10062.759	8	BCL2L1	COX4I2,TPX2	BCL2L1	8	1
5_MACS_peak_22698_lociStitched	chr6	289887	337909	5	34800	239202.3842	14901.2266	9	DUSP22		DUSP22	9	1
3_MACS_peak_8438_lociStitched	chr14	106023315	106053032	3	28749	257105.5406	5057.8334	10		TMEM121	TMEM121	10	1
6_MACS_peak_16436_lociStitched	chr20	32398649	32452401	6	38910	167845.9952	9976.3712	11	CHMP4B		CHMP4B	11	1
8_MACS_peak_23477_lociStitched	chr6	52392497	52443165	8	39552	145979.5748	9125.3068	12	TRAM2		TRAM2	12	1
3_MACS_peak_1392_lociStitched	chr1	118142003	118188289	3	38136	145763.8712	5230.318	13	FAM46C		FAM46C	13	1
4_MACS_peak_12372_lociStitched	chr18	46440330	46482895	4	38647	111550.0955	7295.641	14	SMAD7		SMAD7	14	1
