GENE_ID	locusLine	bin_1_37_0EXP_0229Kronos_MM1S-KB-1hr-1_Input_hs_i80.bam
3_MACS_peak_1_lociStitched	chr1(.):30391-37055	0.1434
1_MACS_peak_4_lociStitched	chr1(.):38994-40533	0.1657
2_MACS_peak_5_lociStitched	chr1(.):87640-90489	0.1672
2_MACS_peak_7_lociStitched	chr1(.):92614-94562	0.1281
2_MACS_peak_9_lociStitched	chr1(.):131758-133829	0.0857
1_MACS_peak_11_lociStitched	chr1(.):135133-135915	0.0516
2_MACS_peak_12_lociStitched	chr1(.):329730-331404	0.0741
1_MACS_peak_14_lociStitched	chr1(.):439692-440137	0.1077
1_MACS_peak_15_lociStitched	chr1(.):462007-462619	0.1189
1_MACS_peak_16_lociStitched	chr1(.):540455-540966	0.0829
2_MACS_peak_17_lociStitched	chr1(.):658197-660305	0.1015
1_MACS_peak_19_lociStitched	chr1(.):661447-662491	0.0849
3_MACS_peak_20_lociStitched	chr1(.):798701-802912	0.0886
1_MACS_peak_23_lociStitched	chr1(.):807945-808427	0.1124
2_MACS_peak_24_lociStitched	chr1(.):809559-811057	0.0748
1_MACS_peak_26_lociStitched	chr1(.):812330-812950	0.1148
1_MACS_peak_27_lociStitched	chr1(.):820953-822354	0.201
4_MACS_peak_29_lociStitched	chr1(.):829208-843905	0.1149
2_MACS_peak_33_lociStitched	chr1(.):845014-879043	0.0994
1_MACS_peak_35_lociStitched	chr1(.):894698-895567	0.083
3_MACS_peak_36_lociStitched	chr1(.):908592-912055	0.0925
8_MACS_peak_39_lociStitched	chr1(.):913423-947238	0.0961
12_MACS_peak_47_lociStitched	chr1(.):950122-1016488	0.0873
3_MACS_peak_59_lociStitched	chr1(.):1052549-1073269	0.0912
9_MACS_peak_62_lociStitched	chr1(.):1075439-1124489	0.0823
4_MACS_peak_71_lociStitched	chr1(.):1125911-1149987	0.0784
4_MACS_peak_75_lociStitched	chr1(.):1171830-1184890	0.082
6_MACS_peak_79_lociStitched	chr1(.):1214423-1227436	0.098
1_MACS_peak_85_lociStitched	chr1(.):1286758-1290702	0.091
2_MACS_peak_86_lociStitched	chr1(.):1292050-1300543	0.0773
8_MACS_peak_88_lociStitched	chr1(.):1356108-1382010	0.0821
1_MACS_peak_96_lociStitched	chr1(.):1383487-1396588	0.1039
1_MACS_peak_97_lociStitched	chr1(.):1421841-1422626	0.0801
1_MACS_peak_98_lociStitched	chr1(.):1459216-1460382	0.0813
4_MACS_peak_99_lociStitched	chr1(.):1512531-1537374	0.1166
1_MACS_peak_103_lociStitched	chr1(.):1538638-1539339	0.0712
2_MACS_peak_104_lociStitched	chr1(.):1565714-1568988	0.0824
1_MACS_peak_106_lociStitched	chr1(.):1630819-1632381	0.1003
6_MACS_peak_107_lociStitched	chr1(.):1843879-1861902	0.0934
2_MACS_peak_113_lociStitched	chr1(.):1863664-1865653	0.0648
6_MACS_peak_115_lociStitched	chr1(.):1867798-1910481	0.0878
32_MACS_peak_121_lociStitched	chr1(.):1914569-2044272	0.0853
2_MACS_peak_153_lociStitched	chr1(.):2046577-2049104	0.1142
6_MACS_peak_155_lociStitched	chr1(.):2056358-2063376	0.0723
5_MACS_peak_161_lociStitched	chr1(.):2065087-2078082	0.0888
5_MACS_peak_166_lociStitched	chr1(.):2079813-2085966	0.0886
9_MACS_peak_171_lociStitched	chr1(.):2088058-2117209	0.0877
5_MACS_peak_180_lociStitched	chr1(.):2128256-2142833	0.1052
2_MACS_peak_185_lociStitched	chr1(.):2143845-2158732	0.097
3_MACS_peak_187_lociStitched	chr1(.):2244608-2295099	0.0806
4_MACS_peak_190_lociStitched	chr1(.):2298823-2316866	0.0998
11_MACS_peak_194_lociStitched	chr1(.):2346642-2411017	0.0806
1_MACS_peak_205_lociStitched	chr1(.):2412447-2412846	0.0982
2_MACS_peak_206_lociStitched	chr1(.):2413973-2414818	0.1055
1_MACS_peak_208_lociStitched	chr1(.):2415868-2436389	0.0649
5_MACS_peak_209_lociStitched	chr1(.):2458099-2475450	0.0969
2_MACS_peak_214_lociStitched	chr1(.):2483857-2485321	0.073
7_MACS_peak_216_lociStitched	chr1(.):2496025-2515155	0.0997
4_MACS_peak_223_lociStitched	chr1(.):2518426-2531765	0.0757
1_MACS_peak_227_lociStitched	chr1(.):2532769-2544808	0.0755
3_MACS_peak_228_lociStitched	chr1(.):2552374-2557989	0.1267
4_MACS_peak_231_lociStitched	chr1(.):2559157-2566168	0.0653
1_MACS_peak_235_lociStitched	chr1(.):2567638-2570352	0.1118
2_MACS_peak_236_lociStitched	chr1(.):2574534-2577936	0.105
1_MACS_peak_238_lociStitched	chr1(.):2580437-2582639	0.1086
3_MACS_peak_244_lociStitched	chr1(.):2684206-2692107	0.1976
1_MACS_peak_247_lociStitched	chr1(.):2693182-2693968	0.135
1_MACS_peak_248_lociStitched	chr1(.):2695801-2696410	0.0515
5_MACS_peak_249_lociStitched	chr1(.):2701398-2708248	0.0791
19_MACS_peak_254_lociStitched	chr1(.):2713876-2758695	0.0758
8_MACS_peak_273_lociStitched	chr1(.):2761251-2786922	0.0692
10_MACS_peak_281_lociStitched	chr1(.):2788851-2812727	0.0625
5_MACS_peak_291_lociStitched	chr1(.):2815635-2831713	0.0566
3_MACS_peak_296_lociStitched	chr1(.):2833279-2854082	0.0737
1_MACS_peak_299_lociStitched	chr1(.):2855892-2856356	0.1318
2_MACS_peak_300_lociStitched	chr1(.):2858376-2860910	0.0819
3_MACS_peak_302_lociStitched	chr1(.):2862350-2869908	0.0643
1_MACS_peak_305_lociStitched	chr1(.):2871244-2871712	0.0676
1_MACS_peak_306_lociStitched	chr1(.):2877365-2880153	0.0866
4_MACS_peak_307_lociStitched	chr1(.):2883432-2890616	0.0585
1_MACS_peak_311_lociStitched	chr1(.):2895840-2902212	0.0729
3_MACS_peak_312_lociStitched	chr1(.):2904084-2908311	0.0882
5_MACS_peak_315_lociStitched	chr1(.):2914502-2922307	0.0689
3_MACS_peak_320_lociStitched	chr1(.):2927362-2940851	0.0811
1_MACS_peak_323_lociStitched	chr1(.):2944032-2949993	0.0804
2_MACS_peak_324_lociStitched	chr1(.):2951341-2956059	0.0593
3_MACS_peak_326_lociStitched	chr1(.):2957136-2960024	0.083
1_MACS_peak_329_lociStitched	chr1(.):2965631-2966128	0.019
2_MACS_peak_330_lociStitched	chr1(.):2969966-2972930	0.0542
25_MACS_peak_332_lociStitched	chr1(.):2974009-3083990	0.0664
1_MACS_peak_357_lociStitched	chr1(.):3085318-3092416	0.0841
3_MACS_peak_358_lociStitched	chr1(.):3093689-3096341	0.0615
9_MACS_peak_361_lociStitched	chr1(.):3099178-3169546	0.0749
9_MACS_peak_370_lociStitched	chr1(.):3171756-3218765	0.0765
5_MACS_peak_379_lociStitched	chr1(.):3220113-3235972	0.0856
4_MACS_peak_384_lociStitched	chr1(.):3238560-3252076	0.0727
3_MACS_peak_388_lociStitched	chr1(.):3254436-3259178	0.0674
3_MACS_peak_391_lociStitched	chr1(.):3262735-3287291	0.0662
2_MACS_peak_394_lociStitched	chr1(.):3288349-3294830	0.0603
16_MACS_peak_396_lociStitched	chr1(.):3297052-3361614	0.0745
10_MACS_peak_412_lociStitched	chr1(.):3364235-3403429	0.0707
4_MACS_peak_422_lociStitched	chr1(.):3404590-3488387	0.079
5_MACS_peak_426_lociStitched	chr1(.):3489498-3536814	0.0833
1_MACS_peak_431_lociStitched	chr1(.):3567226-3568799	0.0673
1_MACS_peak_432_lociStitched	chr1(.):3663262-3663663	0.0643
6_MACS_peak_433_lociStitched	chr1(.):3665967-3691196	0.1007
1_MACS_peak_439_lociStitched	chr1(.):3716164-3718086	0.1587
2_MACS_peak_440_lociStitched	chr1(.):3720384-3721780	0.1285
4_MACS_peak_442_lociStitched	chr1(.):3833119-3837892	0.0501
1_MACS_peak_446_lociStitched	chr1(.):3839799-3843399	0.0913
1_MACS_peak_447_lociStitched	chr1(.):3995307-3995999	0.1049
5_MACS_peak_448_lociStitched	chr1(.):3997594-4010592	0.0791
4_MACS_peak_453_lociStitched	chr1(.):4014125-4021358	0.0904
1_MACS_peak_457_lociStitched	chr1(.):4023169-4024307	0.0427
3_MACS_peak_458_lociStitched	chr1(.):4035707-4040007	0.0928
4_MACS_peak_461_lociStitched	chr1(.):4041100-4048210	0.0813
8_MACS_peak_465_lociStitched	chr1(.):4052637-4064357	0.0893
1_MACS_peak_473_lociStitched	chr1(.):4070869-4071531	0.0576
1_MACS_peak_474_lociStitched	chr1(.):4077490-4083184	0.0658
2_MACS_peak_475_lociStitched	chr1(.):4107891-4109609	0.0536
1_MACS_peak_477_lociStitched	chr1(.):4110732-4111848	0.0413
3_MACS_peak_478_lociStitched	chr1(.):4114711-4123302	0.0822
2_MACS_peak_481_lociStitched	chr1(.):4131884-4134446	0.0762
2_MACS_peak_483_lociStitched	chr1(.):4136450-4138278	0.1787
1_MACS_peak_485_lociStitched	chr1(.):4145173-4145999	0.048
2_MACS_peak_486_lociStitched	chr1(.):4147997-4150537	0.0541
1_MACS_peak_488_lociStitched	chr1(.):4152035-4152445	0.0878
1_MACS_peak_489_lociStitched	chr1(.):4155930-4156307	0.0534
3_MACS_peak_490_lociStitched	chr1(.):4166398-4172644	0.0701
3_MACS_peak_493_lociStitched	chr1(.):4176619-4182482	0.0556
2_MACS_peak_496_lociStitched	chr1(.):4183869-4185212	0.06
5_MACS_peak_498_lociStitched	chr1(.):4186798-4195308	0.078
3_MACS_peak_503_lociStitched	chr1(.):4197674-4202594	0.0581
4_MACS_peak_506_lociStitched	chr1(.):4207767-4214552	0.1042
9_MACS_peak_510_lociStitched	chr1(.):4215954-4228335	0.0765
4_MACS_peak_519_lociStitched	chr1(.):4230225-4235015	0.0824
1_MACS_peak_523_lociStitched	chr1(.):4239314-4239709	0.0505
1_MACS_peak_524_lociStitched	chr1(.):4243865-4244262	0.0774
1_MACS_peak_525_lociStitched	chr1(.):4246518-4247059	0.0741
5_MACS_peak_526_lociStitched	chr1(.):4269678-4275969	0.0756
3_MACS_peak_531_lociStitched	chr1(.):4277657-4281827	0.0604
1_MACS_peak_534_lociStitched	chr1(.):4283361-4283892	0.0134
1_MACS_peak_535_lociStitched	chr1(.):4284982-4285977	0.0859
2_MACS_peak_536_lociStitched	chr1(.):4291653-4293528	0.0777
1_MACS_peak_538_lociStitched	chr1(.):4328513-4329052	0.0418
1_MACS_peak_539_lociStitched	chr1(.):4360808-4361786	0.0869
1_MACS_peak_540_lociStitched	chr1(.):4368915-4369277	0.0526
1_MACS_peak_541_lociStitched	chr1(.):4384657-4385044	0.0884
1_MACS_peak_542_lociStitched	chr1(.):4389154-4389606	0.0369
1_MACS_peak_543_lociStitched	chr1(.):4391391-4391848	0.0361
3_MACS_peak_544_lociStitched	chr1(.):4409173-4412297	0.0882
1_MACS_peak_547_lociStitched	chr1(.):4413551-4414155	0.137
