REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	09_0EWV_0229Kronos_MM1S-KB-24hr-1_H3K18Ac_hs-dm_i17.bam	43_0EXV_0229Kronos_MM1S-KB-24hr-1_Input_hs_i87.bam
7_MACS_peak_13598_lociStitched	chr2	37525716	37624917	7	81544	387002.9412	21199.2537
11_MACS_peak_9464_lociStitched	chr16	11754652	11843245	11	69196	247644.0129	17000.9967
7_MACS_peak_23005_lociStitched	chr6	108878154	108960461	7	73418	153214.4805	13523.0401
9_MACS_peak_18430_lociStitched	chr3	141079084	141160642	9	70038	428921.6778	17567.5932
8_MACS_peak_8057_lociStitched	chr14	91812869	91886033	8	61353	190643.43480000002	8201.6844
4_MACS_peak_1316_lociStitched	chr1	118147481	118219684	4	67603	243504.6175	9083.1374
8_MACS_peak_11040_lociStitched	chr17	46505688	46572079	8	49976	153648.69129999998	11565.3122
4_MACS_peak_2190_lociStitched	chr1	203236165	203299617	4	54345	451397.528	20856.6724
5_MACS_peak_16736_lociStitched	chr22	23188422	23249167	5	52062	243793.98299999998	8546.8215
4_MACS_peak_11689_lociStitched	chr18	9094811	9154924	4	47338	127601.8651	12449.4023
5_MACS_peak_14372_lociStitched	chr2	112185909	112242286	5	42874	97188.3103	9020.32
2_MACS_peak_14240_lociStitched	chr2	99054560	99108536	2	49742	212244.4272	11939.4912
5_MACS_peak_23332_lociStitched	chr6	138244642	138297817	5	47264	137133.0075	8800.4625
6_MACS_peak_21379_lociStitched	chr5	131789798	131842798	6	39074	147355.9	10552.3
5_MACS_peak_17649_lociStitched	chr3	46388381	46440055	5	38236	91034.0858	8304.0118
7_MACS_peak_9995_lociStitched	chr16	68269753	68321282	7	36452	106294.0212	9687.452
6_MACS_peak_22622_lociStitched	chr6	52392395	52443089	6	39524	95669.7168	9941.0934
6_MACS_peak_23025_lociStitched	chr6	109185991	109236570	6	34077	132602.96430000002	8122.9874
4_MACS_peak_15153_lociStitched	chr2	204536513	204586966	4	40384	121379.82740000001	9348.9409
6_MACS_peak_17643_lociStitched	chr3	46317403	46366462	6	41292	119247.7113	8629.4781
3_MACS_peak_10756_lociStitched	chr17	34597245	34646085	3	46736	233333.1	12092.784
7_MACS_peak_12935_lociStitched	chr19	42022142	42070641	7	35637	113041.46919999999	9738.5992
4_MACS_peak_21899_lociStitched	chr6	289715	338154	4	38212	159441.8124	15592.5141
4_MACS_peak_10504_lociStitched	chr17	16847545	16895801	4	41941	189395.1488	9178.2912
5_MACS_peak_21791_lociStitched	chr5	173309435	173357033	5	36898	58174.2756	7858.4298
5_MACS_peak_1394_lociStitched	chr1	145128025	145175093	5	29595	59983.4592	15828.9684
7_MACS_peak_2065_lociStitched	chr1	192475739	192521191	7	34990	104716.8628	11158.466
5_MACS_peak_25298_lociStitched	chr8	27208527	27253535	5	32138	82616.68479999999	8781.0608
6_MACS_peak_8339_lociStitched	chr15	31616428	31660736	6	36104	99307.5204	7935.562800000001
4_MACS_peak_11926_lociStitched	chr18	46439414	46483268	4	40736	89041.1616	8577.8424
1_MACS_peak_10716_lociStitched	chr17	32688179	32729404	1	41226	284526.705	10157.84
4_MACS_peak_18845_lociStitched	chr3	183220230	183261282	4	37386	143706.6312	11354.9832
2_MACS_peak_15794_lociStitched	chr20	30271497	30312299	2	39765	147805.245	9563.9888
7_MACS_peak_8118_lociStitched	chr14	95945662	95986292	7	24190	37984.987	3469.802
4_MACS_peak_2259_lociStitched	chr1	206271553	206311384	4	27585	164964.06960000002	10945.558799999999
2_MACS_peak_22011_lociStitched	chr6	7882201	7921979	2	36742	163630.7808	9491.0308
4_MACS_peak_14154_lociStitched	chr2	87782243	87822000	4	30610	68533.1166	6194.1406
4_MACS_peak_24376_lociStitched	chr7	90329502	90368301	4	24778	79995.7782	7367.9301000000005
1_MACS_peak_11258_lociStitched	chr17	62148982	62187457	1	38476	101885.64749999999	7948.935
5_MACS_peak_25703_lociStitched	chr8	81046195	81084661	5	28673	83648.1636	6966.1926
4_MACS_peak_15835_lociStitched	chr20	32398429	32436211	4	27020	79655.7906	7665.967799999999
3_MACS_peak_24138_lociStitched	chr7	55568734	55606381	3	31156	149183.7669	7472.9295
4_MACS_peak_27060_lociStitched	chr9	123631264	123668362	4	27238	93201.30540000001	6013.5858
4_MACS_peak_3852_lociStitched	chr10	112596381	112633444	4	29532	184466.2573	7123.5086
1_MACS_peak_25945_lociStitched	chr8	120915184	120952095	1	36912	152656.5138	6810.0795
4_MACS_peak_16156_lociStitched	chr20	52530339	52567216	4	25469	75409.7773	5856.0676
4_MACS_peak_11483_lociStitched	chr17	76116356	76152815	4	26442	78580.0827	6117.8202
2_MACS_peak_18368_lociStitched	chr3	133177374	133213686	2	34632	168999.67919999998	7505.6903999999995
2_MACS_peak_10752_lociStitched	chr17	34508268	34544400	2	34827	211693.7748	9903.781200000001
7_MACS_peak_10109_lociStitched	chr16	78768953	78805060	7	28771	28073.192499999997	3924.8309000000004
5_MACS_peak_6448_lociStitched	chr12	92928709	92964792	5	30273	102067.9821	6505.764899999999
6_MACS_peak_1974_lociStitched	chr1	181095150	181131043	6	24626	92571.6363	8958.8928
3_MACS_peak_16145_lociStitched	chr20	52336465	52372304	3	26400	111989.7072	5874.0121
5_MACS_peak_21185_lociStitched	chr5	109247639	109282937	5	24073	55852.0254	5901.825599999999
4_MACS_peak_12284_lociStitched	chr19	2594252	2629211	4	22260	121150.4145	8634.873
3_MACS_peak_17253_lociStitched	chr3	5222078	5256623	3	26651	69311.088	6563.55
2_MACS_peak_5376_lociStitched	chr11	128584820	128618983	2	28924	99995.101	7218.6419
5_MACS_peak_13888_lociStitched	chr2	64862559	64896479	5	21521	53135.68	6227.712
2_MACS_peak_3953_lociStitched	chr10	125821494	125855166	2	33239	121761.3192	6427.984799999999
4_MACS_peak_15049_lociStitched	chr2	197074484	197108043	4	25999	69641.63680000001	5191.5773
4_MACS_peak_19672_lociStitched	chr4	84130457	84163971	4	25527	109299.2082	6019.1144
4_MACS_peak_16943_lociStitched	chr22	37608969	37642465	4	25975	101727.352	6739.3952
3_MACS_peak_8212_lociStitched	chr14	106023334	106056622	3	33046	247040.2344	6075.0599999999995
2_MACS_peak_16741_lociStitched	chr22	23265455	23298606	2	27513	218750.1886	6388.197700000001
3_MACS_peak_20344_lociStitched	chr4	185317278	185350293	3	26744	92240.60849999999	5837.052000000001
4_MACS_peak_11792_lociStitched	chr18	23739157	23772150	4	25840	96702.48300000001	5427.3485
3_MACS_peak_24980_lociStitched	chr7	150052202	150084989	3	28567	124475.8455	8616.4236
6_MACS_peak_12521_lociStitched	chr19	12885502	12918169	6	14500	27319.4121	5125.452300000001
3_MACS_peak_9605_lociStitched	chr16	23333965	23366510	3	22567	116950.4575	5701.884
4_MACS_peak_15839_lociStitched	chr20	32442348	32474824	4	26286	114516.8712	6037.2884
4_MACS_peak_23860_lociStitched	chr7	25979979	26012452	4	21430	123936.45180000001	6078.9456
3_MACS_peak_6811_lociStitched	chr12	123354984	123387453	3	25863	51239.3289	3457.9485
4_MACS_peak_9239_lociStitched	chr15	101661049	101693367	4	24537	79469.962	5910.9622
2_MACS_peak_23506_lociStitched	chr6	157975336	158007583	2	27462	101900.52	3098.9367
4_MACS_peak_1482_lociStitched	chr1	149802808	149834908	4	18057	71958.56999999999	8577.119999999999
4_MACS_peak_8219_lociStitched	chr14	106143902	106175966	4	31018	169342.80959999998	4020.8256000000006
3_MACS_peak_19519_lociStitched	chr4	71523428	71555476	3	30327	132957.53759999998	6784.5616
6_MACS_peak_27594_lociStitched	chrX	37634564	37666358	6	21356	42772.468199999996	3029.9682
5_MACS_peak_22347_lociStitched	chr6	31773629	31805361	5	19604	34435.566399999996	5143.7572
4_MACS_peak_24856_lociStitched	chr7	137684160	137715824	4	16866	36077.9616	6791.928
4_MACS_peak_25997_lociStitched	chr8	126285095	126316510	4	22481	37556.6325	5541.606
4_MACS_peak_11685_lociStitched	chr18	9053884	9085265	4	27537	143213.4697	6458.2098000000005
2_MACS_peak_2866_lociStitched	chr10	11281832	11313179	2	26015	67825.5039	6191.0325
4_MACS_peak_8417_lociStitched	chr15	38455194	38486451	4	21012	55071.7083	5101.142400000001
2_MACS_peak_8824_lociStitched	chr15	68568484	68599553	2	29727	73155.0674	6459.2451
4_MACS_peak_21656_lociStitched	chr5	156339066	156370109	4	18398	46971.1633	5056.9047
3_MACS_peak_14216_lociStitched	chr2	97189700	97220672	3	21315	76163.24519999999	6048.8316
2_MACS_peak_4190_lociStitched	chr11	10314301	10345209	2	25018	117264.952	6753.398
3_MACS_peak_24551_lociStitched	chr7	104575714	104606178	3	24040	80891.0592	5175.8336
3_MACS_peak_21376_lociStitched	chr5	131744354	131774604	3	25782	138112.425	6757.849999999999
5_MACS_peak_18580_lociStitched	chr3	156795009	156825232	5	20496	66127.924	8048.384899999999
5_MACS_peak_22868_lociStitched	chr6	90056064	90086275	5	24306	74430.84069999999	5758.2166
6_MACS_peak_13979_lociStitched	chr2	70330993	70361172	6	18192	55094.7824	4904.087500000001
3_MACS_peak_24521_lociStitched	chr7	102063347	102093408	3	24425	131540.9238	6021.2183
2_MACS_peak_8905_lociStitched	chr15	75062956	75093015	2	25138	76957.0518	5960.6997
5_MACS_peak_14170_lociStitched	chr2	88898725	88928487	5	20050	33241.1778	5875.0188
4_MACS_peak_2008_lociStitched	chr1	183856325	183886039	4	22744	89311.3698	7006.5612
6_MACS_peak_21985_lociStitched	chr6	6798663	6828201	6	14353	22401.619199999997	4188.4884
4_MACS_peak_15983_lociStitched	chr20	42564432	42593920	4	22580	53379.1776	5139.758400000001
5_MACS_peak_13948_lociStitched	chr2	68936286	68965648	5	17104	35980.194800000005	4730.2182
2_MACS_peak_22843_lociStitched	chr6	88611492	88640800	2	28362	110195.1492	5650.5824
4_MACS_peak_28143_lociStitched	chrX	128892640	128921848	4	22404	51531.674399999996	2920.8
3_MACS_peak_13430_lociStitched	chr2	20397435	20426588	3	23757	102933.4124	5387.4744
4_MACS_peak_1603_lociStitched	chr1	154821507	154850583	4	14450	56849.3952	5937.3192
4_MACS_peak_8440_lociStitched	chr15	40329895	40358954	4	22916	73841.8249	5053.3601
5_MACS_peak_16581_lociStitched	chr21	45552484	45581507	5	21021	108537.3131	7618.5375
4_MACS_peak_8459_lociStitched	chr15	40833625	40862619	4	17171	28611.2792	4917.3824
3_MACS_peak_6065_lociStitched	chr12	53845682	53874650	3	28309	36082.5408	6497.5224
5_MACS_peak_8251_lociStitched	chr15	21975947	22004842	5	23433	36367.246999999996	4458.4985
5_MACS_peak_9113_lociStitched	chr15	89646444	89675277	5	19831	65742.1233	5328.3384
4_MACS_peak_12597_lociStitched	chr19	16244035	16272803	4	22449	64164.1472	5422.768
4_MACS_peak_8243_lociStitched	chr15	20968851	20997392	4	22729	37656.9954	4215.5057
4_MACS_peak_13740_lociStitched	chr2	47522623	47551076	4	21920	82044.2255	5124.3853
1_MACS_peak_24141_lociStitched	chr7	55615629	55643922	1	28294	62895.33899999999	5675.5758
2_MACS_peak_4310_lociStitched	chr11	22676416	22704591	2	24570	121538.4975	4995.427500000001
3_MACS_peak_1608_lociStitched	chr1	154907763	154935931	3	24041	132491.0048	8489.8352
5_MACS_peak_15060_lociStitched	chr2	198055915	198083840	5	17203	46542.5975	4833.8175
5_MACS_peak_273_lociStitched	chr1	23936471	23964384	5	19109	42667.811799999996	4641.9319000000005
4_MACS_peak_14289_lociStitched	chr2	106325151	106353054	4	20886	46014.8373	4969.5243
2_MACS_peak_21049_lociStitched	chr5	88593560	88621344	2	26360	116790.044	5476.2264
5_MACS_peak_23076_lociStitched	chr6	113946297	113974052	5	18348	60386.5535	4340.8820000000005
6_MACS_peak_4638_lociStitched	chr11	63992647	64020293	6	14417	24530.2958	4290.6592
4_MACS_peak_16454_lociStitched	chr21	36235580	36263123	4	16816	68675.7162	6469.8507
4_MACS_peak_6624_lociStitched	chr12	109008901	109036304	4	22104	132512.6871	6332.8333
5_MACS_peak_22025_lociStitched	chr6	10403497	10430894	5	10471	17553.2579	3860.2373
5_MACS_peak_4751_lociStitched	chr11	66861873	66889217	5	10762	14973.5744	3467.2192
4_MACS_peak_20400_lociStitched	chr4	187748218	187775486	4	14250	39647.672	3923.8652
2_MACS_peak_2842_lociStitched	chr10	7510510	7537768	2	25619	107205.71399999999	4383.0864
2_MACS_peak_18692_lociStitched	chr3	171801645	171828881	2	27220	127366.4304	7707.788
4_MACS_peak_18065_lociStitched	chr3	101486821	101513843	4	14149	34517.9028	4661.295
5_MACS_peak_10983_lociStitched	chr17	43504769	43531718	5	15376	24165.1683	4171.705199999999
