REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X09_0EWV_0229Kronos_MM1S.KB.24hr.1_H3K18Ac_hs.dm_i17.bam	X43_0EXV_0229Kronos_MM1S.KB.24hr.1_Input_hs_i87.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isStretch
7_MACS_peak_13598_lociStitched	chr2	37525716	37624917	7	81544	387002.9412	21199.2537	1	QPCT,PRKD3		QPCT	1	1
7_MACS_peak_23005_lociStitched	chr6	108878154	108960461	7	73418	153214.4805	13523.0401	2	FOXO3		FOXO3	2	1
9_MACS_peak_18430_lociStitched	chr3	141079084	141160642	9	70038	428921.6778	17567.5932	3	ZBTB38	RASA2	ZBTB38	3	1
11_MACS_peak_9464_lociStitched	chr16	11754652	11843245	11	69196	247644.0129	17000.9967	4	SNN,TXNDC11	ZC3H7A	SNN	4	1
4_MACS_peak_1316_lociStitched	chr1	118147481	118219684	4	67603	243504.6175	9083.1374	5	FAM46C		FAM46C	5	1
8_MACS_peak_8057_lociStitched	chr14	91812869	91886033	8	61353	190643.4348	8201.6844	6	CCDC88C		CCDC88C	6	1
4_MACS_peak_2190_lociStitched	chr1	203236165	203299617	4	54345	451397.528	20856.6724	7	BTG2,LOC730227	CHIT1,FMOD	LOC730227	7	1
5_MACS_peak_16736_lociStitched	chr22	23188422	23249167	5	52062	243793.983	8546.8215	8	IGLL5	MIR650	IGLL5	8	1
8_MACS_peak_11040_lociStitched	chr17	46505688	46572079	8	49976	153648.6913	11565.3122	9	SKAP1	HOXB1	SKAP1	9	1
2_MACS_peak_14240_lociStitched	chr2	99054560	99108536	2	49742	212244.4272	11939.4912	10	INPP4A		INPP4A	10	1
4_MACS_peak_11689_lociStitched	chr18	9094811	9154924	4	47338	127601.8651	12449.4023	11	NDUFV2,ANKRD12		ANKRD12	11	1
5_MACS_peak_23332_lociStitched	chr6	138244642	138297817	5	47264	137133.0075	8800.4625	12			TNFAIP3	12	1
3_MACS_peak_10756_lociStitched	chr17	34597245	34646085	3	46736	233333.1	12092.784	13	CCL4L1,CCL3L1,CCL3L3	TBC1D3C	TBC1D3C	13	1
5_MACS_peak_14372_lociStitched	chr2	112185909	112242286	5	42874	97188.3103	9020.32	14	LOC541471		LOC541471	14	1
4_MACS_peak_10504_lociStitched	chr17	16847545	16895801	4	41941	189395.1488	9178.2912	15	TNFRSF13B		TNFRSF13B	15	1
6_MACS_peak_17643_lociStitched	chr3	46317403	46366462	6	41292	119247.7113	8629.4781	16		CCR3,CCR2,CCR5	CCR2	16	1
1_MACS_peak_10716_lociStitched	chr17	32688179	32729404	1	41226	284526.705	10157.84	17	CCL1	CCL8,CCL13	CCL1	17	1
4_MACS_peak_11926_lociStitched	chr18	46439414	46483268	4	40736	89041.1616	8577.8424	18	SMAD7		SMAD7	18	1
4_MACS_peak_15153_lociStitched	chr2	204536513	204586966	4	40384	121379.8274	9348.9409	19	CD28		CD28	19	1
2_MACS_peak_15794_lociStitched	chr20	30271497	30312299	2	39765	147805.245	9563.9888	20	BCL2L1	COX4I2,TPX2	BCL2L1	20	1
6_MACS_peak_22622_lociStitched	chr6	52392395	52443089	6	39524	95669.7168	9941.0934	21	TRAM2		TRAM2	21	1
6_MACS_peak_21379_lociStitched	chr5	131789798	131842798	6	39074	147355.9	10552.3	22	C5orf56,IRF1	RAD50,IL5	IRF1	22	1
1_MACS_peak_11258_lociStitched	chr17	62148982	62187457	1	38476	101885.6475	7948.935	23	ERN1	SNORD104,SNORA76	ERN1	23	1
5_MACS_peak_17649_lociStitched	chr3	46388381	46440055	5	38236	91034.0858	8304.0118	24	CCR2,CCR5	CCRL2	CCR5	24	1
4_MACS_peak_21899_lociStitched	chr6	289715	338154	4	38212	159441.8124	15592.5141	25	DUSP22		DUSP22	25	1
4_MACS_peak_18845_lociStitched	chr3	183220230	183261282	4	37386	143706.6312	11354.9832	26	KLHL6		KLHL6	26	1
1_MACS_peak_25945_lociStitched	chr8	120915184	120952095	1	36912	152656.5138	6810.0795	27	DEPDC6	DSCC1	DEPDC6	27	1
5_MACS_peak_21791_lociStitched	chr5	173309435	173357033	5	36898	58174.2756	7858.4298	28	CPEB4		CPEB4	28	1
2_MACS_peak_22011_lociStitched	chr6	7882201	7921979	2	36742	163630.7808	9491.0308	29	MUTED-TXNDC5,TXNDC5		TXNDC5	29	1
7_MACS_peak_9995_lociStitched	chr16	68269753	68321282	7	36452	106294.0212	9687.452	30	PLA2G15,SLC7A6,ESRP2	PRMT7,SLC7A6OS	SLC7A6	30	1
6_MACS_peak_8339_lociStitched	chr15	31616428	31660736	6	36104	99307.5204	7935.5628	31	KLF13		KLF13	31	1
7_MACS_peak_12935_lociStitched	chr19	42022142	42070641	7	35637	113041.4692	9738.5992	32		CEACAM21	CEACAM21	32	1
7_MACS_peak_2065_lociStitched	chr1	192475739	192521191	7	34990	104716.8628	11158.466	33		RGS1	RGS1	33	1
2_MACS_peak_10752_lociStitched	chr17	34508268	34544400	2	34827	211693.7748	9903.7812	34	CCL4L1,CCL3L1,CCL3L3	TBC1D3B,TBC1D3C	CCL3L1	34	1
2_MACS_peak_18368_lociStitched	chr3	133177374	133213686	2	34632	168999.6792	7505.6904	35	BFSP2		BFSP2	35	1
6_MACS_peak_23025_lociStitched	chr6	109185991	109236570	6	34077	132602.9643	8122.9874	36	ARMC2		ARMC2	36	1
2_MACS_peak_3953_lociStitched	chr10	125821494	125855166	2	33239	121761.3192	6427.9848	37	CHST15		CHST15	37	1
3_MACS_peak_8212_lociStitched	chr14	106023334	106056622	3	33046	247040.2344	6075.06	38		TMEM121	TMEM121	38	1
5_MACS_peak_25298_lociStitched	chr8	27208527	27253535	5	32138	82616.6848	8781.0608	39	PTK2B	TRIM35	PTK2B	39	1
3_MACS_peak_24138_lociStitched	chr7	55568734	55606381	3	31156	149183.7669	7472.9295	40	VOPP1		VOPP1	40	1
4_MACS_peak_8219_lociStitched	chr14	106143902	106175966	4	31018	169342.8096	4020.8256	41			TMEM121	41	1
4_MACS_peak_14154_lociStitched	chr2	87782243	87822000	4	30610	68533.1166	6194.1406	42	NCRNA00152		NCRNA00152	42	1
3_MACS_peak_19519_lociStitched	chr4	71523428	71555476	3	30327	132957.5376	6784.5616	43	UTP3,IGJ	ENAM,RUFY3	IGJ	43	1
5_MACS_peak_6448_lociStitched	chr12	92928709	92964792	5	30273	102067.9821	6505.7649	44			CLLU1OS	44	1
2_MACS_peak_8824_lociStitched	chr15	68568484	68599553	2	29727	73155.0674	6459.2451	45	FEM1B,ITGA11	CLN6	FEM1B	45	1
5_MACS_peak_1394_lociStitched	chr1	145128025	145175093	5	29595	59983.4592	15828.9684	46		SEC22B,NOTCH2NL	SEC22B	46	1
4_MACS_peak_3852_lociStitched	chr10	112596381	112633444	4	29532	184466.2573	7123.5086	47	RBM20,PDCD4,LOC282997	SHOC2,NCRNA00081	LOC282997	47	1
2_MACS_peak_5376_lociStitched	chr11	128584820	128618983	2	28924	99995.101	7218.6419	48	FLI1		FLI1	48	1
7_MACS_peak_10109_lociStitched	chr16	78768953	78805060	7	28771	28073.1925	3924.8309	49	WWOX		WWOX	49	1
5_MACS_peak_25703_lociStitched	chr8	81046195	81084661	5	28673	83648.1636	6966.1926	50	TPD52		TPD52	50	1
3_MACS_peak_24980_lociStitched	chr7	150052202	150084989	3	28567	124475.8455	8616.4236	51	REPIN1,ZNF775	LRRC61,C7orf29,LOC728743,LOC285972,ACTR3C,RARRES2	REPIN1	51	1
2_MACS_peak_22843_lociStitched	chr6	88611492	88640800	2	28362	110195.1492	5650.5824	52			SPACA1	52	1
3_MACS_peak_6065_lociStitched	chr12	53845682	53874650	3	28309	36082.5408	6497.5224	53	PCBP2,MAP3K12	AMHR2,PRR13,TARBP2,NPFF	PCBP2	53	1
1_MACS_peak_24141_lociStitched	chr7	55615629	55643922	1	28294	62895.339	5675.5758	54	VOPP1		VOPP1	54	1
4_MACS_peak_2259_lociStitched	chr1	206271553	206311384	4	27585	164964.0696	10945.5588	55	C1orf186	AVPR1B,CTSE	C1orf186	55	1
4_MACS_peak_11685_lociStitched	chr18	9053884	9085265	4	27537	143213.4697	6458.2098	56		NDUFV2	NDUFV2	56	1
2_MACS_peak_16741_lociStitched	chr22	23265455	23298606	2	27513	218750.1886	6388.1977	57		IGLL5	IGLL5	57	1
2_MACS_peak_23506_lociStitched	chr6	157975336	158007583	2	27462	101900.52	3098.9367	58	ZDHHC14	MIR3692	MIR3692	58	1
4_MACS_peak_27060_lociStitched	chr9	123631264	123668362	4	27238	93201.3054	6013.5858	59	PHF19,TRAF1	LOC253039,PSMD5	PHF19	59	1
2_MACS_peak_18692_lociStitched	chr3	171801645	171828881	2	27220	127366.4304	7707.788	60	FNDC3B		FNDC3B	60	1
4_MACS_peak_15835_lociStitched	chr20	32398429	32436211	4	27020	79655.7906	7665.9678	61	CHMP4B		CHMP4B	61	1
3_MACS_peak_20344_lociStitched	chr4	185317278	185350293	3	26744	92240.6085	5837.052	62	IRF2		IRF2	62	1
3_MACS_peak_17253_lociStitched	chr3	5222078	5256623	3	26651	69311.088	6563.55	63	ARL8B,EDEM1		EDEM1	63	1
4_MACS_peak_11483_lociStitched	chr17	76116356	76152815	4	26442	78580.0827	6117.8202	64	TMC8,C17orf99,TMC6	SYNGR2,AFMID,TK1	TMC6	64	1
3_MACS_peak_16145_lociStitched	chr20	52336465	52372304	3	26400	111989.7072	5874.0121	65			SUMO1P1	65	1
2_MACS_peak_21049_lociStitched	chr5	88593560	88621344	2	26360	116790.044	5476.2264	66			MEF2C	66	1
4_MACS_peak_15839_lociStitched	chr20	32442348	32474824	4	26286	114516.8712	6037.2884	67		CHMP4B	CHMP4B	67	1
1_MACS_peak_19744_lociStitched	chr4	90204250	90230490	1	26241	179185.088	6586.24	68	GPRIN3		GPRIN3	68	1
2_MACS_peak_15046_lociStitched	chr2	197023156	197049767	2	26187	83305.7355	5465.8994	69	STK17B		STK17B	69	1
1_MACS_peak_22966_lociStitched	chr6	106530434	106556535	1	26102	102122.7726	6112.8542	70	PRDM1		PRDM1	70	1
2_MACS_peak_2866_lociStitched	chr10	11281832	11313179	2	26015	67825.5039	6191.0325	71	CELF2		CELF2	71	1
4_MACS_peak_15049_lociStitched	chr2	197074484	197108043	4	25999	69641.6368	5191.5773	72	HECW2	STK17B	STK17B	72	1
4_MACS_peak_16943_lociStitched	chr22	37608969	37642465	4	25975	101727.352	6739.3952	73	RAC2	CYTH4,C1QTNF6,SSTR3	RAC2	73	1
3_MACS_peak_6811_lociStitched	chr12	123354984	123387453	3	25863	51239.3289	3457.9485	74	VPS37B	HIP1R	VPS37B	74	1
4_MACS_peak_11792_lociStitched	chr18	23739157	23772150	4	25840	96702.483	5427.3485	75	PSMA8	TAF4B	PSMA8	75	1
3_MACS_peak_21376_lociStitched	chr5	131744354	131774604	3	25782	138112.425	6757.85	76	C5orf56	SLC22A5,MIR3936	C5orf56	76	1
2_MACS_peak_2842_lociStitched	chr10	7510510	7537768	2	25619	107205.714	4383.0864	77			SFMBT2	77	1
4_MACS_peak_19672_lociStitched	chr4	84130457	84163971	4	25527	109299.2082	6019.1144	78		COQ2	COQ2	78	1
4_MACS_peak_16156_lociStitched	chr20	52530339	52567216	4	25469	75409.7773	5856.0676	79	BCAS1	SUMO1P1	SUMO1P1	79	1
2_MACS_peak_8905_lociStitched	chr15	75062956	75093015	2	25138	76957.0518	5960.6997	80	CSK	CYP1A2,LMAN1L,CPLX3,CYP1A1,ULK3	CSK	80	1
2_MACS_peak_4190_lociStitched	chr11	10314301	10345209	2	25018	117264.952	6753.398	81	ADM,SBF2		ADM	81	1
2_MACS_peak_10852_lociStitched	chr17	38458838	38484841	2	24962	149499.0479	5367.0192	82	CDC6,RARA	RARA,GJD3	RARA	82	1
4_MACS_peak_24376_lociStitched	chr7	90329502	90368301	4	24778	79995.7782	7367.9301	83	CDK14		CDK14	83	1
6_MACS_peak_1974_lociStitched	chr1	181095150	181131043	6	24626	92571.6363	8958.8928	84		IER5	IER5	84	1
2_MACS_peak_4310_lociStitched	chr11	22676416	22704591	2	24570	121538.4975	4995.4275	85	GAS2	FANCF	GAS2	85	1
4_MACS_peak_9239_lociStitched	chr15	101661049	101693367	4	24537	79469.962	5910.9622	86			CHSY1	86	1
2_MACS_peak_17637_lociStitched	chr3	46128979	46154420	2	24447	85161.2034	4815.9813	87			XCR1	87	1
3_MACS_peak_24521_lociStitched	chr7	102063347	102093408	3	24425	131540.9238	6021.2183	88	PRKRIP1,ORAI2	LRWD1,ALKBH4,POLR2J	ORAI2	88	1
1_MACS_peak_10749_lociStitched	chr17	34408658	34432983	1	24326	73546.6375	5120.4125	89	CCL4,CCL3	CCL18	CCL3	89	1
5_MACS_peak_22868_lociStitched	chr6	90056064	90086275	5	24306	74430.8407	5758.2166	90	UBE2J1,RRAGD	GABRR2	UBE2J1	90	1
2_MACS_peak_16137_lociStitched	chr20	52192153	52216626	2	24282	73653.9408	4622.9497	91	ZNF217		ZNF217	91	1
3_MACS_peak_18723_lociStitched	chr3	175049827	175074790	3	24219	72592.404	6083.4831	92	NAALADL2		NAALADL2	92	1
7_MACS_peak_8118_lociStitched	chr14	95945662	95986292	7	24190	37984.987	3469.802	93		GLRX5,C14orf49,SCARNA13,SNHG10	C14orf49	93	1
5_MACS_peak_21185_lociStitched	chr5	109247639	109282937	5	24073	55852.0254	5901.8256	94		LOC100289673	LOC100289673	94	1
3_MACS_peak_1608_lociStitched	chr1	154907763	154935931	3	24041	132491.0048	8489.8352	95	PMVK,PBXIP1,PYGO2,SHC1	CKS1B,MIR4258,FLAD1,LENEP,ZBTB7B	PBXIP1	95	1
3_MACS_peak_24551_lociStitched	chr7	104575714	104606178	3	24040	80891.0592	5175.8336	96		MLL5,LOC723809,LOC100216545	LOC723809	96	1
3_MACS_peak_13430_lociStitched	chr2	20397435	20426588	3	23757	102933.4124	5387.4744	97	SDC1		SDC1	97	1
5_MACS_peak_8251_lociStitched	chr15	21975947	22004842	5	23433	36367.247	4458.4985	98		LOC646214,CXADRP2	CXADRP2	98	1
5_MACS_peak_7998_lociStitched	chr14	81930555	81956896	5	23129	61522.0396	2613.0272	99	SEL1L		SEL1L	99	1
1_MACS_peak_2860_lociStitched	chr10	11201598	11224567	1	22970	144987.2187	6621.9627	100	CELF2		CELF2	100	1
2_MACS_peak_5951_lociStitched	chr12	48195849	48220599	2	22952	92250.675	4450.05	101	HDAC7	SLC48A1,RAPGEF3	HDAC7	101	1
3_MACS_peak_11369_lociStitched	chr17	72732711	72757664	3	22950	48061.9733	4578.8755	102	RAB37,SLC9A3R1,MIR3615	TMEM104,CD300LF,NAT9	SLC9A3R1	102	1
4_MACS_peak_8440_lociStitched	chr15	40329895	40358954	4	22916	73841.8249	5053.3601	103	SRP14	BMF	SRP14	103	1
4_MACS_peak_2008_lociStitched	chr1	183856325	183886039	4	22744	89311.3698	7006.5612	104	RGL1		GLT25D2	104	1
4_MACS_peak_8243_lociStitched	chr15	20968851	20997392	4	22729	37656.9954	4215.5057	105		BCL8	BCL8	105	1
4_MACS_peak_15983_lociStitched	chr20	42564432	42593920	4	22580	53379.1776	5139.7584	106	TOX2		TOX2	106	1
3_MACS_peak_9605_lociStitched	chr16	23333965	23366510	3	22567	116950.4575	5701.884	107	SCNN1B		SCNN1B	107	1
4_MACS_peak_25997_lociStitched	chr8	126285095	126316510	4	22481	37556.6325	5541.606	108	NSMCE2		TRIB1	108	1
4_MACS_peak_12597_lociStitched	chr19	16244035	16272803	4	22449	64164.1472	5422.768	109	RAB8A,HSH2D,CIB3	FAM32A,AP1M1	HSH2D	109	1
4_MACS_peak_28143_lociStitched	chrX	128892640	128921848	4	22404	51531.6744	2920.8	110	XPNPEP2,SASH3		SASH3	110	1
4_MACS_peak_18254_lociStitched	chr3	124487137	124513160	4	22374	53034.874	4272.9766	111	ITGB5	UMPS	UMPS	111	1
4_MACS_peak_12284_lociStitched	chr19	2594252	2629211	4	22260	121150.4145	8634.873	112	GNG7		GNG7	112	1
4_MACS_peak_6624_lociStitched	chr12	109008901	109036304	4	22104	132512.6871	6332.8333	113	SELPLG	TMEM119	SELPLG	113	1
2_MACS_peak_16014_lociStitched	chr20	43672478	43694812	2	22075	69894.253	4205.4922	114	STK4	KCNS1,WFDC5	KCNS1	114	1
3_MACS_peak_3152_lociStitched	chr10	45913216	45936518	3	22058	113979.4028	4404.078	115	ALOX5		ALOX5	115	1
2_MACS_peak_434_lociStitched	chr1	31213529	31235915	2	22048	110613.7032	5365.9242	116	LAPTM5	LOC100129196,MATN1	LAPTM5	116	1
4_MACS_peak_13740_lociStitched	chr2	47522623	47551076	4	21920	82044.2255	5124.3853	117		EPCAM	EPCAM	117	1
1_MACS_peak_26966_lociStitched	chr9	112903653	112925430	1	21778	47519.5917	4797.4731	118	PALM2-AKAP2,AKAP2	C9orf152	AKAP2	118	1
1_MACS_peak_16514_lociStitched	chr21	41323540	41345285	1	21746	111886.723	7030.1585	119			PCP4	119	1
4_MACS_peak_13872_lociStitched	chr2	64429801	64456547	4	21548	55776.1084	4453.209	120	LOC150992		LOC150992	120	1
5_MACS_peak_13888_lociStitched	chr2	64862559	64896479	5	21521	53135.68	6227.712	121	SERTAD2	LOC339807	SERTAD2	121	1
2_MACS_peak_1679_lociStitched	chr1	156450303	156476403	2	21452	59575.86	6903.45	122	MEF2D		MEF2D	122	1
4_MACS_peak_23860_lociStitched	chr7	25979979	26012452	4	21430	123936.4518	6078.9456	123	MIR148A		MIR148A	123	1
2_MACS_peak_18030_lociStitched	chr3	98472681	98498590	2	21428	75498.826	5184.3909	124	ST3GAL6		ST3GAL6	124	1
3_MACS_peak_22178_lociStitched	chr6	25365495	25390651	3	21376	63350.3548	5388.4152	125	LRRC16A		LRRC16A	125	1
6_MACS_peak_27594_lociStitched	chrX	37634564	37666358	6	21356	42772.4682	3029.9682	126	CYBB	DYNLT3	CYBB	126	1
3_MACS_peak_14216_lociStitched	chr2	97189700	97220672	3	21315	76163.2452	6048.8316	127	ARID5A	NEURL3	ARID5A	127	1
2_MACS_peak_20591_lociStitched	chr5	32570418	32593186	2	21305	73615.7744	4280.384	128	SUB1		SUB1	128	1
4_MACS_peak_13655_lociStitched	chr2	42342932	42369567	4	21140	78493.345	4820.935	129		EML4	EML4	129	1
3_MACS_peak_7968_lociStitched	chr14	77487774	77511205	3	21115	51325.6055	2207.2002	130	C14orf4		C14orf4	130	1
3_MACS_peak_13903_lociStitched	chr2	65155552	65179026	3	21102	114201.01	5622.023	131	LOC400958	SLC1A4	LOC400958	131	1
5_MACS_peak_16581_lociStitched	chr21	45552484	45581507	5	21021	108537.3131	7618.5375	132	C21orf33	PWP2	C21orf33	132	1
4_MACS_peak_8417_lociStitched	chr15	38455194	38486451	4	21012	55071.7083	5101.1424	133			SPRED1	133	1
2_MACS_peak_2219_lociStitched	chr1	204474269	204495399	2	21002	110818.398	6341.113	134	MDM4	PIK3C2B	MDM4	134	1
2_MACS_peak_296_lociStitched	chr1	24511606	24534216	2	20938	136808.588	4904.109	135	LOC284632,IL28RA	IL22RA1	LOC284632	135	1
3_MACS_peak_17370_lociStitched	chr3	15834449	15859482	3	20894	52967.3247	4132.9483	136	ANKRD28	ANKRD28	ANKRD28	136	1
4_MACS_peak_14289_lociStitched	chr2	106325151	106353054	4	20886	46014.8373	4969.5243	137		NCK2	NCK2	137	1
2_MACS_peak_6048_lociStitched	chr12	53583702	53604995	2	20843	100053.6777	5318.9914	138	ZNF740,ITGB7,RARG	MFSD5,CSAD	ITGB7	138	1
4_MACS_peak_11501_lociStitched	chr17	76753576	76780005	4	20677	55791.619	5121.9402	139	CYTH1		CYTH1	139	1
1_MACS_peak_4853_lociStitched	chr11	72850754	72871370	1	20617	143219.352	4312.8672	140	FCHSD2		FCHSD2	140	1
5_MACS_peak_18580_lociStitched	chr3	156795009	156825232	5	20496	66127.924	8048.3849	141	LOC100498859,LOC339894		LOC100498859	141	1
4_MACS_peak_5527_lociStitched	chr12	7045495	7071991	4	20403	61060.032	5561.5104	142	ATN1,C12orf57,PTPN6	LRRC23,ENO2,MIR200C,MIR141,EMG1,SCARNA12,PHB2	PTPN6	142	1
3_MACS_peak_1654_lociStitched	chr1	155938003	155962445	3	20280	73871.0566	6318.257	143	ARHGEF2	RXFP4,SNORA42,SCARNA4,KIAA0907,SSR2	ARHGEF2	143	1
2_MACS_peak_17465_lociStitched	chr3	30682184	30703893	2	20157	41946.1298	4129.0518	144	TGFBR2		TGFBR2	144	1
2_MACS_peak_15598_lociStitched	chr20	5570384	5592589	2	20093	35496.913	4554.2455	145	GPCPD1		GPCPD1	145	1
5_MACS_peak_14170_lociStitched	chr2	88898725	88928487	5	20050	33241.1778	5875.0188	146	EIF2AK3		EIF2AK3	146	1
