#09_0EWV_0229Kronos_MM1S-KB-24hr-1_H3K18Ac_hs-dm_i17_peaks Enhancers
#Created from /data/projects/IRF4_mm_trn_data/p300_internal_ChIP/rose/09_0EWV_0229Kronos_MM1S-KB-24hr-1_H3K18Ac_hs-dm_i17_ROSE/09_0EWV_0229Kronos_MM1S-KB-24hr-1_H3K18Ac_hs-dm_i17_peaks_6KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by X09_0EWV_0229Kronos_MM1S.KB.24hr.1_H3K18Ac_hs.dm_i17.bam
#Using cutoff of 19777.978 for Super-Enhancers
#Created on Jul 18 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X09_0EWV_0229Kronos_MM1S.KB.24hr.1_H3K18Ac_hs.dm_i17.bam	X43_0EXV_0229Kronos_MM1S.KB.24hr.1_Input_hs_i87.bam	enhancerRank	isSuperStretch
7_MACS_peak_13598_lociStitched	chr2	37525716	37624917	7	81544	387002.9412	21199.2537	1	1
9_MACS_peak_18430_lociStitched	chr3	141079084	141160642	9	70038	428921.6778	17567.5932	2	1
4_MACS_peak_2190_lociStitched	chr1	203236165	203299617	4	54345	451397.528	20856.6724	3	1
11_MACS_peak_9464_lociStitched	chr16	11754652	11843245	11	69196	247644.0129	17000.9967	4	1
4_MACS_peak_1316_lociStitched	chr1	118147481	118219684	4	67603	243504.6175	9083.1374	5	1
7_MACS_peak_23005_lociStitched	chr6	108878154	108960461	7	73418	153214.4805	13523.0401	6	1
8_MACS_peak_8057_lociStitched	chr14	91812869	91886033	8	61353	190643.4348	8201.6844	7	1
5_MACS_peak_16736_lociStitched	chr22	23188422	23249167	5	52062	243793.983	8546.8215	8	1
1_MACS_peak_10716_lociStitched	chr17	32688179	32729404	1	41226	284526.705	10157.84	9	1
3_MACS_peak_10756_lociStitched	chr17	34597245	34646085	3	46736	233333.1	12092.784	10	1
2_MACS_peak_14240_lociStitched	chr2	99054560	99108536	2	49742	212244.4272	11939.4912	11	1
8_MACS_peak_11040_lociStitched	chr17	46505688	46572079	8	49976	153648.6913	11565.3122	12	1
3_MACS_peak_8212_lociStitched	chr14	106023334	106056622	3	33046	247040.2344	6075.06	13	1
4_MACS_peak_10504_lociStitched	chr17	16847545	16895801	4	41941	189395.1488	9178.2912	14	1
5_MACS_peak_23332_lociStitched	chr6	138244642	138297817	5	47264	137133.0075	8800.4625	15	1
4_MACS_peak_11689_lociStitched	chr18	9094811	9154924	4	47338	127601.8651	12449.4023	16	1
2_MACS_peak_10752_lociStitched	chr17	34508268	34544400	2	34827	211693.7748	9903.7812	17	1
2_MACS_peak_16741_lociStitched	chr22	23265455	23298606	2	27513	218750.1886	6388.1977	18	1
2_MACS_peak_15794_lociStitched	chr20	30271497	30312299	2	39765	147805.245	9563.9888	19	1
4_MACS_peak_21899_lociStitched	chr6	289715	338154	4	38212	159441.8124	15592.5141	20	1
2_MACS_peak_22011_lociStitched	chr6	7882201	7921979	2	36742	163630.7808	9491.0308	21	1
6_MACS_peak_21379_lociStitched	chr5	131789798	131842798	6	39074	147355.9	10552.3	22	1
6_MACS_peak_17643_lociStitched	chr3	46317403	46366462	6	41292	119247.7113	8629.4781	23	1
2_MACS_peak_18368_lociStitched	chr3	133177374	133213686	2	34632	168999.6792	7505.6904	24	1
1_MACS_peak_25945_lociStitched	chr8	120915184	120952095	1	36912	152656.5138	6810.0795	25	1
5_MACS_peak_14372_lociStitched	chr2	112185909	112242286	5	42874	97188.3103	9020.32	26	1
4_MACS_peak_15153_lociStitched	chr2	204536513	204586966	4	40384	121379.8274	9348.9409	27	1
4_MACS_peak_18845_lociStitched	chr3	183220230	183261282	4	37386	143706.6312	11354.9832	28	1
4_MACS_peak_3852_lociStitched	chr10	112596381	112633444	4	29532	184466.2573	7123.5086	29	1
4_MACS_peak_8219_lociStitched	chr14	106143902	106175966	4	31018	169342.8096	4020.8256	30	1
4_MACS_peak_11926_lociStitched	chr18	46439414	46483268	4	40736	89041.1616	8577.8424	31	1
6_MACS_peak_22622_lociStitched	chr6	52392395	52443089	6	39524	95669.7168	9941.0934	32	1
1_MACS_peak_11258_lociStitched	chr17	62148982	62187457	1	38476	101885.6475	7948.935	33	1
1_MACS_peak_19744_lociStitched	chr4	90204250	90230490	1	26241	179185.088	6586.24	34	1
6_MACS_peak_23025_lociStitched	chr6	109185991	109236570	6	34077	132602.9643	8122.9874	35	1
5_MACS_peak_17649_lociStitched	chr3	46388381	46440055	5	38236	91034.0858	8304.0118	36	1
3_MACS_peak_24138_lociStitched	chr7	55568734	55606381	3	31156	149183.7669	7472.9295	37	1
7_MACS_peak_9995_lociStitched	chr16	68269753	68321282	7	36452	106294.0212	9687.452	38	1
7_MACS_peak_12935_lociStitched	chr19	42022142	42070641	7	35637	113041.4692	9738.5992	39	1
4_MACS_peak_2259_lociStitched	chr1	206271553	206311384	4	27585	164964.0696	10945.5588	40	1
6_MACS_peak_8339_lociStitched	chr15	31616428	31660736	6	36104	99307.5204	7935.5628	41	1
2_MACS_peak_3953_lociStitched	chr10	125821494	125855166	2	33239	121761.3192	6427.9848	42	1
7_MACS_peak_2065_lociStitched	chr1	192475739	192521191	7	34990	104716.8628	11158.466	43	1
3_MACS_peak_19519_lociStitched	chr4	71523428	71555476	3	30327	132957.5376	6784.5616	44	1
5_MACS_peak_21791_lociStitched	chr5	173309435	173357033	5	36898	58174.2756	7858.4298	45	1
4_MACS_peak_11685_lociStitched	chr18	9053884	9085265	4	27537	143213.4697	6458.2098	46	1
2_MACS_peak_10852_lociStitched	chr17	38458838	38484841	2	24962	149499.0479	5367.0192	47	1
3_MACS_peak_24980_lociStitched	chr7	150052202	150084989	3	28567	124475.8455	8616.4236	48	1
3_MACS_peak_21376_lociStitched	chr5	131744354	131774604	3	25782	138112.425	6757.85	49	1
2_MACS_peak_18692_lociStitched	chr3	171801645	171828881	2	27220	127366.4304	7707.788	50	1
5_MACS_peak_6448_lociStitched	chr12	92928709	92964792	5	30273	102067.9821	6505.7649	51	1
5_MACS_peak_25298_lociStitched	chr8	27208527	27253535	5	32138	82616.6848	8781.0608	52	1
1_MACS_peak_2860_lociStitched	chr10	11201598	11224567	1	22970	144987.2187	6621.9627	53	1
2_MACS_peak_22843_lociStitched	chr6	88611492	88640800	2	28362	110195.1492	5650.5824	54	1
2_MACS_peak_16759_lociStitched	chr22	24177245	24200900	2	17795	161033.778	4816.158	55	1
3_MACS_peak_24521_lociStitched	chr7	102063347	102093408	3	24425	131540.9238	6021.2183	56	1
2_MACS_peak_5376_lociStitched	chr11	128584820	128618983	2	28924	99995.101	7218.6419	57	1
2_MACS_peak_21049_lociStitched	chr5	88593560	88621344	2	26360	116790.044	5476.2264	58	1
3_MACS_peak_1608_lociStitched	chr1	154907763	154935931	3	24041	132491.0048	8489.8352	59	1
1_MACS_peak_4853_lociStitched	chr11	72850754	72871370	1	20617	143219.352	4312.8672	60	1
4_MACS_peak_15839_lociStitched	chr20	32442348	32474824	4	26286	114516.8712	6037.2884	61	1
2_MACS_peak_23506_lociStitched	chr6	157975336	158007583	2	27462	101900.52	3098.9367	62	1
3_MACS_peak_16145_lociStitched	chr20	52336465	52372304	3	26400	111989.7072	5874.0121	63	1
2_MACS_peak_4310_lociStitched	chr11	22676416	22704591	2	24570	121538.4975	4995.4275	64	1
4_MACS_peak_14154_lociStitched	chr2	87782243	87822000	4	30610	68533.1166	6194.1406	65	1
2_MACS_peak_4190_lociStitched	chr11	10314301	10345209	2	25018	117264.952	6753.398	66	1
2_MACS_peak_296_lociStitched	chr1	24511606	24534216	2	20938	136808.588	4904.109	67	1
4_MACS_peak_6624_lociStitched	chr12	109008901	109036304	4	22104	132512.6871	6332.8333	68	1
2_MACS_peak_8824_lociStitched	chr15	68568484	68599553	2	29727	73155.0674	6459.2451	69	1
2_MACS_peak_2842_lociStitched	chr10	7510510	7537768	2	25619	107205.714	4383.0864	70	1
