DMSO_0	KB528_3	LOG2_FOLD_CHANGE	P_VALUE
WASH7P	32.1701679513853	74.7474935641477	1.21630173570101	0.0389630552084279
LOC729737	34.5470193502921	21.7649138200148	-0.666556935391559	0.375945330831742
LOC100133331	2.72806618174028	3.80487941252697	0.479972087372975	0.198458068753243
LOC100288069	9.09823837636952	7.03659626456125	-0.370709495572239	0.313049158113946
LINC00115	5.34888350080838	4.61158900159066	-0.213973840507949	0.092621741374415
LINC01128	10.7789703409496	8.66834852185666	-0.314390306429134	0.125967853644842
NOC2L	66.3904131514792	146.89631968327	1.14575141632035	0.00444584991966268
KLHL17	23.7958974228313	66.4188384378135	1.48087962819202	0.0376096137913713
PLEKHN1	1.8403541903555	1.92094305335243	0.0618312999344052	0.901518198105431
HES4	706.312989433897	125.866072433652	-2.48841817578776	0.00187288102012755
ISG15	851.75421210233	280.66981074979	-1.60156328293413	0.00434077263188189
AGRN	7.8438635760125	13.7075128726626	0.805330479600889	0.138248899090402
C1orf159	23.6038246854304	51.0400505364207	1.11260910951687	0.024832663071157
TNFRSF18	58.5572871161717	36.4901742092391	-0.682340678395247	0.129605061421072
TNFRSF4	172.954896544698	19.1367525239284	-3.17597792590047	0.0150228180430252
SDF4	181.158872352852	269.482364748769	0.572935400077745	0.022934531888488
B3GALT6	17.6746544888162	40.2945909439237	1.18890417465071	0.000999541637867635
FAM132A	3.80819694962424	8.11784470824227	1.09198864915513	0.00108050351925701
UBE2J2	42.5155018056773	124.21640777394	1.5467948809858	0.0162020409471994
SCNN1D	12.5825106006379	8.87588079777607	-0.503457615769035	0.0351697804498996
ACAP3	72.7632744203764	129.376519775547	0.830293437646183	0.112555830843121
PUSL1	38.7604729100293	47.0975394991357	0.281065518635928	0.0870755723952338
CPSF3L	94.6423774284259	225.984994472	1.25566876014966	0.0324545914616249
GLTPD1	10.7213010410949	36.0236969540371	1.74846625733577	4.53143538221419e-05
TAS1R3	1.40852616998499	0.762471528584713	-0.88543099672377	0.0834591506699767
DVL1	44.3258211402976	94.2757738427217	1.08873973002987	0.0275000956941467
MXRA8	0.987154602982088	0.178033335220911	-2.47112865091081	0.0880778462476209
AURKAIP1	138.554936763991	274.801612707629	0.987932355320473	0.0293524633580723
CCNL2	211.743794129851	420.231219443183	0.988863658301326	0.0826373104802608
LOC148413	29.1494669938192	65.2118389448318	1.16166440008309	0.0021354345335246
MRPL20	96.3038890293996	204.348543906813	1.08536599886423	0.00079645756630393
ATAD3B	76.4090179706939	171.425178783633	1.16576420316823	0.0334002386947576
ATAD3A	16.9607640319029	61.380099879576	1.85556983292426	0.000440940438106217
TMEM240	0.174292697667165	0.605238157411523	1.79599081933598	0.0269614364079125
SSU72	111.098468441734	159.716966141877	0.523678644583814	0.00690649256808902
C1orf233	3.79202994282552	4.96426843305137	0.388610772308885	0.184361256370581
MIB2	32.7918625499732	46.7228519475268	0.510790490624189	0.119535389986463
MMP23B	2.6181261822893	1.1609825769323	-1.17318830899167	0.0117464302627592
MMP23A	0.842840084874847	0.503979881558092	-0.741892785602946	0.353151640242325
CDK11B	86.7969781017718	99.4613284121939	0.196490884906278	0.339162348783386
SLC35E2B	22.2363112678306	47.7211808235627	1.10171225940182	0.0284555219379047
CDK11A	73.1281300411953	141.78296084308	0.955185786686688	0.0716329952144928
SLC35E2	15.9676002546199	36.1967543823113	1.18071283374866	0.0461325391323017
NADK	51.2583444106137	51.5490999298944	0.00816035583512619	0.955631221657844
GNB1	196.799430871602	222.393073123919	0.176385804621885	0.324391961316975
CALML6	1.50250276175586	1.22382146992562	-0.295974528553869	0.548235469103927
TMEM52	3.96856181184966	4.81254559832003	0.278183933953129	0.504447154108161
PRKCZ	13.4561396965416	23.3228943246629	0.793482246928616	0.00420901581968173
C1orf86	12.4378151914353	12.0609175121524	-0.0443934242179891	0.669817600494728
SKI	239.590505757491	84.0634962084874	-1.51101937497716	0.0130609634586603
MORN1	2.92078017892245	2.55397127690394	-0.19361148352024	0.0685146648136093
LOC100129534	1.24226440744161	2.09206739189228	0.75195705198908	0.0844906165484681
RER1	48.4425544623938	122.173047656687	1.33457920225306	0.00414611023991148
PEX10	7.3551381301522	17.6713349814422	1.26458669165026	0.000842775718000946
PLCH2	25.9430894686749	9.52255408849633	-1.44592981266238	0.0408855778100587
PANK4	18.767746755173	46.7226752590147	1.31586743135548	0.00446905711783661
LOC115110	6.551825141651	2.47961195761731	-1.40178248780559	0.0215655567934887
LOC100133445	7.16016784381081	1.84846113141126	-1.95366869904939	0.00764885541550292
TNFRSF14	357.432150702759	236.608538436188	-0.595167272535881	0.0519381073318305
FAM213B	12.8218180846142	14.930418997563	0.219653807811856	0.277943038076057
MEGF6	32.8729473405968	27.4859132712779	-0.258208395719875	0.137391595626068
TPRG1L	46.127873208205	111.006140767604	1.26692880595133	0.00232627439677313
WRAP73	24.321806363892	95.7408027584836	1.97688352194949	0.0013548787266173
TP73-AS1	8.33925931342435	18.029261780608	1.11234917051661	0.000480131855159504
SMIM1	1.19851828382436	1.27535183098604	0.0896433799237427	0.822027569397718
LRRC47	35.7131847388885	102.895823565124	1.52665572818784	2.65438268686815e-05
