DMSO_0	KB528_6	LOG2_FOLD_CHANGE	P_VALUE
WASH7P	32.1701679513853	94.3485883964206	1.55227746508089	0.021985284434054
LOC729737	34.5470193502921	21.7431988583866	-0.667997037851849	0.350856423233647
LOC100133331	2.72806618174028	4.31035077933955	0.659926637653582	0.0573705134907903
LOC100288069	9.09823837636952	9.67467824835763	0.0886264480814186	0.899497505657279
LINC00115	5.34888350080838	5.26111845735047	-0.0238682483774786	0.608847303390037
LINC01128	10.7789703409496	5.91075679090349	-0.866804606960109	0.0259926543941965
NOC2L	66.3904131514792	124.455591668417	0.906584215679523	0.000846109430005039
KLHL17	23.7958974228313	76.3494686590135	1.68190525249253	0.0130093018337048
PLEKHN1	1.8403541903555	1.75080669282019	-0.07196364669021	0.833345522874195
HES4	706.312989433897	24.1888699813806	-4.867892350213	0.00135181429765192
ISG15	851.75421210233	186.408876367227	-2.19196661727898	0.00244426931095938
AGRN	7.8438635760125	6.3966333067587	-0.294251662016126	0.323152910620525
C1orf159	23.6038246854304	57.2172721156212	1.27743006948431	0.000132924804145577
TNFRSF18	58.5572871161717	10.7824368949004	-2.44116544435809	0.032660810595736
TNFRSF4	172.954896544698	9.34370925160047	-4.21025666581429	0.013846209891718
SDF4	181.158872352852	247.524756090425	0.4503173586971	0.00462255924646113
B3GALT6	17.6746544888162	35.0565949150738	0.988003859441846	0.00418799108854096
FAM132A	3.80819694962424	5.23481862798772	0.459031459769633	0.127315027223287
UBE2J2	42.5155018056773	111.197878825259	1.38706839686011	0.012087013179588
SCNN1D	12.5825106006379	10.3976664252013	-0.275160036324243	0.0617220121435485
ACAP3	72.7632744203764	118.700791586809	0.706047183707809	0.046406223455899
PUSL1	38.7604729100293	39.1787830307072	0.0154864124435682	0.871413720832363
CPSF3L	94.6423774284259	211.832060571358	1.16236273638639	0.00743192028602815
GLTPD1	10.7213010410949	34.5924669883141	1.68997791531175	8.69148691487547e-05
TAS1R3	1.40852616998499	0.94497600348434	-0.575836769367445	0.163579046413778
DVL1	44.3258211402976	105.027086330625	1.24454218224541	0.000740046188209021
MXRA8	0.987154602982088	0.207061588132935	-2.25321610480025	0.0912465816050517
