DMSO_RPMI8226	KB528_1Hr_RPMI8226	LOG2_FOLD_CHANGE	P_VALUE
WASH7P	22.3276921536931	22.1501223056143	-0.0115194734009254	0.911028271281126
LOC100288069	3.93523408270756	4.81113667175914	0.289928327900301	0.40593006272835
LINC00115	3.07425965300574	3.94424155894914	0.359508889355096	0.115989927758869
LINC01128	4.05569346436311	6.07430766297223	0.582771367370244	0.00993183541641102
LOC100130417	1.15173244031506	1.12996569776074	-0.0275266247379471	0.91412155363649
SAMD11	1.12582712577205	1.06877316970604	-0.0750296179347433	0.756164969783006
NOC2L	364.904924401179	365.332616051845	0.00168993966981306	0.983707502721485
KLHL17	16.974826983072	13.9617637011537	-0.281915670206519	0.0177068515239336
PLEKHN1	7.84969880227744	7.19196515772623	-0.126251266406158	0.545977325027684
HES4	43.8331504846951	43.2099393770948	-0.020659168689092	0.798897770761477
ISG15	45.6491432677028	37.6395083875538	-0.278339999263902	0.0554185376816617
AGRN	22.2659948258564	27.1729501136797	0.287329133004773	0.102164101929248
RNF223	1.48783239156768	2.00972166338215	0.43378369701956	0.104346137601316
C1orf159	30.3113827353625	34.8128399061898	0.199759842688104	0.0693442849445203
TNFRSF18	339.191922101126	303.725796655291	-0.159332364733688	0.0491031833960425
TNFRSF4	0.471805203779325	0.443736294580799	-0.0884887703532591	0.863891000221483
SDF4	348.019965981841	361.19120984662	0.0535927068247886	0.447790977001343
B3GALT6	32.7945439019266	35.1439366068169	0.0998199916267224	0.105186317014767
FAM132A	2.18172945325759	3.64702729702977	0.741248787462351	0.00152705426333735
UBE2J2	75.3474066695354	80.9302746865541	0.103121634593361	0.0883957665131222
ACAP3	132.301405471865	148.340905279349	0.165088090663992	0.124914512732376
PUSL1	110.59544105262	106.91006488463	-0.0488942364853929	0.113814082336887
CPSF3L	144.819553084949	143.46341005697	-0.0135735752973078	0.872488067823863
CPTP	110.173043197625	100.953462728779	-0.126080876572719	0.223686142616529
DVL1	97.4905159763086	94.1513476475634	-0.0502801329594333	0.573634789613277
AURKAIP1	492.074156092231	445.750277046798	-0.142640053079116	0.0749743961359958
