GENE_ID	locusLine	bin_1_35_0EXN_0229Kronos_MM1S-No-Treatment-1_Input_hs_i77.bam
1_MACS_peak_1_lociStitched	chr1(.):9875-10670	1.0047
1_MACS_peak_2_lociStitched	chr1(.):28280-30185	0.2453
1_MACS_peak_3_lociStitched	chr1(.):713028-715340	0.2147
1_MACS_peak_4_lociStitched	chr1(.):752362-753346	0.1149
1_MACS_peak_5_lociStitched	chr1(.):761757-763783	0.212
1_MACS_peak_6_lociStitched	chr1(.):793200-794396	0.178
1_MACS_peak_7_lociStitched	chr1(.):879186-880867	0.1754
1_MACS_peak_8_lociStitched	chr1(.):893725-894689	0.2009
1_MACS_peak_9_lociStitched	chr1(.):901195-902707	0.2403
1_MACS_peak_10_lociStitched	chr1(.):948199-949449	0.2136
1_MACS_peak_11_lociStitched	chr1(.):1004182-1004837	0.0956
1_MACS_peak_12_lociStitched	chr1(.):1051074-1051821	0.1858
1_MACS_peak_13_lociStitched	chr1(.):1079155-1080305	0.1319
1_MACS_peak_14_lociStitched	chr1(.):1093077-1093912	0.1786
1_MACS_peak_15_lociStitched	chr1(.):1166199-1167755	0.1064
1_MACS_peak_16_lociStitched	chr1(.):1185083-1185910	0.1227
1_MACS_peak_17_lociStitched	chr1(.):1207874-1209964	0.1661
2_MACS_peak_18_lociStitched	chr1(.):1242569-1245108	0.1523
1_MACS_peak_20_lociStitched	chr1(.):1259440-1261556	0.1706
1_MACS_peak_21_lociStitched	chr1(.):1284882-1285512	0.1154
1_MACS_peak_22_lociStitched	chr1(.):1309542-1311799	0.2201
2_MACS_peak_23_lociStitched	chr1(.):1333469-1343758	0.1514
1_MACS_peak_25_lociStitched	chr1(.):1396687-1398900	0.2852
1_MACS_peak_26_lociStitched	chr1(.):1405716-1408519	0.1582
2_MACS_peak_27_lociStitched	chr1(.):1439618-1448994	0.1394
1_MACS_peak_29_lociStitched	chr1(.):1509059-1511240	0.1851
2_MACS_peak_30_lociStitched	chr1(.):1544936-1552236	0.1745
1_MACS_peak_32_lociStitched	chr1(.):1589361-1591729	0.2672
1_MACS_peak_33_lociStitched	chr1(.):1606302-1611184	0.2135
1_MACS_peak_34_lociStitched	chr1(.):1622667-1625610	0.1934
1_MACS_peak_35_lociStitched	chr1(.):1654674-1656959	0.1824
2_MACS_peak_36_lociStitched	chr1(.):1668744-1678955	0.1773
1_MACS_peak_38_lociStitched	chr1(.):1708284-1715112	0.2345
1_MACS_peak_39_lociStitched	chr1(.):1754829-1756479	0.1651
1_MACS_peak_40_lociStitched	chr1(.):1772228-1775360	0.2157
2_MACS_peak_41_lociStitched	chr1(.):1821101-1829593	0.1169
1_MACS_peak_43_lociStitched	chr1(.):1837605-1841350	0.1888
1_MACS_peak_44_lociStitched	chr1(.):1850117-1851099	0.1608
1_MACS_peak_45_lociStitched	chr1(.):2125902-2127233	0.1475
1_MACS_peak_46_lociStitched	chr1(.):2158566-2159416	0.0719
1_MACS_peak_47_lociStitched	chr1(.):2186411-2188074	0.2231
1_MACS_peak_48_lociStitched	chr1(.):2221315-2223158	0.1598
1_MACS_peak_49_lociStitched	chr1(.):2230982-2233610	0.2192
1_MACS_peak_50_lociStitched	chr1(.):2322182-2324420	0.1713
1_MACS_peak_51_lociStitched	chr1(.):2343040-2346348	0.1536
1_MACS_peak_52_lociStitched	chr1(.):2456874-2458332	0.111
2_MACS_peak_53_lociStitched	chr1(.):2476942-2489198	0.1553
2_MACS_peak_55_lociStitched	chr1(.):2508879-2518476	0.1381
1_MACS_peak_57_lociStitched	chr1(.):2573722-2575067	0.1128
1_MACS_peak_58_lociStitched	chr1(.):3545792-3547909	0.1623
1_MACS_peak_59_lociStitched	chr1(.):3566051-3566771	0.0987
1_MACS_peak_60_lociStitched	chr1(.):3589193-3590347	0.2036
1_MACS_peak_61_lociStitched	chr1(.):3711906-3713694	0.205
1_MACS_peak_62_lociStitched	chr1(.):3773141-3774928	0.2037
1_MACS_peak_63_lociStitched	chr1(.):3815939-3818440	0.2393
1_MACS_peak_64_lociStitched	chr1(.):3838258-3839712	0.1958
1_MACS_peak_65_lociStitched	chr1(.):4067110-4068679	0.1897
1_MACS_peak_66_lociStitched	chr1(.):4997669-4998611	0.0696
1_MACS_peak_67_lociStitched	chr1(.):6051647-6055645	0.2181
1_MACS_peak_68_lociStitched	chr1(.):6083742-6087266	0.2008
2_MACS_peak_69_lociStitched	chr1(.):6258542-6266612	0.1307
1_MACS_peak_71_lociStitched	chr1(.):6294680-6296807	0.1509
1_MACS_peak_72_lociStitched	chr1(.):6419165-6420757	0.1851
1_MACS_peak_73_lociStitched	chr1(.):6452837-6454904	0.1616
1_MACS_peak_74_lociStitched	chr1(.):6549863-6551477	0.1629
1_MACS_peak_75_lociStitched	chr1(.):6613587-6615316	0.1813
1_MACS_peak_76_lociStitched	chr1(.):6639277-6641061	0.2264
1_MACS_peak_77_lociStitched	chr1(.):6659378-6665053	0.1929
1_MACS_peak_78_lociStitched	chr1(.):6672480-6674781	0.1383
1_MACS_peak_79_lociStitched	chr1(.):6684266-6686700	0.1838
1_MACS_peak_80_lociStitched	chr1(.):6733205-6735287	0.1877
1_MACS_peak_81_lociStitched	chr1(.):6760689-6762301	0.1665
1_MACS_peak_82_lociStitched	chr1(.):6843622-6845531	0.2387
1_MACS_peak_83_lociStitched	chr1(.):6882474-6883375	0.1403
1_MACS_peak_84_lociStitched	chr1(.):6892103-6893482	0.117
1_MACS_peak_85_lociStitched	chr1(.):6960999-6963051	0.1513
2_MACS_peak_86_lociStitched	chr1(.):6977771-6983056	0.1357
1_MACS_peak_88_lociStitched	chr1(.):7830963-7832211	0.1664
2_MACS_peak_89_lociStitched	chr1(.):8013944-8022620	0.1335
2_MACS_peak_91_lociStitched	chr1(.):8455090-8458323	0.1368
3_MACS_peak_93_lociStitched	chr1(.):8650281-8665188	0.1567
1_MACS_peak_96_lociStitched	chr1(.):8703260-8704365	0.1427
1_MACS_peak_97_lociStitched	chr1(.):8740479-8741969	0.1643
2_MACS_peak_98_lociStitched	chr1(.):8760737-8773772	0.1625
1_MACS_peak_100_lociStitched	chr1(.):8876138-8878957	0.1564
1_MACS_peak_101_lociStitched	chr1(.):8937071-8939985	0.2519
1_MACS_peak_102_lociStitched	chr1(.):9139759-9141619	0.2947
1_MACS_peak_103_lociStitched	chr1(.):9222226-9226058	0.226
1_MACS_peak_104_lociStitched	chr1(.):9241219-9242849	0.1565
1_MACS_peak_105_lociStitched	chr1(.):9294648-9295641	0.0906
1_MACS_peak_106_lociStitched	chr1(.):9335452-9336402	0.1647
1_MACS_peak_107_lociStitched	chr1(.):9473053-9474067	0.1286
2_MACS_peak_108_lociStitched	chr1(.):9485348-9489597	0.1948
1_MACS_peak_110_lociStitched	chr1(.):9598724-9600510	0.1177
1_MACS_peak_111_lociStitched	chr1(.):9615030-9615920	0.1205
1_MACS_peak_112_lociStitched	chr1(.):9648805-9650022	0.0641
1_MACS_peak_113_lociStitched	chr1(.):9776834-9778665	0.183
1_MACS_peak_114_lociStitched	chr1(.):9846077-9848919	0.2176
1_MACS_peak_115_lociStitched	chr1(.):9883379-9884088	0.1167
2_MACS_peak_116_lociStitched	chr1(.):9969156-9971794	0.2136
2_MACS_peak_118_lociStitched	chr1(.):10002203-10011822	0.1688
1_MACS_peak_120_lociStitched	chr1(.):10050132-10051996	0.2423
1_MACS_peak_121_lociStitched	chr1(.):10078431-10079751	0.167
1_MACS_peak_122_lociStitched	chr1(.):10092198-10094210	0.202
1_MACS_peak_123_lociStitched	chr1(.):10227764-10231542	0.2573
3_MACS_peak_124_lociStitched	chr1(.):10248887-10261651	0.1811
1_MACS_peak_127_lociStitched	chr1(.):10269505-10271794	0.2348
1_MACS_peak_128_lociStitched	chr1(.):10302769-10303715	0.1195
1_MACS_peak_129_lociStitched	chr1(.):10310410-10315094	0.1961
1_MACS_peak_130_lociStitched	chr1(.):10437289-10438228	0.1975
1_MACS_peak_131_lociStitched	chr1(.):10447623-10448443	0.0937
1_MACS_peak_132_lociStitched	chr1(.):10458236-10460099	0.1564
1_MACS_peak_133_lociStitched	chr1(.):10489952-10491814	0.174
1_MACS_peak_134_lociStitched	chr1(.):10504186-10505918	0.2291
1_MACS_peak_135_lociStitched	chr1(.):10516369-10518192	0.1539
2_MACS_peak_136_lociStitched	chr1(.):10531818-10535972	0.1794
1_MACS_peak_138_lociStitched	chr1(.):10554564-10556152	0.2643
1_MACS_peak_139_lociStitched	chr1(.):10999539-11000971	0.2904
1_MACS_peak_140_lociStitched	chr1(.):11071468-11073773	0.2048
1_MACS_peak_141_lociStitched	chr1(.):11118861-11121514	0.1566
1_MACS_peak_142_lociStitched	chr1(.):11158894-11160542	0.1695
1_MACS_peak_143_lociStitched	chr1(.):11286382-11288440	0.1799
1_MACS_peak_144_lociStitched	chr1(.):11321705-11323495	0.1734
1_MACS_peak_145_lociStitched	chr1(.):11333162-11334558	0.154
1_MACS_peak_146_lociStitched	chr1(.):11538570-11539637	0.1307
2_MACS_peak_147_lociStitched	chr1(.):11623153-11632426	0.2033
1_MACS_peak_149_lociStitched	chr1(.):11714306-11714878	0.0578
1_MACS_peak_150_lociStitched	chr1(.):11723954-11725312	0.1238
1_MACS_peak_151_lociStitched	chr1(.):11740459-11742050	0.1497
1_MACS_peak_152_lociStitched	chr1(.):11795769-11798314	0.226
1_MACS_peak_153_lociStitched	chr1(.):11842923-11845988	0.1815
1_MACS_peak_154_lociStitched	chr1(.):11863334-11867758	0.2339
1_MACS_peak_155_lociStitched	chr1(.):11967467-11970657	0.2648
1_MACS_peak_156_lociStitched	chr1(.):11984362-11987390	0.1944
1_MACS_peak_157_lociStitched	chr1(.):11993984-11995351	0.2181
1_MACS_peak_158_lociStitched	chr1(.):12039479-12041354	0.2049
1_MACS_peak_159_lociStitched	chr1(.):12078777-12080426	0.1549
2_MACS_peak_160_lociStitched	chr1(.):12106839-12113113	0.2105
2_MACS_peak_162_lociStitched	chr1(.):12221041-12227652	0.1778
1_MACS_peak_164_lociStitched	chr1(.):12270027-12271549	0.2272
1_MACS_peak_165_lociStitched	chr1(.):12289791-12290859	0.1589
1_MACS_peak_166_lociStitched	chr1(.):12404384-12406348	0.1972
1_MACS_peak_167_lociStitched	chr1(.):12495300-12496673	0.2626
1_MACS_peak_168_lociStitched	chr1(.):12508693-12510079	0.1561
1_MACS_peak_169_lociStitched	chr1(.):12896913-12898212	0.1154
1_MACS_peak_170_lociStitched	chr1(.):13824429-13825974	0.1499
1_MACS_peak_171_lociStitched	chr1(.):13985432-13986154	0.0666
1_MACS_peak_172_lociStitched	chr1(.):14026077-14027081	0.1895
1_MACS_peak_173_lociStitched	chr1(.):14056570-14058435	0.2811
1_MACS_peak_174_lociStitched	chr1(.):14074819-14077107	0.1375
