REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	04_0EWQ_0229Kronos_MM1S-KB-1hr-2_H3K18Ac_hs-dm_i06.bam	38_0EXQ_0229Kronos_MM1S-KB-1hr-2_Input_hs_i81.bam
6_MACS_peak_14830_lociStitched	chr22	23221256	23298696	6	59625	245732.608	13033.152
9_MACS_peak_14000_lociStitched	chr20	32398532	32473757	9	39958	98319.075	13758.6525
6_MACS_peak_1169_lociStitched	chr1	118147752	118219052	6	59087	161494.5	8156.72
8_MACS_peak_6905_lociStitched	chr14	91815025	91885554	8	44921	77539.5826	7419.6508
9_MACS_peak_4870_lociStitched	chr12	7013287	7081058	9	30778	61237.8756	11446.5219
11_MACS_peak_9696_lociStitched	chr17	46506659	46571187	11	24225	34328.896	10627.761600000002
8_MACS_peak_3549_lociStitched	chr11	788935	843632	8	16853	34234.8523	7438.792
5_MACS_peak_16380_lociStitched	chr3	141079289	141133158	5	40605	214975.0183	11554.9005
5_MACS_peak_12091_lociStitched	chr2	37531976	37584199	5	39356	87436.96889999999	8872.6877
10_MACS_peak_20393_lociStitched	chr6	138246563	138297409	10	21872	27050.072	7759.0996000000005
8_MACS_peak_19860_lociStitched	chr6	52392551	52442954	8	25830	50861.66730000001	8790.2832
7_MACS_peak_8696_lociStitched	chr16	68269826	68320185	7	24488	36263.5159	8017.152800000001
6_MACS_peak_13953_lociStitched	chr20	30262457	30312225	6	36112	76443.648	9749.5512
6_MACS_peak_1417_lociStitched	chr1	154907933	154957604	6	28039	93927.861	13033.6704
5_MACS_peak_19200_lociStitched	chr6	290004	337957	5	36199	109673.30630000001	14903.7924
7_MACS_peak_9176_lociStitched	chr17	16847846	16895580	7	27868	108757.1456	8195.9278
6_MACS_peak_12640_lociStitched	chr2	99060520	99107867	6	40390	102529.92850000001	9744.0126
7_MACS_peak_8672_lociStitched	chr16	67554773	67601471	7	17336	28471.7706	7186.8222000000005
6_MACS_peak_16699_lociStitched	chr3	183227751	183274385	6	29352	59033.9806	11994.264799999999
7_MACS_peak_13367_lociStitched	chr2	204537835	204583586	7	16929	32254.454999999998	7013.628299999999
7_MACS_peak_15778_lociStitched	chr3	50357822	50403559	7	12781	32185.1269	7857.6166
5_MACS_peak_12762_lociStitched	chr2	112208473	112253636	5	20925	57478.950099999995	7519.6395
6_MACS_peak_9432_lociStitched	chr17	34597394	34641990	6	36160	86850.71	9592.599600000001
7_MACS_peak_10831_lociStitched	chr19	2594351	2638065	7	27177	168587.4124	10167.8764
7_MACS_peak_8658_lociStitched	chr16	67184198	67227240	7	13292	22446.403	6499.342
8_MACS_peak_20175_lociStitched	chr6	109186644	109228383	8	22204	25222.877699999997	6018.7638
5_MACS_peak_8204_lociStitched	chr16	11796833	11837881	5	29042	50517.77359999999	7372.2208
8_MACS_peak_7179_lociStitched	chr15	31616837	31657705	8	24430	44709.592000000004	7061.990400000001
4_MACS_peak_4090_lociStitched	chr11	65238164	65278803	4	23611	73633.80410000001	7290.6366
6_MACS_peak_10538_lociStitched	chr18	46439428	46479863	6	32781	49359.004499999995	7039.7335
7_MACS_peak_1983_lociStitched	chr1	206938703	206978863	7	19774	27533.696	8774.96
