REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X04_0EWQ_0229Kronos_MM1S.KB.1hr.2_H3K18Ac_hs.dm_i06.bam	X38_0EXQ_0229Kronos_MM1S.KB.1hr.2_Input_hs_i81.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isSuperStretch
6_MACS_peak_14830_lociStitched	chr22	23221256	23298696	6	59625	245732.608	13033.152	1	IGLL5		IGLL5	IGLL5	5.388599999999999	1	1
6_MACS_peak_1169_lociStitched	chr1	118147752	118219052	6	59087	161494.5	8156.72	2	FAM46C		FAM46C	FAM46C	2.1215	2	1
5_MACS_peak_16380_lociStitched	chr3	141079289	141133158	5	40605	214975.0183	11554.9005	3	ZBTB38		ZBTB38	ZBTB38	1.5209	3	1
2_MACS_peak_19296_lociStitched	chr6	7888904	7921751	2	31370	154495.8645	7607.3652	4	MUTED-TXNDC5,TXNDC5		TXNDC5	TXNDC5	3.2074000000000003	4	1
7_MACS_peak_10831_lociStitched	chr19	2594351	2638065	7	27177	168587.4124	10167.8764	5	GNG7		GNG7	GNG7	0.8542000000000001	5	1
8_MACS_peak_6905_lociStitched	chr14	91815025	91885554	8	44921	77539.5826	7419.6508	6	CCDC88C		CCDC88C	CCDC88C	0.48360000000000003	6	1
6_MACS_peak_12640_lociStitched	chr2	99060520	99107867	6	40390	102529.9285	9744.0126	7	INPP4A		INPP4A	INPP4A	0.6315999999999999	7	1
9_MACS_peak_14000_lociStitched	chr20	32398532	32473757	9	39958	98319.075	13758.6525	8	CHMP4B		CHMP4B	CHMP4B	0.7464000000000001	8	1
5_MACS_peak_12091_lociStitched	chr2	37531976	37584199	5	39356	87436.9689	8872.6877	9	QPCT,PRKD3		QPCT	QPCT	1.3016	9	1
5_MACS_peak_19200_lociStitched	chr6	290004	337957	5	36199	109673.3063	14903.7924	10	DUSP22		DUSP22	DUSP22	1.3719999999999999	10	1
3_MACS_peak_7047_lociStitched	chr14	106024730	106057615	3	30877	117083.754	5310.9275	11		TMEM121	TMEM121	TMEM121	0.1278	11	1
