#04_0EWQ_0229Kronos_MM1S-KB-1hr-2_H3K18Ac_hs-dm_i06_peaks Enhancers
#Created from /data/projects/IRF4_mm_trn_data/p300_internal_ChIP/rose/04_0EWQ_0229Kronos_MM1S-KB-1hr-2_H3K18Ac_hs-dm_i06_ROSE/04_0EWQ_0229Kronos_MM1S-KB-1hr-2_H3K18Ac_hs-dm_i06_peaks_8KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by X04_0EWQ_0229Kronos_MM1S.KB.1hr.2_H3K18Ac_hs.dm_i06.bam
#Using cutoff of 13913.4996 for Super-Enhancers
#Created on Jul 18 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X04_0EWQ_0229Kronos_MM1S.KB.1hr.2_H3K18Ac_hs.dm_i06.bam	X38_0EXQ_0229Kronos_MM1S.KB.1hr.2_Input_hs_i81.bam	enhancerRank	isSuperStretch
6_MACS_peak_14830_lociStitched	chr22	23221256	23298696	6	59625	245732.608	13033.152	1	1
6_MACS_peak_1169_lociStitched	chr1	118147752	118219052	6	59087	161494.5	8156.72	2	1
5_MACS_peak_16380_lociStitched	chr3	141079289	141133158	5	40605	214975.0183	11554.9005	3	1
2_MACS_peak_19296_lociStitched	chr6	7888904	7921751	2	31370	154495.8645	7607.3652	4	1
7_MACS_peak_10831_lociStitched	chr19	2594351	2638065	7	27177	168587.4124	10167.8764	5	1
8_MACS_peak_6905_lociStitched	chr14	91815025	91885554	8	44921	77539.5826	7419.6508	6	1
6_MACS_peak_12640_lociStitched	chr2	99060520	99107867	6	40390	102529.9285	9744.0126	7	1
9_MACS_peak_14000_lociStitched	chr20	32398532	32473757	9	39958	98319.075	13758.6525	8	1
5_MACS_peak_12091_lociStitched	chr2	37531976	37584199	5	39356	87436.9689	8872.6877	9	1
5_MACS_peak_19200_lociStitched	chr6	290004	337957	5	36199	109673.3063	14903.7924	10	1
3_MACS_peak_7047_lociStitched	chr14	106024730	106057615	3	30877	117083.754	5310.9275	11	1
6_MACS_peak_9432_lociStitched	chr17	34597394	34641990	6	36160	86850.71	9592.5996	12	1
6_MACS_peak_13953_lociStitched	chr20	30262457	30312225	6	36112	76443.648	9749.5512	13	1
7_MACS_peak_9176_lociStitched	chr17	16847846	16895580	7	27868	108757.1456	8195.9278	14	1
5_MACS_peak_9427_lociStitched	chr17	34508277	34544344	5	31048	84126.2775	8767.8877	15	1
6_MACS_peak_1417_lociStitched	chr1	154907933	154957604	6	28039	93927.861	13033.6704	16	1
6_MACS_peak_10538_lociStitched	chr18	46439428	46479863	6	32781	49359.0045	7039.7335	17	1
9_MACS_peak_4870_lociStitched	chr12	7013287	7081058	9	30778	61237.8756	11446.5219	18	1
6_MACS_peak_7054_lociStitched	chr14	106145144	106175857	6	26126	79684.8785	3513.5672	19	1
6_MACS_peak_16699_lociStitched	chr3	183227751	183274385	6	29352	59033.9806	11994.2648	20	1
5_MACS_peak_1906_lociStitched	chr1	203241548	203277855	5	25613	81026.3319	9501.5419	21	1
6_MACS_peak_9385_lociStitched	chr17	32688437	32726973	6	29104	51418.5848	7052.088	22	1
5_MACS_peak_8204_lociStitched	chr16	11796833	11837881	5	29042	50517.7736	7372.2208	23	1
2_MACS_peak_21930_lociStitched	chr8	2027405	2050911	2	18397	101842.0956	4247.5342	24	1
1_MACS_peak_17989_lociStitched	chr5	1310880	1320645	1	9766	116800.1415	2365.083	25	1
4_MACS_peak_14904_lociStitched	chr22	29186020	29221401	4	24564	74494.6955	5643.2695	26	1
5_MACS_peak_13932_lociStitched	chr20	25261619	25301467	5	22752	80305.6744	6578.9048	27	1
2_MACS_peak_2488_lociStitched	chr10	11202849	11223676	2	20634	86911.071	4740.2252	28	1
4_MACS_peak_4090_lociStitched	chr11	65238164	65278803	4	23611	73633.8041	7290.6366	29	1
1_MACS_peak_20136_lociStitched	chr6	106530926	106555972	1	25047	61713.344	4806.3274	30	1
4_MACS_peak_21839_lociStitched	chr7	150054177	150084837	4	23020	75763.926	7140.714	31	1
1_MACS_peak_13580_lociStitched	chr2	232687081	232714717	1	27637	32121.3228	3255.5208	32	1
4_MACS_peak_14687_lociStitched	chr21	45552486	45581117	4	19472	88260.7837	7212.1489	33	1
3_MACS_peak_17452_lociStitched	chr4	90205010	90240531	3	25153	56503.2547	5665.5995	34	1
6_MACS_peak_1964_lociStitched	chr1	206271668	206311356	6	23738	68406.2368	9036.9576	35	1
2_MACS_peak_4087_lociStitched	chr11	65183467	65209402	2	18933	87413.9175	6483.75	36	1
8_MACS_peak_19860_lociStitched	chr6	52392551	52442954	8	25830	50861.6673	8790.2832	37	1
2_MACS_peak_1469_lociStitched	chr1	156115287	156137032	2	20573	77805.7845	6121.2175	38	1
5_MACS_peak_3447_lociStitched	chr10	125822163	125854573	5	25252	42483.028	5807.872	40	1
5_MACS_peak_21435_lociStitched	chr7	102063762	102093103	5	19365	76427.4368	4747.3738	41	1
3_MACS_peak_14853_lociStitched	chr22	24178839	24200891	3	15788	86686.412	4121.5188	42	1
8_MACS_peak_7179_lociStitched	chr15	31616837	31657705	8	24430	44709.592	7061.9904	43	1
7_MACS_peak_8696_lociStitched	chr16	68269826	68320185	7	24488	36263.5159	8017.1528	44	1
3_MACS_peak_5745_lociStitched	chr12	109009386	109035885	3	17586	77406.2289	5456.1441	45	1
1_MACS_peak_5300_lociStitched	chr12	53588036	53603898	1	15863	79631.9986	3886.19	46	1
11_MACS_peak_9696_lociStitched	chr17	46506659	46571187	11	24225	34328.896	10627.7616	47	1
5_MACS_peak_12762_lociStitched	chr2	112208473	112253636	5	20925	57478.9501	7519.6395	48	1
4_MACS_peak_9420_lociStitched	chr17	34408807	34432955	4	22233	43311.8528	4701.6156	49	1
3_MACS_peak_11414_lociStitched	chr19	39880744	39904238	3	18532	65787.8988	4757.535	50	1
3_MACS_peak_4265_lociStitched	chr11	72850524	72869839	3	18835	63237.31	3805.055	51	1
2_MACS_peak_11936_lociStitched	chr2	20404073	20426436	2	20641	47872.4741	4564.2883	52	1
6_MACS_peak_3292_lociStitched	chr10	105229917	105268347	6	22016	37373.175	6121.899	53	1
5_MACS_peak_15360_lociStitched	chr3	5222680	5256326	5	22583	29732.9702	5834.2164	54	1
4_MACS_peak_21461_lociStitched	chr7	104576224	104605392	4	19465	54637.4976	5051.8976	55	1
6_MACS_peak_11470_lociStitched	chr19	42027358	42062362	6	22121	32329.6944	6195.708	56	1
8_MACS_peak_20175_lociStitched	chr6	109186644	109228383	8	22204	25222.8777	6018.7638	57	1
3_MACS_peak_8201_lociStitched	chr16	11762266	11786163	3	19946	46080.5851	4800.9073	58	1
10_MACS_peak_20393_lociStitched	chr6	138246563	138297409	10	21872	27050.072	7759.0996	59	1
2_MACS_peak_421_lociStitched	chr1	31213988	31233546	2	19386	47991.4204	4318.4064	60	1
6_MACS_peak_5313_lociStitched	chr12	53845743	53873572	6	21933	20081.4064	4856.1605	61	1
6_MACS_peak_5916_lociStitched	chr12	123355281	123387110	6	21279	28295.981	2711.8308	62	1
6_MACS_peak_2492_lociStitched	chr10	11278859	11312919	6	20266	40337.258	5756.14	64	1
7_MACS_peak_22699_lociStitched	chr8	126285335	126322748	7	21004	30143.6541	5301.4221	65	1
3_MACS_peak_1481_lociStitched	chr1	156456494	156476550	3	19861	41473.8024	5738.0216	66	1
2_MACS_peak_10808_lociStitched	chr19	2081450	2098310	2	15002	67310.178	5226.6	67	1
4_MACS_peak_11145_lociStitched	chr19	16244056	16272760	4	19303	44468.2368	4850.976	68	1
4_MACS_peak_7116_lociStitched	chr15	23657721	23682915	4	19192	44202.873	3935.3028	69	1
6_MACS_peak_7665_lociStitched	chr15	74657960	74696719	6	17221	57390.4513	6185.9364	70	1
4_MACS_peak_16326_lociStitched	chr3	133181471	133212111	4	18722	45552.488	5665.336	71	1
4_MACS_peak_10318_lociStitched	chr18	9054848	9084937	4	17468	52399.9935	4883.4447	72	1
6_MACS_peak_24258_lociStitched	chrX	58124736	58159908	6	19696	31352.3208	2321.352	73	1
3_MACS_peak_18700_lociStitched	chr5	131745241	131767571	3	18805	41368.558	4528.524	74	1
6_MACS_peak_3351_lociStitched	chr10	112600148	112633051	6	20054	30152.3092	5675.7675	75	1
3_MACS_peak_219_lociStitched	chr1	17221233	17241655	3	8952	79635.589	5552.7418	76	1
3_MACS_peak_16216_lociStitched	chr3	124487222	124512326	3	18901	39368.0928	3893.6304	77	1
2_MACS_peak_3336_lociStitched	chr10	112103978	112120037	2	10209	74586.0255	3420.567	78	1
4_MACS_peak_2245_lociStitched	chr1	230239023	230270090	4	17627	48719.2694	7014.9286	79	1
4_MACS_peak_9817_lociStitched	chr17	56405374	56430893	4	17286	48299.8113	5262.0178	80	1
3_MACS_peak_18027_lociStitched	chr5	6475885	6497939	3	14384	60302.2522	3905.7634	81	1
7_MACS_peak_1983_lociStitched	chr1	206938703	206978863	7	19774	27533.696	8774.96	82	1
5_MACS_peak_21073_lociStitched	chr7	55616108	55642773	5	18814	33933.879	4693.04	83	1
1_MACS_peak_11899_lociStitched	chr2	11883353	11898353	1	15001	55822.5	3198	84	1
5_MACS_peak_9885_lociStitched	chr17	62150128	62182876	5	18686	34676.8572	5341.1988	85	1
4_MACS_peak_12621_lociStitched	chr2	97190500	97212770	4	13956	59999.834	4200.122	86	1
5_MACS_peak_15675_lociStitched	chr3	46318266	46347211	5	19238	23743.5835	4408.3235	87	1
4_MACS_peak_7286_lociStitched	chr15	40833525	40862734	4	17820	38868.4163	5155.3885	88	1
2_MACS_peak_3763_lociStitched	chr11	22685073	22703238	2	17984	34422.675	2633.925	89	1
1_MACS_peak_17165_lociStitched	chr4	40191338	40209204	1	17867	35794.531	4221.7358	90	1
4_MACS_peak_4752_lociStitched	chr11	130670488	130705700	4	18321	32518.282	5535.3264	91	1
2_MACS_peak_9523_lociStitched	chr17	38466242	38484135	2	17391	38251.6554	3607.2288	92	1
4_MACS_peak_7601_lociStitched	chr15	68568814	68599406	4	18220	32788.5056	5558.5664	93	1
3_MACS_peak_14663_lociStitched	chr21	44724564	44747478	3	15768	49038.2514	4674.456	94	1
8_MACS_peak_19092_lociStitched	chr5	173310330	173343163	8	18970	20970.4371	5210.5971	95	1
2_MACS_peak_14616_lociStitched	chr21	41324608	41344422	2	16772	43190.5572	5452.8128	96	1
3_MACS_peak_17291_lociStitched	chr4	71526803	71555202	3	18247	28887.4628	4373.446	97	1
5_MACS_peak_22645_lociStitched	chr8	120919466	120948019	5	17845	33221.4155	4885.4183	98	1
6_MACS_peak_4718_lociStitched	chr11	128586007	128609730	6	18459	24069.3558	4754.0892	99	1
3_MACS_peak_15420_lociStitched	chr3	13035679	13061711	3	15304	48947.9696	5180.368	100	1
5_MACS_peak_22124_lociStitched	chr8	27208534	27239002	5	18320	24636.4248	5648.7672	101	1
1_MACS_peak_12773_lociStitched	chr2	112455336	112466557	1	11222	62068.9615	2532.5797	102	1
6_MACS_peak_17894_lociStitched	chr4	185317513	185349878	6	17944	28769.2485	5262.549	103	1
5_MACS_peak_16591_lociStitched	chr3	171802188	171826998	5	18078	27544.062	5805.54	104	1
1_MACS_peak_19447_lociStitched	chr6	25403104	25415723	1	12620	57451.7832	2525.0619	105	1
5_MACS_peak_7682_lociStitched	chr15	75065700	75092960	5	18186	24915.64	4895.896	106	1
