REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X04_0EWQ_0229Kronos_MM1S.KB.1hr.2_H3K18Ac_hs.dm_i06.bam	X38_0EXQ_0229Kronos_MM1S.KB.1hr.2_Input_hs_i81.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isSuper
6_MACS_peak_14830_lociStitched	chr22	23221256	23298696	6	59625	245732.608	13033.152	1	IGLL5		IGLL5	1	1
5_MACS_peak_16380_lociStitched	chr3	141079289	141133158	5	40605	214975.0183	11554.9005	2	ZBTB38		ZBTB38	2	1
7_MACS_peak_10831_lociStitched	chr19	2594351	2638065	7	27177	168587.4124	10167.8764	3	GNG7		GNG7	3	1
6_MACS_peak_1169_lociStitched	chr1	118147752	118219052	6	59087	161494.5	8156.72	4	FAM46C		FAM46C	4	1
2_MACS_peak_19296_lociStitched	chr6	7888904	7921751	2	31370	154495.8645	7607.3652	5	MUTED-TXNDC5,TXNDC5		TXNDC5	5	1
1_MACS_peak_17989_lociStitched	chr5	1310880	1320645	1	9766	116800.1415	2365.083	6	CLPTM1L	TERT	TERT	6	1
3_MACS_peak_7047_lociStitched	chr14	106024730	106057615	3	30877	117083.754	5310.9275	7		TMEM121	TMEM121	7	1
1_MACS_peak_6435_lociStitched	chr13	114828899	114835159	1	6261	104982.704	1568.13	8	RASA3		RASA3	8	1
7_MACS_peak_9176_lociStitched	chr17	16847846	16895580	7	27868	108757.1456	8195.9278	9	TNFRSF13B		TNFRSF13B	9	1
2_MACS_peak_21930_lociStitched	chr8	2027405	2050911	2	18397	101842.0956	4247.5342	10	MYOM2		MYOM2	10	1
5_MACS_peak_19200_lociStitched	chr6	290004	337957	5	36199	109673.3063	14903.7924	11	DUSP22		DUSP22	11	1
6_MACS_peak_12640_lociStitched	chr2	99060520	99107867	6	40390	102529.9285	9744.0126	12	INPP4A		INPP4A	12	1
1_MACS_peak_24037_lociStitched	chrX	19469959	19470962	1	1004	86918.5758	133.8002	13	MAP3K15		MAP3K15	13	1
9_MACS_peak_14000_lociStitched	chr20	32398532	32473757	9	39958	98319.075	13758.6525	14	CHMP4B		CHMP4B	14	1
3_MACS_peak_14853_lociStitched	chr22	24178839	24200891	3	15788	86686.412	4121.5188	15	SLC2A11,DERL3	SMARCB1,MIF	DERL3	15	1
2_MACS_peak_2488_lociStitched	chr10	11202849	11223676	2	20634	86911.071	4740.2252	16	CELF2		CELF2	16	1
4_MACS_peak_14687_lociStitched	chr21	45552486	45581117	4	19472	88260.7837	7212.1489	17	C21orf33	PWP2	C21orf33	17	1
2_MACS_peak_4087_lociStitched	chr11	65183467	65209402	2	18933	87413.9175	6483.75	18	NEAT1	FRMD8,MIR612,SLC25A45	NEAT1	18	1
6_MACS_peak_1417_lociStitched	chr1	154907933	154957604	6	28039	93927.861	13033.6704	19	CKS1B,MIR4258,FLAD1,PMVK,PBXIP1,PYGO2,SHC1	LENEP,ZBTB7B,DCST1,DCST2	PYGO2	19	1
5_MACS_peak_12091_lociStitched	chr2	37531976	37584199	5	39356	87436.9689	8872.6877	20	QPCT,PRKD3		QPCT	20	1
6_MACS_peak_9432_lociStitched	chr17	34597394	34641990	6	36160	86850.71	9592.5996	21	CCL4L1,CCL3L1,CCL3L3	TBC1D3C	TBC1D3C	21	1
6_MACS_peak_7054_lociStitched	chr14	106145144	106175857	6	26126	79684.8785	3513.5672	22			TMEM121	22	1
1_MACS_peak_5300_lociStitched	chr12	53588036	53603898	1	15863	79631.9986	3886.19	23	ITGB7	ZNF740,MFSD5,CSAD,RARG	ITGB7	23	1
5_MACS_peak_9427_lociStitched	chr17	34508277	34544344	5	31048	84126.2775	8767.8877	24	CCL4L1,CCL3L1,CCL3L3	TBC1D3B,TBC1D3C	CCL3L1	24	1
3_MACS_peak_219_lociStitched	chr1	17221233	17241655	3	8952	79635.589	5552.7418	25		CROCC	CROCC	25	1
5_MACS_peak_13932_lociStitched	chr20	25261619	25301467	5	22752	80305.6744	6578.9048	26	PYGB,ABHD12		PYGB	26	1
3_MACS_peak_5745_lociStitched	chr12	109009386	109035885	3	17586	77406.2289	5456.1441	27	SELPLG	TMEM119	SELPLG	27	1
2_MACS_peak_1469_lociStitched	chr1	156115287	156137032	2	20573	77805.7845	6121.2175	28	SEMA4A	LMNA,SLC25A44,PMF1	SEMA4A	28	1
5_MACS_peak_21435_lociStitched	chr7	102063762	102093103	5	19365	76427.4368	4747.3738	29	PRKRIP1,ORAI2	LRWD1,ALKBH4,POLR2J	ORAI2	29	1
5_MACS_peak_1906_lociStitched	chr1	203241548	203277855	5	25613	81026.3319	9501.5419	30	BTG2,LOC730227	CHIT1,FMOD	LOC730227	30	1
2_MACS_peak_3336_lociStitched	chr10	112103978	112120037	2	10209	74586.0255	3420.567	31		SMNDC1	SMNDC1	31	1
8_MACS_peak_6905_lociStitched	chr14	91815025	91885554	8	44921	77539.5826	7419.6508	32	CCDC88C		CCDC88C	32	1
4_MACS_peak_14904_lociStitched	chr22	29186020	29221401	4	24564	74494.6955	5643.2695	33	XBP1	HSCB,CCDC117,CHEK2	XBP1	33	1
4_MACS_peak_21839_lociStitched	chr7	150054177	150084837	4	23020	75763.926	7140.714	34	REPIN1,ZNF775	LRRC61,C7orf29,LOC728743,LOC285972,ACTR3C,RARRES2	REPIN1	34	1
6_MACS_peak_13953_lociStitched	chr20	30262457	30312225	6	36112	76443.648	9749.5512	35	BCL2L1	COX4I2,TPX2	BCL2L1	35	1
4_MACS_peak_4090_lociStitched	chr11	65238164	65278803	4	23611	73633.8041	7290.6366	36	MALAT1	NEAT1,MIR612,SCYL1,LTBP3	MALAT1	36	1
2_MACS_peak_10808_lociStitched	chr19	2081450	2098310	2	15002	67310.178	5226.6	37	IZUMO4,MOBKL2A	MKNK2	MOBKL2A	37	1
3_MACS_peak_11414_lociStitched	chr19	39880744	39904238	3	18532	65787.8988	4757.535	38	MED29,ZFP36,PLEKHG2,PAF1	SAMD4B,SUPT5H,RPS16	ZFP36	38	1
1_MACS_peak_9643_lociStitched	chr17	43298033	43308509	1	10477	62333.2476	2384.3376	39	FMNL1	LOC100133991,C17orf46	FMNL1	39	1
1_MACS_peak_12773_lociStitched	chr2	112455336	112466557	1	11222	62068.9615	2532.5797	40			ANAPC1	40	1
3_MACS_peak_4265_lociStitched	chr11	72850524	72869839	3	18835	63237.31	3805.055	41	FCHSD2		FCHSD2	41	1
6_MACS_peak_1964_lociStitched	chr1	206271668	206311356	6	23738	68406.2368	9036.9576	42	C1orf186	AVPR1B,CTSE	C1orf186	42	1
2_MACS_peak_14147_lociStitched	chr20	42694951	42710741	2	9549	61250.989	2933.782	43	TOX2		JPH2	43	1
1_MACS_peak_20136_lociStitched	chr6	106530926	106555972	1	25047	61713.344	4806.3274	44	PRDM1		PRDM1	44	1
3_MACS_peak_18027_lociStitched	chr5	6475885	6497939	3	14384	60302.2522	3905.7634	45	UBE2QL1		UBE2QL1	45	1
4_MACS_peak_12621_lociStitched	chr2	97190500	97212770	4	13956	59999.834	4200.122	46	ARID5A	NEURL3	ARID5A	46	1
1_MACS_peak_10658_lociStitched	chr18	60821029	60831697	1	10669	57085.5348	2033.3208	47	BCL2		BCL2	47	1
1_MACS_peak_19447_lociStitched	chr6	25403104	25415723	1	12620	57451.7832	2525.0619	48	LRRC16A		LRRC16A	48	1
3_MACS_peak_2293_lociStitched	chr1	234734079	234749915	3	11524	58247.9752	3963.7508	49	IRF2BP2	NCRNA00184	IRF2BP2	49	1
2_MACS_peak_4820_lociStitched	chr12	4216304	4231528	2	8853	57554.332	3303.608	50			CCND2	50	1
2_MACS_peak_217_lociStitched	chr1	17065868	17075604	2	3917	56424.0144	3219.6952	51		ESPNP,MST1P9	MST1P9	51	1
1_MACS_peak_215_lociStitched	chr1	16992020	16994587	1	2568	54309.2489	1532.7557	52		MST1P2,CROCCP2	MST1P2	52	1
1_MACS_peak_11899_lociStitched	chr2	11883353	11898353	1	15001	55822.5	3198	53	LPIN1		LPIN1	53	1
2_MACS_peak_12406_lociStitched	chr2	70310284	70323393	2	8192	54315.8306	2524.7934	54	PCBP1,LOC400960	LOC100133985	PCBP1	54	1
