REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X16_0EX2_0229Kronos_MM1S.KB.3hr.2_H3K27Ac_hs.dm_i29.bam	X40_0EXS_0229Kronos_MM1S.KB.3hr.2_Input_hs_i84.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isSuperStretch
13_MACS_peak_18827_lociStitched	chr3	141079145	141160704	13	66583	490699.7235	15357.5597	1	ZBTB38	RASA2	ZBTB38	1	1
12_MACS_peak_23411_lociStitched	chr6	108878301	108974191	12	83480	175900.616	13875.283	2	FOXO3		FOXO3	2	1
7_MACS_peak_9604_lociStitched	chr16	11761522	11843193	7	67814	226596.1895	14169.9185	3	SNN,TXNDC11	ZC3H7A	TXNDC11	3	1
11_MACS_peak_13879_lociStitched	chr2	37510055	37593597	11	57020	245880.8144	14853.7676	4	QPCT,PRKD3		PRKD3	4	1
5_MACS_peak_11947_lociStitched	chr18	9095136	9157602	5	50609	199272.7866	10800.3714	5	NDUFV2,ANKRD12		ANKRD12	5	1
5_MACS_peak_16108_lociStitched	chr20	30261853	30312431	5	48631	200020.8166	10368.49	6	BCL2L1	COX4I2,TPX2	BCL2L1	6	1
3_MACS_peak_22365_lociStitched	chr6	7878895	7919647	3	40278	230452.56	8248.2048	7	BMP6,MUTED-TXNDC5,TXNDC5		TXNDC5	7	1
4_MACS_peak_14528_lociStitched	chr2	99054715	99108019	4	46688	177433.0248	10980.624	8	INPP4A		INPP4A	8	1
4_MACS_peak_1356_lociStitched	chr1	118141966	118188282	4	37698	156163.6572	5201.2868	9	FAM46C		FAM46C	9	1
7_MACS_peak_22253_lociStitched	chr6	289971	337840	7	31934	202490.6569	16045.6888	10	DUSP22		DUSP22	10	1
5_MACS_peak_16154_lociStitched	chr20	32398729	32449017	5	35795	134827.1568	9599.9792	11	CHMP4B		CHMP4B	11	1
2_MACS_peak_20101_lociStitched	chr4	90205011	90230194	2	25050	197361.6893	5336.2777	12	GPRIN3		GPRIN3	12	1
1_MACS_peak_23378_lociStitched	chr6	106530530	106556480	1	25951	177664.08	5332.725	13	PRDM1		PRDM1	13	1
2_MACS_peak_8303_lociStitched	chr14	106024639	106052833	2	26403	165783.5394	4877.562	14		TMEM121	TMEM121	14	1
5_MACS_peak_12184_lociStitched	chr18	46440379	46480050	5	35711	85098.2621	7200.2865	15	SMAD7		SMAD7	15	1
2_MACS_peak_1660_lociStitched	chr1	154908011	154936349	2	25468	169356.3894	8087.6652	16	PMVK,PBXIP1,PYGO2,SHC1	CKS1B,MIR4258,FLAD1,LENEP,ZBTB7B	PBXIP1	16	1
3_MACS_peak_17085_lociStitched	chr22	23217895	23241527	3	22243	175297.4496	3473.904	17	IGLL5		IGLL5	17	1
1_MACS_peak_2887_lociStitched	chr10	11202449	11223817	1	21369	179555.304	4895.4088	18	CELF2		CELF2	18	1
1_MACS_peak_4710_lociStitched	chr11	65183338	65201083	1	17746	190183.812	4489.485	19	NEAT1	FRMD8,MIR612,SLC25A45	NEAT1	19	1
8_MACS_peak_10983_lociStitched	chr17	34597880	34641353	8	33821	84268.0632	8707.6419	20	CCL4L1,CCL3L1,CCL3L3	TBC1D3C	TBC1D3C	20	1
6_MACS_peak_10279_lociStitched	chr16	78763219	78804925	6	35373	40329.702	3882.8286	21	WWOX		WWOX	21	1
2_MACS_peak_8153_lociStitched	chr14	91812913	91848035	2	29752	116313.5274	4091.713	22	CCDC88C		CCDC88C	22	1
1_MACS_peak_6100_lociStitched	chr12	53582110	53604271	1	22162	162338.1894	4729.1574	23	ZNF740,ITGB7	MFSD5,CSAD,RARG	ITGB7	23	1
3_MACS_peak_4337_lociStitched	chr11	22676979	22703931	3	23049	150979.7136	4137.132	24	GAS2	FANCF	GAS2	24	1
5_MACS_peak_3981_lociStitched	chr10	125822215	125854693	5	29903	100853.9334	5794.0752	25	CHST15		CHST15	25	1
4_MACS_peak_24911_lociStitched	chr7	102063484	102093279	4	20960	156355.2215	4916.175	26	PRKRIP1,ORAI2	LRWD1,ALKBH4,POLR2J	ORAI2	26	1
2_MACS_peak_17088_lociStitched	chr22	23269413	23285960	2	15531	170531.7273	3418.6102	27		IGLL5	IGLL5	27	1
5_MACS_peak_11501_lociStitched	chr17	62150102	62187015	5	30904	75092.1159	6947.0266	28	ERN1	SNORD104,SNORA76	ERN1	28	1
4_MACS_peak_6659_lociStitched	chr12	109009503	109035988	4	19966	154804.825	5257.2725	29	SELPLG	TMEM119	SELPLG	29	1
3_MACS_peak_8935_lociStitched	chr15	68568534	68599563	3	28909	92627.7708	5600.7345	30	FEM1B,ITGA11	CLN6	FEM1B	30	1
5_MACS_peak_10925_lociStitched	chr17	32690586	32719654	5	23560	128707.2904	5412.4616	31		CCL8,CCL13,CCL1	CCL1	31	1
5_MACS_peak_23028_lociStitched	chr6	52392636	52424913	5	26581	92747.9595	5606.5149	32	TRAM2		TRAM2	32	1
4_MACS_peak_8155_lociStitched	chr14	91853819	91886020	4	28516	67264.6689	3348.904	33	CCDC88C		CCDC88C	33	1
8_MACS_peak_10161_lociStitched	chr16	68278146	68320793	8	29121	59117.2714	6661.4614	34	PLA2G15,SLC7A6	PRMT7,ESRP2,SLC7A6OS	SLC7A6	34	1
2_MACS_peak_6116_lociStitched	chr12	53845171	53874889	2	29482	47976.7392	5072.8626	35	PCBP2,MAP3K12	AMHR2,PRR13,TARBP2,NPFF	PCBP2	35	1
1_MACS_peak_15394_lociStitched	chr2	201979921	201995135	1	15215	153019.3692	3362.294	36	CFLAR	NDUFB3,FAM126B	CFLAR	36	1
2_MACS_peak_25385_lociStitched	chr7	150063924	150084802	2	20080	134191.2572	5541.0212	37	REPIN1,ZNF775	LRRC61,C7orf29,LOC728743,LOC285972,ACTR3C,RARRES2	ZNF775	37	1
3_MACS_peak_8310_lociStitched	chr14	106145145	106169450	3	21661	121695.135	2666.2585	38			TMEM121	38	1
8_MACS_peak_19224_lociStitched	chr3	183219874	183261248	8	25193	100298.8508	10422.1106	39	KLHL6		KLHL6	39	1
1_MACS_peak_5693_lociStitched	chr12	12866272	12882124	1	15853	144995.0736	3322.5792	40	CDKN1B,APOLD1	MIR613,GPR19	CDKN1B	40	1
5_MACS_peak_22140_lociStitched	chr5	173310170	173344100	5	27976	55424.655	5690.061	41	CPEB4		CPEB4	41	1
6_MACS_peak_17314_lociStitched	chr22	37611000	37642405	6	25974	79181.4265	5687.4455	42	RAC2	CYTH4,C1QTNF6,SSTR3	RAC2	42	1
1_MACS_peak_15690_lociStitched	chr2	232687027	232714810	1	27784	47592.279	3128.3658	43		COPS7B,PDE6D,MIR1471	COPS7B	43	1
3_MACS_peak_1712_lociStitched	chr1	156115269	156137077	3	21613	111482.496	6716.864	44	SEMA4A	LMNA,SLC25A44,PMF1	SEMA4A	44	1
3_MACS_peak_11421_lociStitched	chr17	56404682	56431025	3	19586	122629.2993	5671.6479	45	BZRAP1,MIR142,SUPT4H1	MPO	MIR142	45	1
3_MACS_peak_24505_lociStitched	chr7	55616302	55643079	3	25455	69577.3568	4594.9332	46	VOPP1		VOPP1	46	1
7_MACS_peak_5588_lociStitched	chr12	7045643	7085665	7	24881	77822.779	6739.7048	47	ATN1,C12orf57,PTPN6,MIR200C,MIR141,EMG1,PHB2,SCARNA12,LPCAT3	LRRC23,ENO2	PTPN6	47	1
3_MACS_peak_2892_lociStitched	chr10	11278709	11304705	3	24441	76542.6224	4679.28	48	CELF2		CELF2	48	1
6_MACS_peak_10976_lociStitched	chr17	34509814	34539846	6	24225	80759.0512	6655.0912	49	CCL4L1,CCL3L1,CCL3L3	TBC1D3B	CCL3L1	49	1
4_MACS_peak_21686_lociStitched	chr5	131744921	131774377	4	22281	96730.5584	5296.1888	50	C5orf56	SLC22A5,MIR3936	C5orf56	50	1
3_MACS_peak_5423_lociStitched	chr11	128585308	128610081	3	23941	79771.5373	4409.594	51	FLI1		FLI1	51	1
4_MACS_peak_17642_lociStitched	chr3	5222394	5256260	4	24881	65391.8594	5025.7144	52	ARL8B,EDEM1		EDEM1	52	1
8_MACS_peak_8435_lociStitched	chr15	31628660	31660474	8	25102	61805.0578	4819.821	53	KLF13		KLF13	53	1
1_MACS_peak_19737_lociStitched	chr4	40191066	40209763	1	18698	114519.125	4577.0256	54	RHOH		RHOH	54	1
4_MACS_peak_1360_lociStitched	chr1	118194840	118219203	4	19538	107094.8754	2787.1272	55		FAM46C	FAM46C	55	1
2_MACS_peak_12502_lociStitched	chr19	2081462	2098513	2	15439	128071.7661	5258.5284	56	IZUMO4,MOBKL2A	MKNK2	MOBKL2A	56	1
1_MACS_peak_16853_lociStitched	chr21	41324661	41344615	1	19955	104074.0778	5535.2396	57			PCP4	57	1
7_MACS_peak_26370_lociStitched	chr8	120916755	120948347	7	24041	63692.6312	5133.7	58	DEPDC6	DSCC1	DEPDC6	58	1
3_MACS_peak_16471_lociStitched	chr20	52192325	52215981	3	22541	75330.1664	3837.0032	59	ZNF217		ZNF217	59	1
1_MACS_peak_462_lociStitched	chr1	31213923	31233236	1	19314	100746.2645	4171.608	60	LAPTM5	LOC100129196,MATN1	LAPTM5	60	1
1_MACS_peak_13700_lociStitched	chr2	20405043	20426353	1	21311	84023.199	4308.882	61	SDC1		SDC1	61	1
4_MACS_peak_20672_lociStitched	chr4	185317494	185350139	4	20891	85601.719	5046.917	62	IRF2		IRF2	62	1
3_MACS_peak_11943_lociStitched	chr18	9055061	9074572	3	13731	123894.85	3498.3223	63		NDUFV2	NDUFV2	63	1
