REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X16_0EX2_0229Kronos_MM1S.KB.3hr.2_H3K27Ac_hs.dm_i29.bam	X40_0EXS_0229Kronos_MM1S.KB.3hr.2_Input_hs_i84.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank.1	isSuper
13_MACS_peak_18827_lociStitched	chr3	141079145	141160704	13	66583	490699.7235	15357.5597	1	ZBTB38	RASA2	ZBTB38	1	1
11_MACS_peak_13879_lociStitched	chr2	37510055	37593597	11	57020	245880.8144	14853.7676	2	QPCT,PRKD3		PRKD3	2	1
3_MACS_peak_22365_lociStitched	chr6	7878895	7919647	3	40278	230452.56	8248.2048	3	BMP6,MUTED-TXNDC5,TXNDC5		TXNDC5	3	1
7_MACS_peak_9604_lociStitched	chr16	11761522	11843193	7	67814	226596.1895	14169.9185	4	SNN,TXNDC11	ZC3H7A	TXNDC11	4	1
2_MACS_peak_20101_lociStitched	chr4	90205011	90230194	2	25050	197361.6893	5336.2777	5	GPRIN3		GPRIN3	5	1
5_MACS_peak_16108_lociStitched	chr20	30261853	30312431	5	48631	200020.8166	10368.49	6	BCL2L1	COX4I2,TPX2	BCL2L1	6	1
5_MACS_peak_11947_lociStitched	chr18	9095136	9157602	5	50609	199272.7866	10800.3714	7	NDUFV2,ANKRD12		ANKRD12	7	1
7_MACS_peak_22253_lociStitched	chr6	289971	337840	7	31934	202490.6569	16045.6888	8	DUSP22		DUSP22	8	1
1_MACS_peak_4710_lociStitched	chr11	65183338	65201083	1	17746	190183.812	4489.485	9	NEAT1	FRMD8,MIR612,SLC25A45	NEAT1	9	1
1_MACS_peak_2887_lociStitched	chr10	11202449	11223817	1	21369	179555.304	4895.4088	10	CELF2		CELF2	10	1
1_MACS_peak_23378_lociStitched	chr6	106530530	106556480	1	25951	177664.08	5332.725	11	PRDM1		PRDM1	11	1
3_MACS_peak_17085_lociStitched	chr22	23217895	23241527	3	22243	175297.4496	3473.904	12	IGLL5		IGLL5	12	1
2_MACS_peak_17088_lociStitched	chr22	23269413	23285960	2	15531	170531.7273	3418.6102	13		IGLL5	IGLL5	13	1
4_MACS_peak_14528_lociStitched	chr2	99054715	99108019	4	46688	177433.0248	10980.624	14	INPP4A		INPP4A	14	1
12_MACS_peak_23411_lociStitched	chr6	108878301	108974191	12	83480	175900.616	13875.283	15	FOXO3		FOXO3	15	1
2_MACS_peak_1660_lociStitched	chr1	154908011	154936349	2	25468	169356.3894	8087.6652	16	PMVK,PBXIP1,PYGO2,SHC1	CKS1B,MIR4258,FLAD1,LENEP,ZBTB7B	PBXIP1	16	1
2_MACS_peak_8303_lociStitched	chr14	106024639	106052833	2	26403	165783.5394	4877.562	17		TMEM121	TMEM121	17	1
1_MACS_peak_6100_lociStitched	chr12	53582110	53604271	1	22162	162338.1894	4729.1574	18	ZNF740,ITGB7	MFSD5,CSAD,RARG	ITGB7	18	1
4_MACS_peak_24911_lociStitched	chr7	102063484	102093279	4	20960	156355.2215	4916.175	19	PRKRIP1,ORAI2	LRWD1,ALKBH4,POLR2J	ORAI2	19	1
4_MACS_peak_1356_lociStitched	chr1	118141966	118188282	4	37698	156163.6572	5201.2868	20	FAM46C		FAM46C	20	1
1_MACS_peak_15394_lociStitched	chr2	201979921	201995135	1	15215	153019.3692	3362.294	21	CFLAR	NDUFB3,FAM126B	CFLAR	21	1
4_MACS_peak_6659_lociStitched	chr12	109009503	109035988	4	19966	154804.825	5257.2725	22	SELPLG	TMEM119	SELPLG	22	1
3_MACS_peak_4337_lociStitched	chr11	22676979	22703931	3	23049	150979.7136	4137.132	23	GAS2	FANCF	GAS2	23	1
1_MACS_peak_5693_lociStitched	chr12	12866272	12882124	1	15853	144995.0736	3322.5792	24	CDKN1B,APOLD1	MIR613,GPR19	CDKN1B	24	1
2_MACS_peak_25385_lociStitched	chr7	150063924	150084802	2	20080	134191.2572	5541.0212	25	REPIN1,ZNF775	LRRC61,C7orf29,LOC728743,LOC285972,ACTR3C,RARRES2	ZNF775	25	1
5_MACS_peak_16154_lociStitched	chr20	32398729	32449017	5	35795	134827.1568	9599.9792	26	CHMP4B		CHMP4B	26	1
5_MACS_peak_10925_lociStitched	chr17	32690586	32719654	5	23560	128707.2904	5412.4616	27		CCL8,CCL13,CCL1	CCL1	27	1
2_MACS_peak_12502_lociStitched	chr19	2081462	2098513	2	15439	128071.7661	5258.5284	28	IZUMO4,MOBKL2A	MKNK2	MOBKL2A	28	1
3_MACS_peak_11943_lociStitched	chr18	9055061	9074572	3	13731	123894.85	3498.3223	29		NDUFV2	NDUFV2	29	1
3_MACS_peak_8310_lociStitched	chr14	106145145	106169450	3	21661	121695.135	2666.2585	30			TMEM121	30	1
3_MACS_peak_11421_lociStitched	chr17	56404682	56431025	3	19586	122629.2993	5671.6479	31	BZRAP1,MIR142,SUPT4H1	MPO	MIR142	31	1
1_MACS_peak_22551_lociStitched	chr6	25403052	25415351	1	12300	119577.0275	3339.1785	32	LRRC16A		LRRC16A	32	1
2_MACS_peak_8153_lociStitched	chr14	91812913	91848035	2	29752	116313.5274	4091.713	33	CCDC88C		CCDC88C	33	1
1_MACS_peak_19737_lociStitched	chr4	40191066	40209763	1	18698	114519.125	4577.0256	34	RHOH		RHOH	34	1
3_MACS_peak_3862_lociStitched	chr10	112112682	112128593	3	8773	109801.811	3209.2487	35		SMNDC1	SMNDC1	35	1
3_MACS_peak_1712_lociStitched	chr1	156115269	156137077	3	21613	111482.496	6716.864	36	SEMA4A	LMNA,SLC25A44,PMF1	SEMA4A	36	1
4_MACS_peak_1360_lociStitched	chr1	118194840	118219203	4	19538	107094.8754	2787.1272	37		FAM46C	FAM46C	37	1
3_MACS_peak_9619_lociStitched	chr16	12052449	12072239	3	13450	107671.453	3764.058	38	TNFRSF17,RUNDC2A	GSPT1	TNFRSF17	38	1
1_MACS_peak_27962_lociStitched	chrX	19469760	19470628	1	869	103272.6436	49.7364	39	MAP3K15		MAP3K15	39	1
1_MACS_peak_2244_lociStitched	chr1	203288296	203298234	1	9939	106124.9206	3032.0838	40		BTG2,LOC730227,FMOD	BTG2	40	1
1_MACS_peak_20773_lociStitched	chr5	1311763	1320811	1	9049	101218.1664	1947.1296	41	CLPTM1L	TERT	TERT	41	1
1_MACS_peak_16853_lociStitched	chr21	41324661	41344615	1	19955	104074.0778	5535.2396	42			PCP4	42	1
1_MACS_peak_462_lociStitched	chr1	31213923	31233236	1	19314	100746.2645	4171.608	43	LAPTM5	LOC100129196,MATN1	LAPTM5	43	1
1_MACS_peak_12324_lociStitched	chr18	60821993	60831153	1	9161	98731.06	2287.252	44	BCL2		BCL2	44	1
1_MACS_peak_7548_lociStitched	chr13	114828859	114835059	1	6201	97279.24	1205.28	45	RASA3		RASA3	45	1
5_MACS_peak_16921_lociStitched	chr21	45552543	45580552	5	17263	102132.0176	6467.2781	46	C21orf33	PWP2	C21orf33	46	1
5_MACS_peak_3981_lociStitched	chr10	125822215	125854693	5	29903	100853.9334	5794.0752	47	CHST15		CHST15	47	1
2_MACS_peak_17109_lociStitched	chr22	24178240	24192156	2	11657	97658.3132	2819.3816	48	DERL3	SMARCB1,SLC2A11,MIF	DERL3	48	1
1_MACS_peak_5532_lociStitched	chr12	4224240	4229982	1	5743	95943.6522	1659.438	49			CCND2	49	1
1_MACS_peak_24504_lociStitched	chr7	55597589	55605941	1	8353	95990.3712	2172.3552	50	VOPP1		VOPP1	50	1
4_MACS_peak_1529_lociStitched	chr1	149802947	149833994	4	17137	101250.4764	7777.2735	51	HIST2H4B,HIST2H2AA4,HIST2H3A,HIST2H2BC	FCGR1A,HIST2H2AC,BOLA1,HIST2H2BF,HIST2H3D,HIST2H2BE,HIST2H2AB	HIST2H2BC	51	1
1_MACS_peak_16263_lociStitched	chr20	37497936	37505913	1	7978	94511.496	1837.1031	52	PPP1R16B	FAM83D	FAM83D	52	1
3_MACS_peak_11712_lociStitched	chr17	75131334	75147141	3	14857	95227.6908	3390.6015	53	SEC14L1	C17orf86,SCARNA16,SEC14L1	SEC14L1	53	1
4_MACS_peak_21686_lociStitched	chr5	131744921	131774377	4	22281	96730.5584	5296.1888	54	C5orf56	SLC22A5,MIR3936	C5orf56	54	1
4_MACS_peak_14197_lociStitched	chr2	65156621	65178809	4	14529	95155.4568	3971.652	55	LOC400958	SLC1A4	LOC400958	55	1
2_MACS_peak_9755_lociStitched	chr16	23343536	23354284	2	8566	92876.6924	1970.1084	56	SCNN1B		SCNN1B	56	1
2_MACS_peak_20663_lociStitched	chr4	185201098	185210910	2	9216	93223.812	2494.2104	57			ENPP6	57	1
2_MACS_peak_1553_lociStitched	chr1	150532150	150553180	2	16879	96866.283	6395.223	58	ADAMTSL4,MCL1	MIR4257,ENSA	MCL1	58	1
2_MACS_peak_25481_lociStitched	chr8	2027403	2041896	2	14004	93036.3642	2647.8711	59	MYOM2		MYOM2	59	1
2_MACS_peak_233_lociStitched	chr1	17221347	17233430	2	7570	93743.5389	3860.5185	60		CROCC	CROCC	60	1
8_MACS_peak_19224_lociStitched	chr3	183219874	183261248	8	25193	100298.8508	10422.1106	61	KLHL6		KLHL6	61	1
1_MACS_peak_16872_lociStitched	chr21	43480453	43486483	1	6031	91868.256	2185.272	62	UMODL1	C21orf121,UMODL1,ZNF295,C21orf128	UMODL1	62	1
2_MACS_peak_2301_lociStitched	chr1	206282081	206295645	2	10256	93283.6972	3804.702	63	C1orf186	CTSE	C1orf186	63	1
1_MACS_peak_24703_lociStitched	chr7	78113620	78128299	1	14680	90761.7249	2495.43	64	MAGI2		RPL13AP17	64	1
