#16_0EX2_0229Kronos_MM1S-KB-3hr-2_H3K27Ac_hs-dm_i29_peaks Enhancers
#Created from /data/projects/IRF4_mm_trn_data/p300_internal_ChIP/rose/16_0EX2_0229Kronos_MM1S-KB-3hr-2_H3K27Ac_hs-dm_i29_ROSE/16_0EX2_0229Kronos_MM1S-KB-3hr-2_H3K27Ac_hs-dm_i29_peaks_5KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by X16_0EX2_0229Kronos_MM1S.KB.3hr.2_H3K27Ac_hs.dm_i29.bam
#Using cutoff of 23887.9584 for Super-Enhancers
#Created on Jul 18 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X16_0EX2_0229Kronos_MM1S.KB.3hr.2_H3K27Ac_hs.dm_i29.bam	X40_0EXS_0229Kronos_MM1S.KB.3hr.2_Input_hs_i84.bam	enhancerRank	isStretch
12_MACS_peak_23411_lociStitched	chr6	108878301	108974191	12	83480	175900.616	13875.283	1	1
7_MACS_peak_9604_lociStitched	chr16	11761522	11843193	7	67814	226596.1895	14169.9185	2	1
13_MACS_peak_18827_lociStitched	chr3	141079145	141160704	13	66583	490699.7235	15357.5597	3	1
11_MACS_peak_13879_lociStitched	chr2	37510055	37593597	11	57020	245880.8144	14853.7676	4	1
5_MACS_peak_11947_lociStitched	chr18	9095136	9157602	5	50609	199272.7866	10800.3714	5	1
5_MACS_peak_16108_lociStitched	chr20	30261853	30312431	5	48631	200020.8166	10368.49	6	1
4_MACS_peak_14528_lociStitched	chr2	99054715	99108019	4	46688	177433.0248	10980.624	7	1
3_MACS_peak_22365_lociStitched	chr6	7878895	7919647	3	40278	230452.56	8248.2048	8	1
4_MACS_peak_1356_lociStitched	chr1	118141966	118188282	4	37698	156163.6572	5201.2868	9	1
5_MACS_peak_16154_lociStitched	chr20	32398729	32449017	5	35795	134827.1568	9599.9792	10	1
5_MACS_peak_12184_lociStitched	chr18	46440379	46480050	5	35711	85098.2621	7200.2865	11	1
6_MACS_peak_10279_lociStitched	chr16	78763219	78804925	6	35373	40329.702	3882.8286	12	1
8_MACS_peak_10983_lociStitched	chr17	34597880	34641353	8	33821	84268.0632	8707.6419	13	1
7_MACS_peak_22253_lociStitched	chr6	289971	337840	7	31934	202490.6569	16045.6888	14	1
5_MACS_peak_11501_lociStitched	chr17	62150102	62187015	5	30904	75092.1159	6947.0266	15	1
5_MACS_peak_3981_lociStitched	chr10	125822215	125854693	5	29903	100853.9334	5794.0752	16	1
2_MACS_peak_8153_lociStitched	chr14	91812913	91848035	2	29752	116313.5274	4091.713	17	1
2_MACS_peak_6116_lociStitched	chr12	53845171	53874889	2	29482	47976.7392	5072.8626	18	1
8_MACS_peak_10161_lociStitched	chr16	68278146	68320793	8	29121	59117.2714	6661.4614	19	1
3_MACS_peak_8935_lociStitched	chr15	68568534	68599563	3	28909	92627.7708	5600.7345	20	1
4_MACS_peak_8155_lociStitched	chr14	91853819	91886020	4	28516	67264.6689	3348.904	21	1
5_MACS_peak_22140_lociStitched	chr5	173310170	173344100	5	27976	55424.655	5690.061	22	1
1_MACS_peak_15690_lociStitched	chr2	232687027	232714810	1	27784	47592.279	3128.3658	23	1
5_MACS_peak_23028_lociStitched	chr6	52392636	52424913	5	26581	92747.9595	5606.5149	24	1
2_MACS_peak_8303_lociStitched	chr14	106024639	106052833	2	26403	165783.5394	4877.562	25	1
6_MACS_peak_17314_lociStitched	chr22	37611000	37642405	6	25974	79181.4265	5687.4455	26	1
1_MACS_peak_23378_lociStitched	chr6	106530530	106556480	1	25951	177664.08	5332.725	27	1
2_MACS_peak_1660_lociStitched	chr1	154908011	154936349	2	25468	169356.3894	8087.6652	28	1
3_MACS_peak_24505_lociStitched	chr7	55616302	55643079	3	25455	69577.3568	4594.9332	29	1
8_MACS_peak_19224_lociStitched	chr3	183219874	183261248	8	25193	100298.8508	10422.1106	30	1
8_MACS_peak_8435_lociStitched	chr15	31628660	31660474	8	25102	61805.0578	4819.821	31	1
2_MACS_peak_20101_lociStitched	chr4	90205011	90230194	2	25050	197361.6893	5336.2777	32	1
4_MACS_peak_17642_lociStitched	chr3	5222394	5256260	4	24881	65391.8594	5025.7144	33	1
7_MACS_peak_5588_lociStitched	chr12	7045643	7085665	7	24881	77822.779	6739.7048	34	1
3_MACS_peak_2892_lociStitched	chr10	11278709	11304705	3	24441	76542.6224	4679.28	35	1
6_MACS_peak_10976_lociStitched	chr17	34509814	34539846	6	24225	80759.0512	6655.0912	36	1
7_MACS_peak_26370_lociStitched	chr8	120916755	120948347	7	24041	63692.6312	5133.7	37	1
3_MACS_peak_5423_lociStitched	chr11	128585308	128610081	3	23941	79771.5373	4409.594	38	1
5_MACS_peak_10925_lociStitched	chr17	32690586	32719654	5	23560	128707.2904	5412.4616	39	1
3_MACS_peak_4337_lociStitched	chr11	22676979	22703931	3	23049	150979.7136	4137.132	40	1
8_MACS_peak_13197_lociStitched	chr19	42027274	42070271	8	22953	56609.8502	7176.1993	41	1
3_MACS_peak_16471_lociStitched	chr20	52192325	52215981	3	22541	75330.1664	3837.0032	42	1
8_MACS_peak_8209_lociStitched	chr14	95946040	95986043	8	22486	35542.6655	3136.2352	43	1
4_MACS_peak_21686_lociStitched	chr5	131744921	131774377	4	22281	96730.5584	5296.1888	44	1
3_MACS_peak_17085_lociStitched	chr22	23217895	23241527	3	22243	175297.4496	3473.904	45	1
1_MACS_peak_6100_lociStitched	chr12	53582110	53604271	1	22162	162338.1894	4729.1574	46	1
3_MACS_peak_8310_lociStitched	chr14	106145145	106169450	3	21661	121695.135	2666.2585	47	1
3_MACS_peak_1712_lociStitched	chr1	156115269	156137077	3	21613	111482.496	6716.864	48	1
1_MACS_peak_2887_lociStitched	chr10	11202449	11223817	1	21369	179555.304	4895.4088	49	1
1_MACS_peak_13700_lociStitched	chr2	20405043	20426353	1	21311	84023.199	4308.882	50	1
4_MACS_peak_24911_lociStitched	chr7	102063484	102093279	4	20960	156355.2215	4916.175	51	1
4_MACS_peak_20672_lociStitched	chr4	185317494	185350139	4	20891	85601.719	5046.917	52	1
3_MACS_peak_1724_lociStitched	chr1	156450107	156476101	3	20544	64953.8072	6542.6898	53	1
4_MACS_peak_10037_lociStitched	chr16	56963400	56985883	4	20488	61873.216	4384.185	54	1
5_MACS_peak_24348_lociStitched	chr7	38383556	38408446	5	20216	50479.409	5318.993	55	1
