#16_0EX2_0229Kronos_MM1S-KB-3hr-2_H3K27Ac_hs-dm_i29_peaks Enhancers
#Created from /data/projects/IRF4_mm_trn_data/p300_internal_ChIP/rose/16_0EX2_0229Kronos_MM1S-KB-3hr-2_H3K27Ac_hs-dm_i29_ROSE/16_0EX2_0229Kronos_MM1S-KB-3hr-2_H3K27Ac_hs-dm_i29_peaks_5KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by X16_0EX2_0229Kronos_MM1S.KB.3hr.2_H3K27Ac_hs.dm_i29.bam
#Using cutoff of 23887.9584 for Super-Enhancers
#Created on Jul 18 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X16_0EX2_0229Kronos_MM1S.KB.3hr.2_H3K27Ac_hs.dm_i29.bam	X40_0EXS_0229Kronos_MM1S.KB.3hr.2_Input_hs_i84.bam	enhancerRank	isSuperStretch
13_MACS_peak_18827_lociStitched	chr3	141079145	141160704	13	66583	490699.7235	15357.5597	1	1
12_MACS_peak_23411_lociStitched	chr6	108878301	108974191	12	83480	175900.616	13875.283	2	1
7_MACS_peak_9604_lociStitched	chr16	11761522	11843193	7	67814	226596.1895	14169.9185	3	1
11_MACS_peak_13879_lociStitched	chr2	37510055	37593597	11	57020	245880.8144	14853.7676	4	1
5_MACS_peak_11947_lociStitched	chr18	9095136	9157602	5	50609	199272.7866	10800.3714	5	1
5_MACS_peak_16108_lociStitched	chr20	30261853	30312431	5	48631	200020.8166	10368.49	6	1
3_MACS_peak_22365_lociStitched	chr6	7878895	7919647	3	40278	230452.56	8248.2048	7	1
4_MACS_peak_14528_lociStitched	chr2	99054715	99108019	4	46688	177433.0248	10980.624	8	1
4_MACS_peak_1356_lociStitched	chr1	118141966	118188282	4	37698	156163.6572	5201.2868	9	1
7_MACS_peak_22253_lociStitched	chr6	289971	337840	7	31934	202490.6569	16045.6888	10	1
5_MACS_peak_16154_lociStitched	chr20	32398729	32449017	5	35795	134827.1568	9599.9792	11	1
2_MACS_peak_20101_lociStitched	chr4	90205011	90230194	2	25050	197361.6893	5336.2777	12	1
1_MACS_peak_23378_lociStitched	chr6	106530530	106556480	1	25951	177664.08	5332.725	13	1
2_MACS_peak_8303_lociStitched	chr14	106024639	106052833	2	26403	165783.5394	4877.562	14	1
5_MACS_peak_12184_lociStitched	chr18	46440379	46480050	5	35711	85098.2621	7200.2865	15	1
2_MACS_peak_1660_lociStitched	chr1	154908011	154936349	2	25468	169356.3894	8087.6652	16	1
3_MACS_peak_17085_lociStitched	chr22	23217895	23241527	3	22243	175297.4496	3473.904	17	1
1_MACS_peak_2887_lociStitched	chr10	11202449	11223817	1	21369	179555.304	4895.4088	18	1
1_MACS_peak_4710_lociStitched	chr11	65183338	65201083	1	17746	190183.812	4489.485	19	1
8_MACS_peak_10983_lociStitched	chr17	34597880	34641353	8	33821	84268.0632	8707.6419	20	1
6_MACS_peak_10279_lociStitched	chr16	78763219	78804925	6	35373	40329.702	3882.8286	21	1
2_MACS_peak_8153_lociStitched	chr14	91812913	91848035	2	29752	116313.5274	4091.713	22	1
1_MACS_peak_6100_lociStitched	chr12	53582110	53604271	1	22162	162338.1894	4729.1574	23	1
3_MACS_peak_4337_lociStitched	chr11	22676979	22703931	3	23049	150979.7136	4137.132	24	1
5_MACS_peak_3981_lociStitched	chr10	125822215	125854693	5	29903	100853.9334	5794.0752	25	1
4_MACS_peak_24911_lociStitched	chr7	102063484	102093279	4	20960	156355.2215	4916.175	26	1
2_MACS_peak_17088_lociStitched	chr22	23269413	23285960	2	15531	170531.7273	3418.6102	27	1
5_MACS_peak_11501_lociStitched	chr17	62150102	62187015	5	30904	75092.1159	6947.0266	28	1
4_MACS_peak_6659_lociStitched	chr12	109009503	109035988	4	19966	154804.825	5257.2725	29	1
3_MACS_peak_8935_lociStitched	chr15	68568534	68599563	3	28909	92627.7708	5600.7345	30	1
5_MACS_peak_10925_lociStitched	chr17	32690586	32719654	5	23560	128707.2904	5412.4616	31	1
5_MACS_peak_23028_lociStitched	chr6	52392636	52424913	5	26581	92747.9595	5606.5149	32	1
4_MACS_peak_8155_lociStitched	chr14	91853819	91886020	4	28516	67264.6689	3348.904	33	1
8_MACS_peak_10161_lociStitched	chr16	68278146	68320793	8	29121	59117.2714	6661.4614	34	1
2_MACS_peak_6116_lociStitched	chr12	53845171	53874889	2	29482	47976.7392	5072.8626	35	1
1_MACS_peak_15394_lociStitched	chr2	201979921	201995135	1	15215	153019.3692	3362.294	36	1
2_MACS_peak_25385_lociStitched	chr7	150063924	150084802	2	20080	134191.2572	5541.0212	37	1
3_MACS_peak_8310_lociStitched	chr14	106145145	106169450	3	21661	121695.135	2666.2585	38	1
8_MACS_peak_19224_lociStitched	chr3	183219874	183261248	8	25193	100298.8508	10422.1106	39	1
1_MACS_peak_5693_lociStitched	chr12	12866272	12882124	1	15853	144995.0736	3322.5792	40	1
5_MACS_peak_22140_lociStitched	chr5	173310170	173344100	5	27976	55424.655	5690.061	41	1
6_MACS_peak_17314_lociStitched	chr22	37611000	37642405	6	25974	79181.4265	5687.4455	42	1
1_MACS_peak_15690_lociStitched	chr2	232687027	232714810	1	27784	47592.279	3128.3658	43	1
3_MACS_peak_1712_lociStitched	chr1	156115269	156137077	3	21613	111482.496	6716.864	44	1
3_MACS_peak_11421_lociStitched	chr17	56404682	56431025	3	19586	122629.2993	5671.6479	45	1
3_MACS_peak_24505_lociStitched	chr7	55616302	55643079	3	25455	69577.3568	4594.9332	46	1
7_MACS_peak_5588_lociStitched	chr12	7045643	7085665	7	24881	77822.779	6739.7048	47	1
3_MACS_peak_2892_lociStitched	chr10	11278709	11304705	3	24441	76542.6224	4679.28	48	1
6_MACS_peak_10976_lociStitched	chr17	34509814	34539846	6	24225	80759.0512	6655.0912	49	1
4_MACS_peak_21686_lociStitched	chr5	131744921	131774377	4	22281	96730.5584	5296.1888	50	1
3_MACS_peak_5423_lociStitched	chr11	128585308	128610081	3	23941	79771.5373	4409.594	51	1
4_MACS_peak_17642_lociStitched	chr3	5222394	5256260	4	24881	65391.8594	5025.7144	52	1
8_MACS_peak_8435_lociStitched	chr15	31628660	31660474	8	25102	61805.0578	4819.821	53	1
1_MACS_peak_19737_lociStitched	chr4	40191066	40209763	1	18698	114519.125	4577.0256	54	1
4_MACS_peak_1360_lociStitched	chr1	118194840	118219203	4	19538	107094.8754	2787.1272	55	1
2_MACS_peak_12502_lociStitched	chr19	2081462	2098513	2	15439	128071.7661	5258.5284	56	1
1_MACS_peak_16853_lociStitched	chr21	41324661	41344615	1	19955	104074.0778	5535.2396	57	1
7_MACS_peak_26370_lociStitched	chr8	120916755	120948347	7	24041	63692.6312	5133.7	58	1
3_MACS_peak_16471_lociStitched	chr20	52192325	52215981	3	22541	75330.1664	3837.0032	59	1
1_MACS_peak_462_lociStitched	chr1	31213923	31233236	1	19314	100746.2645	4171.608	60	1
1_MACS_peak_13700_lociStitched	chr2	20405043	20426353	1	21311	84023.199	4308.882	61	1
4_MACS_peak_20672_lociStitched	chr4	185317494	185350139	4	20891	85601.719	5046.917	62	1
3_MACS_peak_11943_lociStitched	chr18	9055061	9074572	3	13731	123894.85	3498.3223	63	1
8_MACS_peak_13197_lociStitched	chr19	42027274	42070271	8	22953	56609.8502	7176.1993	64	1
5_MACS_peak_16921_lociStitched	chr21	45552543	45580552	5	17263	102132.0176	6467.2781	65	1
1_MACS_peak_22551_lociStitched	chr6	25403052	25415351	1	12300	119577.0275	3339.1785	66	1
4_MACS_peak_1529_lociStitched	chr1	149802947	149833994	4	17137	101250.4764	7777.2735	67	1
4_MACS_peak_10686_lociStitched	chr17	16859287	16883378	4	18259	89570.338	4442.3804	68	1
3_MACS_peak_1641_lociStitched	chr1	154370121	154394514	3	18840	86531.7282	6305.5905	69	1
6_MACS_peak_14505_lociStitched	chr2	97190743	97220626	6	19799	76903.9005	5151.8292	70	1
5_MACS_peak_19090_lociStitched	chr3	171802000	171827101	5	19433	80903.0331	6375.654	71	1
1_MACS_peak_21375_lociStitched	chr5	88110718	88130874	1	20157	70302.1124	3549.4716	72	1
8_MACS_peak_8209_lociStitched	chr14	95946040	95986043	8	22486	35542.6655	3136.2352	73	1
2_MACS_peak_1553_lociStitched	chr1	150532150	150553180	2	16879	96866.283	6395.223	74	1
3_MACS_peak_1724_lociStitched	chr1	156450107	156476101	3	20544	64953.8072	6542.6898	75	1
4_MACS_peak_17707_lociStitched	chr3	13035668	13061474	4	17328	90197.1312	4670.886	76	1
4_MACS_peak_10037_lociStitched	chr16	56963400	56985883	4	20488	61873.216	4384.185	77	1
3_MACS_peak_9619_lociStitched	chr16	12052449	12072239	3	13450	107671.453	3764.058	78	1
3_MACS_peak_13137_lociStitched	chr19	39880664	39904029	3	17910	81291.508	3906.628	79	1
3_MACS_peak_27409_lociStitched	chr9	112904043	112925366	3	19999	57501.7341	4610.0326	80	1
3_MACS_peak_11712_lociStitched	chr17	75131334	75147141	3	14857	95227.6908	3390.6015	81	1
4_MACS_peak_12854_lociStitched	chr19	16243975	16273328	4	19542	58978.9829	4934.2393	82	1
5_MACS_peak_24348_lociStitched	chr7	38383556	38408446	5	20216	50479.409	5318.993	83	1
2_MACS_peak_11756_lociStitched	chr17	76711140	76733959	2	19119	62594.7989	4563.8	84	1
4_MACS_peak_14197_lociStitched	chr2	65156621	65178809	4	14529	95155.4568	3971.652	85	1
4_MACS_peak_4206_lociStitched	chr11	10323648	10345124	4	17838	73649.7944	4428.3512	86	1
2_MACS_peak_6657_lociStitched	chr12	108952836	108970773	2	16522	80822.3283	3585.6063	87	1
1_MACS_peak_24703_lociStitched	chr7	78113620	78128299	1	14680	90761.7249	2495.43	88	1
2_MACS_peak_25481_lociStitched	chr8	2027403	2041896	2	14004	93036.3642	2647.8711	89	1
4_MACS_peak_15324_lociStitched	chr2	197024098	197048658	4	19969	42935.792	4096.608	90	1
1_MACS_peak_21376_lociStitched	chr5	88170793	88187191	1	16399	76324.491	3369.789	91	1
4_MACS_peak_25703_lociStitched	chr8	27216231	27244085	4	18803	54811.1012	5072.2134	92	1
3_MACS_peak_3862_lociStitched	chr10	112112682	112128593	3	8773	109801.811	3209.2487	93	1
1_MACS_peak_2244_lociStitched	chr1	203288296	203298234	1	9939	106124.9206	3032.0838	94	1
6_MACS_peak_9235_lociStitched	chr15	89646657	89676696	6	16757	73123.9377	5139.6729	95	1
4_MACS_peak_8095_lociStitched	chr14	81930631	81956040	4	18597	50482.6012	2421.4777	96	1
3_MACS_peak_18410_lociStitched	chr3	98472865	98496018	3	17403	64532.0416	3873.4969	97	1
2_MACS_peak_17109_lociStitched	chr22	24178240	24192156	2	11657	97658.3132	2819.3816	98	1
2_MACS_peak_4316_lociStitched	chr11	19449973	19465982	2	13904	88004.6748	3562.0025	99	1
2_MACS_peak_11081_lociStitched	chr17	38465761	38484042	2	17827	59133.5507	3614.1537	100	1
2_MACS_peak_15903_lociStitched	chr20	5570558	5592389	2	19267	38822.0673	3916.4814	101	1
4_MACS_peak_8556_lociStitched	chr15	40834214	40862829	4	17576	59811.073	4712.8905	102	1
3_MACS_peak_9018_lociStitched	chr15	75065472	75083818	3	17230	58083.436	3458.221	103	1
1_MACS_peak_4717_lociStitched	chr11	65263410	65279007	1	15598	71789.8716	3489.0489	104	1
1_MACS_peak_20773_lociStitched	chr5	1311763	1320811	1	9049	101218.1664	1947.1296	105	1
4_MACS_peak_22547_lociStitched	chr6	25365986	25390541	4	17724	49723.875	4306.947	106	1
1_MACS_peak_24503_lociStitched	chr7	55569344	55586180	1	16837	56092.5012	2648.3028	107	1
1_MACS_peak_12324_lociStitched	chr18	60821993	60831153	1	9161	98731.06	2287.252	108	1
4_MACS_peak_317_lociStitched	chr1	24511905	24533755	4	14515	75585.705	4225.79	109	1
1_MACS_peak_23278_lociStitched	chr6	90054374	90071324	1	16951	53699.295	3356.1	110	1
2_MACS_peak_2242_lociStitched	chr1	203266710	203281746	2	14202	77014.392	4318.3392	111	1
2_MACS_peak_18279_lociStitched	chr3	69128200	69146001	2	17010	50752.4311	3305.6457	112	1
1_MACS_peak_17169_lociStitched	chr22	29186108	29199572	1	13465	78676.884	3100.7592	113	1
4_MACS_peak_10970_lociStitched	chr17	34409087	34432702	4	17165	48309.2055	4163.3245	114	1
2_MACS_peak_2301_lociStitched	chr1	206282081	206295645	2	10256	93283.6972	3804.702	115	1
3_MACS_peak_8540_lociStitched	chr15	40387635	40408885	3	15346	64608.5	3786.75	116	1
2_MACS_peak_17083_lociStitched	chr22	23189699	23210041	2	16469	50946.539	2351.5352	117	1
4_MACS_peak_18766_lociStitched	chr3	133179299	133200434	4	14935	66583.704	4112.871	118	1
1_MACS_peak_24504_lociStitched	chr7	55597589	55605941	1	8353	95990.3712	2172.3552	119	1
2_MACS_peak_20663_lociStitched	chr4	185201098	185210910	2	9216	93223.812	2494.2104	120	1
2_MACS_peak_1017_lociStitched	chr1	75595950	75612812	2	16485	48967.248	2532.6724	121	1
4_MACS_peak_11619_lociStitched	chr17	72733637	72757343	4	17658	32958.4518	3958.902	122	1
5_MACS_peak_9738_lociStitched	chr16	22194979	22219146	5	16766	44092.6915	4516.8123	123	1
1_MACS_peak_16263_lociStitched	chr20	37497936	37505913	1	7978	94511.496	1837.1031	125	1
2_MACS_peak_9755_lociStitched	chr16	23343536	23354284	2	8566	92876.6924	1970.1084	126	1
2_MACS_peak_1701_lociStitched	chr1	155931188	155952057	2	15386	58051.2973	5033.6028	127	1
3_MACS_peak_3883_lociStitched	chr10	112611886	112633201	3	15841	52652.313	4194.792	128	1
6_MACS_peak_22741_lociStitched	chr6	31781523	31805628	6	16932	38153.394	4001.43	130	1
3_MACS_peak_16082_lociStitched	chr20	25261580	25283363	3	13980	67259.3691	3313.1943	131	1
4_MACS_peak_5193_lociStitched	chr11	111232129	111251333	4	14956	58887.1456	3341.496	132	1
3_MACS_peak_21092_lociStitched	chr5	55437037	55453660	3	15170	55672.0893	2869.1298	133	1
2_MACS_peak_5800_lociStitched	chr12	26265860	26280396	2	14204	62437.9344	2860.6848	134	1
5_MACS_peak_14454_lociStitched	chr2	88898837	88928512	5	16994	31084.5625	5089.2625	135	1
4_MACS_peak_6000_lociStitched	chr12	48196824	48218787	4	14860	56574.4917	3718.3359	137	1
2_MACS_peak_233_lociStitched	chr1	17221347	17233430	2	7570	93743.5389	3860.5185	138	1
3_MACS_peak_22227_lociStitched	chr5	180228288	180249431	3	14837	54377.6817	3313.1081	139	1
1_MACS_peak_11213_lociStitched	chr17	43297977	43308599	1	10623	79607.6412	2203.0028	140	1
2_MACS_peak_14266_lociStitched	chr2	70310172	70323373	2	8711	87092.2774	2409.1825	141	1
1_MACS_peak_5728_lociStitched	chr12	15100765	15116304	1	15540	45305.5084	3121.7851	142	1
2_MACS_peak_13649_lociStitched	chr2	11883582	11897885	2	14288	56798.6433	3096.5995	143	1
2_MACS_peak_14688_lociStitched	chr2	112455687	112465544	2	9826	81573.5749	2275.9813	144	1
1_MACS_peak_10887_lociStitched	chr17	29635647	29649622	1	13976	57881.655	2560.22	145	1
3_MACS_peak_19303_lociStitched	chr3	186703190	186719933	3	12725	68381.7606	4413.4548	146	1
4_MACS_peak_22183_lociStitched	chr5	176717014	176740710	4	14897	50259.216	4296.0848	147	1
6_MACS_peak_23710_lociStitched	chr6	138247146	138279668	6	15703	38655.6492	4787.2384	149	1
2_MACS_peak_2674_lociStitched	chr1	234733896	234749856	2	12134	70247.94	4229.4	150	1
3_MACS_peak_2267_lociStitched	chr1	204474606	204492075	3	12253	69814.8585	4681.692	151	1
2_MACS_peak_10099_lociStitched	chr16	66549282	66560420	2	10093	77916.9928	2528.326	152	1
6_MACS_peak_18016_lociStitched	chr3	46319841	46347265	6	15307	40760.2912	4579.808	153	1
6_MACS_peak_9842_lociStitched	chr16	29815304	29837377	6	14756	46388.6168	3445.5953	154	1
1_MACS_peak_7541_lociStitched	chr13	114556465	114568090	1	11626	69601.2	2517.975	155	1
4_MACS_peak_21078_lociStitched	chr5	55272692	55292027	4	15593	34603.8495	3484.167	156	1
5_MACS_peak_10134_lociStitched	chr16	67578041	67601626	5	14827	44238.3845	4023.601	157	1
1_MACS_peak_13957_lociStitched	chr2	43444257	43456966	1	12710	61684.4024	2483.3386	158	1
2_MACS_peak_2570_lociStitched	chr1	226840009	226852504	2	12104	67040.673	3888.444	159	1
1_MACS_peak_8783_lociStitched	chr15	56656101	56666471	1	10371	74542.671	2302.14	160	1
5_MACS_peak_21941_lociStitched	chr5	150512911	150538087	5	15441	33871.7904	4008.0192	162	1
4_MACS_peak_22572_lociStitched	chr6	26183667	26207460	4	13724	54022.0065	3897.2934	163	1
5_MACS_peak_8060_lociStitched	chr14	77487923	77507936	5	14809	39903.9207	1717.1154	164	1
3_MACS_peak_21583_lociStitched	chr5	118657816	118678709	3	14336	46115.0296	3844.312	165	1
2_MACS_peak_17353_lociStitched	chr22	38782157	38797112	2	14873	38120.295	2513.9355	166	1
4_MACS_peak_16337_lociStitched	chr20	43583391	43609245	4	14890	39988.3818	4922.6016	167	1
2_MACS_peak_24412_lociStitched	chr7	44661690	44680143	2	14690	40314.2691	3354.7554	168	1
1_MACS_peak_22410_lociStitched	chr6	11827711	11836734	1	9024	77564.4149	1971.5255	169	1
3_MACS_peak_28162_lociStitched	chrX	48790358	48805536	3	12189	61026.1846	1611.9036	170	1
4_MACS_peak_22613_lociStitched	chr6	27094271	27116322	4	13670	50426.2268	3552.4161	171	1
2_MACS_peak_15407_lociStitched	chr2	202116135	202129119	2	11108	68080.3056	2847.3912	172	1
4_MACS_peak_21690_lociStitched	chr5	131790328	131814809	4	14001	47187.1275	4379.6509	173	1
4_MACS_peak_1785_lociStitched	chr1	160633728	160656034	4	12959	56088.437	5141.533	174	1
5_MACS_peak_15402_lociStitched	chr2	202081318	202102044	5	14895	32981.2838	4122.4014	175	1
2_MACS_peak_25040_lociStitched	chr7	114561541	114574053	2	10670	68834.768	3373.2352	176	1
4_MACS_peak_3537_lociStitched	chr10	81946453	81966456	4	13848	45126.768	3492.5238	177	1
5_MACS_peak_2125_lociStitched	chr1	192498428	192521072	5	12748	56385.8244	5235.2928	178	1
