REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	RPMI8226_jia.bam	enhancerRank	isSuper	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isSuper
4_MACS_peak_14735_lociStitched	chr22	23261486	23302894	4	37259	285959.5072	1	1		IGLL5	IGLL5	1	1
4_MACS_peak_1408_lociStitched	chr1	149800426	149836503	4	29424	132947.3527	2	1	HIST2H4B,HIST2H2AA4,HIST2H3A,HIST2H2BC	FCGR1A,HIST2H2AC,BOLA1,HIST2H2BF,HIST2H3D,HIST2H2BE,HIST2H2AB	HIST2H2BC	2	1
2_MACS_peak_18827_lociStitched	chr6	288919	309558	2	19184	107853.2223	3	1	DUSP22		DUSP22	3	1
1_MACS_peak_2349_lociStitched	chr1	234733395	234751394	1	18000	95385.7005	4	1	IRF2BP2	NCRNA00184	IRF2BP2	4	1
1_MACS_peak_23469_lociStitched	chr9	140060422	140070654	1	10233	94217.2792	5	1	GRIN1,LRRC26,MIR3621,ANAPC2	SSNA1,NDOR1,C9orf169,TPRN,TMEM203,RNF208	LRRC26	5	1
1_MACS_peak_4003_lociStitched	chr11	65183463	65198852	1	15390	89941.0105	6	1	NEAT1	FRMD8,MIR612,SLC25A45	NEAT1	6	1
3_MACS_peak_4010_lociStitched	chr11	65253775	65278842	3	25025	83916.7959	7	1	MALAT1	MIR612,SCYL1,LTBP3	MALAT1	7	1
6_MACS_peak_11914_lociStitched	chr19	54871003	54903503	6	30337	82702.75	8	1	LAIR1	TTYH1,LILRA5,LILRA4	LAIR1	8	1
1_MACS_peak_1539_lociStitched	chr1	154969609	154980183	1	10575	80728.2604	9	1	ZBTB7B	CKS1B,MIR4258,FLAD1,LENEP,DCST1,ADAM15,PBXIP1,PYGO2,SHC1,DCST2	ZBTB7B	9	1
4_MACS_peak_1614_lociStitched	chr1	156450697	156479761	4	23946	78917.4792	10	1	MEF2D		MEF2D	10	1
3_MACS_peak_9727_lociStitched	chr17	56405229	56430707	3	20935	78191.982	11	1	BZRAP1,MIR142,SUPT4H1	MPO	MIR142	11	1
