REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	RPMI8226_jia.bam	enhancerRank	isSuperStretch	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isSuperStretch
4_MACS_peak_14735_lociStitched	chr22	23261486	23302894	4	37259	285959.5072	1	1		IGLL5	IGLL5	1	1
6_MACS_peak_22185_lociStitched	chr8	115522456	115567364	6	42940	61339.8372	2	1				2	1
10_MACS_peak_20524_lociStitched	chr7	30323435	30371307	10	42320	60017.1264	3	1	ZNRF2,MIR550A1,MIR550B1	DKFZP586I1420	MIR550B1	3	1
12_MACS_peak_17694_lociStitched	chr5	14199538	14253841	12	42309	44875.9992	4	1	TRIO		TRIO	4	1
8_MACS_peak_12754_lociStitched	chr2	89130720	89171361	8	36856	39080.3856	5	1			ANKRD36BP2	5	1
4_MACS_peak_1408_lociStitched	chr1	149800426	149836503	4	29424	132947.3527	6	1	HIST2H4B,HIST2H2AA4,HIST2H3A,HIST2H2BC	FCGR1A,HIST2H2AC,BOLA1,HIST2H2BF,HIST2H3D,HIST2H2BE,HIST2H2AB	HIST2H2BC	6	1
12_MACS_peak_10566_lociStitched	chr18	67272886	67315858	12	34948	31717.6332	7	1	DOK6		DOK6	7	1
4_MACS_peak_17890_lociStitched	chr5	55436898	55473599	4	33262	75435.2354	8	1	ANKRD55		ANKRD55	8	1
3_MACS_peak_1694_lociStitched	chr1	161409424	161442633	3	33094	74677.0783	9	1		FCGR2A	FCGR2A	9	1
13_MACS_peak_19101_lociStitched	chr6	26155260	26208219	13	33050	65955.1386	10	1	HIST1H1E,HIST1H2BD,HIST1H2BE,HIST1H2BF,HIST1H4E,HIST1H4D,HIST1H3D,HIST1H2AD	HIST1H2AC,HIST1H2AE,HIST1H3E,HIST1H4F,HIST1H2BH,HIST1H1T,HIST1H2BC,HIST1H2BG,HIST1H1D,HIST1H4G,HIST1H3F	HIST1H2BE	10	1
6_MACS_peak_23858_lociStitched	chrX	48768094	48806065	6	33316	57545.0505	11	1	SLC35A2,PIM2,OTUD5	PQBP1,TIMM17B,KCND1	PIM2	11	1
8_MACS_peak_9800_lociStitched	chr17	62149806	62187294	8	33263	46327.6704	12	1	ERN1	SNORD104,SNORA76	ERN1	12	1
6_MACS_peak_11914_lociStitched	chr19	54871003	54903503	6	30337	82702.75	13	1	LAIR1	TTYH1,LILRA5,LILRA4	LAIR1	13	1
2_MACS_peak_21430_lociStitched	chr7	148394440	148425226	2	30614	54198.753	14	1	CUL1		CUL1	14	1
13_MACS_peak_19125_lociStitched	chr6	26320566	26368220	13	29589	42612.2068	15	1	BTN3A2	HIST1H2BI,BTN3A2,BTN2A2,BTN3A1,HIST1H3G,HIST1H4H	BTN3A2	15	1
6_MACS_peak_17686_lociStitched	chr5	14142609	14179885	6	29422	40757.5784	16	1	TRIO		TRIO	16	1
18_MACS_peak_17489_lociStitched	chr4	180977821	181014502	18	29625	32517.7065	17	1				17	1
2_MACS_peak_13045_lociStitched	chr2	134874950	134902031	2	27029	73283.8941	18	1	MIR3679		MIR3679	18	1
7_MACS_peak_17009_lociStitched	chr4	71522828	71555146	7	28199	34198.9076	19	1	UTP3,IGJ	ENAM,RUFY3	IGJ	19	1
3_MACS_peak_4010_lociStitched	chr11	65253775	65278842	3	25025	83916.7959	20	1	MALAT1	MIR612,SCYL1,LTBP3	MALAT1	20	1
12_MACS_peak_18931_lociStitched	chr6	9375266	9408785	12	26709	24013.0116	21	1			HULC	21	1
4_MACS_peak_1614_lociStitched	chr1	156450697	156479761	4	23946	78917.4792	22	1	MEF2D		MEF2D	22	1
1_MACS_peak_18917_lociStitched	chr6	7897638	7921802	1	24165	72216.5304	23	1	MUTED-TXNDC5,TXNDC5		TXNDC5	23	1
3_MACS_peak_6668_lociStitched	chr14	77486852	77512274	3	24679	60392.5032	24	1	C14orf4		C14orf4	24	1
7_MACS_peak_10009_lociStitched	chr17	76117418	76152295	7	23893	67898.5436	25	1	TMC8,C17orf99,TMC6	SYNGR2,AFMID,TK1	TMC6	25	1
15_MACS_peak_6998_lociStitched	chr15	22009749	22041464	15	25609	25835.039	26	1	CXADRP2		CXADRP2	26	1
7_MACS_peak_9287_lociStitched	chr17	32690988	32720590	7	24732	42825.2134	27	1		CCL8,CCL13,CCL1	CCL1	27	1
12_MACS_peak_13467_lociStitched	chr2	216744974	216785108	12	25135	29205.5118	28	1		LOC646324	LOC646324	28	1
8_MACS_peak_20738_lociStitched	chr7	55612960	55642559	8	24631	43510.53	29	1	VOPP1		VOPP1	29	1
7_MACS_peak_6939_lociStitched	chr14	106023698	106057526	7	23940	56617.9236	30	1		TMEM121	TMEM121	30	1
4_MACS_peak_14580_lociStitched	chr21	45552512	45581301	4	22630	74957.9193	31	1	C21orf33	PWP2	C21orf33	31	1
5_MACS_peak_16259_lociStitched	chr3	141085002	141110871	5	24240	46750.4568	32	1	ZBTB38		ZBTB38	32	1
2_MACS_peak_18827_lociStitched	chr6	288919	309558	2	19184	107853.2223	33	1	DUSP22		DUSP22	33	1
7_MACS_peak_20975_lociStitched	chr7	90337792	90367597	7	24465	30949.512	34	1	CDK14		CDK14	34	1
3_MACS_peak_9727_lociStitched	chr17	56405229	56430707	3	20935	78191.982	35	1	BZRAP1,MIR142,SUPT4H1	MPO	MIR142	35	1
7_MACS_peak_17151_lociStitched	chr4	90205515	90229988	7	23528	31401.3063	36	1	GPRIN3		GPRIN3	36	1
10_MACS_peak_12821_lociStitched	chr2	99071273	99106689	10	23416	34222.4808	37	1	INPP4A		INPP4A	37	1
9_MACS_peak_10668_lociStitched	chr19	1237471	1277560	9	21347	67273.3509	38	1	ATP5D,MIDN,CIRBP,C19orf24,C19orf26,C19orf23	STK11,EFNA2	MIDN	38	1
4_MACS_peak_9105_lociStitched	chr17	17721198	17744613	4	20911	71694.3885	39	1	SREBF1	SMCR5,MIR33B	SREBF1	39	1
15_MACS_peak_6967_lociStitched	chr15	21003541	21033809	15	22771	26408.83	40	1		BCL8,POTEB	POTEB	40	1
7_MACS_peak_6947_lociStitched	chr14	106144136	106173168	7	21779	51372.124	41	1			TMEM121	41	1
1_MACS_peak_2349_lociStitched	chr1	234733395	234751394	1	18000	95385.7005	42	1	IRF2BP2	NCRNA00184	IRF2BP2	42	1
3_MACS_peak_18314_lociStitched	chr5	131744803	131767292	3	21352	51760.6824	43	1	C5orf56	SLC22A5,MIR3936	C5orf56	43	1
5_MACS_peak_3969_lociStitched	chr11	64611372	64638276	5	21156	54835.7328	44	1	CDC42BPG,EHD1	MAP4K2,MEN1,MIR192,MIR194-2,ATG2A	CDC42BPG	44	1
3_MACS_peak_2049_lociStitched	chr1	206727710	206750834	3	20055	67494.3312	45	1	RASSF5	LGTN	RASSF5	45	1
3_MACS_peak_8770_lociStitched	chr16	87883535	87905390	3	21583	40999.98	46	1	SLC7A5		SLC7A5	46	1
6_MACS_peak_3948_lociStitched	chr11	63992621	64020360	6	19479	71569.3939	47	1	NUDT22,DNAJC4,VEGFB,FKBP2,PLCB3,TRPT1,PPP1R14B	STIP1,FERMT3,GPR137,KCNK4,C11orf20,BAD	FKBP2	47	1
3_MACS_peak_2509_lociStitched	chr10	7510813	7535786	3	21596	35524.0925	48	1			SFMBT2	48	1
4_MACS_peak_2039_lociStitched	chr1	206282323	206310606	4	20962	45773.2072	49	1	C1orf186	CTSE	C1orf186	49	1
6_MACS_peak_21144_lociStitched	chr7	102062618	102092598	6	20333	56221.494	50	1	PRKRIP1,ORAI2	LRWD1,ALKBH4,POLR2J	ORAI2	50	1
4_MACS_peak_15266_lociStitched	chr22	50962551	50983750	4	19591	66492.7834	51	1	NCAPH2,SCO2,TYMP,ODF3B	ADM2,MIOX,KLHDC7B,LOC100144603,SBF1,LMF2,C22orf41,CPT1B,CHKB	ODF3B	51	1
6_MACS_peak_19163_lociStitched	chr6	27094329	27117307	6	21159	35064.428	52	1	HIST1H2AG,HIST1H4I,HIST1H2AH,MIR3143,HIST1H2BJ,HIST1H2BK		HIST1H4I	52	1
1_MACS_peak_18829_lociStitched	chr6	314834	334446	1	19613	61724.8476	53	1	DUSP22		DUSP22	53	1
5_MACS_peak_19819_lociStitched	chr6	106531251	106555558	5	21279	24151.4352	54	1	PRDM1		PRDM1	54	1
