#RPMI8226_H3K27ac_peaks Enhancers
#Created from /data/projects/IRF4_mm_trn_data/myeloma_public_data/rose/RPMI8226_H3K27ac_ROSE/RPMI8226_H3K27ac_peaks_4KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by RPMI8226_jia.bam
#Using cutoff of 19240.8204 for Super-Enhancers
#Created on Jul 16 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	RPMI8226_jia.bam	enhancerRank	isStretch
6_MACS_peak_22185_lociStitched	chr8	115522456	115567364	6	42940	61339.8372	1	1
10_MACS_peak_20524_lociStitched	chr7	30323435	30371307	10	42320	60017.1264	2	1
12_MACS_peak_17694_lociStitched	chr5	14199538	14253841	12	42309	44875.9992	3	1
4_MACS_peak_14735_lociStitched	chr22	23261486	23302894	4	37259	285959.5072	4	1
8_MACS_peak_12754_lociStitched	chr2	89130720	89171361	8	36856	39080.3856	5	1
12_MACS_peak_10566_lociStitched	chr18	67272886	67315858	12	34948	31717.6332	6	1
6_MACS_peak_23858_lociStitched	chrX	48768094	48806065	6	33316	57545.0505	7	1
8_MACS_peak_9800_lociStitched	chr17	62149806	62187294	8	33263	46327.6704	8	1
4_MACS_peak_17890_lociStitched	chr5	55436898	55473599	4	33262	75435.2354	9	1
3_MACS_peak_1694_lociStitched	chr1	161409424	161442633	3	33094	74677.0783	10	1
13_MACS_peak_19101_lociStitched	chr6	26155260	26208219	13	33050	65955.1386	11	1
2_MACS_peak_21430_lociStitched	chr7	148394440	148425226	2	30614	54198.753	12	1
6_MACS_peak_11914_lociStitched	chr19	54871003	54903503	6	30337	82702.75	13	1
18_MACS_peak_17489_lociStitched	chr4	180977821	181014502	18	29625	32517.7065	14	1
13_MACS_peak_19125_lociStitched	chr6	26320566	26368220	13	29589	42612.2068	15	1
4_MACS_peak_1408_lociStitched	chr1	149800426	149836503	4	29424	132947.3527	16	1
6_MACS_peak_17686_lociStitched	chr5	14142609	14179885	6	29422	40757.5784	17	1
7_MACS_peak_17009_lociStitched	chr4	71522828	71555146	7	28199	34198.9076	18	1
2_MACS_peak_13045_lociStitched	chr2	134874950	134902031	2	27029	73283.8941	19	1
12_MACS_peak_18931_lociStitched	chr6	9375266	9408785	12	26709	24013.0116	20	1
15_MACS_peak_6998_lociStitched	chr15	22009749	22041464	15	25609	25835.039	21	1
12_MACS_peak_13467_lociStitched	chr2	216744974	216785108	12	25135	29205.5118	22	1
3_MACS_peak_4010_lociStitched	chr11	65253775	65278842	3	25025	83916.7959	23	1
7_MACS_peak_9287_lociStitched	chr17	32690988	32720590	7	24732	42825.2134	24	1
3_MACS_peak_6668_lociStitched	chr14	77486852	77512274	3	24679	60392.5032	25	1
8_MACS_peak_20738_lociStitched	chr7	55612960	55642559	8	24631	43510.53	26	1
7_MACS_peak_20975_lociStitched	chr7	90337792	90367597	7	24465	30949.512	27	1
5_MACS_peak_16259_lociStitched	chr3	141085002	141110871	5	24240	46750.4568	28	1
1_MACS_peak_18917_lociStitched	chr6	7897638	7921802	1	24165	72216.5304	29	1
4_MACS_peak_1614_lociStitched	chr1	156450697	156479761	4	23946	78917.4792	30	1
7_MACS_peak_6939_lociStitched	chr14	106023698	106057526	7	23940	56617.9236	31	1
7_MACS_peak_10009_lociStitched	chr17	76117418	76152295	7	23893	67898.5436	32	1
7_MACS_peak_17151_lociStitched	chr4	90205515	90229988	7	23528	31401.3063	33	1
10_MACS_peak_12821_lociStitched	chr2	99071273	99106689	10	23416	34222.4808	34	1
15_MACS_peak_6967_lociStitched	chr15	21003541	21033809	15	22771	26408.83	35	1
4_MACS_peak_14580_lociStitched	chr21	45552512	45581301	4	22630	74957.9193	36	1
7_MACS_peak_6947_lociStitched	chr14	106144136	106173168	7	21779	51372.124	37	1
3_MACS_peak_2509_lociStitched	chr10	7510813	7535786	3	21596	35524.0925	38	1
3_MACS_peak_8770_lociStitched	chr16	87883535	87905390	3	21583	40999.98	39	1
3_MACS_peak_18314_lociStitched	chr5	131744803	131767292	3	21352	51760.6824	40	1
9_MACS_peak_10668_lociStitched	chr19	1237471	1277560	9	21347	67273.3509	41	1
5_MACS_peak_19819_lociStitched	chr6	106531251	106555558	5	21279	24151.4352	42	1
6_MACS_peak_19163_lociStitched	chr6	27094329	27117307	6	21159	35064.428	43	1
5_MACS_peak_3969_lociStitched	chr11	64611372	64638276	5	21156	54835.7328	44	1
4_MACS_peak_2039_lociStitched	chr1	206282323	206310606	4	20962	45773.2072	45	1
3_MACS_peak_9727_lociStitched	chr17	56405229	56430707	3	20935	78191.982	46	1
4_MACS_peak_9105_lociStitched	chr17	17721198	17744613	4	20911	71694.3885	47	1
6_MACS_peak_20646_lociStitched	chr7	44653375	44680578	6	20636	34468.9213	48	1
