GENE_ID	locusLine	bin_1_05_0EWR_0229Kronos_MM1S-KB-3hr-1_H3K18Ac_hs-dm_i07.bam
NM_013943	chr1(.):25066759-25175815	0.1825
NM_021222	chr1(.):150975972-151013189	0.2801
NM_012090	chr1(.):39542117-39957789	0.1555
NM_002867	chr1(.):52368627-52461436	0.2428
NM_001006605	chr1(.):93302720-93432079	0.2091
NM_001010935	chr1(.):112157404-112261101	0.1041
NM_024408	chr1(.):120449175-120617276	0.1626
NR_002188	chr1(.):155178615-155202325	0.6211
NM_201569	chr1(.):183436505-183528328	0.2922
NM_001198993	chr1(.):1677670-1715297	0.5047
NM_023018	chr1(.):1677670-1714909	0.5072
NM_001198994	chr1(.):1677670-1716508	0.4923
NM_003820	chr1(.):2482804-2500267	0.4919
NM_012102	chr1(.):8407463-8882699	0.1116
NM_015291	chr1(.):15848351-15903228	0.1909
NM_001113348	chr1(.):21538739-21677034	0.2889
NM_004091	chr1(.):23827921-23862713	1.3129
NM_020448	chr1(.):24737244-24804473	0.1169
NM_173065	chr1(.):24475646-24518751	1.138
NM_020379	chr1(.):25938958-26116258	0.2061
NM_002379	chr1(.):31179123-31201432	0.2245
NR_034182	chr1(.):31186618-31204593	0.2551
NM_153341	chr1(.):33397049-33435286	0.1819
NM_001127714	chr1(.):41970683-42389496	0.2459
NM_174964	chr1(.):44168217-44401831	0.1886
NM_002600	chr1(.):66253855-66845262	0.2358
NM_001037341	chr1(.):66253192-66845262	0.2356
NM_001037340	chr1(.):66453389-66845262	0.3139
NM_018841	chr1(.):68162148-68304155	0.2051
NM_001081976	chr1(.):112020969-112111597	0.1353
NM_198459	chr1(.):115122195-115217732	0.0715
NM_001100910	chr1(.):120834004-120860681	0.4049
NR_034178	chr1(.):143910747-144099477	0.2656
NM_203458	chr1(.):145204110-145290912	0.5175
NM_004892	chr1(.):145091406-145121922	0.251
NM_153713	chr1(.):145472084-145504091	0.243
NM_207168	chr1(.):150594521-150607098	0.7698
NM_005060	chr1(.):151773546-151809348	0.2861
NM_001001523	chr1(.):151773546-151803553	0.2584
NM_020699	chr1(.):153772202-153900451	0.1881
NM_020524	chr1(.):154911558-154933567	2.647
NM_181359	chr1(.):154372668-154445188	0.9321
NM_002249	chr1(.):154674914-154847754	0.5215
NM_170782	chr1(.):154674914-154837338	0.5343
NM_005572	chr1(.):156079460-156112657	0.4249
NM_170708	chr1(.):156079460-156114878	0.4101
NM_005973	chr1(.):156732273-156775609	0.3386
NM_005531	chr1(.):158974681-159029945	0.3647
NM_012394	chr1(.):161065345-161092866	0.3146
NM_007348	chr1(.):161731083-161933852	0.1755
NM_014412	chr1(.):174963891-174986163	0.9549
NM_001007214	chr1(.):174963570-174986163	0.9429
NM_015149	chr1(.):183600207-183902666	0.3918
NM_017673	chr1(.):185121290-185265913	0.1861
NM_001105518	chr1(.):185121191-185265913	0.186
NM_025191	chr1(.):184654624-184729041	0.3819
NM_144977	chr1(.):197516384-197749623	0.2256
NM_001195215	chr1(.):197468878-197749623	0.2025
NM_014875	chr1(.):200515624-200594862	0.1918
NM_014827	chr1(.):203759750-203828256	0.2051
NM_015375	chr1(.):205106630-205185727	0.174
NM_182663	chr1(.):206675878-206767616	0.6344
NM_001193338	chr1(.):207071630-207100235	1.0393
NM_005449	chr1(.):207071630-207100378	1.0347
NM_006147	chr1(.):209956261-209984479	0.3286
NM_172362	chr1(.):210846656-211312457	0.111
NM_006243	chr1(.):212453878-212540205	0.2102
NM_001143962	chr1(.):223709971-223858436	0.0615
NM_002221	chr1(.):226814390-226931876	0.7253
NM_004481	chr1(.):230197955-230422875	0.3848
NM_003431	chr1(.):247314202-247340318	0.1289
NM_182838	chr1(.):1658680-1682431	0.6409
