GENE_ID	locusLine	bin_1_20_0EX6_0229Kronos_MM1S-KB-24hr-2_H3K27Ac_hs-dm_i43.bam
NM_001990	chr1(.):28295818-28420131	0.4437
NM_001006605	chr1(.):93302720-93432079	0.5275
NM_001010935	chr1(.):112157404-112261101	0.1442
NR_002188	chr1(.):155178615-155202325	0.6818
NM_201569	chr1(.):183436505-183528328	0.5708
NM_004091	chr1(.):23827921-23862713	1.5387
NM_020448	chr1(.):24737244-24804473	0.1357
NM_173065	chr1(.):24475646-24518751	3.1147
NM_001048199	chr1(.):28827454-28870708	0.585
NR_002909	chr1(.):28827454-28842404	1.3084
NM_002379	chr1(.):31179123-31201432	0.1708
NR_034182	chr1(.):31186618-31204593	0.1999
NM_174964	chr1(.):44168217-44401831	0.2972
NM_002600	chr1(.):66253855-66845262	0.1606
NM_001037341	chr1(.):66253192-66845262	0.1605
NM_001037340	chr1(.):66453389-66845262	0.2171
NM_001081976	chr1(.):112020969-112111597	0.1907
NM_001010922	chr1(.):114414435-114435169	0.0785
NM_198459	chr1(.):115122195-115217732	0.1017
NM_153713	chr1(.):145472084-145504091	0.1917
NM_207168	chr1(.):150594521-150607098	1.3032
NM_020699	chr1(.):153772202-153900451	0.2158
NM_020524	chr1(.):154911558-154933567	5.4746
NM_181359	chr1(.):154372668-154445188	1.657
NM_005572	chr1(.):156079460-156112657	0.36
NM_005973	chr1(.):156732273-156775609	0.4342
NM_012394	chr1(.):161065345-161092866	0.4737
NM_007348	chr1(.):161731083-161933852	0.3126
NM_014412	chr1(.):174963891-174986163	1.5479
NM_014857	chr1(.):174123633-174932327	0.0981
NM_001035230	chr1(.):174839683-174932327	0.1607
NM_001007214	chr1(.):174963570-174986163	1.528
NM_015149	chr1(.):183600207-183902666	0.928
NM_025191	chr1(.):184654624-184729041	0.4602
NM_144977	chr1(.):197516384-197749623	0.3648
NM_001195215	chr1(.):197468878-197749623	0.3186
NM_182663	chr1(.):206675878-206767616	0.9636
NM_001143962	chr1(.):223709971-223858436	0.0305
NM_002221	chr1(.):226814390-226931876	1.0214
NM_004481	chr1(.):230197955-230422875	0.7278
NM_014675	chr1(.):17243444-17304474	0.0893
NM_017707	chr1(.):23750055-23815750	0.0458
NM_002167	chr1(.):23879408-23891322	1.1564
NM_021258	chr1(.):24441260-24474611	0.0917
NR_027087	chr1(.):24521729-24543180	2.4805
NM_001199013	chr1(.):24678488-24745262	0.7056
NM_001199012	chr1(.):24678488-24746587	0.6931
NM_015484	chr1(.):25543766-25564013	0.3102
NM_001127691	chr1(.):25593980-25661936	0.1632
NM_020317	chr1(.):25563739-25578985	1.2971
NM_017837	chr1(.):27109485-27129887	1.6305
NM_006015	chr1(.):27017521-27113601	0.8095
NM_018066	chr1(.):27200872-27221869	0.2955
NM_032283	chr1(.):27148200-27187211	0.506
NM_006142	chr1(.):27184632-27195947	0.9839
NM_014280	chr1(.):28521789-28564542	0.246
NM_016311	chr1(.):28557610-28569611	0.7335
NM_001164721	chr1(.):28468676-28525447	0.1037
NM_001164722	chr1(.):28468676-28525437	0.1037
NM_031459	chr1(.):28581005-28614002	0.1194
NR_024127	chr1(.):28900049-28913366	1.2642
NM_152304	chr1(.):28913711-28926088	0.4951
NM_001193532	chr1(.):28914006-28926088	0.4716
NR_003035	chr1(.):28902431-28912565	1.5511
NR_002987	chr1(.):28901275-28911405	1.5492
NR_003109	chr1(.):28874528-28910057	0.7652
NM_001269	chr1(.):28839744-28870708	0.2116
NR_002976	chr1(.):28901892-28912024	1.5428
NR_003077	chr1(.):28900254-28910334	1.5748
NM_006762	chr1(.):31200314-31235683	4.4758
NM_005202	chr1(.):36555843-36570850	0.0789
NM_018067	chr1(.):36616802-36651441	0.5761
NM_014408	chr1(.):36597172-36620067	0.7442
NM_022756	chr1(.):37953175-37985364	0.1747
NM_025079	chr1(.):37935118-37954978	1.7104
NR_002983	chr1(.):40028045-40038182	1.9294
NR_003929	chr1(.):39982951-40030370	0.5074
NM_001135653	chr1(.):40021484-40047521	1.2807
NM_001198979	chr1(.):40854016-40893998	0.2777
NM_001198978	chr1(.):40835304-40893998	1.1418
NM_001198980	chr1(.):40857471-40893998	0.0978
NM_022733	chr1(.):40834377-40893998	1.1245
NM_006004	chr1(.):46764379-46787447	0.7662
NM_006369	chr1(.):46739071-46774038	0.5222
NM_199044	chr1(.):46801389-46835690	0.2561
NM_001037339	chr1(.):66792792-66845262	0.6877
NM_001001933	chr1(.):75589118-75632218	1.4673
NM_006769	chr1(.):87789150-87819607	1.2258
NM_004974	chr1(.):111140775-111153345	0.0379
NM_002232	chr1(.):111209309-111222655	1.0807
NR_034126	chr1(.):112136628-112155940	1.9177
NM_198268	chr1(.):114466995-114525422	0.4342
NM_022836	chr1(.):114442914-114461708	0.1502
NM_152696	chr1(.):114466995-114519698	0.4792
NM_006594	chr1(.):114432676-114452741	0.1491
NM_020190	chr1(.):114517029-114529875	0.0363
NM_198269	chr1(.):114488766-114525422	0.1271
NM_181358	chr1(.):114491498-114525422	0.0428
NM_007158	chr1(.):115254536-115305624	0.2715
NM_002524	chr1(.):115242077-115264515	0.9558
NM_001172626	chr1(.):115210719-115243239	0.7567
NM_001130523	chr1(.):115254537-115305671	0.2713
NM_017709	chr1(.):118143603-118176011	4.4906
NM_032305	chr1(.):145451235-145475387	2.8721
NM_202004	chr1(.):145408190-145422545	0.0826
NM_006472	chr1(.):145433461-145447628	4.6825
NM_001039888	chr1(.):145465507-145480647	0.3452
NM_005105	chr1(.):145502637-145516444	1.4294
NM_001161334	chr1(.):149749244-149788928	0.487
NM_001034077	chr1(.):149799220-149809616	1.3864
NM_001005464	chr1(.):149807258-149817765	3.6105
NM_001040874	chr1(.):149808784-149819318	3.6054
NM_001123375	chr1(.):149779779-149790236	1.4349
NM_000566	chr1(.):149749249-149769074	0.1855
NM_016074	chr1(.):149866154-149877348	0.2696
NM_003528	chr1(.):149851009-149863232	4.6123
NM_003517	chr1(.):149853524-149863961	5.3702
NM_175065	chr1(.):149854018-149864466	5.3659
NR_036461	chr1(.):149816758-149827340	3.4345
NM_001040874	chr1(.):149817627-149828161	3.4454
NM_001005464	chr1(.):149819180-149829687	3.4442
NM_001034077	chr1(.):149827329-149837725	1.4611
NM_019032	chr1(.):150516897-150538412	5.2067
NM_207046	chr1(.):150589598-150606609	1.0594
NR_036211	chr1(.):150519404-150529490	0.0922
NM_001197320	chr1(.):150542026-150557214	1.6246
NM_014437	chr1(.):153926587-153945188	1.6147
NM_130898	chr1(.):153935396-153951832	1.5765
NM_181715	chr1(.):153915151-153936043	1.3703
NM_006694	chr1(.):153941744-153955451	0.4452
NM_002870	chr1(.):153949127-153963806	0.8278
NM_014856	chr1(.):153896976-153924154	0.6268
NM_001030	chr1(.):153958238-153969631	0.7186
NM_006556	chr1(.):154892207-154914484	2.8538
NM_001130041	chr1(.):154929773-154951959	2.9457
NM_001130040	chr1(.):154929773-154948223	3.0452
NM_201398	chr1(.):154950769-154970587	0.427
NM_015872	chr1(.):154970111-154995999	1.6061
NM_001184892	chr1(.):154950769-154966488	0.4979
NM_018655	chr1(.):154961061-154971791	0.2888
NM_001143687	chr1(.):155001281-155028406	0.2466
NR_024163	chr1(.):154942117-154956725	3.0504
NM_144622	chr1(.):154986002-155011257	0.4524
NM_138300	chr1(.):154924501-154939258	4.7676
NR_036212	chr1(.):154943168-154953259	3.7959
NM_001018017	chr1(.):155153299-155167700	0.1306
NM_198883	chr1(.):155173489-155188624	0.6281
NM_007112	chr1(.):155160378-155182690	0.4588
NR_030281	chr1(.):155159967-155170063	0.1118
NM_001005742	chr1(.):155199238-155219653	0.3416
NM_003993	chr1(.):155227658-155248281	0.5905
NM_181871	chr1(.):155254083-155275792	0.1387
NM_198264	chr1(.):155211995-155230274	0.4754
NM_052837	chr1(.):155220771-155237195	0.493
NM_020897	chr1(.):155242373-155264638	0.297
NM_001171812	chr1(.):155199238-155216066	0.3871
NM_000157	chr1(.):155199238-155216069	0.387
NM_001135821	chr1(.):155273704-155295457	0.7925
NM_002004	chr1(.):155273538-155295457	0.7865
NM_005698	chr1(.):155220769-155237195	0.493
NM_000298	chr1(.):155254083-155276225	0.1379
NM_006912	chr1(.):155862600-155886177	0.2095
NM_001162384	chr1(.):155911629-155953336	2.9347
NM_181885	chr1(.):155906479-155917625	2.2541
NM_004723	chr1(.):155911629-155952966	2.9574
NM_014949	chr1(.):155877835-155909188	0.51
NR_002974	chr1(.):155884699-155894833	0.0924
NR_003005	chr1(.):155890748-155900877	0.1205
NM_003145	chr1(.):155973838-155995758	0.3445
NM_014655	chr1(.):156158729-156187587	0.7614
NM_007221	chr1(.):156177783-156214833	0.8889
NM_022367	chr1(.):156118321-156152542	3.3725
NM_001193302	chr1(.):156118368-156152542	3.376
NM_001193301	chr1(.):156114734-156152542	3.156
NM_005920	chr1(.):156428518-156475529	1.4969
NM_004494	chr1(.):156706898-156726543	2.1752
NM_001126051	chr1(.):156706898-156727024	2.124
NM_001126050	chr1(.):156706898-156727240	2.1014
NM_030980	chr1(.):156687412-156702705	0.5133
NM_001878	chr1(.):156664407-156680375	0.0809
NM_001142560	chr1(.):156693262-156711752	0.9281
NM_145729	chr1(.):156702093-156715923	0.9212
NM_001778	chr1(.):160643535-160686585	3.367
NM_003037	chr1(.):160574890-160622081	0.2732
NM_021181	chr1(.):160704076-160729601	1.7898
