GENE_ID	locusLine	bin_1_38_0EXQ_0229Kronos_MM1S-KB-1hr-2_Input_hs_i81.bam
2_MACS_peak_1_lociStitched	chr1(.):30112-33129	0.1409
1_MACS_peak_3_lociStitched	chr1(.):33796-36283	0.1611
1_MACS_peak_4_lociStitched	chr1(.):37301-37766	0.0922
1_MACS_peak_5_lociStitched	chr1(.):39013-40251	0.197
2_MACS_peak_6_lociStitched	chr1(.):89729-91317	0.1289
1_MACS_peak_8_lociStitched	chr1(.):93576-94119	0.1044
3_MACS_peak_9_lociStitched	chr1(.):131411-134068	0.0785
1_MACS_peak_12_lociStitched	chr1(.):135102-135980	0.0664
1_MACS_peak_13_lociStitched	chr1(.):327533-328138	0.0594
2_MACS_peak_14_lociStitched	chr1(.):329776-331377	0.1228
1_MACS_peak_16_lociStitched	chr1(.):331955-332350	0.1218
3_MACS_peak_17_lociStitched	chr1(.):658079-659810	0.124
1_MACS_peak_20_lociStitched	chr1(.):661911-662411	0.0488
1_MACS_peak_21_lociStitched	chr1(.):799231-799776	0.0764
1_MACS_peak_22_lociStitched	chr1(.):801809-802296	0.2005
1_MACS_peak_23_lociStitched	chr1(.):808363-808974	0.1105
1_MACS_peak_24_lociStitched	chr1(.):810141-810448	0.0139
1_MACS_peak_25_lociStitched	chr1(.):823102-823710	0.1807
4_MACS_peak_27_lociStitched	chr1(.):830177-844483	0.1117
1_MACS_peak_31_lociStitched	chr1(.):845458-869473	0.1269
1_MACS_peak_32_lociStitched	chr1(.):870220-878938	0.0996
1_MACS_peak_33_lociStitched	chr1(.):894691-895695	0.1126
3_MACS_peak_34_lociStitched	chr1(.):909027-911670	0.1084
3_MACS_peak_37_lociStitched	chr1(.):913472-923222	0.0955
1_MACS_peak_40_lociStitched	chr1(.):923939-924464	0.0364
8_MACS_peak_41_lociStitched	chr1(.):925013-945601	0.0984
1_MACS_peak_49_lociStitched	chr1(.):946360-946749	0.084
2_MACS_peak_50_lociStitched	chr1(.):949671-950592	0.053
2_MACS_peak_52_lociStitched	chr1(.):952504-954182	0.1368
4_MACS_peak_54_lociStitched	chr1(.):955481-976325	0.0988
7_MACS_peak_58_lociStitched	chr1(.):977598-1004085	0.0944
2_MACS_peak_65_lociStitched	chr1(.):1004596-1012852	0.0752
2_MACS_peak_67_lociStitched	chr1(.):1013639-1016615	0.0785
5_MACS_peak_69_lociStitched	chr1(.):1052642-1072650	0.1079
3_MACS_peak_74_lociStitched	chr1(.):1073845-1075076	0.0607
2_MACS_peak_77_lociStitched	chr1(.):1075581-1076197	0.0911
1_MACS_peak_79_lociStitched	chr1(.):1076943-1079196	0.1032
1_MACS_peak_80_lociStitched	chr1(.):1080870-1087805	0.0779
1_MACS_peak_81_lociStitched	chr1(.):1089171-1089706	0.1269
2_MACS_peak_82_lociStitched	chr1(.):1090766-1122030	0.0876
3_MACS_peak_84_lociStitched	chr1(.):1122795-1124294	0.0812
1_MACS_peak_87_lociStitched	chr1(.):1125051-1125351	0.0829
3_MACS_peak_88_lociStitched	chr1(.):1126241-1128344	0.1645
5_MACS_peak_91_lociStitched	chr1(.):1128942-1150124	0.0871
5_MACS_peak_96_lociStitched	chr1(.):1171659-1185022	0.0835
1_MACS_peak_101_lociStitched	chr1(.):1213373-1213663	0.0483
4_MACS_peak_102_lociStitched	chr1(.):1214409-1224167	0.0949
2_MACS_peak_106_lociStitched	chr1(.):1224778-1227423	0.1325
2_MACS_peak_108_lociStitched	chr1(.):1286761-1291109	0.0649
3_MACS_peak_110_lociStitched	chr1(.):1292258-1299846	0.1038
3_MACS_peak_113_lociStitched	chr1(.):1356210-1362730	0.0958
3_MACS_peak_116_lociStitched	chr1(.):1363513-1374882	0.0916
4_MACS_peak_119_lociStitched	chr1(.):1375466-1380440	0.1059
2_MACS_peak_123_lociStitched	chr1(.):1380981-1382988	0.0917
3_MACS_peak_125_lociStitched	chr1(.):1383498-1396174	0.1007
2_MACS_peak_128_lociStitched	chr1(.):1421847-1422590	0.132
1_MACS_peak_130_lociStitched	chr1(.):1459322-1460268	0.0697
1_MACS_peak_131_lociStitched	chr1(.):1462145-1462457	0.1256
1_MACS_peak_132_lociStitched	chr1(.):1512475-1515693	0.135
1_MACS_peak_133_lociStitched	chr1(.):1516199-1516623	0.0908
2_MACS_peak_134_lociStitched	chr1(.):1517868-1519941	0.1195
8_MACS_peak_136_lociStitched	chr1(.):1520462-1535001	0.1002
1_MACS_peak_144_lociStitched	chr1(.):1535837-1537542	0.0967
2_MACS_peak_145_lociStitched	chr1(.):1538707-1539435	0.0668
1_MACS_peak_147_lociStitched	chr1(.):1565933-1569147	0.0902
1_MACS_peak_148_lociStitched	chr1(.):1630959-1632366	0.0612
1_MACS_peak_149_lociStitched	chr1(.):1844000-1844294	0.1093
2_MACS_peak_150_lociStitched	chr1(.):1845418-1849428	0.0995
4_MACS_peak_152_lociStitched	chr1(.):1851255-1861875	0.083
1_MACS_peak_156_lociStitched	chr1(.):1862712-1863027	0.0533
3_MACS_peak_157_lociStitched	chr1(.):1863589-1865562	0.0905
4_MACS_peak_160_lociStitched	chr1(.):1868318-1882287	0.0997
1_MACS_peak_164_lociStitched	chr1(.):1883193-1883723	0.1035
8_MACS_peak_165_lociStitched	chr1(.):1884509-1909975	0.097
