GENE_ID	locusLine	bin_1_04_0EWQ_0229Kronos_MM1S-KB-1hr-2_H3K18Ac_hs-dm_i06.bam
NM_032236	chr1(.):21999791-22114688	0.198
NM_001017415	chr1(.):62896974-62922475	0.7406
NM_003368	chr1(.):62897382-62922475	0.7502
NM_001198993	chr1(.):1677670-1715297	0.5682
NM_023018	chr1(.):1677670-1714909	0.5713
NM_033487	chr1(.):1566099-1660775	0.3286
NM_001198994	chr1(.):1677670-1716508	0.5539
NM_003036	chr1(.):2155133-2246652	0.4644
NR_026567	chr1(.):17012712-17051652	0.2415
NM_001113348	chr1(.):21538739-21677034	0.2766
NM_001013693	chr1(.):22133757-22156714	0.096
NM_004091	chr1(.):23827921-23862713	0.8314
NM_173065	chr1(.):24475646-24518751	0.833
NM_020379	chr1(.):25938958-26116258	0.2918
NM_001048199	chr1(.):28827454-28870708	0.4441
NR_002909	chr1(.):28827454-28842404	0.8772
NM_002379	chr1(.):31179123-31201432	0.2685
NR_034182	chr1(.):31186618-31204593	0.3005
NM_181809	chr1(.):39952317-40000541	0.7134
NM_002600	chr1(.):66253855-66845262	0.1927
NM_001037341	chr1(.):66253192-66845262	0.1925
NM_001037340	chr1(.):66453389-66845262	0.2485
NM_153713	chr1(.):145472084-145504091	0.2101
NM_207168	chr1(.):150594521-150607098	0.6757
NM_015607	chr1(.):153601524-153622979	0.9854
NM_020524	chr1(.):154911558-154933567	1.4728
NM_181359	chr1(.):154372668-154445188	0.6398
NM_002249	chr1(.):154674914-154847754	0.4887
NM_170782	chr1(.):154674914-154837338	0.5006
NM_005572	chr1(.):156079460-156112657	0.4646
NM_170708	chr1(.):156079460-156114878	0.4479
NM_012394	chr1(.):161065345-161092866	0.3227
NM_014412	chr1(.):174963891-174986163	0.7772
NM_001007214	chr1(.):174963570-174986163	0.767
NM_015149	chr1(.):183600207-183902666	0.306
NM_014827	chr1(.):203759750-203828256	0.1797
NM_001684	chr1(.):203590927-203718209	0.2417
NM_182663	chr1(.):206675878-206767616	0.4066
NM_001193338	chr1(.):207071630-207100235	0.7488
NM_005449	chr1(.):207071630-207100378	0.7458
NM_002221	chr1(.):226814390-226931876	0.7588
NM_004481	chr1(.):230197955-230422875	0.435
NM_014765	chr1(.):235267657-235297256	0.3343
NM_032328	chr1(.):245128170-245256148	0.2532
NR_026588	chr1(.):245128630-245256148	0.2537
NR_026587	chr1(.):245128630-245293530	0.2141
NR_026586	chr1(.):245128283-245293530	0.2139
NM_182838	chr1(.):1658680-1682431	0.7613
NM_001110781	chr1(.):1587938-1629243	0.605
NM_024011	chr1(.):1629169-1660791	0.1396
NM_001198995	chr1(.):1677670-1695081	0.3272
NR_026752	chr1(.):16939750-16962401	0.3991
NR_027504	chr1(.):16967068-16981915	0.9837
NR_002729	chr1(.):17076400-17095975	0.2005
NM_014675	chr1(.):17243444-17304474	0.1179
NM_001397	chr1(.):21538739-21621982	0.3409
NM_001113347	chr1(.):21538739-21611183	0.0919
NM_001113349	chr1(.):21538739-21621766	0.3376
NM_001032730	chr1(.):22049338-22114688	0.2893
NM_017707	chr1(.):23750055-23815750	0.0934
NM_002167	chr1(.):23879408-23891322	0.4771
NM_021258	chr1(.):24441260-24474611	0.1063
NR_027087	chr1(.):24521729-24543180	0.4597
NM_015627	chr1(.):25865075-25900377	0.7808
NM_006015	chr1(.):27017521-27113601	0.3595
NM_014280	chr1(.):28521789-28564542	0.179
NM_016311	chr1(.):28557610-28569611	0.4848
NM_001164721	chr1(.):28468676-28525447	0.1441
NM_001164722	chr1(.):28468676-28525437	0.1441
NM_031459	chr1(.):28581005-28614002	0.1367
NR_003109	chr1(.):28874528-28910057	0.4733
NM_001269	chr1(.):28839744-28870708	0.2114
NM_006762	chr1(.):31200314-31235683	1.4326
NM_005202	chr1(.):36555843-36570850	0.0895
NM_018067	chr1(.):36616802-36651441	0.4052
NM_014408	chr1(.):36597172-36620067	0.428
NR_003929	chr1(.):39982951-40030370	0.289
NM_001037339	chr1(.):66792792-66845262	0.5343
NM_004974	chr1(.):111140775-111153345	0.0747
NM_002232	chr1(.):111209309-111222655	0.3822
NM_017709	chr1(.):118143603-118176011	2.2399
NM_001123068	chr1(.):143762143-143772881	0.1119
NR_027469	chr1(.):143713512-143749587	0.6789
NR_027468	chr1(.):143713512-143749457	0.681
NM_032305	chr1(.):145451235-145475387	0.682
NM_202004	chr1(.):145408190-145422545	0.1306
NM_006472	chr1(.):145433461-145447628	0.63
NM_001039888	chr1(.):145465507-145480647	0.2708
NM_005105	chr1(.):145502637-145516444	0.9206
NR_003377	chr1(.):145919387-145947619	0.0913
NR_024442	chr1(.):146485894-146519599	0.2673
NR_003377	chr1(.):147461093-147489331	0.0951
NR_027468	chr1(.):147901021-147936980	0.379
NM_001161334	chr1(.):149749244-149788928	0.2408
NM_001034077	chr1(.):149799220-149809616	0.7131
NM_001005464	chr1(.):149807258-149817765	1.3178
NM_001040874	chr1(.):149808784-149819318	1.3214
NM_001123375	chr1(.):149779779-149790236	0.471
NM_000566	chr1(.):149749249-149769074	0.1899
NM_016074	chr1(.):149866154-149877348	0.364
NM_003528	chr1(.):149851009-149863232	1.1448
NM_003517	chr1(.):149853524-149863961	1.3132
NM_175065	chr1(.):149854018-149864466	1.3093
NR_036461	chr1(.):149816758-149827340	1.2724
NM_001040874	chr1(.):149817627-149828161	1.2792
NM_001005464	chr1(.):149819180-149829687	1.2759
NM_001034077	chr1(.):149827329-149837725	0.7695
NM_019032	chr1(.):150516897-150538412	1.3958
NM_207046	chr1(.):150589598-150606609	0.5588
NR_036211	chr1(.):150519404-150529490	0.1912
NM_001197320	chr1(.):150542026-150557214	0.7537
NM_020239	chr1(.):151018446-151037125	0.4598
NM_138278	chr1(.):151004028-151025076	0.1341
NM_006818	chr1(.):151027150-151045973	1.2247
NM_017860	chr1(.):151015258-151028871	0.1927
NM_144618	chr1(.):151038079-151096007	0.3558
NM_005620	chr1(.):151999981-152014511	1.1096
NM_002966	chr1(.):151950385-151971714	0.2446
NM_001008536	chr1(.):152051619-152066540	0.1074
NM_001024213	chr1(.):153586275-153604524	0.1668
NM_005979	chr1(.):153586275-153605715	0.1651
NM_001024211	chr1(.):153586275-153605117	0.1666
NM_001024212	chr1(.):153586275-153604744	0.168
NM_001024210	chr1(.):153586275-153611568	0.869
NM_020672	chr1(.):153581731-153593790	0.1742
NM_080388	chr1(.):153574366-153590514	0.1843
NM_006271	chr1(.):153595872-153609513	1.4902
NM_004515	chr1(.):153629513-153648479	0.4135
NM_000906	chr1(.):153646163-153671468	0.1208
NM_012437	chr1(.):153626144-153639326	0.304
NM_020452	chr1(.):154295275-154328780	0.761
NM_001005855	chr1(.):154293035-154315322	1.032
NM_080429	chr1(.):154288591-154302801	1.5488
NM_006556	chr1(.):154892207-154914484	1.744
NM_001130041	chr1(.):154929773-154951959	1.1395
NM_001130040	chr1(.):154929773-154948223	1.2874
NM_201398	chr1(.):154950769-154970587	0.2579
NM_015872	chr1(.):154970111-154995999	0.6481
NM_001184892	chr1(.):154950769-154966488	0.2783
NM_018655	chr1(.):154961061-154971791	0.179
NM_001143687	chr1(.):155001281-155028406	0.341
NR_024163	chr1(.):154942117-154956725	1.1183
NM_144622	chr1(.):154986002-155011257	0.2785
NM_138300	chr1(.):154924501-154939258	1.4105
NR_036212	chr1(.):154943168-154953259	1.2371
NM_001198905	chr1(.):155624232-155663568	0.6261
NM_001198899	chr1(.):155624232-155654620	0.113
NM_139118	chr1(.):155624232-155663823	0.6221
NM_139121	chr1(.):155624232-155663764	0.623
NM_001198901	chr1(.):155624232-155663819	0.6221
NM_139119	chr1(.):155624232-155663565	0.6262
NM_001198904	chr1(.):155624232-155663447	0.628
NM_004632	chr1(.):155653873-155713319	0.4581
NM_001198902	chr1(.):155624232-155663515	0.627
NM_033657	chr1(.):155653873-155713317	0.4582
NM_001162384	chr1(.):155911629-155953336	0.8651
NM_181885	chr1(.):155906479-155917625	0.8895
NM_004723	chr1(.):155911629-155952966	0.867
NM_014949	chr1(.):155877835-155909188	0.3518
NR_002974	chr1(.):155884699-155894833	0.1048
NR_003005	chr1(.):155890748-155900877	0.1016
NM_020131	chr1(.):156000091-156028516	0.2637
NM_001093725	chr1(.):156036803-156056789	0.1596
NM_020387	chr1(.):156025965-156045295	0.1162
NM_001145264	chr1(.):156019516-156033301	0.397
NM_003145	chr1(.):155973838-155995758	0.3361
NM_014655	chr1(.):156158729-156187587	0.4942
NM_007221	chr1(.):156177783-156214833	0.6662
NM_022367	chr1(.):156118321-156152542	2.2132
NM_001193302	chr1(.):156118368-156152542	2.2152
NM_001193301	chr1(.):156114734-156152542	2.1165
NM_005920	chr1(.):156428518-156475529	0.9326
NM_030916	chr1(.):161035780-161064385	0.4316
NM_007122	chr1(.):161004040-161020757	1.2553
NM_001113205	chr1(.):161002421-161013774	0.2698
NM_181720	chr1(.):161011731-161044760	0.9496
NM_016946	chr1(.):160960000-160996133	0.2946
NM_001039711	chr1(.):161085768-161107478	0.6289
NM_016406	chr1(.):161118533-161133646	0.9626
NM_004550	chr1(.):161164104-161189184	0.5533
NM_000309	chr1(.):161131180-161146010	0.4323
NM_001643	chr1(.):161187082-161198418	0.7566
NM_001185094	chr1(.):161082907-161095984	0.389
NM_003779	chr1(.):161136100-161152314	0.8163
NM_012475	chr1(.):161124253-161140516	0.6031
NM_001039712	chr1(.):161085768-161107256	0.6339
NM_005600	chr1(.):161082861-161095984	0.3878
NM_001185093	chr1(.):161082906-161095984	0.389
NM_032174	chr1(.):161190832-161205407	0.4148
NM_001166159	chr1(.):161166936-161189184	0.5808
NM_005099	chr1(.):161154537-161173845	0.788
NM_004106	chr1(.):161180086-161194038	0.4963
NM_181093	chr1(.):169816803-169868076	0.4926
NM_022100	chr1(.):174977093-174997591	0.2504
NR_033186	chr1(.):178506930-178523024	0.2623
NM_022371	chr1(.):179046111-179070129	1.2596
NM_002922	chr1(.):192539856-192554159	1.0987
NM_005298	chr1(.):200837165-200848251	0.2157
NM_018265	chr1(.):200855638-200889864	0.8881
NM_001142569	chr1(.):200858998-200889864	0.8629
NR_034150	chr1(.):203262885-203279453	2.1987
NM_003465	chr1(.):203180206-203203860	0.1973
NM_006763	chr1(.):203269663-203283729	1.2749
NM_002023	chr1(.):203304751-203325289	0.1861
NR_003019	chr1(.):203693708-203703833	0.1637
NM_001136190	chr1(.):203729283-203750480	0.7617
NM_001174108	chr1(.):203761650-203774590	0.3355
NM_002646	chr1(.):204386757-204464474	0.1761
NM_002393	chr1(.):204480510-204532248	0.6293
NM_014858	chr1(.):205192037-205247471	0.3401
NM_030952	chr1(.):205266190-205295883	0.3491
NM_000707	chr1(.):206219282-206236482	0.1873
NM_001007544	chr1(.):206233871-206293647	1.0375
NM_148964	chr1(.):206312458-206337104	0.1613
NM_006893	chr1(.):206759973-206790904	0.1733
NM_182665	chr1(.):206725491-206767616	0.6351
NM_000572	chr1(.):206935947-206950839	0.4936
NM_013371	chr1(.):206997221-207021325	0.3017
NM_001185157	chr1(.):207065787-207082484	0.1496
NM_153758	chr1(.):206967214-207021324	0.4847
NM_002644	chr1(.):207096866-207124811	0.3445
NM_001170631	chr1(.):207126311-207148970	0.1788
NM_002296	chr1(.):225584203-225620784	0.3326
NM_194442	chr1(.):225584203-225621519	0.3292
NM_001172425	chr1(.):226119297-226134083	1.4293
NM_013328	chr1(.):226102579-226116965	0.6132
NR_002315	chr1(.):226245427-226264703	0.6146
NM_002107	chr1(.):226245420-226264703	0.6144
NM_181441	chr1(.):228289379-228302013	0.8139
NR_037415	chr1(.):228279963-228290042	0.174
NM_001024227	chr1(.):228265850-228291913	0.9521
NM_001024226	chr1(.):228265360-228291913	0.9358
NM_024319	chr1(.):228283427-228296022	0.5367
NM_001159390	chr1(.):228322928-228341655	0.3648
NM_033445	chr1(.):228640064-228650560	0.1681
NM_001010858	chr1(.):228670067-228688889	1.7597
NM_175055	chr1(.):228640807-228651259	0.1604
NM_182972	chr1(.):234735014-234750271	3.7594
NR_033927	chr1(.):234760056-234775526	0.1483
NR_002956	chr1(.):235286117-235296252	0.4472
NM_031844	chr1(.):245008601-245032827	0.8413
NM_198076	chr1(.):244993638-245013359	1.0975
NR_026778	chr1(.):244998939-245015243	0.2679
NM_020458	chr2(.):47163312-47308275	0.3983
NR_033872	chr2(.):70184394-70319147	0.4825
NR_015395	chr2(.):112119590-112257692	0.5425
NR_024373	chr2(.):112181885-112257692	0.8882
NM_001099289	chr2(.):109740996-110267207	0.1921
NM_001012514	chr2(.):231724620-231748963	0.7788
NM_145693	chr2(.):11881739-11972533	0.7002
NM_183360	chr2(.):25595111-25901503	0.2177
NM_170672	chr2(.):33656415-33794798	0.335
NM_005813	chr2(.):37472645-37549222	0.4912
NM_003400	chr2(.):61700068-61770418	0.2801
