GENE_ID	locusLine	bin_1_26_0F2C_0229Kronos_MM1S-KB-3hr-2_H3K27me3_hs-dm_i13.bam
NM_199454	chr1(.):2980741-3360185	1.4499
NM_015215	chr1(.):6840383-7834766	0.7005
NM_001033581	chr1(.):2000085-2121834	1.1437
NM_012405	chr1(.):6276252-6301044	0.2575
NM_017891	chr1(.):1012197-1056736	0.4361
NM_001033582	chr1(.):2031154-2121834	1.0621
NM_002744	chr1(.):1976908-2121834	1.1563
NM_017449	chr1(.):23032330-23246823	1.1905
NM_032409	chr1(.):20954947-20983004	0.1248
NR_002188	chr1(.):155178615-155202325	0.1717
NM_017900	chr1(.):1304109-1315818	0.1134
NM_001014980	chr1(.):1172832-1187102	1.534
NM_003820	chr1(.):2482804-2500267	0.4837
NM_003036	chr1(.):2155133-2246652	0.1732
NM_152492	chr1(.):3663964-3693209	1.3239
NM_001409	chr1(.):3399505-3533059	1.8682
NM_007274	chr1(.):6319331-6458826	0.0977
NM_001042663	chr1(.):6521151-6562484	1.386
NM_181864	chr1(.):6319331-6450883	0.0881
NM_198681	chr1(.):6521151-6585069	1.2695
NM_001079843	chr1(.):10691665-10861707	1.7921
NM_017766	chr1(.):10702269-10861707	1.8627
NM_004958	chr1(.):11161587-11327608	0.0465
NM_020350	chr1(.):11791141-11815828	0.1077
NM_007365	chr1(.):17388255-17450948	1.2873
NM_013358	chr1(.):17526620-17577501	1.3135
NR_026567	chr1(.):17012712-17051652	3.4362
NM_030812	chr1(.):18076807-18158558	0.7069
NM_032880	chr1(.):18429239-18709977	0.7526
NM_018125	chr1(.):17861329-18029370	1.2439
NM_001011722	chr1(.):17902047-18029370	1.2756
NM_013945	chr1(.):18952499-19067632	1.211
NM_001135254	chr1(.):18952499-19080360	1.1427
NR_033887	chr1(.):20681293-20760287	0.8475
NM_000478	chr1(.):21830857-21909905	1.084
NM_005704	chr1(.):29558027-29658325	1.0446
NM_002379	chr1(.):31179123-31201432	0.4716
NR_034182	chr1(.):31186618-31204593	0.1823
NM_000831	chr1(.):37256127-37504844	0.7191
NM_144702	chr1(.):156885423-156907880	1.3803
NM_138795	chr1(.):202096976-202118866	0.1405
NM_001017403	chr1(.):202158117-202293889	0.7053
NM_021636	chr1(.):202167904-202293889	0.5952
NM_001017404	chr1(.):202178282-202293889	0.5819
NM_032129	chr1(.):896876-915484	0.5219
NM_152486	chr1(.):856120-884961	2.2379
NM_198317	chr1(.):890966-906099	0.1782
NR_027055	chr1(.):798450-817182	0.571
NM_015658	chr1(.):874582-899679	0.5615
NR_026874	chr1(.):847952-859817	2.6659
NR_027693	chr1(.):905578-922473	1.5559
NM_001142467	chr1(.):929343-940552	1.8775
NM_005101	chr1(.):943846-954919	0.7367
NM_021170	chr1(.):929341-940552	1.8773
NM_198576	chr1(.):950502-996492	1.6155
NM_001130045	chr1(.):1104285-1138313	1.7969
NR_029639	chr1(.):1097483-1107578	2.6262
NM_016547	chr1(.):1147287-1172447	0.302
NM_080605	chr1(.):1162628-1175420	0.7467
NM_153254	chr1(.):1110076-1126243	1.9397
NM_003327	chr1(.):1141705-1154512	1.3651
NM_004195	chr1(.):1133887-1147089	2.0784
NR_029834	chr1(.):1098242-1108332	2.5122
NR_029957	chr1(.):1099384-1109467	2.4931
NM_001127230	chr1(.):1304110-1315562	0.1142
NM_001127229	chr1(.):1304109-1315580	0.1141
NM_022834	chr1(.):1365902-1383262	1.243
NM_030937	chr1(.):1316090-1339718	0.0825
NM_031921	chr1(.):1402163-1436582	0.1091
NR_015434	chr1(.):1329909-1342426	0.0903
NM_001145210	chr1(.):1348799-1361650	0.6903
NM_001146685	chr1(.):1356507-1368167	1.2835
NM_017971	chr1(.):1332275-1347693	0.1065
NM_001039211	chr1(.):1380068-1410538	0.767
