REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	01_0EWN_0229Kronos_MM1S-No-Treatment-1_H3K18Ac_hs-dm_i02.bam	35_0EXN_0229Kronos_MM1S-No-Treatment-1_Input_hs_i77.bam
8_MACS_peak_18574_lociStitched	chr22	23190046	23298715	8	92478	244016.23949999997	18147.723
7_MACS_peak_1456_lociStitched	chr1	118141631	118230339	7	73120	147166.57200000001	11407.8488
7_MACS_peak_15776_lociStitched	chr2	99054342	99135432	7	73464	202757.436	18204.705
6_MACS_peak_25553_lociStitched	chr6	108878019	108958091	6	70051	109578.532	13804.4128
11_MACS_peak_17547_lociStitched	chr20	32398703	32477908	11	61928	98578.54299999999	15349.929
8_MACS_peak_8868_lociStitched	chr14	91812916	91885954	8	56931	109659.2532	8647.699200000001
9_MACS_peak_12718_lociStitched	chr17	76711045	76780745	9	51663	112440.04	12741.16
5_MACS_peak_15064_lociStitched	chr2	37526088	37593775	5	54579	135861.3464	13435.8695
10_MACS_peak_12200_lociStitched	chr17	46506463	46571503	10	48233	77404.10399999999	12734.832
5_MACS_peak_2429_lociStitched	chr1	203236278	203298308	5	51242	170191.711	19198.285
7_MACS_peak_15932_lociStitched	chr2	112185209	112241962	7	40245	48262.751200000006	8739.962
3_MACS_peak_20537_lociStitched	chr3	141079356	141134439	3	49755	176348.22449999998	12795.7809
10_MACS_peak_17915_lociStitched	chr20	52531005	52584491	10	25667	37814.602	8135.220600000001
6_MACS_peak_25880_lociStitched	chr6	138244835	138298287	6	36103	50303.677200000006	9824.4776
8_MACS_peak_23685_lociStitched	chr5	131789694	131842804	8	40986	81035.238	10696.354
9_MACS_peak_9700_lociStitched	chr15	67357099	67409997	9	28682	34992.027	8495.4188
8_MACS_peak_2523_lociStitched	chr1	206955374	207008163	8	39488	52192.484300000004	12727.4279
8_MACS_peak_11049_lociStitched	chr16	68269789	68320751	8	33279	51904.797	9703.1648
7_MACS_peak_25136_lociStitched	chr6	52392407	52443001	7	41675	71180.6986	10361.6512
5_MACS_peak_2838_lociStitched	chr1	230238128	230287869	5	35603	81421.0429	12529.7579
3_MACS_peak_11910_lociStitched	chr17	34596755	34646103	3	46197	114684.752	12766.327599999999
7_MACS_peak_16743_lociStitched	chr2	204536640	204585855	7	33859	55110.956999999995	8902.9935
4_MACS_peak_24307_lociStitched	chr6	289806	338561	4	43255	136406.739	17468.9165
7_MACS_peak_19633_lociStitched	chr3	46317784	46365443	7	33993	43560.326	8859.8081
7_MACS_peak_317_lociStitched	chr1	23918135	23962441	7	19456	27132.994400000003	7053.515200000001
6_MACS_peak_27219_lociStitched	chr7	104562966	104606986	6	33305	81194.89	8038.052000000001
6_MACS_peak_9194_lociStitched	chr15	31616596	31660545	6	35583	57498.4767	7998.718
8_MACS_peak_13203_lociStitched	chr18	46439251	46483113	8	37886	49682.4874	8162.718199999999
5_MACS_peak_14308_lociStitched	chr19	42027054	42070618	5	27760	51353.243200000004	8190.032
6_MACS_peak_13595_lociStitched	chr19	2594495	2638050	6	28666	95093.6315	11555.1415
7_MACS_peak_10144_lociStitched	chr15	93346128	93389192	7	20079	39033.2096	7234.752
6_MACS_peak_638_lociStitched	chr1	40029802	40072759	6	24731	35993.6703	7229.663100000001
6_MACS_peak_22635_lociStitched	chr4	187733545	187776258	6	24371	44878.5491	6496.6473000000005
5_MACS_peak_17475_lociStitched	chr20	25261367	25302649	5	26653	72511.833	7405.9908000000005
