REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X01_0EWN_0229Kronos_MM1S.No.Treatment.1_H3K18Ac_hs.dm_i02.bam	X35_0EXN_0229Kronos_MM1S.No.Treatment.1_Input_hs_i77.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank.1	isSuper
8_MACS_peak_18574_lociStitched	chr22	23190046	23298715	8	92478	244016.2395	18147.723	1	IGLL5	MIR650	IGLL5	1	1
7_MACS_peak_15776_lociStitched	chr2	99054342	99135432	7	73464	202757.436	18204.705	2	INPP4A		INPP4A	2	1
3_MACS_peak_20537_lociStitched	chr3	141079356	141134439	3	49755	176348.2245	12795.7809	3	ZBTB38		ZBTB38	3	1
5_MACS_peak_2429_lociStitched	chr1	203236278	203298308	5	51242	170191.711	19198.285	4	BTG2,LOC730227	CHIT1,FMOD	LOC730227	4	1
1_MACS_peak_24429_lociStitched	chr6	7886244	7922480	1	36237	148991.5612	9446.7252	5	MUTED-TXNDC5,TXNDC5		TXNDC5	5	1
7_MACS_peak_1456_lociStitched	chr1	118141631	118230339	7	73120	147166.572	11407.8488	6	FAM46C		FAM46C	6	1
5_MACS_peak_15064_lociStitched	chr2	37526088	37593775	5	54579	135861.3464	13435.8695	7	QPCT,PRKD3		QPCT	7	1
4_MACS_peak_24307_lociStitched	chr6	289806	338561	4	43255	136406.739	17468.9165	8	DUSP22		DUSP22	8	1
3_MACS_peak_11910_lociStitched	chr17	34596755	34646103	3	46197	114684.752	12766.3276	9	CCL4L1,CCL3L1,CCL3L3	TBC1D3C	TBC1D3C	9	1
8_MACS_peak_8868_lociStitched	chr14	91812916	91885954	8	56931	109659.2532	8647.6992	10	CCDC88C		CCDC88C	10	1
9_MACS_peak_12718_lociStitched	chr17	76711045	76780745	9	51663	112440.04	12741.16	11	CYTH1		CYTH1	11	1
6_MACS_peak_25553_lociStitched	chr6	108878019	108958091	6	70051	109578.532	13804.4128	12	FOXO3		FOXO3	12	1
4_MACS_peak_9043_lociStitched	chr14	106023350	106058027	4	34156	99054.8505	6158.6352	13		TMEM121	TMEM121	13	1
2_MACS_peak_1767_lociStitched	chr1	154907689	154935556	2	25112	101126.5563	9123.6558	14	PMVK,PBXIP1,PYGO2,SHC1	CKS1B,MIR4258,FLAD1,LENEP,ZBTB7B	PBXIP1	14	1
2_MACS_peak_11907_lociStitched	chr17	34508251	34544290	2	34420	101377.707	10599.0699	15	CCL4L1,CCL3L1,CCL3L3	TBC1D3B,TBC1D3C	CCL3L1	15	1
1_MACS_peak_3155_lociStitched	chr10	11201898	11224442	1	22545	90744.1088	5933.5808	16	CELF2		CELF2	16	1
6_MACS_peak_13595_lociStitched	chr19	2594495	2638050	6	28666	95093.6315	11555.1415	17	GNG7		GNG7	17	1
11_MACS_peak_17547_lociStitched	chr20	32398703	32477908	11	61928	98578.543	15349.929	18	CHMP4B		CHMP4B	18	1
