REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X01_0EWN_0229Kronos_MM1S.No.Treatment.1_H3K18Ac_hs.dm_i02.bam	X35_0EXN_0229Kronos_MM1S.No.Treatment.1_Input_hs_i77.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isStretch
8_MACS_peak_18574_lociStitched	chr22	23190046	23298715	8	92478	244016.2395	18147.723	1	IGLL5	MIR650	IGLL5	1	1
7_MACS_peak_15776_lociStitched	chr2	99054342	99135432	7	73464	202757.436	18204.705	2	INPP4A		INPP4A	2	1
7_MACS_peak_1456_lociStitched	chr1	118141631	118230339	7	73120	147166.572	11407.8488	3	FAM46C		FAM46C	3	1
6_MACS_peak_25553_lociStitched	chr6	108878019	108958091	6	70051	109578.532	13804.4128	4	FOXO3		FOXO3	4	1
11_MACS_peak_17547_lociStitched	chr20	32398703	32477908	11	61928	98578.543	15349.929	5	CHMP4B		CHMP4B	5	1
8_MACS_peak_8868_lociStitched	chr14	91812916	91885954	8	56931	109659.2532	8647.6992	6	CCDC88C		CCDC88C	6	1
5_MACS_peak_15064_lociStitched	chr2	37526088	37593775	5	54579	135861.3464	13435.8695	7	QPCT,PRKD3		QPCT	7	1
9_MACS_peak_12718_lociStitched	chr17	76711045	76780745	9	51663	112440.04	12741.16	8	CYTH1		CYTH1	8	1
5_MACS_peak_2429_lociStitched	chr1	203236278	203298308	5	51242	170191.711	19198.285	9	BTG2,LOC730227	CHIT1,FMOD	LOC730227	9	1
3_MACS_peak_20537_lociStitched	chr3	141079356	141134439	3	49755	176348.2245	12795.7809	10	ZBTB38		ZBTB38	10	1
10_MACS_peak_12200_lociStitched	chr17	46506463	46571503	10	48233	77404.104	12734.832	11	SKAP1	HOXB1	SKAP1	11	1
3_MACS_peak_11910_lociStitched	chr17	34596755	34646103	3	46197	114684.752	12766.3276	12	CCL4L1,CCL3L1,CCL3L3	TBC1D3C	TBC1D3C	12	1
4_MACS_peak_24307_lociStitched	chr6	289806	338561	4	43255	136406.739	17468.9165	13	DUSP22		DUSP22	13	1
7_MACS_peak_25136_lociStitched	chr6	52392407	52443001	7	41675	71180.6986	10361.6512	14	TRAM2		TRAM2	14	1
8_MACS_peak_23685_lociStitched	chr5	131789694	131842804	8	40986	81035.238	10696.354	15	C5orf56,IRF1	RAD50,IL5	IRF1	15	1
7_MACS_peak_15932_lociStitched	chr2	112185209	112241962	7	40245	48262.7512	8739.962	16	LOC541471		LOC541471	16	1
5_MACS_peak_4236_lociStitched	chr10	112146737	112187688	5	40040	58318.3191	7346.6094	17			DUSP5	17	1
8_MACS_peak_2523_lociStitched	chr1	206955374	207008163	8	39488	52192.4843	12727.4279	18	IL19	IL20,IL10	IL19	18	1
3_MACS_peak_11855_lociStitched	chr17	32688371	32727809	3	38913	90490.491	8983.9764	19	CCL1	CCL8,CCL13	CCL1	19	1
