#01_0EWN_0229Kronos_MM1S-No-Treatment-1_H3K18Ac_hs-dm_i02_peaks Enhancers
#Created from /data/projects/IRF4_mm_trn_data/p300_internal_ChIP/rose/01_0EWN_0229Kronos_MM1S-No-Treatment-1_H3K18Ac_hs-dm_i02_ROSE/01_0EWN_0229Kronos_MM1S-No-Treatment-1_H3K18Ac_hs-dm_i02_peaks_6KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by X01_0EWN_0229Kronos_MM1S.No.Treatment.1_H3K18Ac_hs.dm_i02.bam
#Using cutoff of 15118.2684 for Super-Enhancers
#Created on Jul 18 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X01_0EWN_0229Kronos_MM1S.No.Treatment.1_H3K18Ac_hs.dm_i02.bam	X35_0EXN_0229Kronos_MM1S.No.Treatment.1_Input_hs_i77.bam	enhancerRank	isStretch
8_MACS_peak_18574_lociStitched	chr22	23190046	23298715	8	92478	244016.2395	18147.723	1	1
7_MACS_peak_15776_lociStitched	chr2	99054342	99135432	7	73464	202757.436	18204.705	2	1
7_MACS_peak_1456_lociStitched	chr1	118141631	118230339	7	73120	147166.572	11407.8488	3	1
6_MACS_peak_25553_lociStitched	chr6	108878019	108958091	6	70051	109578.532	13804.4128	4	1
11_MACS_peak_17547_lociStitched	chr20	32398703	32477908	11	61928	98578.543	15349.929	5	1
8_MACS_peak_8868_lociStitched	chr14	91812916	91885954	8	56931	109659.2532	8647.6992	6	1
5_MACS_peak_15064_lociStitched	chr2	37526088	37593775	5	54579	135861.3464	13435.8695	7	1
9_MACS_peak_12718_lociStitched	chr17	76711045	76780745	9	51663	112440.04	12741.16	8	1
5_MACS_peak_2429_lociStitched	chr1	203236278	203298308	5	51242	170191.711	19198.285	9	1
3_MACS_peak_20537_lociStitched	chr3	141079356	141134439	3	49755	176348.2245	12795.7809	10	1
10_MACS_peak_12200_lociStitched	chr17	46506463	46571503	10	48233	77404.104	12734.832	11	1
3_MACS_peak_11910_lociStitched	chr17	34596755	34646103	3	46197	114684.752	12766.3276	12	1
4_MACS_peak_24307_lociStitched	chr6	289806	338561	4	43255	136406.739	17468.9165	13	1
7_MACS_peak_25136_lociStitched	chr6	52392407	52443001	7	41675	71180.6986	10361.6512	14	1
8_MACS_peak_23685_lociStitched	chr5	131789694	131842804	8	40986	81035.238	10696.354	15	1
7_MACS_peak_15932_lociStitched	chr2	112185209	112241962	7	40245	48262.7512	8739.962	16	1
5_MACS_peak_4236_lociStitched	chr10	112146737	112187688	5	40040	58318.3191	7346.6094	17	1
8_MACS_peak_2523_lociStitched	chr1	206955374	207008163	8	39488	52192.4843	12727.4279	18	1
3_MACS_peak_11855_lociStitched	chr17	32688371	32727809	3	38913	90490.491	8983.9764	19	1
8_MACS_peak_13203_lociStitched	chr18	46439251	46483113	8	37886	49682.4874	8162.7182	20	1
2_MACS_peak_12450_lociStitched	chr17	62149281	62187570	2	37870	63758.8428	8714.5764	21	1
1_MACS_peak_24429_lociStitched	chr6	7886244	7922480	1	36237	148991.5612	9446.7252	22	1
6_MACS_peak_25880_lociStitched	chr6	138244835	138298287	6	36103	50303.6772	9824.4776	23	1
5_MACS_peak_2838_lociStitched	chr1	230238128	230287869	5	35603	81421.0429	12529.7579	24	1
6_MACS_peak_9194_lociStitched	chr15	31616596	31660545	6	35583	57498.4767	7998.718	25	1
4_MACS_peak_28819_lociStitched	chr8	120914396	120950570	4	35380	52039.9164	7289.061	26	1
2_MACS_peak_11907_lociStitched	chr17	34508251	34544290	2	34420	101377.707	10599.0699	27	1
4_MACS_peak_9043_lociStitched	chr14	106023350	106058027	4	34156	99054.8505	6158.6352	28	1
7_MACS_peak_19633_lociStitched	chr3	46317784	46365443	7	33993	43560.326	8859.8081	29	1
7_MACS_peak_16743_lociStitched	chr2	204536640	204585855	7	33859	55110.957	8902.9935	30	1
6_MACS_peak_27219_lociStitched	chr7	104562966	104606986	6	33305	81194.89	8038.052	31	1
8_MACS_peak_11049_lociStitched	chr16	68269789	68320751	8	33279	51904.797	9703.1648	32	1
3_MACS_peak_9049_lociStitched	chr14	106145119	106177185	3	31085	65712.8538	3674.7636	33	1
5_MACS_peak_29741_lociStitched	chr9	93670639	93709170	5	30586	51700.8958	7340.1555	34	1
3_MACS_peak_20972_lociStitched	chr3	183227693	183260959	3	30558	66106.1952	9983.1266	35	1
6_MACS_peak_10465_lociStitched	chr16	11761390	11801436	6	29211	57962.5804	8858.1752	36	1
6_MACS_peak_6154_lociStitched	chr12	7045282	7085849	6	29147	67710.3797	8373.0288	37	1
2_MACS_peak_6742_lociStitched	chr12	53845681	53874860	2	29003	35863.9089	6031.2993	38	1
8_MACS_peak_30091_lociStitched	chr9	123630114	123668348	8	28865	51030.9198	6752.1244	39	1
5_MACS_peak_19190_lociStitched	chr3	5222366	5257228	5	28730	64299.4728	7268.727	40	1
9_MACS_peak_9700_lociStitched	chr15	67357099	67409997	9	28682	34992.027	8495.4188	41	1
6_MACS_peak_13595_lociStitched	chr19	2594495	2638050	6	28666	95093.6315	11555.1415	42	1
7_MACS_peak_6004_lociStitched	chr11	130668164	130705905	7	28635	48089.5822	6253.6837	43	1
4_MACS_peak_18645_lociStitched	chr22	26974783	27015783	4	28568	64247	7211.9	44	1
