REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X01_0EWN_0229Kronos_MM1S.No.Treatment.1_H3K18Ac_hs.dm_i02.bam	X35_0EXN_0229Kronos_MM1S.No.Treatment.1_Input_hs_i77.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isSuperStretch
8_MACS_peak_18574_lociStitched	chr22	23190046	23298715	8	92478	244016.2395	18147.723	1	IGLL5	MIR650	IGLL5	IGLL5	3.8158000000000003	1	1
7_MACS_peak_15776_lociStitched	chr2	99054342	99135432	7	73464	202757.436	18204.705	2	INPP4A		INPP4A	INPP4A	1.1938	2	1
7_MACS_peak_1456_lociStitched	chr1	118141631	118230339	7	73120	147166.572	11407.8488	3	FAM46C		FAM46C	FAM46C	1.9529	3	1
3_MACS_peak_20537_lociStitched	chr3	141079356	141134439	3	49755	176348.2245	12795.7809	4	ZBTB38		ZBTB38	ZBTB38	1.2567	4	1
5_MACS_peak_2429_lociStitched	chr1	203236278	203298308	5	51242	170191.711	19198.285	5	BTG2,LOC730227	CHIT1,FMOD	LOC730227	LOC730227	2.7142	5	1
6_MACS_peak_25553_lociStitched	chr6	108878019	108958091	6	70051	109578.532	13804.4128	6	FOXO3		FOXO3	FOXO3	0.9176	6	1
5_MACS_peak_15064_lociStitched	chr2	37526088	37593775	5	54579	135861.3464	13435.8695	7	QPCT,PRKD3		QPCT	QPCT	1.7241	7	1
11_MACS_peak_17547_lociStitched	chr20	32398703	32477908	11	61928	98578.543	15349.929	8	CHMP4B		CHMP4B	CHMP4B	0.7884	8	1
8_MACS_peak_8868_lociStitched	chr14	91812916	91885954	8	56931	109659.2532	8647.6992	9	CCDC88C		CCDC88C	CCDC88C	0.7231	9	1
1_MACS_peak_24429_lociStitched	chr6	7886244	7922480	1	36237	148991.5612	9446.7252	10	MUTED-TXNDC5,TXNDC5		TXNDC5	TXNDC5	2.9808	10	1
9_MACS_peak_12718_lociStitched	chr17	76711045	76780745	9	51663	112440.04	12741.16	11	CYTH1		CYTH1	CYTH1	0.8281	11	1
4_MACS_peak_24307_lociStitched	chr6	289806	338561	4	43255	136406.739	17468.9165	12	DUSP22		DUSP22	DUSP22	1.7169000000000003	12	1
3_MACS_peak_11910_lociStitched	chr17	34596755	34646103	3	46197	114684.752	12766.3276	13	CCL4L1,CCL3L1,CCL3L3	TBC1D3C	TBC1D3C	NONE	NONE	13	1
10_MACS_peak_12200_lociStitched	chr17	46506463	46571503	10	48233	77404.104	12734.832	14	SKAP1	HOXB1	SKAP1	HOXB1	0.030100000000000002	14	1
3_MACS_peak_11855_lociStitched	chr17	32688371	32727809	3	38913	90490.491	8983.9764	15	CCL1	CCL8,CCL13	CCL1	CCL1	1.2469999999999999	15	1
4_MACS_peak_9043_lociStitched	chr14	106023350	106058027	4	34156	99054.8505	6158.6352	16		TMEM121	TMEM121	TMEM121	0.077	16	1
2_MACS_peak_11907_lociStitched	chr17	34508251	34544290	2	34420	101377.707	10599.0699	17	CCL4L1,CCL3L1,CCL3L3	TBC1D3B,TBC1D3C	CCL3L1	CCL3L1	3.0743	17	1
8_MACS_peak_23685_lociStitched	chr5	131789694	131842804	8	40986	81035.238	10696.354	18	C5orf56,IRF1	RAD50,IL5	IRF1	IRF1	0.5275000000000001	18	1
7_MACS_peak_25136_lociStitched	chr6	52392407	52443001	7	41675	71180.6986	10361.6512	19	TRAM2		TRAM2	TRAM2	0.874	19	1
5_MACS_peak_2838_lociStitched	chr1	230238128	230287869	5	35603	81421.0429	12529.7579	20	GALNT2		GALNT2	GALNT2	0.3685999999999999	20	1
2_MACS_peak_1767_lociStitched	chr1	154907689	154935556	2	25112	101126.5563	9123.6558	21	PMVK,PBXIP1,PYGO2,SHC1	CKS1B,MIR4258,FLAD1,LENEP,ZBTB7B	PBXIP1	PBXIP1	2.7122	21	1
5_MACS_peak_4236_lociStitched	chr10	112146737	112187688	5	40040	58318.3191	7346.6094	22			DUSP5	DUSP5	1.1109	22	1
6_MACS_peak_27219_lociStitched	chr7	104562966	104606986	6	33305	81194.89	8038.052	23	LOC723809	MLL5,LOC100216545	LOC723809	LOC100216545	2.5799000000000003	23	1
