GENE_ID	locusLine	bin_1_MM1.jin.bam
1_MACS_peak_1_lociStitched	chr1(.):9988-10519	5.1
1_MACS_peak_2_lociStitched	chr1(.):28355-29903	3.0989
2_MACS_peak_3_lociStitched	chr1(.):235302-236765	0.923
2_MACS_peak_5_lociStitched	chr1(.):462976-464349	0.6284
1_MACS_peak_7_lociStitched	chr1(.):713186-715128	3.1412
1_MACS_peak_8_lociStitched	chr1(.):761985-763558	1.472
2_MACS_peak_9_lociStitched	chr1(.):879228-880846	0.852
1_MACS_peak_11_lociStitched	chr1(.):893881-894685	1.3737
2_MACS_peak_12_lociStitched	chr1(.):895339-896635	1.1826
1_MACS_peak_14_lociStitched	chr1(.):901034-902437	1.7677
2_MACS_peak_15_lociStitched	chr1(.):948362-949793	1.6342
1_MACS_peak_17_lociStitched	chr1(.):954783-955531	0.9461
1_MACS_peak_18_lociStitched	chr1(.):999935-1000290	0.6808
2_MACS_peak_19_lociStitched	chr1(.):1003710-1004710	0.8534
1_MACS_peak_21_lociStitched	chr1(.):1014860-1015339	0.9837
1_MACS_peak_22_lociStitched	chr1(.):1050843-1051547	1.2143
1_MACS_peak_23_lociStitched	chr1(.):1057754-1058068	0.7377
1_MACS_peak_24_lociStitched	chr1(.):1072030-1073496	1.36
1_MACS_peak_25_lociStitched	chr1(.):1079223-1080875	2.1209
1_MACS_peak_26_lociStitched	chr1(.):1092834-1094132	2.2088
2_MACS_peak_27_lociStitched	chr1(.):1166574-1168250	1.5224
1_MACS_peak_29_lociStitched	chr1(.):1185368-1185785	0.8654
2_MACS_peak_30_lociStitched	chr1(.):1208077-1209874	1.6081
1_MACS_peak_32_lociStitched	chr1(.):1240042-1241849	1.1637
2_MACS_peak_33_lociStitched	chr1(.):1242688-1244743	1.5833
1_MACS_peak_35_lociStitched	chr1(.):1259461-1261367	1.4858
1_MACS_peak_36_lociStitched	chr1(.):1265720-1267136	1.6765
2_MACS_peak_37_lociStitched	chr1(.):1279659-1280847	1.0432
2_MACS_peak_39_lociStitched	chr1(.):1283641-1285409	1.2412
