#EJM Enhancers
#Created from /data/projects/IRF4_mm_trn_data/myeloma_public_data/rose/EJM.H3K27ac_ROSE/EJM_0KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by EJM.jin.bam
#Using cutoff of 15797.6176 for Super-Enhancers
#Created on Jul 16 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	EJM.jin.bam	enhancerRank	isSuperStretch
5_MACS_peak_8494_lociStitched	chr14	106023613	106057829	5	34052	274230.9752	1	1
5_MACS_peak_8500_lociStitched	chr14	106143465	106175689	5	31288	190411.616	2	1
6_MACS_peak_8252_lociStitched	chr14	91829526	91857703	6	26863	194046.5459	3	1
3_MACS_peak_18339_lociStitched	chr22	23268226	23287802	3	19377	141090.1048	4	1
2_MACS_peak_5178_lociStitched	chr11	111230527	111251877	2	21326	96700.555	5	1
1_MACS_peak_11610_lociStitched	chr17	43386533	43397102	1	10570	173131.8459	6	1
4_MACS_peak_14886_lociStitched	chr2	20404986	20426320	4	20854	77809.3648	7	1
5_MACS_peak_1552_lociStitched	chr1	118168564	118189651	5	20200	73882.5219	8	1
9_MACS_peak_8175_lociStitched	chr14	81935770	81957757	9	20872	50183.1288	9	1
3_MACS_peak_20090_lociStitched	chr3	141116052	141133771	3	17416	88182.1473	10	1
6_MACS_peak_16622_lociStitched	chr2	201979622	201997775	6	17677	78774.9435	11	1
4_MACS_peak_20086_lociStitched	chr3	141094036	141111319	4	16716	87277.4217	12	1
1_MACS_peak_23605_lociStitched	chr6	315191	330552	1	15362	95734.3603	13	1
3_MACS_peak_23716_lociStitched	chr6	7895779	7913728	3	17746	62252.5167	14	1
4_MACS_peak_4673_lociStitched	chr11	65183550	65198693	4	14720	88286.7186	15	1
3_MACS_peak_1558_lociStitched	chr1	118193625	118209346	3	15553	67194.6982	16	1
8_MACS_peak_23429_lociStitched	chr5	173310273	173327751	8	16717	38254.0986	17	1
3_MACS_peak_4535_lociStitched	chr11	62223401	62234799	3	11157	106166.671	18	1
5_MACS_peak_1976_lociStitched	chr1	156456617	156472859	5	15923	53358.2184	19	1
