REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	EJM.jin.bam	enhancerRank	isStretch	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isStretch
5_MACS_peak_8494_lociStitched	chr14	106023613	106057829	5	34052	274230.9752	1	1		TMEM121	TMEM121	1	1
5_MACS_peak_8500_lociStitched	chr14	106143465	106175689	5	31288	190411.616	2	1			TMEM121	2	1
6_MACS_peak_8252_lociStitched	chr14	91829526	91857703	6	26863	194046.5459	3	1	CCDC88C		CCDC88C	3	1
2_MACS_peak_5178_lociStitched	chr11	111230527	111251877	2	21326	96700.555	4	1	POU2AF1		POU2AF1	4	1
9_MACS_peak_8175_lociStitched	chr14	81935770	81957757	9	20872	50183.1288	5	1	SEL1L		SEL1L	5	1
4_MACS_peak_14886_lociStitched	chr2	20404986	20426320	4	20854	77809.3648	6	1	SDC1		SDC1	6	1
5_MACS_peak_1552_lociStitched	chr1	118168564	118189651	5	20200	73882.5219	7	1	FAM46C		FAM46C	7	1
3_MACS_peak_18339_lociStitched	chr22	23268226	23287802	3	19377	141090.1048	8	1		IGLL5	IGLL5	8	1
3_MACS_peak_23716_lociStitched	chr6	7895779	7913728	3	17746	62252.5167	9	1	MUTED-TXNDC5,TXNDC5		TXNDC5	9	1
6_MACS_peak_16622_lociStitched	chr2	201979622	201997775	6	17677	78774.9435	10	1	CFLAR	NDUFB3,CASP10,FAM126B	CFLAR	10	1
3_MACS_peak_20090_lociStitched	chr3	141116052	141133771	3	17416	88182.1473	11	1	ZBTB38		RASA2	11	1
8_MACS_peak_23429_lociStitched	chr5	173310273	173327751	8	16717	38254.0986	12	1	CPEB4		CPEB4	12	1
4_MACS_peak_20086_lociStitched	chr3	141094036	141111319	4	16716	87277.4217	13	1	ZBTB38		ZBTB38	13	1
5_MACS_peak_1976_lociStitched	chr1	156456617	156472859	5	15923	53358.2184	14	1	MEF2D		MEF2D	14	1
3_MACS_peak_1558_lociStitched	chr1	118193625	118209346	3	15553	67194.6982	15	1		FAM46C	FAM46C	15	1
1_MACS_peak_23605_lociStitched	chr6	315191	330552	1	15362	95734.3603	16	1	DUSP22		DUSP22	16	1
8_MACS_peak_20365_lociStitched	chr3	171811230	171826942	8	15086	41309.9904	17	1	FNDC3B		FNDC3B	17	1
4_MACS_peak_4673_lociStitched	chr11	65183550	65198693	4	14720	88286.7186	18	1	NEAT1	FRMD8,MIR612,SLC25A45	NEAT1	18	1
5_MACS_peak_18638_lociStitched	chr22	38782988	38798078	5	14623	46714.113	19	1	LOC400927	KCNJ4	LOC400927	19	1
5_MACS_peak_22308_lociStitched	chr5	55435050	55449408	5	14113	64026.6294	20	1	ANKRD55		ANKRD55	20	1
6_MACS_peak_1544_lociStitched	chr1	118147707	118162113	6	13606	36585.4776	21	1	FAM46C		FAM46C	21	1
5_MACS_peak_23416_lociStitched	chr5	173160073	173174426	5	13566	53120.453	22	1			BOD1	22	1
6_MACS_peak_28724_lociStitched	chr9	93675801	93690026	6	13368	46192.8425	23	1			SYK	23	1
4_MACS_peak_27934_lociStitched	chr8	129276480	129289981	4	13229	80307.9983	24	1			MIR1208	24	1
3_MACS_peak_14068_lociStitched	chr19	39891590	39904475	3	12650	48932.076	25	1	ZFP36,PLEKHG2	MED29,SUPT5H,PAF1,RPS16	ZFP36	25	1
