REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	MM8_jia.bam	enhancerRank	isStretch	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isStretch
9_MACS_peak_12992_lociStitched	chr6	7895439	7918973	9	22491	30455.3494	1	1	MUTED-TXNDC5,TXNDC5		TXNDC5	TXNDC5	0.8559	1	1
6_MACS_peak_1117_lociStitched	chr1	156457032	156471720	6	14033	13727.4048	2	1	MEF2D		MEF2D	MEF2D	0.5664	2	1
1_MACS_peak_1963_lociStitched	chr1	234738102	234749416	1	11315	17109.0308	3	1	IRF2BP2	NCRNA00184	IRF2BP2	IRF2BP2	1.3293	3	1
2_MACS_peak_10292_lociStitched	chr22	23228548	23238624	2	10065	14663.6028	4	1	IGLL5		IGLL5	IGLL5	1.0174	4	1
5_MACS_peak_3055_lociStitched	chr11	65184385	65194749	5	9941	10148.4288	5	1	NEAT1	FRMD8,MIR612,SLC25A45	NEAT1	NEAT1	0.8055	5	1
7_MACS_peak_8949_lociStitched	chr2	89157065	89167467	7	9901	9843.4126	6	1			ANKRD36BP2	ANKRD36BP2	0.1743	6	1
4_MACS_peak_1620_lociStitched	chr1	203289107	203298373	4	9050	10824.5412	7	1		BTG2,LOC730227,FMOD	BTG2	LOC730227	0.9235	7	1
10_MACS_peak_752_lociStitched	chr1	118148098	118157810	10	8395	9012.736	8	1	FAM46C		FAM46C	FAM46C	0.5787	8	1
6_MACS_peak_10296_lociStitched	chr22	23270486	23278790	6	8060	7778.3568	9	1		IGLL5	IGLL5	IGLL5	1.0174	9	1
3_MACS_peak_1087_lociStitched	chr1	155943972	155952150	3	7836	7777.278	10	1	ARHGEF2	RXFP4,SCARNA4,KIAA0907,SSR2	ARHGEF2	ARHGEF2	0.4943	10	1
2_MACS_peak_1385_lociStitched	chr1	178544409	178552251	2	7834	8905.3752	11	1		C1orf220	C1orf220	C1orf220	0.2827	11	1
5_MACS_peak_1615_lociStitched	chr1	203271979	203280550	5	7753	9512.0958	12	1	BTG2,LOC730227	FMOD	BTG2	BTG2	0.859	12	1
3_MACS_peak_2159_lociStitched	chr10	22604215	22611696	3	7470	7637.3529	13	1	COMMD3,BMI1	SPAG6	BMI1	BMI1	0.5289	13	1
2_MACS_peak_924_lociStitched	chr1	150545396	150553044	2	7380	11393.2256	14	1	MCL1	ADAMTSL4,MIR4257,ENSA	MCL1	MCL1	0.8875	14	1
2_MACS_peak_15018_lociStitched	chr8	126441353	126448673	2	7282	10914.12	15	1	TRIB1		TRIB1	TRIB1	0.732	15	1
3_MACS_peak_13621_lociStitched	chr6	106533275	106540875	3	7269	6603.64	16	1	PRDM1	PRDM1	PRDM1	PRDM1	0.4316	16	1
8_MACS_peak_4898_lociStitched	chr14	91836027	91843380	8	7189	5258.1303	17	1	CCDC88C		CCDC88C	CCDC88C	0.2625	17	1
2_MACS_peak_1562_lociStitched	chr1	200859497	200866695	2	6951	7134.6576	18	1	C1orf106	GPR25	C1orf106	C1orf106	0.4076	18	1
7_MACS_peak_7011_lociStitched	chr17	75135948	75143547	7	6760	5248.6293	19	1	SEC14L1	SEC14L1	SEC14L1	SEC14L1	0.2445	19	1
1_MACS_peak_1611_lociStitched	chr1	203255003	203261538	1	6536	11819.201	20	1		BTG2,LOC730227	LOC730227	LOC730227	0.9235	20	1
3_MACS_peak_3065_lociStitched	chr11	65264091	65270894	3	6497	7022.0566	21	1	MALAT1	SCYL1	MALAT1	MALAT1	0.55	21	1
3_MACS_peak_1719_lociStitched	chr1	207993654	208000093	3	6319	8197.4909	22	1	LOC148696	MIR29C,MIR29B2	LOC148696	LOC148696	0.7446	22	1
1_MACS_peak_1137_lociStitched	chr1	156716265	156722427	1	6163	5535.3246	23	1	HDGF	C1orf66,PRCC,CRABP2,ISG20L2,MRPL24	HDGF	HDGF	0.5545	23	1
3_MACS_peak_3593_lociStitched	chr12	12867279	12873368	3	5883	6482.3494	24	1	CDKN1B	APOLD1,MIR613,GPR19	CDKN1B	CDKN1B	0.7777	24	1
7_MACS_peak_13764_lociStitched	chr6	133690739	133697434	7	5837	4312.2495	25	1	EYA4		EYA4	EYA4	0.1005	25	1
4_MACS_peak_2591_lociStitched	chr10	112255571	112262151	4	5831	5194.91	26	1	DUSP5		DUSP5	DUSP5	0.3684	26	1
6_MACS_peak_3337_lociStitched	chr11	111237258	111243667	6	5807	4765.0915	27	1	POU2AF1		POU2AF1	POU2AF1	0.3876	27	1
2_MACS_peak_7754_lociStitched	chr19	13261210	13267004	2	5766	6722.1988	28	1	IER2	NACC1,LYL1,TRMT1,STX10	IER2	IER2	0.5862	28	1
2_MACS_peak_7852_lociStitched	chr19	16694222	16700047	2	5763	6016.06	29	1	MED26	CHERP,SLC35E1	SLC35E1	SLC35E1	0.2273	29	1
1_MACS_peak_927_lociStitched	chr1	150581515	150587147	1	5633	6842.3168	30	1		MCL1,ENSA	ENSA	MCL1	0.8875	30	1
