REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	MM8_jia.bam	enhancerRank	isSuper	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isSuper
9_MACS_peak_12992_lociStitched	chr6	7895439	7918973	9	22491	30455.3494	1	1	MUTED-TXNDC5,TXNDC5		TXNDC5	1	1
1_MACS_peak_1963_lociStitched	chr1	234738102	234749416	1	11315	17109.0308	2	1	IRF2BP2	NCRNA00184	IRF2BP2	2	1
2_MACS_peak_10292_lociStitched	chr22	23228548	23238624	2	10065	14663.6028	3	1	IGLL5		IGLL5	3	1
6_MACS_peak_1117_lociStitched	chr1	156457032	156471720	6	14033	13727.4048	4	1	MEF2D		MEF2D	4	1
1_MACS_peak_1611_lociStitched	chr1	203255003	203261538	1	6536	11819.201	5	1		BTG2,LOC730227	LOC730227	5	1
2_MACS_peak_924_lociStitched	chr1	150545396	150553044	2	7380	11393.2256	6	1	MCL1	ADAMTSL4,MIR4257,ENSA	MCL1	6	1
2_MACS_peak_15018_lociStitched	chr8	126441353	126448673	2	7282	10914.12	7	1	TRIB1		TRIB1	7	1
4_MACS_peak_1620_lociStitched	chr1	203289107	203298373	4	9050	10824.5412	8	1		BTG2,LOC730227,FMOD	BTG2	8	1
5_MACS_peak_3055_lociStitched	chr11	65184385	65194749	5	9941	10148.4288	9	1	NEAT1	FRMD8,MIR612,SLC25A45	NEAT1	9	1
7_MACS_peak_8949_lociStitched	chr2	89157065	89167467	7	9901	9843.4126	10	1			ANKRD36BP2	10	1
5_MACS_peak_1615_lociStitched	chr1	203271979	203280550	5	7753	9512.0958	11	1	BTG2,LOC730227	FMOD	BTG2	11	1
10_MACS_peak_752_lociStitched	chr1	118148098	118157810	10	8395	9012.736	12	1	FAM46C		FAM46C	12	1
2_MACS_peak_1385_lociStitched	chr1	178544409	178552251	2	7834	8905.3752	13	1		C1orf220	C1orf220	13	1
1_MACS_peak_922_lociStitched	chr1	150532563	150538008	1	5446	8756.649	14	1	ADAMTSL4	MIR4257,MCL1	MIR4257	14	1
3_MACS_peak_1719_lociStitched	chr1	207993654	208000093	3	6319	8197.4909	15	1	LOC148696	MIR29C,MIR29B2	LOC148696	15	1
6_MACS_peak_10296_lociStitched	chr22	23270486	23278790	6	8060	7778.3568	16	1		IGLL5	IGLL5	16	1
3_MACS_peak_1087_lociStitched	chr1	155943972	155952150	3	7836	7777.278	17	1	ARHGEF2	RXFP4,SCARNA4,KIAA0907,SSR2	ARHGEF2	17	1
1_MACS_peak_7731_lociStitched	chr19	12899874	12905232	1	5359	7654.4388	18	1	JUNB	BEST2,RNASEH2A,MAST1,HOOK2,PRDX2,RTBDN	JUNB	18	1
3_MACS_peak_2159_lociStitched	chr10	22604215	22611696	3	7470	7637.3529	19	1	COMMD3,BMI1	SPAG6	BMI1	19	1
3_MACS_peak_1885_lociStitched	chr1	228269107	228273500	3	3917	7295.4551	20	1	ARF1	MIR3620,C1orf35,MRPL55	ARF1	20	1
2_MACS_peak_1562_lociStitched	chr1	200859497	200866695	2	6951	7134.6576	21	1	C1orf106	GPR25	C1orf106	21	1
3_MACS_peak_7390_lociStitched	chr19	1648113	1653641	3	5024	7063.1256	22	1	TCF3	UQCR11	TCF3	22	1
3_MACS_peak_3065_lociStitched	chr11	65264091	65270894	3	6497	7022.0566	23	1	MALAT1	SCYL1	MALAT1	23	1
1_MACS_peak_7773_lociStitched	chr19	14115319	14118348	1	3030	6899.1533	24	1	RFX1	RLN3,IL27RA	RFX1	24	1
1_MACS_peak_927_lociStitched	chr1	150581515	150587147	1	5633	6842.3168	25	1		MCL1,ENSA	ENSA	25	1
2_MACS_peak_7754_lociStitched	chr19	13261210	13267004	2	5766	6722.1988	26	1	IER2	NACC1,LYL1,TRMT1,STX10	IER2	26	1
4_MACS_peak_15035_lociStitched	chr8	128747002	128753168	4	5448	6722.1732	27	1	MYC		MYC	27	1
1_MACS_peak_2011_lociStitched	chr1	245132671	245135436	1	2766	6686.5995	28	1	EFCAB2		EFCAB2	28	1
1_MACS_peak_5416_lociStitched	chr15	72765334	72768369	1	3036	6636.0275	29	1	ARIH1		ARIH1	29	1
2_MACS_peak_10370_lociStitched	chr22	29194224	29198532	2	4307	6611.0568	30	1	XBP1	CCDC117	XBP1	30	1
3_MACS_peak_13621_lociStitched	chr6	106533275	106540875	3	7269	6603.64	31	1	PRDM1	PRDM1	PRDM1	31	1
2_MACS_peak_5657_lociStitched	chr15	93425037	93429102	2	3918	6551.967	32	1	LOC100507217	CHD2,MIR3175	LOC100507217	32	1
