GENE_ID	locusLine	bin_1_MM11.jin.bam
NM_021222	chr1(.):150975972-151013189	0.495
NM_032236	chr1(.):21999791-22114688	0.2244
NM_005066	chr1(.):35644200-35663743	0.847
NM_152263	chr1(.):154129289-154169609	0.2065
NR_002188	chr1(.):155178615-155202325	0.8981
NM_001043351	chr1(.):154122779-154160725	0.2195
NR_036683	chr1(.):165662986-165684199	0.2079
NM_201569	chr1(.):183436505-183528328	0.329
NM_015001	chr1(.):16169358-16271950	0.1892
NM_001136265	chr1(.):19225773-19287826	0.4244
NM_001013693	chr1(.):22133757-22156714	0.0539
NM_020485	chr1(.):25683739-25752363	0.0468
NM_018202	chr1(.):25752387-25831698	0.2155
NM_022753	chr1(.):33278175-33329476	0.2822
NM_001017406	chr1(.):33278175-33305665	0.465
NM_032017	chr1(.):36800224-36856485	0.4888
NM_024763	chr1(.):67273571-67395570	0.1551
NM_207014	chr1(.):67298281-67395570	0.1785
NR_024510	chr1(.):144295511-144345773	0.4625
NR_024584	chr1(.):144295516-144346755	0.4546
NM_001002812	chr1(.):144885590-145000022	0.3332
NM_014644	chr1(.):144846426-145000022	0.278
NM_001198834	chr1(.):144846423-145000033	0.278
NM_001198832	chr1(.):144846423-145044992	0.2799
NM_178230	chr1(.):149548002-149558662	0.0393
NM_207168	chr1(.):150594521-150607098	0.4963
NM_015203	chr1(.):150331989-150454041	0.2121
NM_015100	chr1(.):151370199-151436941	0.394
NM_020832	chr1(.):151249790-151269381	0.7784
NM_207171	chr1(.):151370199-151419681	0.273
NM_020524	chr1(.):154911558-154933567	1.0876
NM_181359	chr1(.):154372668-154445188	0.3678
NM_005572	chr1(.):156079460-156112657	0.9957
NM_170708	chr1(.):156079460-156114878	0.937
NM_005973	chr1(.):156732273-156775609	0.2894
NM_001135050	chr1(.):159891828-159920386	0.9387
NM_012394	chr1(.):161065345-161092866	0.6286
NR_026744	chr1(.):165441078-165556341	0.0796
NM_002697	chr1(.):167185065-167401582	0.2153
NR_037163	chr1(.):167185122-167401582	0.2154
NM_018442	chr1(.):167900796-168050083	0.2071
NR_026550	chr1(.):167882309-167910380	0.6784
NM_001143674	chr1(.):167882309-167911278	0.6591
NM_015415	chr1(.):167882309-167910233	0.6811
NM_014412	chr1(.):174963891-174986163	0.8248
NM_001007214	chr1(.):174963570-174986163	0.8141
NM_152663	chr1(.):178689299-178894237	0.171
NM_145034	chr1(.):179804101-179851941	0.402
NM_002293	chr1(.):182987594-183119727	0.4087
NM_001127394	chr1(.):184015810-184048344	1.1065
NM_017673	chr1(.):185121290-185265913	0.2329
NM_001105518	chr1(.):185121191-185265913	0.2328
NM_025191	chr1(.):184654624-184729041	0.362
NM_001164245	chr1(.):186339889-186395503	0.5074
NR_031642	chr1(.):186024866-186451655	0.1524
NM_016066	chr1(.):193060600-193080244	0.3
NM_197962	chr1(.):193060599-193079556	0.2956
NM_144977	chr1(.):197516384-197749623	0.1858
NM_001195215	chr1(.):197468878-197749623	0.1729
NM_001164586	chr1(.):201154952-201203080	0.0719
NM_001167738	chr1(.):201703962-201801102	0.2669
NM_020443	chr1(.):201612449-201801102	0.1773
NM_014935	chr1(.):204182980-204334044	0.0718
NM_201630	chr1(.):204581302-204659597	0.2333
NM_006338	chr1(.):204581302-204659481	0.2334
NM_006243	chr1(.):212453878-212540205	0.2418
NM_018040	chr1(.):217598833-217809409	0.1628
NM_138796	chr1(.):217799694-218045484	0.1525
NM_144729	chr1(.):221869765-221920461	0.3673
