GENE	H3k27me3_23_DMSO_compare_TSS_SIGNAL	H3k27me3_23_DMSO_compare_DISTAL_SIGNAL	ENHANCER_PROMOTER_DIFFERENCE	ENHANCER_CONTRIBUTION	ENHANCER_PROMOTER_RATIO
TMEM200B	16012.9845	2271.6177	-13741.3668	0.124236648692308	-2.8174502591833
SORBS3	19801.4	12970.9761	-6830.4239	0.395789919547518	-0.610315385175309
KIF26B	7945.6	1600.2732	-6345.3268	0.167640316026825	-2.31183794236542
CHST3	6718.3074	400.8696	-6317.4378	0.0563084187961614	-4.0668928886427
ACSL6	5725.2	1034.8142	-4690.3858	0.153078702112786	-2.4679543358338
CADM3	5487.3702	2313.8672	-3173.503	0.296602587686923	-1.24580884299636
WHAMML1	7258.4	4326.1208	-2932.2792	0.373439771457789	-0.746577613047296
MT1G	14466.0608	11808.0921	-2657.9687	0.449418565269901	-0.292896241153958
C17orf102	5366.1605	2897.2847	-2468.8758	0.350614620158672	-0.889188748587067
LOC641518	4420.5258	2075.955	-2344.5708	0.319550701973906	-1.09044281030158
PTRF	5149.2546	2827.2952	-2321.9594	0.3544508930415	-0.864941080685676
CCDC48	4493	2283.7967	-2209.2033	0.337002392295463	-0.976244831894385
MAP6	5972.8	4253.338	-1719.462	0.415928085461002	-0.489811907591255
NPR1	13619.2	12047.7386	-1571.4614	0.469387439918526	-0.176879587782441
NCRNA00114	13909.341	13077.3587	-831.9823	0.484585327045382	-0.0889828872822202
EGR4	4514.0124	3701.7676	-812.244799999999	0.45056800449866	-0.286196057145078
TMEM132E	3553.4033	2897.2847	-656.1186	0.4491435177147	-0.294499982106379
HELT	6542	6231.004	-310.996	0.487826043114055	-0.0702671163769792
SLC26A10	12456.6	12387.6485	-68.9514999999992	0.498612324699618	-0.0080079896576452
CRABP1	8249.4	8330.2653	80.8652999999995	0.502438689157374	0.0140732506104987
C9orf44	3320.6	3540.7489	220.1489	0.516042683676966	0.092610589428166
SLC9A5	2975.3568	3314.9652	339.6084	0.526994516337955	0.155931040761808
IGSF9	2882.628	3319.8241	437.1961	0.535243811072721	0.203722132159866
LOC441617	4524.4462	4989.7111	465.2649	0.524451188125721	0.141215072526236
SFRP5	10020.8	10490.1843	469.384300000002	0.511442266571283	0.0660423353973982
AEBP1	2812.8672	3392.6056	579.7384	0.546711863760002	0.27035228011724
OTOP1	3996.2408	4623.9203	627.6795	0.536407643239985	0.210473013413282
D4S234E	3626.2434	4283.3054	657.062	0.541535997603302	0.240248780535726
NCKAP1	10371	11072.6728	701.6728	0.516360835350929	0.094448502646454
ATOH8	3070.2	3777.4172	707.2172	0.55163965649248	0.299067493055851
NTN3	6340.6	7203.9374	863.337399999999	0.531870316958924	0.184166278164274
GDF7	4203.7732	5405.2447	1201.4715	0.562517913511224	0.362675095669739
TNFRSF10C	3864.4	5151.2244	1286.8244	0.571366349290239	0.414670955016472
HAND1	2564.7104	3923.2556	1358.5452	0.60469731191563	0.613255400123219
GH2	3026.555	4549.9735	1523.4185	0.60053539031761	0.588181574149044
RFX4	2290.602	3953.1078	1662.5058	0.633134454775589	0.787260490354506
MIR129-2	2828.0186	4549.293	1721.2744	0.61666000389627	0.685850746433128
RNF39	3983.616	5709.0494	1725.4334	0.58900716824497	0.519171960164662
FAM138C	2859.8416	4586.4288	1726.5872	0.615936375343017	0.681436001749314
CAMKV	5860.4	7612.3481	1751.9481	0.565018216291003	0.377342396397877
TMEM51	2495.5002	4381.0064	1885.5062	0.637097679801543	0.811933302762566
ICAM5	5089.6	6986.3134	1896.7134	0.578532916607368	0.456979085250922
PLXND1	2781.9612	4718.704	1936.7428	0.629104735937287	0.76228837660905
LHX9	6713	8751.0954	2038.0954	0.565897659943303	0.382505972158351
TRIM7	3582.9834	5680.9591	2097.9757	0.613233415470789	0.664973156807819
KCNJ9	2325.6266	4487.5464	2161.9198	0.658657339245606	0.948307378177889
LOC440461	5074.6	7350.8349	2276.2349	0.591595783902904	0.53461401115919
HPCA	3830	6213.2353	2383.2353	0.618648783425397	0.69800029913484
TUBB4	4090.6	6496.5883	2405.9883	0.613627349954662	0.667369812060381
BCAT1	2232.1866	4643.8427	2411.6561	0.675366915612183	1.05686147036291
EPHA10	2922.2988	5512.0704	2589.7716	0.653524913279822	0.915490615461145
OVOL1	8253.2983	11034.8262	2781.5279	0.572104675081292	0.419021217216285
ADAMTS8	3775.5945	6634.2155	2858.621	0.637304187108122	0.813222048986574
FNDC5	3077.5287	6213.2353	3135.7066	0.668753968995445	1.01357238042275
FBLIM1	4676.2784	7915.5464	3239.268	0.628625836661895	0.759328118598996
CLIP2	3034.512	6469.8243	3435.3123	0.680723418846195	1.09226200793088
FAM83C	6668.4	10342.6488	3674.2488	0.607995951431284	0.633193162584561
SMAD6	2951.1378	6648.8458	3697.708	0.692589287340033	1.17183263175369
RSPO1	6619.2	10423.6891	3804.4891	0.611615145697334	0.655137191617789
NKX1-2	3762.6	7585.913	3823.313	0.668449954632823	1.01159290057996
ADAM11	4740.2746	8615.1073	3874.8327	0.645066338387523	0.861898129516465
CPLX3	2102.0574	6178.7351	4076.6777	0.746152629715091	1.55550945740824
RAB34	5177.8898	9349.6949	4171.8051	0.643582198491674	0.852555026654352
SP9	4006.4535	8478.8074	4472.3539	0.679105344126209	1.08153562204042
CADM4	1249.3226	5726.6591	4477.3365	0.820910854740344	2.19654766673197
BSX	1855.62	6343.5092	4487.8892	0.773680844058415	1.77337985258139
EGR1	1783.6616	6313.9613	4530.2997	0.779730221816084	1.82370348789812
THRA	3506.0408	8079.576	4573.5352	0.697379875364081	1.20443680029034
MT1H	7156.2744	11808.0921	4651.8177	0.622646271891023	0.722495266970864
BMP7	1673.0085	6345.3996	4672.3911	0.791354034474748	1.92326624504858
CERCAM	952.8128	5732.8692	4780.0564	0.857484576741759	2.58899266369172
GALP	6554	11346.9982	4792.9982	0.633875165687688	0.791863111174425
ADORA1	10549.2	15358.6164	4809.4164	0.592817864804693	0.541914658833077
PRM3	732.212	5550.7343	4818.5223	0.883460407738962	2.92234531364915
MRC2	3317.3602	8327.04	5009.6798	0.715111114095855	1.32776808524118
TMEM54	1179.4277	6213.2353	5033.8076	0.840459696323233	2.39725770852664
PAX6	1060.468	6134.6828	5074.2148	0.852613512978769	2.53228766211739
SEZ6	640.988	5729.2888	5088.3008	0.899378312728891	3.15998680910128
TNFSF9	1056.7326	6178.1233	5121.3907	0.85393868038201	2.54755830649869
YPEL4	703.6608	5937.3303	5233.6695	0.894042803340002	3.07686232423884
FAM138A	1017.5219	6263.6304	5246.1085	0.860252627870454	2.6219392398071
MT1E	6517.6083	11808.0921	5290.4838	0.644346019102222	0.857361323544573
BMP3	944.5356	6307.2031	5362.6675	0.869750464119729	2.73932331196163
PDGFRA	1400.7448	6793.8993	5393.1545	0.829065816293352	2.27804569772888
ODZ4	1424.5556	6864.5556	5440	0.828141333174539	2.26865439496173
GPR124	1081.2867	6521.7634	5440.4767	0.857782510206003	2.59251300302107
VSTM2L	801.6924	6264.8635	5463.1711	0.886551184007474	2.96616237344248
ATP2B2	4876.1676	10343.9255	5467.7579	0.679623010978822	1.08496417042124
DUOX2	8489.274	13977.9578	5488.6838	0.622148644053247	0.719440510914659
KRTAP5-11	1126.389	6658.0574	5531.6684	0.855302619849756	2.56339615799767
TUBB2B	2475.3	8063.6036	5588.3036	0.765127370554941	1.70382133218003
MAPK11	797.1392	6464.4274	5667.2882	0.890224899954784	3.01961900483802
LMAN1L	293.7312	6178.7351	5885.0039	0.954618350040695	4.39474310096186
KRTAP5-7	717.0069	6658.0574	5941.0505	0.902779573054027	3.21504240054883
DUOXA2	8031.3092	13977.9578	5946.6486	0.635094199184371	0.799446507592049
C1orf56	1781.7408	7789.6986	6007.9578	0.813848186721007	2.1282800333831
SYT15	6458.552	12503.927	6045.375	0.65940360434941	0.953098605081257
COL27A1	1228.8997	7364.5409	6135.6412	0.856995613607895	2.5832284205031
GPR143	0	6203.3744	6203.3744	1	8
SHROOM2	0	6203.3744	6203.3744	1	8
KRTAP5-9	449.3769	6658.0574	6208.6805	0.936773682171075	3.88910343769521
RNF19B	0	6213.2353	6213.2353	1	8
AMOTL2	0	6226.2935	6226.2935	1	8
FNDC1	0	6238.9238	6238.9238	1	8
TAGAP	0	6238.9238	6238.9238	1	8
