GENE_ID	locusLine	H3k27me3_23_DMSO_compare_signal
MACS_peak_1_1	chr1(.):30370-30943	0.6399
MACS_peak_1_1	chr1(.):30370-30943	0.6399
MACS_peak_2	chr1(.):31717-33353	0.6845
MACS_peak_2	chr1(.):31717-33353	0.6845
MACS_peak_3_1	chr1(.):33523-35080	0.8316
MACS_peak_3_2	chr1(.):35081-35253	0.5449
MACS_peak_4_1	chr1(.):35309-36250	0.9801
MACS_peak_8	chr1(.):87452-88054	0.6238
MACS_peak_9	chr1(.):88153-89002	0.9939
MACS_peak_11	chr1(.):92546-92972	0.4742
MACS_peak_13	chr1(.):132079-132902	0.6904
MACS_peak_24	chr1(.):798596-799137	0.6037
MACS_peak_24	chr1(.):798596-799137	0.6037
MACS_peak_25	chr1(.):799172-799683	0.7085
MACS_peak_26	chr1(.):799845-800203	0.4919
MACS_peak_26	chr1(.):799845-800203	0.4919
MACS_peak_27	chr1(.):800295-800962	0.6979
MACS_peak_28	chr1(.):801450-802867	0.7856
MACS_peak_28	chr1(.):801450-802867	0.7856
MACS_peak_29	chr1(.):804030-804481	0.3994
MACS_peak_30	chr1(.):807904-808860	0.5169
MACS_peak_31	chr1(.):809137-809945	0.4692
MACS_peak_31	chr1(.):809137-809945	0.4692
MACS_peak_33	chr1(.):826071-826475	0.6318
MACS_peak_34	chr1(.):829265-829665	0.8159
MACS_peak_35	chr1(.):829894-831312	1.2497
MACS_peak_36	chr1(.):831458-832089	0.6129
MACS_peak_37	chr1(.):832334-834380	1.4848
MACS_peak_38	chr1(.):834571-839725	1.4422
MACS_peak_39	chr1(.):840329-843882	1.9498
MACS_peak_40_1	chr1(.):845363-853816	2.1458
MACS_peak_40_2	chr1(.):853817-855816	2.8469
MACS_peak_40_3	chr1(.):855817-860119	2.3593
MACS_peak_40_4	chr1(.):860120-862119	3.204
MACS_peak_40_5	chr1(.):862120-869575	2.8154
MACS_peak_41	chr1(.):870287-879050	2.733
MACS_peak_42_1	chr1(.):894720-894965	0.7067
MACS_peak_42_2	chr1(.):894966-895545	1.0176
MACS_peak_43	chr1(.):908433-908858	0.5302
MACS_peak_44	chr1(.):909026-909804	0.834
MACS_peak_45	chr1(.):909857-911208	0.7783
MACS_peak_46_1	chr1(.):913468-916472	2.5002
MACS_peak_46_2	chr1(.):916473-918472	3.2324
MACS_peak_46_3	chr1(.):918473-920009	1.9308
MACS_peak_46_1	chr1(.):913468-916472	2.5002
MACS_peak_46_2	chr1(.):916473-918472	3.2324
MACS_peak_46_3	chr1(.):918473-920009	1.9308
MACS_peak_47	chr1(.):920046-923555	1.0675
MACS_peak_47	chr1(.):920046-923555	1.0675
MACS_peak_48	chr1(.):923666-926591	1.0574
MACS_peak_49	chr1(.):927041-934221	1.4802
MACS_peak_49	chr1(.):927041-934221	1.4802
MACS_peak_50_1	chr1(.):934294-934551	1.2127
MACS_peak_50_2	chr1(.):934552-935357	2.2407
MACS_peak_51_1	chr1(.):935448-936551	1.5967
MACS_peak_51_2	chr1(.):936552-936880	0.7502
MACS_peak_51_1	chr1(.):935448-936551	1.5967
MACS_peak_51_2	chr1(.):936552-936880	0.7502
MACS_peak_52	chr1(.):936971-943191	1.7783
MACS_peak_53	chr1(.):943350-943916	0.7139
MACS_peak_54	chr1(.):943929-944712	0.7149
MACS_peak_55	chr1(.):944880-945943	1.0184
MACS_peak_56	chr1(.):945982-947400	0.7615
MACS_peak_60	chr1(.):951627-953029	0.7139
MACS_peak_60	chr1(.):951627-953029	0.7139
MACS_peak_61	chr1(.):953350-954244	0.9925
MACS_peak_62_1	chr1(.):955453-956501	1.5367
MACS_peak_62_2	chr1(.):956502-969046	1.774
MACS_peak_62_1	chr1(.):955453-956501	1.5367
MACS_peak_62_2	chr1(.):956502-969046	1.774
MACS_peak_62_1	chr1(.):955453-956501	1.5367
MACS_peak_62_2	chr1(.):956502-969046	1.774
MACS_peak_63	chr1(.):969081-976287	1.9652
MACS_peak_64	chr1(.):977372-983629	1.4786
MACS_peak_64	chr1(.):977372-983629	1.4786
MACS_peak_64	chr1(.):977372-983629	1.4786
MACS_peak_66	chr1(.):984545-985185	1.1402
MACS_peak_67	chr1(.):985441-997554	1.7355
MACS_peak_67	chr1(.):985441-997554	1.7355
MACS_peak_67	chr1(.):985441-997554	1.7355
MACS_peak_67	chr1(.):985441-997554	1.7355
MACS_peak_68	chr1(.):997556-1000317	1.8285
MACS_peak_68	chr1(.):997556-1000317	1.8285
MACS_peak_69	chr1(.):1000652-1004158	1.3317
MACS_peak_70	chr1(.):1004715-1011829	2.0174
MACS_peak_71	chr1(.):1012215-1012753	1.2029
MACS_peak_72	chr1(.):1013643-1015962	2.0084
MACS_peak_72	chr1(.):1013643-1015962	2.0084
MACS_peak_74_1	chr1(.):1052557-1052735	0.413
MACS_peak_74_2	chr1(.):1052736-1057011	2.1624
MACS_peak_75	chr1(.):1057020-1069367	1.8589
MACS_peak_75	chr1(.):1057020-1069367	1.8589
MACS_peak_75	chr1(.):1057020-1069367	1.8589
MACS_peak_76	chr1(.):1069423-1072645	1.6296
MACS_peak_78	chr1(.):1075906-1076293	0.9022
MACS_peak_79	chr1(.):1076916-1078755	1.369
MACS_peak_82	chr1(.):1080983-1085057	1.1935
MACS_peak_82	chr1(.):1080983-1085057	1.1935
MACS_peak_83	chr1(.):1085088-1088017	1.1883
MACS_peak_83	chr1(.):1085088-1088017	1.1883
MACS_peak_84	chr1(.):1089994-1092641	1.19
MACS_peak_84	chr1(.):1089994-1092641	1.19
MACS_peak_85_1	chr1(.):1093287-1101482	2.1785
MACS_peak_85_2	chr1(.):1101483-1102241	1.1962
MACS_peak_85_3	chr1(.):1102242-1103383	2.9132
MACS_peak_85_4	chr1(.):1103384-1103482	1.0174
MACS_peak_85_5	chr1(.):1103483-1104241	2.4143
MACS_peak_85_6	chr1(.):1104242-1105383	2.1146
MACS_peak_85_7	chr1(.):1105384-1108141	2.3762
MACS_peak_86_1	chr1(.):1108215-1108284	0.3463
MACS_peak_86_2	chr1(.):1108285-1110284	2.0922
MACS_peak_86_3	chr1(.):1110285-1110547	0.9776
MACS_peak_87_1	chr1(.):1110567-1114075	1.9257
MACS_peak_87_2	chr1(.):1114076-1116075	2.9699
MACS_peak_87_3	chr1(.):1116076-1122391	2.0723
MACS_peak_87_1	chr1(.):1110567-1114075	1.9257
MACS_peak_87_2	chr1(.):1114076-1116075	2.9699
MACS_peak_87_3	chr1(.):1116076-1122391	2.0723
MACS_peak_87_1	chr1(.):1110567-1114075	1.9257
MACS_peak_87_2	chr1(.):1114076-1116075	2.9699
MACS_peak_87_3	chr1(.):1116076-1122391	2.0723
MACS_peak_88	chr1(.):1123783-1124416	0.8988
MACS_peak_89	chr1(.):1125123-1126795	0.7305
MACS_peak_89	chr1(.):1125123-1126795	0.7305
MACS_peak_89	chr1(.):1125123-1126795	0.7305
MACS_peak_90	chr1(.):1126904-1127703	0.7049
MACS_peak_91	chr1(.):1127706-1128638	1.0071
MACS_peak_92	chr1(.):1129869-1132655	1.1645
MACS_peak_92	chr1(.):1129869-1132655	1.1645
MACS_peak_93	chr1(.):1132788-1133751	1.1246
MACS_peak_94_1	chr1(.):1134288-1141088	1.9646
MACS_peak_94_2	chr1(.):1141089-1143088	2.3984
MACS_peak_94_3	chr1(.):1143089-1147743	2.0785
MACS_peak_94_1	chr1(.):1134288-1141088	1.9646
MACS_peak_94_2	chr1(.):1141089-1143088	2.3984
MACS_peak_94_3	chr1(.):1143089-1147743	2.0785
MACS_peak_94_1	chr1(.):1134288-1141088	1.9646
MACS_peak_94_2	chr1(.):1141089-1143088	2.3984
MACS_peak_94_3	chr1(.):1143089-1147743	2.0785
MACS_peak_95_1	chr1(.):1148005-1148511	0.9301
MACS_peak_95_2	chr1(.):1148512-1150053	1.599
MACS_peak_95_1	chr1(.):1148005-1148511	0.9301
MACS_peak_95_2	chr1(.):1148512-1150053	1.599
MACS_peak_96	chr1(.):1171841-1175978	2.1844
MACS_peak_97	chr1(.):1176066-1178574	2.3768
MACS_peak_98	chr1(.):1178595-1180190	1.4673
MACS_peak_98	chr1(.):1178595-1180190	1.4673
MACS_peak_99_1	chr1(.):1180662-1181101	0.9619
MACS_peak_99_2	chr1(.):1181102-1183101	1.213
MACS_peak_99_3	chr1(.):1183102-1184325	1.1028
MACS_peak_99_1	chr1(.):1180662-1181101	0.9619
MACS_peak_99_2	chr1(.):1181102-1183101	1.213
MACS_peak_99_3	chr1(.):1183102-1184325	1.1028
MACS_peak_100	chr1(.):1184328-1185142	0.57
MACS_peak_104_1	chr1(.):1215656-1216487	1.1722
MACS_peak_104_2	chr1(.):1216488-1216574	0.9382
MACS_peak_104_3	chr1(.):1216575-1218076	1.7767
MACS_peak_105	chr1(.):1218579-1219464	0.9151
MACS_peak_106	chr1(.):1219709-1224331	1.8264
MACS_peak_106	chr1(.):1219709-1224331	1.8264
MACS_peak_107	chr1(.):1224747-1225167	0.5493
MACS_peak_108	chr1(.):1225216-1225894	1.5005
MACS_peak_110	chr1(.):1226895-1227385	0.7336
MACS_peak_111	chr1(.):1286754-1290399	1.9078
MACS_peak_111	chr1(.):1286754-1290399	1.9078
MACS_peak_112_1	chr1(.):1292064-1292914	1.2294
MACS_peak_112_2	chr1(.):1292915-1294914	1.556
MACS_peak_112_3	chr1(.):1294915-1300248	1.197
MACS_peak_112_1	chr1(.):1292064-1292914	1.2294
MACS_peak_112_2	chr1(.):1292915-1294914	1.556
MACS_peak_112_3	chr1(.):1294915-1300248	1.197
MACS_peak_112_1	chr1(.):1292064-1292914	1.2294
MACS_peak_112_2	chr1(.):1292915-1294914	1.556
MACS_peak_112_3	chr1(.):1294915-1300248	1.197
MACS_peak_112_1	chr1(.):1292064-1292914	1.2294
MACS_peak_112_2	chr1(.):1292915-1294914	1.556
MACS_peak_112_3	chr1(.):1294915-1300248	1.197
MACS_peak_113_1	chr1(.):1356072-1357130	0.7413
MACS_peak_114_1	chr1(.):1357241-1357649	0.534
MACS_peak_114_2	chr1(.):1357650-1358859	0.9014
MACS_peak_114_1	chr1(.):1357241-1357649	0.534
MACS_peak_114_2	chr1(.):1357650-1358859	0.9014
MACS_peak_115_1	chr1(.):1359125-1360506	1.131
MACS_peak_115_2	chr1(.):1360507-1362506	1.297
MACS_peak_115_3	chr1(.):1362507-1362840	0.6862
MACS_peak_115_1	chr1(.):1359125-1360506	1.131
MACS_peak_115_2	chr1(.):1360507-1362506	1.297
MACS_peak_115_3	chr1(.):1362507-1362840	0.6862
MACS_peak_115_1	chr1(.):1359125-1360506	1.131
MACS_peak_115_2	chr1(.):1360507-1362506	1.297
MACS_peak_115_3	chr1(.):1362507-1362840	0.6862
MACS_peak_116_1	chr1(.):1363525-1369901	1.5677
MACS_peak_116_2	chr1(.):1369902-1371003	1.8153
MACS_peak_116_1	chr1(.):1363525-1369901	1.5677
MACS_peak_116_2	chr1(.):1369902-1371003	1.8153
MACS_peak_117_1	chr1(.):1371369-1371901	1.3126
MACS_peak_117_2	chr1(.):1371902-1374766	1.5701
MACS_peak_119	chr1(.):1377261-1381495	1.0977
MACS_peak_119	chr1(.):1377261-1381495	1.0977
MACS_peak_119	chr1(.):1377261-1381495	1.0977
