GENE_ID	locusLine	bin_1_MOLP-2.jin.bam
NM_201569	chr1(.):183436505-183528328	0.2549
NM_001198993	chr1(.):1677670-1715297	0.5919
NM_023018	chr1(.):1677670-1714909	0.5856
NM_001198994	chr1(.):1677670-1716508	0.5796
NM_003820	chr1(.):2482804-2500267	0.4521
NM_001113348	chr1(.):21538739-21677034	0.3067
NM_004091	chr1(.):23827921-23862713	0.682
NM_001048199	chr1(.):28827454-28870708	0.5809
NR_002909	chr1(.):28827454-28842404	1.2564
NM_002379	chr1(.):31179123-31201432	0.2724
NR_034182	chr1(.):31186618-31204593	0.3169
NM_181809	chr1(.):39952317-40000541	0.713
NM_001720	chr1(.):40218902-40259533	0.7395
NM_002600	chr1(.):66253855-66845262	0.1974
NM_001037341	chr1(.):66253192-66845262	0.1971
NM_001037340	chr1(.):66453389-66845262	0.2222
NM_153713	chr1(.):145472084-145504091	0.3636
NM_207168	chr1(.):150594521-150607098	0.6483
NM_020524	chr1(.):154911558-154933567	1.3208
NM_181359	chr1(.):154372668-154445188	0.4412
NM_002249	chr1(.):154674914-154847754	0.3734
NM_170782	chr1(.):154674914-154837338	0.3729
NM_005973	chr1(.):156732273-156775609	0.2669
NM_006182	chr1(.):162597227-162755247	0.1926
NM_052862	chr1(.):167594473-167680486	0.3735
NM_182838	chr1(.):1658680-1682431	0.6307
NM_001198995	chr1(.):1677670-1695081	0.2253
NM_002074	chr1(.):1711728-1827495	0.2466
NM_138705	chr1(.):1841265-1853733	0.5644
NM_178545	chr1(.):1844028-1855740	0.4243
NM_001010926	chr1(.):2455183-2466684	0.8915
NR_026927	chr1(.):2476358-2489284	1.5304
NM_018216	chr1(.):2434974-2463035	0.3728
NM_001195741	chr1(.):2513188-2527908	0.6228
NR_036638	chr1(.):2512898-2527908	0.6134
NM_015866	chr1(.):14026349-14119574	0.3564
NM_001007257	chr1(.):14070875-14119574	0.1685
NM_001135610	chr1(.):14021734-14156574	0.2813
NM_001136204	chr1(.):17728250-17770057	0.518
NM_018715	chr1(.):17728250-17771220	0.5226
