GENE_ID	locusLine	bin_1_JJN3_jia.bam
NM_021222	chr1(.):150975972-151013189	0.643
NM_015215	chr1(.):6840383-7834766	0.1466
NM_007051	chr1(.):50901934-51430936	0.0811
NM_173808	chr1(.):71863624-72753277	0.0574
NM_001006605	chr1(.):93302720-93432079	0.2459
NM_024408	chr1(.):120449175-120617276	0.5193
NR_002188	chr1(.):155178615-155202325	1.0506
NM_021642	chr1(.):161470204-161494360	0.1552
NM_015569	chr1(.):171805620-172386857	0.1585
NM_014874	chr1(.):12035237-12078572	0.3481
NM_152942	chr1(.):12180957-12209264	0.2553
NM_001243	chr1(.):12118433-12209264	0.1446
NM_015001	chr1(.):16169358-16271950	0.308
NM_004091	chr1(.):23827921-23862713	2.0195
NM_153341	chr1(.):33397049-33435286	0.3156
NM_001127714	chr1(.):41970683-42389496	0.1815
NM_174964	chr1(.):44168217-44401831	0.3649
NM_147193	chr1(.):53966905-54204877	0.1435
NM_002227	chr1(.):65293905-65437187	0.192
NM_002600	chr1(.):66253855-66845262	0.0874
NM_001037341	chr1(.):66253192-66845262	0.0874
NM_001037340	chr1(.):66453389-66845262	0.0877
NM_001002292	chr1(.):68559141-68703229	0.1519
NM_024911	chr1(.):68586040-68703284	0.1723
NM_001193334	chr1(.):68586040-68703229	0.1724
NR_034178	chr1(.):143910747-144099477	0.3208
NM_203458	chr1(.):145204110-145290912	1.2327
NM_004892	chr1(.):145091406-145121922	0.3743
NM_153713	chr1(.):145472084-145504091	0.8535
NM_001002812	chr1(.):144885590-145000022	0.4744
NM_014644	chr1(.):144846426-145000022	0.3927
NM_001198834	chr1(.):144846423-145000033	0.3926
NM_001198832	chr1(.):144846423-145044992	0.3797
NM_207168	chr1(.):150594521-150607098	1.8149
NM_207042	chr1(.):150589598-150607098	1.4076
NM_207044	chr1(.):150590753-150607098	1.4954
NM_020699	chr1(.):153772202-153900451	0.2864
NM_020524	chr1(.):154911558-154933567	4.3306
NM_002249	chr1(.):154674914-154847754	0.4757
NM_004952	chr1(.):155046347-155065014	0.8396
NM_170782	chr1(.):154674914-154837338	0.4649
NM_005572	chr1(.):156079460-156112657	1.3825
NM_170708	chr1(.):156079460-156114878	1.3056
NM_005973	chr1(.):156732273-156775609	1.0038
NM_005531	chr1(.):158974681-159029945	0.3566
NM_012394	chr1(.):161065345-161092866	0.6245
NM_006182	chr1(.):162597227-162755247	0.1608
NM_014857	chr1(.):174123633-174932327	0.1332
NM_015149	chr1(.):183600207-183902666	0.3744
NM_052966	chr1(.):184755165-184948682	0.2342
NM_031935	chr1(.):185698682-186165085	0.1414
NM_014935	chr1(.):204182980-204334044	0.0601
NM_015375	chr1(.):205106630-205185727	0.2259
NM_182663	chr1(.):206675878-206767616	0.649
NM_152495	chr1(.):224799178-224933249	0.091
NM_002221	chr1(.):226814390-226931876	0.4907
NM_002074	chr1(.):1711728-1827495	0.3686
NM_138705	chr1(.):1841265-1853733	0.1312
NM_178545	chr1(.):1844028-1855740	0.1165
NM_000302	chr1(.):11989745-12040594	0.3605
NM_138346	chr1(.):11975122-11991480	0.7552
NM_001066	chr1(.):12222059-12274277	0.4349
NM_001089591	chr1(.):16128656-16139194	0.0727
NR_024279	chr1(.):16155709-16179642	2.6787
NM_001136204	chr1(.):17728250-17770057	1.0383
NM_018715	chr1(.):17728250-17771220	1.0153
NM_017707	chr1(.):23750055-23815750	0.0809
NM_002167	chr1(.):23879408-23891322	0.4224
NM_001031680	chr1(.):25221001-25296501	0.9512
NM_004350	chr1(.):25221001-25261770	1.514
NM_015627	chr1(.):25865075-25900377	0.8898
NM_017837	chr1(.):27109485-27129887	1.0151
NM_006015	chr1(.):27017521-27113601	1.0294
NM_018066	chr1(.):27200872-27221869	0.2194
NM_032283	chr1(.):27148200-27187211	0.6092
NM_006142	chr1(.):27184632-27195947	0.8041
NM_001625	chr1(.):33471825-33507512	0.2046
NM_005202	chr1(.):36555843-36570850	0.1036
NM_018067	chr1(.):36616802-36651441	0.9583
NM_014408	chr1(.):36597172-36620067	0.8308
NM_022756	chr1(.):37953175-37985364	0.2538
NM_025079	chr1(.):37935118-37954978	2.1713
NM_001198979	chr1(.):40854016-40893998	0.08
NM_001198978	chr1(.):40835304-40893998	0.4059
NM_001198980	chr1(.):40857471-40893998	0.0749
NM_022733	chr1(.):40834377-40893998	0.4005
NM_004073	chr1(.):45261035-45276667	0.6359
NM_001013632	chr1(.):45266585-45277957	0.375
NM_001136537	chr1(.):45269153-45284801	0.4193
