GENE_ID	locusLine	bin_1_42_0EXU_0229Kronos_MM1S-KB-6hr-2_Input_hs_i86.bam
NM_001017415	chr1(.):62896974-62922475	0.1273
NM_003368	chr1(.):62897382-62922475	0.1273
NM_001006605	chr1(.):93302720-93432079	0.0712
NM_001010935	chr1(.):112157404-112261101	0.0626
NM_201569	chr1(.):183436505-183528328	0.1846
NM_001198993	chr1(.):1677670-1715297	0.1094
NM_023018	chr1(.):1677670-1714909	0.1086
NM_001198994	chr1(.):1677670-1716508	0.1085
NM_003820	chr1(.):2482804-2500267	0.0955
NM_015001	chr1(.):16169358-16271950	0.1094
NM_017940	chr1(.):16885411-16944982	0.4855
NR_026567	chr1(.):17012712-17051652	0.2251
NM_001113348	chr1(.):21538739-21677034	0.1124
NM_004091	chr1(.):23827921-23862713	0.1502
NM_173065	chr1(.):24475646-24518751	0.1465
NM_002379	chr1(.):31179123-31201432	0.1104
NR_034182	chr1(.):31186618-31204593	0.1061
NM_181809	chr1(.):39952317-40000541	0.1282
NM_002600	chr1(.):66253855-66845262	0.1114
NM_001037341	chr1(.):66253192-66845262	0.1114
NM_001037340	chr1(.):66453389-66845262	0.1182
NM_001081976	chr1(.):112020969-112111597	0.0598
NM_198459	chr1(.):115122195-115217732	0.0583
NM_153713	chr1(.):145472084-145504091	0.1924
NM_207168	chr1(.):150594521-150607098	0.2264
NM_015203	chr1(.):150331989-150454041	0.1692
NM_020699	chr1(.):153772202-153900451	0.1837
NM_020524	chr1(.):154911558-154933567	0.2664
NM_181359	chr1(.):154372668-154445188	0.2032
NM_002249	chr1(.):154674914-154847754	0.1837
NM_170782	chr1(.):154674914-154837338	0.1828
NM_005572	chr1(.):156079460-156112657	0.1777
NM_005973	chr1(.):156732273-156775609	0.1837
NM_012394	chr1(.):161065345-161092866	0.2157
NM_052862	chr1(.):167594473-167680486	0.1768
NM_014412	chr1(.):174963891-174986163	0.2168
NM_001007214	chr1(.):174963570-174986163	0.2154
NM_145034	chr1(.):179804101-179851941	0.1763
NM_022347	chr1(.):179823164-179851941	0.1981
NM_015149	chr1(.):183600207-183902666	0.177
NM_025191	chr1(.):184654624-184729041	0.1764
NM_144977	chr1(.):197516384-197749623	0.1674
NM_001195215	chr1(.):197468878-197749623	0.1665
NM_014827	chr1(.):203759750-203828256	0.1657
NM_182663	chr1(.):206675878-206767616	0.1927
NM_001193338	chr1(.):207071630-207100235	0.2191
NM_005449	chr1(.):207071630-207100378	0.2188
NM_006147	chr1(.):209956261-209984479	0.1893
NM_002221	chr1(.):226814390-226931876	0.1873
NM_020247	chr1(.):227122937-227180246	0.1406
NM_004481	chr1(.):230197955-230422875	0.1729
NM_032328	chr1(.):245128170-245256148	0.1392
NR_026588	chr1(.):245128630-245256148	0.1391
NR_026587	chr1(.):245128630-245293530	0.1386
NR_026586	chr1(.):245128283-245293530	0.1386
NM_182838	chr1(.):1658680-1682431	0.1237
NM_001198995	chr1(.):1677670-1695081	0.081
NM_001010926	chr1(.):2455183-2466684	0.081
NR_026927	chr1(.):2476358-2489284	0.1498
NM_018216	chr1(.):2434974-2463035	0.0855
NM_001195741	chr1(.):2513188-2527908	0.0894
NR_036638	chr1(.):2512898-2527908	0.0905
NM_001089591	chr1(.):16128656-16139194	0.113
NR_024279	chr1(.):16155709-16179642	0.1374
NR_026752	chr1(.):16939750-16962401	0.4496
NR_027504	chr1(.):16967068-16981915	0.4343
NR_002729	chr1(.):17076400-17095975	0.2516
NM_014675	chr1(.):17243444-17304474	0.1299
NM_001397	chr1(.):21538739-21621982	0.1157
NM_001113347	chr1(.):21538739-21611183	0.1093
NM_001113349	chr1(.):21538739-21621766	0.1152
NM_017707	chr1(.):23750055-23815750	0.1016
NM_002167	chr1(.):23879408-23891322	0.1491
NM_021258	chr1(.):24441260-24474611	0.1177
NR_027087	chr1(.):24521729-24543180	0.1395
NM_015627	chr1(.):25865075-25900377	0.1398
NM_017837	chr1(.):27109485-27129887	0.1469
