GENE_ID	locusLine	bin_1_MOLP-2.jin.bam
1_MACS_peak_1_lociStitched	chr1(.):9961-10287	2.6463
2_MACS_peak_2_lociStitched	chr1(.):28649-29935	4.3041
1_MACS_peak_4_lociStitched	chr1(.):462902-463168	1.1853
2_MACS_peak_5_lociStitched	chr1(.):713532-715484	2.7568
2_MACS_peak_7_lociStitched	chr1(.):761923-763522	2.655
1_MACS_peak_9_lociStitched	chr1(.):893950-894603	2.071
1_MACS_peak_10_lociStitched	chr1(.):948872-949180	1.6018
1_MACS_peak_11_lociStitched	chr1(.):954960-955242	1.3787
1_MACS_peak_12_lociStitched	chr1(.):1051083-1051445	1.7178
1_MACS_peak_13_lociStitched	chr1(.):1057612-1058040	1.5996
2_MACS_peak_14_lociStitched	chr1(.):1072019-1072948	1.4899
1_MACS_peak_16_lociStitched	chr1(.):1079817-1080154	1.3798
1_MACS_peak_17_lociStitched	chr1(.):1093019-1093811	3.4193
1_MACS_peak_18_lociStitched	chr1(.):1166803-1167416	3.0318
3_MACS_peak_19_lociStitched	chr1(.):1208125-1209988	1.9003
2_MACS_peak_22_lociStitched	chr1(.):1240800-1241913	1.9156
2_MACS_peak_24_lociStitched	chr1(.):1243446-1244804	2.1921
3_MACS_peak_26_lociStitched	chr1(.):1259518-1260961	1.7887
2_MACS_peak_29_lociStitched	chr1(.):1265768-1267179	2.3594
1_MACS_peak_31_lociStitched	chr1(.):1284226-1284493	1.3672
3_MACS_peak_32_lociStitched	chr1(.):1309512-1311740	2.2518
2_MACS_peak_35_lociStitched	chr1(.):1333842-1335697	2.3789
1_MACS_peak_37_lociStitched	chr1(.):1341845-1343357	3.2347
1_MACS_peak_38_lociStitched	chr1(.):1361582-1361938	1.3276
1_MACS_peak_39_lociStitched	chr1(.):1396825-1398678	2.5674
1_MACS_peak_40_lociStitched	chr1(.):1406654-1407027	1.5821
1_MACS_peak_41_lociStitched	chr1(.):1407925-1408187	1.3002
2_MACS_peak_42_lociStitched	chr1(.):1440586-1441599	1.4686
2_MACS_peak_44_lociStitched	chr1(.):1446458-1448372	2.586
2_MACS_peak_46_lociStitched	chr1(.):1509381-1511059	3.6222
2_MACS_peak_48_lociStitched	chr1(.):1537716-1538712	1.3255
3_MACS_peak_50_lociStitched	chr1(.):1550061-1551588	2.5029
3_MACS_peak_53_lociStitched	chr1(.):1564440-1566477	1.9916
2_MACS_peak_56_lociStitched	chr1(.):1589965-1591295	2.6282
1_MACS_peak_58_lociStitched	chr1(.):1606710-1608060	2.2477
1_MACS_peak_59_lociStitched	chr1(.):1609153-1610500	2.5051
1_MACS_peak_60_lociStitched	chr1(.):1623039-1624950	2.8463
2_MACS_peak_61_lociStitched	chr1(.):1655178-1656684	2.343
2_MACS_peak_63_lociStitched	chr1(.):1669473-1670823	2.0941
1_MACS_peak_65_lociStitched	chr1(.):1676278-1678276	3.3674
4_MACS_peak_66_lociStitched	chr1(.):1709281-1715075	2.7788
5_MACS_peak_70_lociStitched	chr1(.):1821412-1824426	2.0647
4_MACS_peak_75_lociStitched	chr1(.):1837868-1842481	3.0072
