REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	MM11.jin.bam	enhancerRank	isStretch	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isStretch
6_MACS_peak_3348_lociStitched	chr11	65184015	65198769	6	14431	73907.2122	1	1	NEAT1	FRMD8,MIR612,SLC25A45	NEAT1	NEAT1	5.2602	1	1
1_MACS_peak_3367_lociStitched	chr11	65263773	65274998	1	11226	58530.5175	2	1	MALAT1	SCYL1	MALAT1	MALAT1	3.4437	2	1
2_MACS_peak_2021_lociStitched	chr1	234738137	234749209	2	11034	52296.3776	3	1	IRF2BP2	NCRNA00184	IRF2BP2	IRF2BP2	3.8301	3	1
3_MACS_peak_9534_lociStitched	chr19	39891738	39902285	3	10510	38869.9138	4	1	ZFP36	MED29,PLEKHG2,SUPT5H,PAF1,RPS16	ZFP36	ZFP36	3.1523	4	1
2_MACS_peak_9248_lociStitched	chr19	13949174	13959358	2	9812	53286.7616	5	1		ZSWIM4,MIR181C,MIR181D,NANOS3,LOC284454,MIR24-2,MIR27A,MIR23A	MIR23A	MIR23A	1.8636	5	1
1_MACS_peak_19921_lociStitched	chrX	106953314	106963022	1	9709	64572.762	6	1	TSC22D3		TSC22D3	TSC22D3	4.8105	6	1
5_MACS_peak_15794_lociStitched	chr6	319871	330382	5	9629	25167.5384	7	1	DUSP22		DUSP22	DUSP22	1.0148	7	1
2_MACS_peak_4879_lociStitched	chr12	125396604	125406303	2	9424	43425.3327	8	1	UBC	SCARB1	UBC	UBC	3.0493	8	1
6_MACS_peak_2220_lociStitched	chr10	22603806	22612863	6	8758	20639.9973	9	1	COMMD3,BMI1	SPAG6	BMI1	BMI1	1.827	9	1
4_MACS_peak_14096_lociStitched	chr4	40194652	40204004	4	8730	20453.7592	10	1	RHOH		RHOH	RHOH	0.5767	10	1
2_MACS_peak_3027_lociStitched	chr11	10323813	10332200	2	8149	20730.1479	11	1	ADM	SBF2	ADM	ADM	1.7526	11	1
4_MACS_peak_1557_lociStitched	chr1	182990933	182999175	4	8147	22860.8354	12	1	LAMC1		LAMC1	LAMC1	0.4087	12	1
5_MACS_peak_16545_lociStitched	chr6	106531867	106540776	5	7721	15468.6967	13	1	PRDM1	PRDM1	PRDM1	PRDM1	0.8174	13	1
4_MACS_peak_18353_lociStitched	chr8	126441210	126449018	4	7574	33112.9472	14	1	TRIB1		TRIB1	TRIB1	1.9499	14	1
7_MACS_peak_15802_lociStitched	chr6	389237	397134	7	7440	15223.0469	15	1	IRF4		IRF4	IRF4	0.8537	15	1
1_MACS_peak_1775_lociStitched	chr1	207993673	208001031	1	7359	40846.4654	16	1	LOC148696	MIR29C,MIR29B2	LOC148696	LOC148696	3.0332	16	1
4_MACS_peak_17675_lociStitched	chr7	139470675	139478562	4	7130	20437.5831	17	1	TBXAS1,HIPK2		HIPK2	HIPK2	0.2278	17	1
4_MACS_peak_14593_lociStitched	chr4	153581308	153589063	4	7105	15429.348	18	1	TMEM154		TMEM154	TMEM154	0.6495	18	1
3_MACS_peak_7398_lociStitched	chr16	87883774	87891085	3	7098	23882.8437	19	1	SLC7A5		SLC7A5	SLC7A5	0.9863	19	1
2_MACS_peak_1157_lociStitched	chr1	150545684	150553058	2	7017	44589.1032	20	1	MCL1	ADAMTSL4,MIR4257,ENSA	MCL1	MCL1	3.1115	20	1
1_MACS_peak_7134_lociStitched	chr16	56964200	56971199	1	7000	36366.1041	21	1	HERPUD1	CETP	HERPUD1	HERPUD1	1.9533	21	1
4_MACS_peak_2769_lociStitched	chr10	112256971	112264396	4	6967	18570.6675	22	1	DUSP5		DUSP5	DUSP5	0.9896	22	1
5_MACS_peak_2228_lociStitched	chr10	22623528	22631179	5	6912	34023.997	23	1		COMMD3,BMI1,SPAG6	SPAG6	BMI1	1.827	23	1
1_MACS_peak_3260_lociStitched	chr11	62318211	62325115	1	6905	20001.5784	24	1		AHNAK,EEF1G,TUT1,MTA2	AHNAK	EEF1G	0.7692	24	1
2_MACS_peak_19919_lociStitched	chrX	106916003	106922892	2	6803	18649.9008	25	1		PRPS1,TSC22D3	TSC22D3	TSC22D3	4.8105	25	1
1_MACS_peak_4080_lociStitched	chr12	26273559	26280255	1	6697	21425.1912	26	1	BHLHE41		BHLHE41	BHLHE41	1.8202	26	1
2_MACS_peak_15444_lociStitched	chr5	138723153	138729834	2	6671	24884.7207	27	1	MZB1,LOC389333	PAIP2,SLC23A1,SPATA24,DNAJC18	MZB1	MZB1	2.2689	27	1
3_MACS_peak_15516_lociStitched	chr5	142430881	142438133	3	6583	19816.8152	28	1	ARHGAP26		ARHGAP26	ARHGAP26	0.22	28	1
3_MACS_peak_4014_lociStitched	chr12	12867107	12873641	3	6384	18943.3728	29	1	CDKN1B	APOLD1,MIR613,GPR19	CDKN1B	CDKN1B	2.1901	29	1
2_MACS_peak_19347_lociStitched	chr9	132646821	132653420	2	6267	18751.7184	30	1	FNBP1	USP20,C9orf78	USP20	C9orf78	0.5886	30	1
2_MACS_peak_17623_lociStitched	chr7	130789983	130796208	2	6222	23100.3525	31	1	MKLN1,FLJ43663		FLJ43663	FLJ43663	0.3337	31	1
5_MACS_peak_2385_lociStitched	chr10	63659076	63665371	5	6200	12753.0405	32	1	ARID5B		ARID5B	ARID5B	0.3449	32	1
1_MACS_peak_9307_lociStitched	chr19	16434199	16440393	1	6195	38111.682	33	1	KLF2		KLF2	KLF2	3.2777	33	1
2_MACS_peak_9232_lociStitched	chr19	13260640	13267076	2	6189	22544.0208	34	1	IER2,STX10	NACC1,LYL1,TRMT1	IER2	IER2	1.6788	34	1
1_MACS_peak_16157_lociStitched	chr6	32935724	32941888	1	6165	48694.9836	35	1	BRD2	HLA-DMB,HLA-DMA,HLA-DOA	BRD2	BRD2	2.2357	35	1
1_MACS_peak_19046_lociStitched	chr9	98267814	98273967	1	6154	20520.255	36	1	PTCH1		PTCH1	PTCH1	0.4949	36	1
2_MACS_peak_14694_lociStitched	chr4	185200658	185206811	2	6135	12099.8745	37	1			ENPP6	ENPP6	0.0663	37	1
3_MACS_peak_1322_lociStitched	chr1	156716015	156722321	3	6105	17477.079	38	1	HDGF	C1orf66,PRCC,CRABP2,ISG20L2,MRPL24	HDGF	HDGF	1.2755	38	1
2_MACS_peak_15066_lociStitched	chr5	75837983	75844317	2	6096	15237.7038	39	1	IQGAP2		F2RL2	F2RL2	NONE	39	1
2_MACS_peak_1653_lociStitched	chr1	200986694	200992859	2	6084	15993.243	40	1	KIF21B		KIF21B	KIF21B	0.4064	40	1
6_MACS_peak_4378_lociStitched	chr12	57076754	57083273	6	6080	17734.9395	41	1	PTGES3	BAZ2A,SNORD59B,SNORD59A,ATP5B,NACA	PTGES3	PTGES3	0.5983	41	1
2_MACS_peak_10692_lociStitched	chr2	111875069	111881101	2	6028	16568.6976	42	1	ACOXL,BCL2L11		BCL2L11	BCL2L11	0.4555	42	1
1_MACS_peak_15171_lociStitched	chr5	90674770	90680773	1	6004	46923.6501	43	1	LOC100129716,ARRDC3		ARRDC3	ARRDC3	2.0407	43	1
3_MACS_peak_9215_lociStitched	chr19	12899387	12905361	3	5965	18294.1802	44	1	JUNB	BEST2,RNASEH2A,MAST1,HOOK2,PRDX2,RTBDN	JUNB	JUNB	1.6553	44	1
3_MACS_peak_15874_lociStitched	chr6	7905358	7911784	3	5899	21090.7746	45	1	MUTED-TXNDC5,TXNDC5		TXNDC5	TXNDC5	1.1874	45	1
1_MACS_peak_1251_lociStitched	chr1	154971274	154977150	1	5877	17941.1908	46	1	ZBTB7B	CKS1B,MIR4258,FLAD1,LENEP,DCST1,ADAM15,PBXIP1,PYGO2,SHC1,DCST2	ZBTB7B	MIR4258	1.555	46	1
1_MACS_peak_19250_lociStitched	chr9	127630346	127636217	1	5872	25988.5686	47	1	ARPC5L	WDR38,RPL35	ARPC5L	ARPC5L	1.6318	47	1
1_MACS_peak_18645_lociStitched	chr9	20353152	20359020	1	5869	31265.8776	48	1	MLLT3		MLLT3	MLLT3	0.4435	48	1
1_MACS_peak_5089_lociStitched	chr13	49549240	49555105	1	5866	25242.96	49	1	FNDC3A		FNDC3A	FNDC3A	0.187	49	1
2_MACS_peak_10560_lociStitched	chr2	88922479	88928445	2	5838	19610.242	50	1	EIF2AK3		EIF2AK3	EIF2AK3	0.5071	50	1
2_MACS_peak_19392_lociStitched	chr9	134549071	134554938	2	5819	12126.5023	51	1	RAPGEF1		RAPGEF1	RAPGEF1	0.3411	51	1
6_MACS_peak_8414_lociStitched	chr17	74257702	74264573	6	5777	13223.2395	52	1	FAM100B	RNF157,QRICH2	FAM100B	FAM100B	1.4313	52	1
6_MACS_peak_5859_lociStitched	chr14	106037515	106044350	6	5774	10286.675	53	1		TMEM121	TMEM121	TMEM121	0.0584	53	1
2_MACS_peak_5504_lociStitched	chr14	50527100	50532858	2	5754	22353.7076	54	1		C14orf183	C14orf183	C14orf183	1.119	54	1
1_MACS_peak_1160_lociStitched	chr1	150581413	150587165	1	5753	25495.74	55	1		MCL1,ENSA	ENSA	MCL1	3.1115	55	1
2_MACS_peak_6609_lociStitched	chr15	93443244	93449007	2	5747	19724.4438	56	1	CHD2,MIR3175	LOC100507217	MIR3175	MIR3175	2.1298	56	1
2_MACS_peak_1688_lociStitched	chr1	203255397	203261218	2	5735	26539.6853	57	1		BTG2,LOC730227	LOC730227	LOC730227	1.2984	57	1
6_MACS_peak_779_lociStitched	chr1	73830477	73837301	6	5679	18426.1648	58	1			LRRIQ3	LRRIQ3	NONE	58	1
2_MACS_peak_12338_lociStitched	chr22	29192885	29199015	2	5671	46670.142	59	1	XBP1	CCDC117	XBP1	XBP1	3.1771	59	1
2_MACS_peak_10881_lociStitched	chr2	158295709	158301507	2	5670	19092.814	60	1	CYTIP		CYTIP	CYTIP	0.6359	60	1
2_MACS_peak_4805_lociStitched	chr12	122237686	122243364	2	5648	28924.2998	61	1	SETD1B,LOC338799	RHOF	LOC338799	LOC338799	1.7807	61	1
3_MACS_peak_1285_lociStitched	chr1	155946021	155951817	3	5647	15990.5844	62	1	ARHGEF2	RXFP4,KIAA0907,SSR2	ARHGEF2	ARHGEF2	0.6668	62	1
3_MACS_peak_15569_lociStitched	chr5	150457445	150463516	3	5611	17644.1473	63	1	TNIP1		TNIP1	TNIP1	0.5408	63	1
2_MACS_peak_12140_lociStitched	chr21	45572649	45578288	2	5608	22936.6325	64	1		PWP2,C21orf33	C21orf33	C21orf33	0.983	64	1
2_MACS_peak_17002_lociStitched	chr7	26003548	26009232	2	5603	14384.4988	65	1		MIR148A	MIR148A	MIR148A	1.302	65	1
3_MACS_peak_13547_lociStitched	chr3	141102559	141108583	3	5600	12974.4912	66	1	ZBTB38		ZBTB38	ZBTB38	0.4254	66	1
2_MACS_peak_14579_lociStitched	chr4	153453481	153459350	2	5567	19483.3193	67	1	DKFZP434I0714,FBXW7	MIR3140	FBXW7	MIR3140	0.2784	67	1
1_MACS_peak_2753_lociStitched	chr10	111967052	111972597	1	5546	16185.855	68	1	MXI1	MXI1	MXI1	MXI1	0.3	68	1
5_MACS_peak_5318_lociStitched	chr14	21731805	21738489	5	5532	14630.6076	69	1	HNRNPC	RPGRIP1	HNRNPC	HNRNPC	0.3028	69	1
1_MACS_peak_7889_lociStitched	chr17	36856732	36862233	1	5502	12454.264	70	1	MLLT6	CISD3,PSMB3,C17orf96,PCGF2	MLLT6	MLLT6	0.4887	70	1
2_MACS_peak_15250_lociStitched	chr5	108743971	108749451	2	5471	20084.2	71	1	PJA2		PJA2	PJA2	0.3454	71	1
6_MACS_peak_5888_lociStitched	chr14	106161848	106168338	6	5458	9439.705	72	1			TMEM121	TMEM121	0.0584	72	1
3_MACS_peak_8911_lociStitched	chr19	1248105	1253569	3	5438	13244.736	73	1	MIDN	STK11,ATP5D,CIRBP,C19orf24,EFNA2,C19orf26,C19orf23	MIDN	MIDN	1.2944	73	1
