#29_0F2F_0229Kronos_MM1S-KB-24hr-1_H3K27me3_hs-dm_i17_peaks Enhancers
#Created from /data/projects/IRF4_mm_trn_data/p300_internal_ChIP/rose/29_0F2F_0229Kronos_MM1S-KB-24hr-1_H3K27me3_hs-dm_i17_ROSE/29_0F2F_0229Kronos_MM1S-KB-24hr-1_H3K27me3_hs-dm_i17_peaks_1KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by X29_0F2F_0229Kronos_MM1S.KB.24hr.1_H3K27me3_hs.dm_i17.bam
#Using cutoff of 19861.1742 for Super-Enhancers
#Created on Jul 18 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X29_0F2F_0229Kronos_MM1S.KB.24hr.1_H3K27me3_hs.dm_i17.bam	X43_0EXV_0229Kronos_MM1S.KB.24hr.1_Input_hs_i87.bam	enhancerRank	isSuperStretch
26_MACS_peak_15060_lociStitched	chr17	77074412	77298069	26	216178	341166.3878	17959.6571	1	1
21_MACS_peak_23287_lociStitched	chr21	44032309	44231057	21	193806	358183.6456	26294.3604	2	1
16_MACS_peak_1659_lociStitched	chr1	10700043	10904008	16	201097	319633.5515	17826.541	3	1
11_MACS_peak_15822_lociStitched	chr19	1668952	1812376	11	139994	306497.088	19319.2128	4	1
15_MACS_peak_16074_lociStitched	chr19	3798329	3953549	15	152570	265550.376	19200.714	5	1
23_MACS_peak_15395_lociStitched	chr17	79316643	79473430	23	151468	248570.1098	13248.5015	6	1
14_MACS_peak_33974_lociStitched	chr9	139477336	139615599	14	136084	243273.7485	11254.6082	7	1
29_MACS_peak_32774_lociStitched	chr9	132404988	132559080	29	146340	204433.8564	14053.1904	8	1
6_MACS_peak_15376_lociStitched	chr17	78996811	79111660	6	112673	220360.7763	9693.2556	9	1
20_MACS_peak_24628_lociStitched	chr22	37711692	37846769	20	129830	194970.1418	12305.5147	10	1
14_MACS_peak_15763_lociStitched	chr19	681206	794476	14	109212	204463.677	13343.206	11	1
33_MACS_peak_153_lociStitched	chr1	1914207	2044853	33	124824	165450.0944	10294.9048	12	1
27_MACS_peak_6334_lociStitched	chr11	1591811	1714620	27	115675	178490.6006	11912.473	13	1
18_MACS_peak_33053_lociStitched	chr9	134995335	135116579	18	116375	174288.25	11215.07	14	1
8_MACS_peak_27597_lociStitched	chr4	9211654	9274638	8	62495	221961.9144	19676.2016	15	1
19_MACS_peak_12532_lociStitched	chr17	1041222	1148820	19	102833	159535.5546	9974.3346	16	1
4_MACS_peak_23555_lociStitched	chr21	46708574	46794503	4	85350	182736.6114	11557.4505	17	1
20_MACS_peak_15104_lociStitched	chr17	77348059	77455849	20	103612	147090.234	9496.299	18	1
2_MACS_peak_16748_lociStitched	chr19	8850998	8900910	2	49604	213144.2048	23124.2296	19	1
8_MACS_peak_22794_lociStitched	chr20	60985126	61072501	8	86616	159468.1125	7024.95	20	1
17_MACS_peak_10686_lociStitched	chr16	1249341	1341214	17	89348	152601.053	7349.84	21	1
15_MACS_peak_491_lociStitched	chr1	3394486	3488304	15	90458	146149.6804	7336.5676	22	1
12_MACS_peak_14074_lociStitched	chr17	47936879	48031747	12	92571	141998.4224	8908.1052	23	1
5_MACS_peak_6413_lociStitched	chr11	1982102	2064718	5	82323	151955.6088	7162.8072	24	1
21_MACS_peak_12502_lociStitched	chr17	782538	882357	21	96632	122977.008	8664.2892	25	1
18_MACS_peak_15263_lociStitched	chr17	77900052	77995436	18	90336	130084.6992	8584.56	26	1
22_MACS_peak_28543_lociStitched	chr6	31990999	32077865	22	81051	141218.0562	8877.7052	27	1
12_MACS_peak_25467_lociStitched	chr22	46288108	46374772	12	84692	131867.9424	7288.4424	28	1
6_MACS_peak_16128_lociStitched	chr19	4557677	4635255	6	76843	143309.8394	10744.553	29	1
8_MACS_peak_31558_lociStitched	chr8	142012565	142093603	8	79149	137091.9846	9878.5322	30	1
2_MACS_peak_15797_lociStitched	chr19	1282705	1345203	2	62044	154420.0584	7568.5078	31	1
9_MACS_peak_23497_lociStitched	chr21	46404209	46480194	9	73383	143360.8995	9672.8905	32	1
8_MACS_peak_32973_lociStitched	chr9	133835373	133919464	8	82114	126422.4094	7627.0537	33	1
16_MACS_peak_23407_lociStitched	chr21	45876191	45961304	16	81780	129431.3391	10485.9216	34	1
18_MACS_peak_33293_lociStitched	chr9	136344535	136427358	18	79638	116647.9132	6600.9931	35	1
6_MACS_peak_19510_lociStitched	chr19	48404352	48471539	6	64927	150754.1906	20720.4708	36	1
10_MACS_peak_27605_lociStitched	chr4	9324610	9370989	10	46011	161060.3533	13528.7543	37	1
19_MACS_peak_8487_lociStitched	chr12	3321574	3409063	19	82652	109667.4615	7786.521	38	1
4_MACS_peak_22808_lociStitched	chr20	61141407	61213402	4	70944	123665.8115	5334.8295	39	1
8_MACS_peak_8920_lociStitched	chr12	54337320	54411904	8	73360	121460.044	7309.232	40	1
1_MACS_peak_2009_lociStitched	chr1	17011981	17067214	1	55234	149493.6378	14183.8344	41	1
15_MACS_peak_14120_lociStitched	chr17	48634130	48714591	15	76237	112460.3397	7659.8872	42	1
4_MACS_peak_23493_lociStitched	chr21	46300807	46359797	4	58880	136255.102	8093.428	43	1
9_MACS_peak_16022_lociStitched	chr19	3360425	3435084	9	73994	115236.1665	8914.2846	44	1
26_MACS_peak_33090_lociStitched	chr9	135314374	135401955	26	81604	97863.0094	8110.0006	45	1
13_MACS_peak_23050_lociStitched	chr20	62790237	62866233	13	73383	109046.6604	6748.4448	46	1
14_MACS_peak_6440_lociStitched	chr11	2148950	2223108	14	71160	103205.6886	5858.482	47	1
11_MACS_peak_12597_lociStitched	chr17	1828828	1901071	11	71064	103538.6676	6436.8513	48	1
16_MACS_peak_33335_lociStitched	chr9	136534539	136610971	16	72652	100179.4224	6053.4144	49	1
9_MACS_peak_6784_lociStitched	chr11	61441089	61514122	9	71017	103619.2204	6675.2162	50	1
8_MACS_peak_6379_lociStitched	chr11	1787038	1859973	8	70919	103385.3625	6476.628	51	1
3_MACS_peak_23565_lociStitched	chr21	46858031	46920069	3	61774	116432.9184	7698.9158	52	1
15_MACS_peak_32805_lociStitched	chr9	132910967	132983273	15	69899	101806.848	6348.4668	53	1
15_MACS_peak_17786_lociStitched	chr19	18059401	18132400	15	68990	102986.9892	6555.3102	54	1
25_MACS_peak_6751_lociStitched	chr11	61337328	61417871	25	75174	89974.5853	7498.5533	55	1
27_MACS_peak_15281_lociStitched	chr17	77998959	78076383	27	70862	94914.0816	6759.1152	56	1
19_MACS_peak_15016_lociStitched	chr17	76550709	76627323	19	71675	92396.484	6994.8582	57	1
27_MACS_peak_10606_lociStitched	chr16	916389	993736	27	69425	92507.012	6218.6988	58	1
12_MACS_peak_23207_lociStitched	chr21	43129660	43198413	12	65600	101761.3153	9089.1466	59	1
21_MACS_peak_31968_lociStitched	chr8	143630613	143708302	21	71391	87415.6628	6005.3597	60	1
8_MACS_peak_428_lociStitched	chr1	3099642	3169118	8	68530	90575.8612	4640.9968	61	1
19_MACS_peak_27480_lociStitched	chr4	8586550	8660216	19	70164	87456.2752	5495.4836	62	1
