REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X29_0F2F_0229Kronos_MM1S.KB.24hr.1_H3K27me3_hs.dm_i17.bam	X43_0EXV_0229Kronos_MM1S.KB.24hr.1_Input_hs_i87.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isStretch
26_MACS_peak_15060_lociStitched	chr17	77074412	77298069	26	216178	341166.3878	17959.6571	1	ENGASE,RBFOX3	C1QTNF1	ENGASE	C1QTNF1	1.2796	1	1
16_MACS_peak_1659_lociStitched	chr1	10700043	10904008	16	201097	319633.5515	17826.541	2	CASZ1		CASZ1	CASZ1	1.4663	2	1
21_MACS_peak_23287_lociStitched	chr21	44032309	44231057	21	193806	358183.6456	26294.3604	3	PDE9A		PDE9A	PDE9A	1.7681	3	1
15_MACS_peak_16074_lociStitched	chr19	3798329	3953549	15	152570	265550.376	19200.714	4	ATCAY,ITGB1BP3,MATK,ZFR2	MRPL54,APBA3,RAX2,MATK,MIR637,DAPK3,SNORD37,EEF2	ATCAY	ATCAY	1.2832000000000001	4	1
23_MACS_peak_15395_lociStitched	chr17	79316643	79473430	23	151468	248570.1098	13248.5015	5	BAHCC1,MIR3186	FSCN2,SLC38A10,C17orf55,TMEM105,ACTG1,C17orf70	BAHCC1	BAHCC1	1.6139	5	1
29_MACS_peak_32774_lociStitched	chr9	132404988	132559080	29	146340	204433.8564	14053.1904	6	PRRX2,PTGES	METTL11A,TOR1B,USP20,C9orf50,ASB6,TOR1A,C9orf78	PTGES	PTGES	1.3432	6	1
11_MACS_peak_15822_lociStitched	chr19	1668952	1812376	11	139994	306497.088	19319.2128	7	ONECUT3,ATP8B3	LOC100288123,TCF3,MIR1909,REXO1	ONECUT3	ONECUT3	2.0707999999999998	7	1
14_MACS_peak_33974_lociStitched	chr9	139477336	139615599	14	136084	243273.7485	11254.6082	8	EGFL7,MIR126,FAM69B,AGPAT2	LOC100128593,NOTCH1,SNORA43,SNORA17,SNHG7,LCN10,LCN6,LCN8,LCN15	EGFL7	EGFL7	1.8353000000000002	8	1
20_MACS_peak_24628_lociStitched	chr22	37711692	37846769	20	129830	194970.1418	12305.5147	9	ELFN2	CYTH4,MFNG	ELFN2	ELFN2	1.3529	9	1
33_MACS_peak_153_lociStitched	chr1	1914207	2044853	33	124824	165450.0944	10294.9048	10	GABRD,PRKCZ,KIAA1751		PRKCZ	PRKCZ	0.9574000000000001	10	1
18_MACS_peak_33053_lociStitched	chr9	134995335	135116579	18	116375	174288.25	11215.07	11	NTNG2	MED27	NTNG2	NTNG2	1.3531	11	1
