#29_0F2F_0229Kronos_MM1S-KB-24hr-1_H3K27me3_hs-dm_i17_peaks Enhancers
#Created from /data/projects/IRF4_mm_trn_data/p300_internal_ChIP/rose/29_0F2F_0229Kronos_MM1S-KB-24hr-1_H3K27me3_hs-dm_i17_ROSE/29_0F2F_0229Kronos_MM1S-KB-24hr-1_H3K27me3_hs-dm_i17_peaks_1KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by X29_0F2F_0229Kronos_MM1S.KB.24hr.1_H3K27me3_hs.dm_i17.bam
#Using cutoff of 19861.1742 for Super-Enhancers
#Created on Jul 18 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X29_0F2F_0229Kronos_MM1S.KB.24hr.1_H3K27me3_hs.dm_i17.bam	X43_0EXV_0229Kronos_MM1S.KB.24hr.1_Input_hs_i87.bam	enhancerRank	isStretch
26_MACS_peak_15060_lociStitched	chr17	77074412	77298069	26	216178	341166.3878	17959.6571	1	1
16_MACS_peak_1659_lociStitched	chr1	10700043	10904008	16	201097	319633.5515	17826.541	2	1
21_MACS_peak_23287_lociStitched	chr21	44032309	44231057	21	193806	358183.6456	26294.3604	3	1
15_MACS_peak_16074_lociStitched	chr19	3798329	3953549	15	152570	265550.376	19200.714	4	1
23_MACS_peak_15395_lociStitched	chr17	79316643	79473430	23	151468	248570.1098	13248.5015	5	1
29_MACS_peak_32774_lociStitched	chr9	132404988	132559080	29	146340	204433.8564	14053.1904	6	1
11_MACS_peak_15822_lociStitched	chr19	1668952	1812376	11	139994	306497.088	19319.2128	7	1
14_MACS_peak_33974_lociStitched	chr9	139477336	139615599	14	136084	243273.7485	11254.6082	8	1
20_MACS_peak_24628_lociStitched	chr22	37711692	37846769	20	129830	194970.1418	12305.5147	9	1
33_MACS_peak_153_lociStitched	chr1	1914207	2044853	33	124824	165450.0944	10294.9048	10	1
18_MACS_peak_33053_lociStitched	chr9	134995335	135116579	18	116375	174288.25	11215.07	11	1
27_MACS_peak_6334_lociStitched	chr11	1591811	1714620	27	115675	178490.6006	11912.473	12	1
6_MACS_peak_15376_lociStitched	chr17	78996811	79111660	6	112673	220360.7763	9693.2556	13	1
14_MACS_peak_15763_lociStitched	chr19	681206	794476	14	109212	204463.677	13343.206	14	1
20_MACS_peak_15104_lociStitched	chr17	77348059	77455849	20	103612	147090.234	9496.299	15	1
19_MACS_peak_12532_lociStitched	chr17	1041222	1148820	19	102833	159535.5546	9974.3346	16	1
21_MACS_peak_12502_lociStitched	chr17	782538	882357	21	96632	122977.008	8664.2892	17	1
12_MACS_peak_14074_lociStitched	chr17	47936879	48031747	12	92571	141998.4224	8908.1052	18	1
15_MACS_peak_491_lociStitched	chr1	3394486	3488304	15	90458	146149.6804	7336.5676	19	1
18_MACS_peak_15263_lociStitched	chr17	77900052	77995436	18	90336	130084.6992	8584.56	20	1
17_MACS_peak_10686_lociStitched	chr16	1249341	1341214	17	89348	152601.053	7349.84	21	1
8_MACS_peak_22794_lociStitched	chr20	60985126	61072501	8	86616	159468.1125	7024.95	22	1
4_MACS_peak_23555_lociStitched	chr21	46708574	46794503	4	85350	182736.6114	11557.4505	23	1
12_MACS_peak_25467_lociStitched	chr22	46288108	46374772	12	84692	131867.9424	7288.4424	24	1
19_MACS_peak_8487_lociStitched	chr12	3321574	3409063	19	82652	109667.4615	7786.521	25	1
5_MACS_peak_6413_lociStitched	chr11	1982102	2064718	5	82323	151955.6088	7162.8072	26	1
8_MACS_peak_32973_lociStitched	chr9	133835373	133919464	8	82114	126422.4094	7627.0537	27	1
16_MACS_peak_23407_lociStitched	chr21	45876191	45961304	16	81780	129431.3391	10485.9216	28	1
26_MACS_peak_33090_lociStitched	chr9	135314374	135401955	26	81604	97863.0094	8110.0006	29	1
22_MACS_peak_28543_lociStitched	chr6	31990999	32077865	22	81051	141218.0562	8877.7052	30	1
18_MACS_peak_33293_lociStitched	chr9	136344535	136427358	18	79638	116647.9132	6600.9931	31	1
8_MACS_peak_31558_lociStitched	chr8	142012565	142093603	8	79149	137091.9846	9878.5322	32	1
6_MACS_peak_16128_lociStitched	chr19	4557677	4635255	6	76843	143309.8394	10744.553	33	1
15_MACS_peak_14120_lociStitched	chr17	48634130	48714591	15	76237	112460.3397	7659.8872	34	1
25_MACS_peak_6751_lociStitched	chr11	61337328	61417871	25	75174	89974.5853	7498.5533	35	1
9_MACS_peak_16022_lociStitched	chr19	3360425	3435084	9	73994	115236.1665	8914.2846	36	1
9_MACS_peak_23497_lociStitched	chr21	46404209	46480194	9	73383	143360.8995	9672.8905	37	1
13_MACS_peak_23050_lociStitched	chr20	62790237	62866233	13	73383	109046.6604	6748.4448	38	1
8_MACS_peak_8920_lociStitched	chr12	54337320	54411904	8	73360	121460.044	7309.232	39	1
16_MACS_peak_33335_lociStitched	chr9	136534539	136610971	16	72652	100179.4224	6053.4144	40	1
19_MACS_peak_15016_lociStitched	chr17	76550709	76627323	19	71675	92396.484	6994.8582	41	1
21_MACS_peak_31968_lociStitched	chr8	143630613	143708302	21	71391	87415.6628	6005.3597	42	1
14_MACS_peak_6440_lociStitched	chr11	2148950	2223108	14	71160	103205.6886	5858.482	43	1
11_MACS_peak_12597_lociStitched	chr17	1828828	1901071	11	71064	103538.6676	6436.8513	44	1
9_MACS_peak_6784_lociStitched	chr11	61441089	61514122	9	71017	103619.2204	6675.2162	45	1
4_MACS_peak_22808_lociStitched	chr20	61141407	61213402	4	70944	123665.8115	5334.8295	46	1
8_MACS_peak_6379_lociStitched	chr11	1787038	1859973	8	70919	103385.3625	6476.628	47	1
27_MACS_peak_15281_lociStitched	chr17	77998959	78076383	27	70862	94914.0816	6759.1152	48	1
19_MACS_peak_27480_lociStitched	chr4	8586550	8660216	19	70164	87456.2752	5495.4836	49	1
15_MACS_peak_32805_lociStitched	chr9	132910967	132983273	15	69899	101806.848	6348.4668	50	1
27_MACS_peak_10606_lociStitched	chr16	916389	993736	27	69425	92507.012	6218.6988	51	1
15_MACS_peak_17786_lociStitched	chr19	18059401	18132400	15	68990	102986.9892	6555.3102	52	1
8_MACS_peak_428_lociStitched	chr1	3099642	3169118	8	68530	90575.8612	4640.9968	53	1
34_MACS_peak_1271_lociStitched	chr1	7477926	7552680	34	66741	74215.7712	5434.6158	54	1
19_MACS_peak_3006_lociStitched	chr1	22542473	22613471	19	66364	85112.4024	6538.9158	55	1
17_MACS_peak_24764_lociStitched	chr22	40036256	40107248	17	66143	90614.1888	6034.32	56	1
24_MACS_peak_16199_lociStitched	chr19	5293601	5365189	24	65726	86421.0336	8218.3024	57	1
12_MACS_peak_23207_lociStitched	chr21	43129660	43198413	12	65600	101761.3153	9089.1466	58	1
6_MACS_peak_19510_lociStitched	chr19	48404352	48471539	6	64927	150754.1906	20720.4708	59	1
22_MACS_peak_26235_lociStitched	chr3	50445298	50515501	22	64380	77026.7316	6592.0617	60	1
13_MACS_peak_469_lociStitched	chr1	3296781	3364326	13	64270	88328.5965	4505.2515	61	1
13_MACS_peak_25053_lociStitched	chr22	44657358	44724354	13	63372	82585.9692	5259.186	62	1
21_MACS_peak_3160_lociStitched	chr1	23147237	23215960	21	63203	76474.9544	6384.3667	63	1
12_MACS_peak_1676_lociStitched	chr1	10914134	10979169	12	63142	85716.13	5892.171	64	1
8_MACS_peak_27597_lociStitched	chr4	9211654	9274638	8	62495	221961.9144	19676.2016	65	1
2_MACS_peak_15797_lociStitched	chr19	1282705	1345203	2	62044	154420.0584	7568.5078	66	1
9_MACS_peak_228_lociStitched	chr1	2347366	2411425	9	61939	89106.069	4554.5949	67	1
3_MACS_peak_23565_lociStitched	chr21	46858031	46920069	3	61774	116432.9184	7698.9158	68	1
13_MACS_peak_33885_lociStitched	chr9	138625485	138690992	13	61640	92646.5501	4467.5774	69	1
13_MACS_peak_16312_lociStitched	chr19	5827980	5891112	13	61537	84666.3252	8383.9296	70	1
16_MACS_peak_33918_lociStitched	chr9	138932400	138998436	16	61508	87524.1144	4285.7364	71	1
22_MACS_peak_7449_lociStitched	chr11	69970494	70036994	22	59945	77073.5	5213.6	72	1
16_MACS_peak_2176_lociStitched	chr1	17917113	17978335	16	59766	73815.3654	5265.092	73	1
18_MACS_peak_26761_lociStitched	chr4	3700319	3764886	18	59225	70261.8094	5494.6517	74	1
4_MACS_peak_23493_lociStitched	chr21	46300807	46359797	4	58880	136255.102	8093.428	75	1
6_MACS_peak_32964_lociStitched	chr9	133769575	133829066	6	58794	102705.2624	5074.5823	76	1
12_MACS_peak_71_lociStitched	chr1	1088861	1149934	12	58731	97722.9073	4672.0845	77	1
18_MACS_peak_2117_lociStitched	chr1	17653912	17717231	18	58335	70391.7323	5521.4168	78	1
9_MACS_peak_1047_lociStitched	chr1	6470625	6530859	9	58220	101861.7174	5415.0366	79	1
14_MACS_peak_1954_lociStitched	chr1	16426839	16489589	14	57704	80746.7	5691.425	80	1
11_MACS_peak_10669_lociStitched	chr16	1142452	1202386	11	57470	92514.1224	4542.9972	81	1
18_MACS_peak_2589_lociStitched	chr1	19009173	19069880	18	57374	66862.6898	5251.1555	82	1
7_MACS_peak_16103_lociStitched	chr19	4183720	4242125	7	57127	91765.936	8036.528	83	1
16_MACS_peak_33901_lociStitched	chr9	138864921	138925338	16	56788	78397.0992	4585.6503	84	1
17_MACS_peak_398_lociStitched	chr1	3005450	3066197	17	56730	72671.6361	3887.808	85	1
15_MACS_peak_2043_lociStitched	chr1	17409080	17467816	15	56338	71904.6112	5315.608	86	1
7_MACS_peak_22937_lociStitched	chr20	62065299	62122934	7	55707	89144.0545	4512.8205	87	1
6_MACS_peak_23760_lociStitched	chr22	19705622	19763017	6	55674	92176.37	4826.9195	88	1
15_MACS_peak_28127_lociStitched	chr5	176119087	176177217	15	55482	69610.675	4964.302	89	1
1_MACS_peak_2009_lociStitched	chr1	17011981	17067214	1	55234	149493.6378	14183.8344	90	1
11_MACS_peak_12491_lociStitched	chr17	724942	781506	11	55164	74540.0392	5294.3904	91	1
7_MACS_peak_22818_lociStitched	chr20	61316596	61372450	7	54952	91075.5324	4775.517	92	1
10_MACS_peak_6741_lociStitched	chr11	61272473	61329285	10	54678	77718.816	5107.3988	93	1
31_MACS_peak_15166_lociStitched	chr17	77612268	77674066	31	54545	62768.2286	4443.2762	94	1
14_MACS_peak_25420_lociStitched	chr22	45892440	45949455	14	54438	68275.4625	4538.394	95	1
8_MACS_peak_26662_lociStitched	chr4	1751863	1808646	8	54281	97093.2517	4764.0937	96	1
11_MACS_peak_438_lociStitched	chr1	3178178	3234963	11	54258	69618.41	4094.1985	97	1
26_MACS_peak_14664_lociStitched	chr17	72587698	72651047	26	53891	65623.2291	6803.6826	98	1
9_MACS_peak_19684_lociStitched	chr19	49519975	49574986	9	53533	75882.1734	5066.5131	99	1
12_MACS_peak_10657_lociStitched	chr16	1084611	1140595	12	53113	76574.9152	3661.3536	100	1
21_MACS_peak_1769_lociStitched	chr1	11472688	11529825	21	52961	65496.1431	5010.9149	101	1
13_MACS_peak_140_lociStitched	chr1	1853431	1910422	13	52739	74059.8045	4667.5629	102	1
12_MACS_peak_2085_lociStitched	chr1	17534602	17588702	12	52734	66721.53	4831.13	103	1
6_MACS_peak_31575_lociStitched	chr8	142358795	142412578	6	52463	70740.7799	4872.7398	104	1
17_MACS_peak_28734_lociStitched	chr6	34041417	34098491	17	52087	66565.4062	4628.7014	105	1
12_MACS_peak_6911_lociStitched	chr11	64284917	64340868	12	52039	68221.0543	4817.3811	106	1
25_MACS_peak_19303_lociStitched	chr19	46955740	47011692	25	51941	67013.7104	5567.224	107	1
19_MACS_peak_16289_lociStitched	chr19	5731744	5788833	19	51934	67159.4996	7410.1522	108	1
9_MACS_peak_1017_lociStitched	chr1	6180796	6234012	9	51710	80393.4112	4677.6864	109	1
5_MACS_peak_22904_lociStitched	chr20	61850004	61901561	5	51168	92890.2469	4299.8538	110	1
46_MACS_peak_31243_lociStitched	chr8	7568368	7627908	46	51049	39570.284	4054.674	111	1
20_MACS_peak_17157_lociStitched	chr19	14269047	14323278	20	50711	58520.6721	4484.9037	112	1
9_MACS_peak_2951_lociStitched	chr1	21879683	21933950	9	50598	76994.0196	5122.8048	113	1
19_MACS_peak_3075_lociStitched	chr1	22906803	22961902	19	50208	64945.1913	4474.0388	114	1
23_MACS_peak_27084_lociStitched	chr4	7459054	7513718	23	49885	58069.5672	3935.808	115	1
4_MACS_peak_22851_lociStitched	chr20	61590384	61640713	4	49770	79167.517	4569.8732	116	1
2_MACS_peak_16748_lociStitched	chr19	8850998	8900910	2	49604	213144.2048	23124.2296	117	1
1_MACS_peak_19835_lociStitched	chr19	50594105	50643169	1	49065	104565.1968	14370.8456	118	1
17_MACS_peak_21994_lociStitched	chr20	56117814	56171923	17	48999	63107.3267	5161.9986	119	1
8_MACS_peak_217_lociStitched	chr1	2243737	2294416	8	48732	84882.2571	3861.7398	120	1
15_MACS_peak_18284_lociStitched	chr19	35977884	36028818	15	47890	60402.6306	4696.1148	121	1
7_MACS_peak_35_lociStitched	chr1	829524	879121	7	47756	97160.523	4642.2792	122	1
4_MACS_peak_32597_lociStitched	chr9	129370708	129419084	4	47743	82568.1568	4179.6864	123	1
16_MACS_peak_6361_lociStitched	chr11	1715693	1766901	16	47742	59268.1392	4731.6192	124	1
14_MACS_peak_16625_lociStitched	chr19	8172766	8224347	14	47429	68520.2004	6426.9926	125	1
7_MACS_peak_26357_lociStitched	chr3	128168428	128216714	7	47279	81767.5124	4616.1416	126	1
17_MACS_peak_24470_lociStitched	chr22	36941543	36993875	17	47046	58522.8756	4830.2436	127	1
20_MACS_peak_14912_lociStitched	chr17	75878557	75931590	20	46948	61035.6797	5239.6604	128	1
7_MACS_peak_14590_lociStitched	chr17	72333754	72381577	7	46786	58999.2351	4227.5532	129	1
13_MACS_peak_25304_lociStitched	chr22	45320275	45370923	13	46580	58230.0056	4051.84	130	1
10_MACS_peak_27605_lociStitched	chr4	9324610	9370989	10	46011	161060.3533	13528.7543	131	1
13_MACS_peak_6945_lociStitched	chr11	64398758	64448603	13	45966	60167.8995	4700.3835	132	1
4_MACS_peak_15382_lociStitched	chr17	79112983	79159701	4	45841	80121.37	4288.7124	133	1
28_MACS_peak_17395_lociStitched	chr19	15278801	15334193	28	45822	55835.136	5024.0544	134	1
6_MACS_peak_14086_lociStitched	chr17	48032919	48079330	6	45324	74596.4003	4353.3518	135	1
15_MACS_peak_10589_lociStitched	chr16	859041	907561	15	45322	63464.16	3988.344	136	1
11_MACS_peak_506_lociStitched	chr1	3489822	3536155	11	44947	66890.9521	3739.0731	137	1
14_MACS_peak_33719_lociStitched	chr9	138129838	138177066	14	44718	48923.4852	3707.398	138	1
4_MACS_peak_24604_lociStitched	chr22	37469262	37513869	4	44469	67057.7031	4358.1039	139	1
8_MACS_peak_22913_lociStitched	chr20	61936795	61983622	8	44325	64045.2879	3647.8233	140	1
9_MACS_peak_23250_lociStitched	chr21	43763119	43809058	9	44166	77113.2054	6748.4391	141	1
21_MACS_peak_18341_lociStitched	chr19	36319624	36370363	21	44107	51875.5536	3856.164	142	1
3_MACS_peak_30136_lociStitched	chr7	150862097	150905932	3	43756	71683.3755	6277.172	143	1
7_MACS_peak_14704_lociStitched	chr17	72908376	72953219	7	43532	59219.6658	4286.9908	144	1
8_MACS_peak_14037_lociStitched	chr17	47508211	47552541	8	43418	57447.247	4158.154	145	1
22_MACS_peak_15200_lociStitched	chr17	77685200	77734648	22	43414	55772.3992	4766.7872	146	1
6_MACS_peak_10680_lociStitched	chr16	1204329	1248331	6	42897	66729.033	2846.9294	147	1
4_MACS_peak_20517_lociStitched	chr2	26776623	26820070	4	42851	64479.6927	4774.8253	148	1
10_MACS_peak_24978_lociStitched	chr22	44212841	44257707	10	42801	52600.8984	3643.1192	149	1
13_MACS_peak_33023_lociStitched	chr9	134679383	134725415	13	42703	58262.7024	4299.3888	150	1
7_MACS_peak_22930_lociStitched	chr20	62019371	62064075	7	42228	65643.3536	3182.9248	151	1
9_MACS_peak_6400_lociStitched	chr11	1916997	1960800	9	41934	68223.1725	3701.3535	152	1
5_MACS_peak_28490_lociStitched	chr6	30408710	30451299	5	41890	70655.151	5826.1752	153	1
7_MACS_peak_8978_lociStitched	chr12	57577072	57619902	7	41812	68956.3	4835.507	154	1
9_MACS_peak_9198_lociStitched	chr13	113667018	113710913	9	41685	58314.5075	4130.5195	155	1
11_MACS_peak_18941_lociStitched	chr19	42467679	42511274	11	41650	61342.5245	3788.4055	156	1
17_MACS_peak_21841_lociStitched	chr20	48880561	48925055	17	41572	49237.0604	4124.5938	157	1
20_MACS_peak_33859_lociStitched	chr9	138546253	138593498	20	41556	52829.359	3392.191	158	1
21_MACS_peak_18892_lociStitched	chr19	42279658	42326962	21	41441	46343.7288	4990.572	159	1
15_MACS_peak_20232_lociStitched	chr19	55673341	55717947	15	41061	51109.5548	3920.8674	160	1
16_MACS_peak_13153_lociStitched	chr17	18971339	19014272	16	40996	40958.082	5001.6945	161	1
7_MACS_peak_23388_lociStitched	chr21	45760521	45803015	7	40888	70246.8314	5392.4886	162	1
3_MACS_peak_23781_lociStitched	chr22	20152002	20193497	3	40795	69097.474	3427.487	163	1
14_MACS_peak_13184_lociStitched	chr17	19095784	19140457	14	40788	41318.0577	4645.992	164	1
23_MACS_peak_27569_lociStitched	chr4	8876620	8922592	23	40723	48918.8052	3801.8844	165	1
11_MACS_peak_32242_lociStitched	chr8	144927602	144971080	11	40597	57260.526	4234.7572	166	1
10_MACS_peak_16558_lociStitched	chr19	7828002	7870570	10	40479	53039.728	5435.9336	167	1
4_MACS_peak_33936_lociStitched	chr9	139013608	139054601	4	40364	62821.7725	3066.2764	168	1
7_MACS_peak_6967_lociStitched	chr11	64474361	64516452	7	40355	64462.3665	4672.101	169	1
7_MACS_peak_33328_lociStitched	chr9	136491760	136533345	7	40244	53469.993	3039.8635	170	1
4_MACS_peak_26704_lociStitched	chr4	3458577	3499314	4	40052	75347.1552	3552.2664	171	1
5_MACS_peak_15813_lociStitched	chr19	1508316	1549465	5	40031	77240.7879	5402.8637	172	1
4_MACS_peak_23784_lociStitched	chr22	20197425	20237426	4	39732	61805.5451	3392.0848	173	1
9_MACS_peak_26743_lociStitched	chr4	3626474	3666903	9	39699	52565.7858	3569.8807	174	1
13_MACS_peak_22855_lociStitched	chr20	61646169	61687913	13	39487	55786.6816	3423.008	175	1
