REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X29_0F2F_0229Kronos_MM1S.KB.24hr.1_H3K27me3_hs.dm_i17.bam	X43_0EXV_0229Kronos_MM1S.KB.24hr.1_Input_hs_i87.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank.1	isSuper
21_MACS_peak_23287_lociStitched	chr21	44032309	44231057	21	193806	358183.6456	26294.3604	1	PDE9A		PDE9A	1	1
26_MACS_peak_15060_lociStitched	chr17	77074412	77298069	26	216178	341166.3878	17959.6571	2	ENGASE,RBFOX3	C1QTNF1	ENGASE	2	1
16_MACS_peak_1659_lociStitched	chr1	10700043	10904008	16	201097	319633.5515	17826.541	3	CASZ1		CASZ1	3	1
11_MACS_peak_15822_lociStitched	chr19	1668952	1812376	11	139994	306497.088	19319.2128	4	ONECUT3,ATP8B3	LOC100288123,TCF3,MIR1909,REXO1	ONECUT3	4	1
15_MACS_peak_16074_lociStitched	chr19	3798329	3953549	15	152570	265550.376	19200.714	5	ATCAY,ITGB1BP3,MATK,ZFR2	MRPL54,APBA3,RAX2,MATK,MIR637,DAPK3,SNORD37,EEF2	ATCAY	5	1
23_MACS_peak_15395_lociStitched	chr17	79316643	79473430	23	151468	248570.1098	13248.5015	6	BAHCC1,MIR3186	FSCN2,SLC38A10,C17orf55,TMEM105,ACTG1,C17orf70	BAHCC1	6	1
14_MACS_peak_33974_lociStitched	chr9	139477336	139615599	14	136084	243273.7485	11254.6082	7	EGFL7,MIR126,FAM69B,AGPAT2	LOC100128593,NOTCH1,SNORA43,SNORA17,SNHG7,LCN10,LCN6,LCN8,LCN15	EGFL7	7	1
6_MACS_peak_15376_lociStitched	chr17	78996811	79111660	6	112673	220360.7763	9693.2556	8	BAIAP2,MIR3065,FLJ90757,AATK,MIR657,MIR338,MIR1250	CHMP6,LOC388428	MIR657	8	1
8_MACS_peak_27597_lociStitched	chr4	9211654	9274638	8	62495	221961.9144	19676.2016	9	USP17		USP17	9	1
14_MACS_peak_15763_lociStitched	chr19	681206	794476	14	109212	204463.677	13343.206	10	FSTL3,PALM,C19orf21,PRSSL1	FGF22,PTBP1,MIR3187,AZU1,PRTN3,POLRMT,RNF126,LPPR3	C19orf21	10	1
29_MACS_peak_32774_lociStitched	chr9	132404988	132559080	29	146340	204433.8564	14053.1904	11	PRRX2,PTGES	METTL11A,TOR1B,USP20,C9orf50,ASB6,TOR1A,C9orf78	PTGES	11	1
2_MACS_peak_16748_lociStitched	chr19	8850998	8900910	2	49604	213144.2048	23124.2296	12		OR2Z1,ACTL9,ZNF558	OR2Z1	12	1
20_MACS_peak_24628_lociStitched	chr22	37711692	37846769	20	129830	194970.1418	12305.5147	13	ELFN2	CYTH4,MFNG	ELFN2	13	1
4_MACS_peak_23555_lociStitched	chr21	46708574	46794503	4	85350	182736.6114	11557.4505	14	LOC642852	COL18A1,POFUT2	LOC642852	14	1
27_MACS_peak_6334_lociStitched	chr11	1591811	1714620	27	115675	178490.6006	11912.473	15	LOC338651,KRTAP5-5,FAM99A,MOB2,DUSP8,KRTAP5-1,KRTAP5-2,KRTAP5-3,KRTAP5-4,FAM99B	KRTAP5-6	KRTAP5-5	15	1
18_MACS_peak_33053_lociStitched	chr9	134995335	135116579	18	116375	174288.25	11215.07	16	NTNG2	MED27	NTNG2	16	1
33_MACS_peak_153_lociStitched	chr1	1914207	2044853	33	124824	165450.0944	10294.9048	17	GABRD,PRKCZ,KIAA1751		PRKCZ	17	1
8_MACS_peak_22794_lociStitched	chr20	60985126	61072501	8	86616	159468.1125	7024.95	18	C20orf151,GATA5	RPS21,LAMA5,CABLES2	GATA5	18	1
19_MACS_peak_12532_lociStitched	chr17	1041222	1148820	19	102833	159535.5546	9974.3346	19	ABR	BHLHA9,TUSC5,ABR	ABR	19	1
10_MACS_peak_27605_lociStitched	chr4	9324610	9370989	10	46011	161060.3533	13528.7543	20	USP17,USP17L6P		USP17L6P	20	1
2_MACS_peak_15797_lociStitched	chr19	1282705	1345203	2	62044	154420.0584	7568.5078	21	EFNA2	ATP5D,MIDN,CIRBP,C19orf24,MUM1,NDUFS7,C19orf26,C19orf23	EFNA2	21	1
17_MACS_peak_10686_lociStitched	chr16	1249341	1341214	17	89348	152601.053	7349.84	22	CACNA1H,TPSAB1,TPSD1,TPSG1,TPSB2	UBE2I,BAIAP3	TPSAB1	22	1
5_MACS_peak_6413_lociStitched	chr11	1982102	2064718	5	82323	151955.6088	7162.8072	23	LOC100133545,H19,MIR675	TNNT3,MRPL23	H19	23	1
15_MACS_peak_491_lociStitched	chr1	3394486	3488304	15	90458	146149.6804	7336.5676	24	ARHGEF16,MEGF6,MIR551A		MIR551A	24	1
20_MACS_peak_15104_lociStitched	chr17	77348059	77455849	20	103612	147090.234	9496.299	25	RBFOX3		RBFOX3	25	1
