REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X08_0EWU_0229Kronos_MM1S.KB.6hr.2_H3K18Ac_hs.dm_i16.bam	X42_0EXU_0229Kronos_MM1S.KB.6hr.2_Input_hs_i86.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isSuper
8_MACS_peak_21654_lociStitched	chr3	141079038	141149682	8	57401	363625.8612	14517.342	1	ZBTB38		ZBTB38	ZBTB38	2.6112	1	1
5_MACS_peak_2605_lociStitched	chr1	203254720	203301212	5	38796	302993.0132	13361.8008	2	BTG2,LOC730227	FMOD	BTG2	BTG2	3.2494	2	1
2_MACS_peak_9670_lociStitched	chr14	106023385	106056887	2	32086	228513.7918	5397.1722	3		TMEM121	TMEM121	TMEM121	0.172	3	1
7_MACS_peak_15841_lociStitched	chr2	37526047	37607444	7	64128	230190.716	14293.3132	4	QPCT,PRKD3		QPCT	QPCT	3.2624	4	1
3_MACS_peak_25976_lociStitched	chr6	7885879	7921536	3	34853	206500.3841	7698.3463	5	MUTED-TXNDC5,TXNDC5		TXNDC5	TXNDC5	3.8406000000000002	5	1
2_MACS_peak_19629_lociStitched	chr22	23265085	23286843	2	21579	191777.1878	4556.1252	6		IGLL5	IGLL5	IGLL5	7.6418	6	1
4_MACS_peak_25846_lociStitched	chr6	289928	338092	4	37675	189313.4184	14969.3712	7	DUSP22		DUSP22	DUSP22	2.5069999999999997	7	1
4_MACS_peak_16621_lociStitched	chr2	99054560	99108248	4	46970	165648.9552	10173.876	8	INPP4A		INPP4A	INPP4A	1.0673	8	1
3_MACS_peak_19625_lociStitched	chr22	23217639	23247634	3	28071	158022.6585	4928.1785	9	IGLL5		IGLL5	IGLL5	7.6418	9	1
4_MACS_peak_9676_lociStitched	chr14	106143799	106173281	4	29093	154255.7204	3467.0832	10			TMEM121	TMEM121	0.172	10	1
1_MACS_peak_23230_lociStitched	chr4	90204731	90230270	1	25540	151109.1552	5766.7062	11	GPRIN3		GPRIN3	GPRIN3	2.0096	11	1
3_MACS_peak_12536_lociStitched	chr17	32688343	32727186	3	36829	152245.1385	7554.9635	12	CCL1	CCL8,CCL13	CCL1	CCL1	1.7978	12	1
1_MACS_peak_5538_lociStitched	chr11	65183167	65199976	1	16810	126353.253	4178.7174	13	NEAT1	FRMD8,MIR612,SLC25A45	NEAT1	NEAT1	7.6703	13	1
5_MACS_peak_18482_lociStitched	chr20	30261972	30312318	5	42389	129943.026	9998.7156	14	BCL2L1	COX4I2,TPX2	BCL2L1	BCL2L1	1.7834	14	1
3_MACS_peak_28996_lociStitched	chr7	102063575	102093220	3	23270	125143.403	5199.733	15	PRKRIP1,ORAI2	LRWD1,ALKBH4,POLR2J	ORAI2	ORAI2	2.0845	15	1
7_MACS_peak_11130_lociStitched	chr16	11794100	11837945	7	35943	125598.387	7940.3295	16	TXNDC11	SNN	TXNDC11	TXNDC11	2.4739	16	1
6_MACS_peak_27195_lociStitched	chr6	108878121	108954012	6	66738	129439.6896	11884.5306	17	FOXO3		FOXO3	FOXO3	1.1760000000000002	17	1
6_MACS_peak_12291_lociStitched	chr17	16858797	16895686	6	28465	123519.1276	6640.02	18	TNFRSF13B		TNFRSF13B	TNFRSF13B	1.7175	18	1
4_MACS_peak_12587_lociStitched	chr17	34597768	34641861	4	37810	126013.3847	9594.6368	19	CCL4L1,CCL3L1,CCL3L3	TBC1D3C	TBC1D3C	NONE	NONE	19	1
2_MACS_peak_1762_lociStitched	chr1	150531781	150553921	2	18899	122885.856	6768.198	20	ADAMTSL4,MCL1	MIR4257,ENSA	MCL1	MCL1	0.9992000000000001	20	1
7_MACS_peak_9514_lociStitched	chr14	91829368	91885988	7	46604	118488.674	5560.084	21	CCDC88C		CCDC88C	CCDC88C	0.9244000000000001	21	1
2_MACS_peak_5100_lociStitched	chr11	22676868	22704028	2	23567	115826.536	4698.68	22	GAS2	FANCF	GAS2	GAS2	0.7071	22	1
5_MACS_peak_13643_lociStitched	chr18	9054061	9084925	5	20714	116456.0448	6036.9984	23		NDUFV2	NDUFV2	NDUFV2	1.5936	23	1
3_MACS_peak_21985_lociStitched	chr3	171801653	171827315	3	25055	117023.8524	6610.5312	24	FNDC3B		FNDC3B	FNDC3B	0.3561	24	1
3_MACS_peak_22985_lociStitched	chr4	71523463	71555180	3	24548	115713.1311	5886.6752	25	UTP3,IGJ	ENAM,RUFY3	IGJ	IGJ	2.1666	25	1
3_MACS_peak_12583_lociStitched	chr17	34509013	34540328	3	27298	116566.956	7224.3705	26	CCL4L1,CCL3L1,CCL3L3	TBC1D3B	CCL3L1	CCL3L1	3.869	26	1
4_MACS_peak_4568_lociStitched	chr10	112599770	112633348	4	24719	115118.8152	6084.3336	27	PDCD4,LOC282997	SHOC2,NCRNA00081	LOC282997	LOC282997	2.8135000000000003	27	1
1_MACS_peak_3405_lociStitched	chr10	11202249	11224033	1	21785	113246.3024	5106.1696	28	CELF2		CELF2	CELF2	0.46599999999999997	28	1
