REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X08_0EWU_0229Kronos_MM1S.KB.6hr.2_H3K18Ac_hs.dm_i16.bam	X42_0EXU_0229Kronos_MM1S.KB.6hr.2_Input_hs_i86.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isSuperStretch
8_MACS_peak_21654_lociStitched	chr3	141079038	141149682	8	57401	363625.8612	14517.342	1	ZBTB38		ZBTB38	1	1
7_MACS_peak_15841_lociStitched	chr2	37526047	37607444	7	64128	230190.716	14293.3132	2	QPCT,PRKD3		QPCT	2	1
6_MACS_peak_27195_lociStitched	chr6	108878121	108954012	6	66738	129439.6896	11884.5306	3	FOXO3		FOXO3	3	1
5_MACS_peak_2605_lociStitched	chr1	203254720	203301212	5	38796	302993.0132	13361.8008	4	BTG2,LOC730227	FMOD	BTG2	4	1
4_MACS_peak_16621_lociStitched	chr2	99054560	99108248	4	46970	165648.9552	10173.876	5	INPP4A		INPP4A	5	1
2_MACS_peak_9670_lociStitched	chr14	106023385	106056887	2	32086	228513.7918	5397.1722	6		TMEM121	TMEM121	6	1
3_MACS_peak_25976_lociStitched	chr6	7885879	7921536	3	34853	206500.3841	7698.3463	7	MUTED-TXNDC5,TXNDC5		TXNDC5	7	1
7_MACS_peak_9514_lociStitched	chr14	91829368	91885988	7	46604	118488.674	5560.084	8	CCDC88C		CCDC88C	8	1
4_MACS_peak_25846_lociStitched	chr6	289928	338092	4	37675	189313.4184	14969.3712	9	DUSP22		DUSP22	9	1
5_MACS_peak_18482_lociStitched	chr20	30261972	30312318	5	42389	129943.026	9998.7156	10	BCL2L1	COX4I2,TPX2	BCL2L1	10	1
3_MACS_peak_12536_lociStitched	chr17	32688343	32727186	3	36829	152245.1385	7554.9635	11	CCL1	CCL8,CCL13	CCL1	11	1
3_MACS_peak_1545_lociStitched	chr1	118141856	118189275	3	40994	102496.1685	5315.6699	12	FAM46C		FAM46C	12	1
4_MACS_peak_12587_lociStitched	chr17	34597768	34641861	4	37810	126013.3847	9594.6368	13	CCL4L1,CCL3L1,CCL3L3	TBC1D3C	TBC1D3C	13	1
7_MACS_peak_11130_lociStitched	chr16	11794100	11837945	7	35943	125598.387	7940.3295	14	TXNDC11	SNN	TXNDC11	14	1
2_MACS_peak_19629_lociStitched	chr22	23265085	23286843	2	21579	191777.1878	4556.1252	15		IGLL5	IGLL5	15	1
4_MACS_peak_9676_lociStitched	chr14	106143799	106173281	4	29093	154255.7204	3467.0832	16			TMEM121	16	1
5_MACS_peak_30760_lociStitched	chr8	120912558	120951310	5	36840	95922.8256	6335.952	17	DEPDC6	DSCC1	DEPDC6	17	1
3_MACS_peak_19625_lociStitched	chr22	23217639	23247634	3	28071	158022.6585	4928.1785	18	IGLL5		IGLL5	18	1
7_MACS_peak_13944_lociStitched	chr18	46439433	46482984	7	37993	74942.5608	7451.5761	19	SMAD7		SMAD7	19	1
1_MACS_peak_23230_lociStitched	chr4	90204731	90230270	1	25540	151109.1552	5766.7062	20	GPRIN3		GPRIN3	20	1
5_MACS_peak_13146_lociStitched	chr17	62150031	62187309	5	34286	85243.6026	7030.6308	21	ERN1	SNORD104,SNORA76	ERN1	21	1
4_MACS_peak_4686_lociStitched	chr10	125821816	125854980	4	31765	109159.306	5969.52	22	CHST15		CHST15	22	1
6_MACS_peak_12291_lociStitched	chr17	16858797	16895686	6	28465	123519.1276	6640.02	23	TNFRSF13B		TNFRSF13B	23	1
9_MACS_peak_27560_lociStitched	chr6	138244518	138297694	9	33203	70740.0328	8561.336	24			TNFAIP3	24	1
3_MACS_peak_12583_lociStitched	chr17	34509013	34540328	3	27298	116566.956	7224.3705	25	CCL4L1,CCL3L1,CCL3L3	TBC1D3B	CCL3L1	25	1
3_MACS_peak_22173_lociStitched	chr3	183227750	183260906	3	28757	94093.4124	8902.386	26	KLHL6		KLHL6	26	1
1_MACS_peak_27152_lociStitched	chr6	106530472	106556477	1	26006	110601.8655	5211.402	27	PRDM1		PRDM1	27	1
3_MACS_peak_21985_lociStitched	chr3	171801653	171827315	3	25055	117023.8524	6610.5312	28	FNDC3B		FNDC3B	28	1
3_MACS_peak_28996_lociStitched	chr7	102063575	102093220	3	23270	125143.403	5199.733	29	PRKRIP1,ORAI2	LRWD1,ALKBH4,POLR2J	ORAI2	29	1
4_MACS_peak_29571_lociStitched	chr7	150052558	150084926	4	25581	112886.6368	8312.1024	30	REPIN1,ZNF775	LRRC61,C7orf29,LOC728743,LOC285972,ACTR3C,RARRES2	REPIN1	30	1
4_MACS_peak_4568_lociStitched	chr10	112599770	112633348	4	24719	115118.8152	6084.3336	31	PDCD4,LOC282997	SHOC2,NCRNA00081	LOC282997	31	1
3_MACS_peak_22985_lociStitched	chr4	71523463	71555180	3	24548	115713.1311	5886.6752	32	UTP3,IGJ	ENAM,RUFY3	IGJ	32	1
6_MACS_peak_15066_lociStitched	chr19	42022224	42062902	6	28750	77955.3192	7155.2602	33		CEACAM21	CEACAM21	33	1
2_MACS_peak_5100_lociStitched	chr11	22676868	22704028	2	23567	115826.536	4698.68	34	GAS2	FANCF	GAS2	34	1
5_MACS_peak_26725_lociStitched	chr6	52392473	52424382	5	28326	76441.2004	5893.5923	35	TRAM2		TRAM2	35	1
4_MACS_peak_20691_lociStitched	chr3	46317555	46347535	4	28898	64831.75	4988.672	36		CCR3,CCR2	CCR3	36	1
10_MACS_peak_17705_lociStitched	chr2	204523795	204574128	10	28196	74200.9086	7635.5161	37	CD28		CD28	37	1
1_MACS_peak_3405_lociStitched	chr10	11202249	11224033	1	21785	113246.3024	5106.1696	38	CELF2		CELF2	38	1
5_MACS_peak_28514_lociStitched	chr7	55614390	55643569	5	28286	53412.1595	5045.0491	39	VOPP1		VOPP1	39	1
5_MACS_peak_13643_lociStitched	chr18	9054061	9084925	5	20714	116456.0448	6036.9984	40		NDUFV2	NDUFV2	40	1
3_MACS_peak_10399_lociStitched	chr15	68568812	68599539	3	27584	59745.5788	5125.2636	41	FEM1B,ITGA11	CLN6	FEM1B	41	1
3_MACS_peak_25214_lociStitched	chr5	131744847	131774520	3	22508	103570.6392	5738.7582	42	C5orf56	SLC22A5,MIR3936	C5orf56	42	1
3_MACS_peak_25724_lociStitched	chr5	173309390	173344078	3	28119	46939.8016	5914.304	43	CPEB4		CPEB4	43	1
2_MACS_peak_1762_lociStitched	chr1	150531781	150553921	2	18899	122885.856	6768.198	44	ADAMTSL4,MCL1	MIR4257,ENSA	MCL1	44	1
4_MACS_peak_2689_lociStitched	chr1	206282002	206311340	4	21800	108101.7286	7099.796	45	C1orf186	CTSE	C1orf186	45	1
1_MACS_peak_5538_lociStitched	chr11	65183167	65199976	1	16810	126353.253	4178.7174	46	NEAT1	FRMD8,MIR612,SLC25A45	NEAT1	46	1
5_MACS_peak_24827_lociStitched	chr5	88594131	88620502	5	23755	89028.496	4757.3284	47			MEF2C	47	1
5_MACS_peak_27033_lociStitched	chr6	90056089	90086260	5	24116	79775.1411	5466.9852	48	UBE2J1,RRAGD	GABRR2	UBE2J1	48	1
