REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	08_0EWU_0229Kronos_MM1S-KB-6hr-2_H3K18Ac_hs-dm_i16.bam	42_0EXU_0229Kronos_MM1S-KB-6hr-2_Input_hs_i86.bam
7_MACS_peak_15841_lociStitched	chr2	37526047	37607444	7	64128	230190.716	14293.3132
6_MACS_peak_27195_lociStitched	chr6	108878121	108954012	6	66738	129439.6896	11884.5306
8_MACS_peak_21654_lociStitched	chr3	141079038	141149682	8	57401	363625.86120000004	14517.341999999999
7_MACS_peak_9514_lociStitched	chr14	91829368	91885988	7	46604	118488.67399999998	5560.084
4_MACS_peak_16621_lociStitched	chr2	99054560	99108248	4	46970	165648.9552	10173.876
9_MACS_peak_27560_lociStitched	chr6	138244518	138297694	9	33203	70740.0328	8561.336
5_MACS_peak_18482_lociStitched	chr20	30261972	30312318	5	42389	129943.026	9998.7156
10_MACS_peak_17705_lociStitched	chr2	204523795	204574128	10	28196	74200.9086	7635.5161
4_MACS_peak_25846_lociStitched	chr6	289928	338092	4	37675	189313.4184	14969.371200000001
3_MACS_peak_1545_lociStitched	chr1	118141856	118189275	3	40994	102496.16850000001	5315.6699
5_MACS_peak_2605_lociStitched	chr1	203254720	203301212	5	38796	302993.0132	13361.800799999999
4_MACS_peak_12587_lociStitched	chr17	34597768	34641861	4	37810	126013.3847	9594.6368
7_MACS_peak_11130_lociStitched	chr16	11794100	11837945	7	35943	125598.38699999999	7940.329500000001
7_MACS_peak_13944_lociStitched	chr18	46439433	46482984	7	37993	74942.5608	7451.5761
7_MACS_peak_10811_lociStitched	chr15	93346252	93389625	7	19854	60197.386699999995	6171.977900000001
6_MACS_peak_15066_lociStitched	chr19	42022224	42062902	6	28750	77955.3192	7155.2602
3_MACS_peak_12536_lociStitched	chr17	32688343	32727186	3	36829	152245.1385	7554.9635
5_MACS_peak_30760_lociStitched	chr8	120912558	120951310	5	36840	95922.8256	6335.952
5_MACS_peak_13146_lociStitched	chr17	62150031	62187309	5	34286	85243.60260000001	7030.6308
6_MACS_peak_12291_lociStitched	chr17	16858797	16895686	6	28465	123519.12759999999	6640.0199999999995
3_MACS_peak_25976_lociStitched	chr6	7885879	7921536	3	34853	206500.3841	7698.3463
