#08_0EWU_0229Kronos_MM1S-KB-6hr-2_H3K18Ac_hs-dm_i16_peaks Enhancers
#Created from /data/projects/IRF4_mm_trn_data/p300_internal_ChIP/rose/08_0EWU_0229Kronos_MM1S-KB-6hr-2_H3K18Ac_hs-dm_i16_ROSE/08_0EWU_0229Kronos_MM1S-KB-6hr-2_H3K18Ac_hs-dm_i16_peaks_5KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by X08_0EWU_0229Kronos_MM1S.KB.6hr.2_H3K18Ac_hs.dm_i16.bam
#Using cutoff of 16723.5007 for Super-Enhancers
#Created on Jul 18 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X08_0EWU_0229Kronos_MM1S.KB.6hr.2_H3K18Ac_hs.dm_i16.bam	X42_0EXU_0229Kronos_MM1S.KB.6hr.2_Input_hs_i86.bam	enhancerRank	isStretch
6_MACS_peak_27195_lociStitched	chr6	108878121	108954012	6	66738	129439.6896	11884.5306	1	1
7_MACS_peak_15841_lociStitched	chr2	37526047	37607444	7	64128	230190.716	14293.3132	2	1
8_MACS_peak_21654_lociStitched	chr3	141079038	141149682	8	57401	363625.8612	14517.342	3	1
4_MACS_peak_16621_lociStitched	chr2	99054560	99108248	4	46970	165648.9552	10173.876	4	1
7_MACS_peak_9514_lociStitched	chr14	91829368	91885988	7	46604	118488.674	5560.084	5	1
5_MACS_peak_18482_lociStitched	chr20	30261972	30312318	5	42389	129943.026	9998.7156	6	1
3_MACS_peak_1545_lociStitched	chr1	118141856	118189275	3	40994	102496.1685	5315.6699	7	1
5_MACS_peak_2605_lociStitched	chr1	203254720	203301212	5	38796	302993.0132	13361.8008	8	1
7_MACS_peak_13944_lociStitched	chr18	46439433	46482984	7	37993	74942.5608	7451.5761	9	1
4_MACS_peak_12587_lociStitched	chr17	34597768	34641861	4	37810	126013.3847	9594.6368	10	1
4_MACS_peak_25846_lociStitched	chr6	289928	338092	4	37675	189313.4184	14969.3712	11	1
5_MACS_peak_30760_lociStitched	chr8	120912558	120951310	5	36840	95922.8256	6335.952	12	1
3_MACS_peak_12536_lociStitched	chr17	32688343	32727186	3	36829	152245.1385	7554.9635	13	1
7_MACS_peak_11130_lociStitched	chr16	11794100	11837945	7	35943	125598.387	7940.3295	14	1
3_MACS_peak_25976_lociStitched	chr6	7885879	7921536	3	34853	206500.3841	7698.3463	15	1
5_MACS_peak_13146_lociStitched	chr17	62150031	62187309	5	34286	85243.6026	7030.6308	16	1
9_MACS_peak_27560_lociStitched	chr6	138244518	138297694	9	33203	70740.0328	8561.336	17	1
2_MACS_peak_9670_lociStitched	chr14	106023385	106056887	2	32086	228513.7918	5397.1722	18	1
4_MACS_peak_4686_lociStitched	chr10	125821816	125854980	4	31765	109159.306	5969.52	19	1
4_MACS_peak_9676_lociStitched	chr14	106143799	106173281	4	29093	154255.7204	3467.0832	20	1
4_MACS_peak_20691_lociStitched	chr3	46317555	46347535	4	28898	64831.75	4988.672	21	1
3_MACS_peak_22173_lociStitched	chr3	183227750	183260906	3	28757	94093.4124	8902.386	22	1
6_MACS_peak_15066_lociStitched	chr19	42022224	42062902	6	28750	77955.3192	7155.2602	23	1
6_MACS_peak_12291_lociStitched	chr17	16858797	16895686	6	28465	123519.1276	6640.02	24	1
5_MACS_peak_26725_lociStitched	chr6	52392473	52424382	5	28326	76441.2004	5893.5923	25	1
5_MACS_peak_28514_lociStitched	chr7	55614390	55643569	5	28286	53412.1595	5045.0491	26	1
10_MACS_peak_17705_lociStitched	chr2	204523795	204574128	10	28196	74200.9086	7635.5161	27	1
3_MACS_peak_25724_lociStitched	chr5	173309390	173344078	3	28119	46939.8016	5914.304	28	1
3_MACS_peak_19625_lociStitched	chr22	23217639	23247634	3	28071	158022.6585	4928.1785	29	1
3_MACS_peak_10399_lociStitched	chr15	68568812	68599539	3	27584	59745.5788	5125.2636	30	1
3_MACS_peak_12583_lociStitched	chr17	34509013	34540328	3	27298	116566.956	7224.3705	31	1
2_MACS_peak_18008_lociStitched	chr2	232687115	232714641	2	27235	31572.322	3729.773	32	1
1_MACS_peak_27152_lociStitched	chr6	106530472	106556477	1	26006	110601.8655	5211.402	33	1
