GENE	H3k18ac_8_DMSO_compare_TSS_SIGNAL	H3k18ac_8_DMSO_compare_DISTAL_SIGNAL
A1BG	0.0	958.8121000000001
A1BG-AS1	0.0	958.8121000000001
A2LD1	1808.7972000000002	634.2661
A2M	0.0	12.784
A2ML1	0.0	0.0
A4GALT	0.0	2738.4936
A4GNT	0.0	1921.0167999999999
AAA1	0.0	15452.125
AAAS	3747.1528	19021.359900000003
AACS	844.767	2900.4802
AACSP1	0.0	0.0
AADAC	0.0	913.6038
AADACL3	0.0	0.0
AADAT	0.0	4305.5532
AAGAB	2158.2973	2769.8609
AAK1	9505.0	3076.6446
AAMP	2259.9982999999997	17755.922300000002
AANAT	843.2199999999999	32940.4986
AARS	4634.0	9018.3454
AARS2	1888.5303000000001	18568.3458
AARSD1	2561.3235	3823.6769
AASDH	2463.3144	966.9732
AASDHPPT	5478.166	657.9468999999999
AASS	2457.0	5690.7098
AATF	2605.4	35.4208
AATK	0.0	816.4391
ABAT	0.0	138.92440000000002
ABCA1	1052.0529	8442.133699999998
ABCA10	0.0	1146.4837
ABCA11P	2933.466	11.1496
ABCA12	0.0	890.3888
ABCA13	0.0	9002.3992
ABCA17P	0.0	749.0015
ABCA2	0.0	5066.7373
ABCA3	0.0	749.0015
ABCA5	4000.7999999999997	4300.340200000001
ABCA6	0.0	2126.2032
ABCA7	3094.3999999999996	29977.255199999996
ABCA9	0.0	2126.2032
ABCB1	0.0	6.9052
ABCB10	4452.200000000001	674.3564000000001
ABCB11	0.0	4704.6596
ABCB5	0.0	3038.086
ABCB6	2619.1443	5078.1561
ABCB7	1655.4236	0.0
ABCB8	3137.2	14470.202800000001
ABCB9	3299.7025	67379.42880000001
ABCC1	3364.9700000000003	4239.098800000001
ABCC10	2495.948	2017.5456
ABCC11	0.0	1553.6552
ABCC12	0.0	30.667700000000004
ABCC13	0.0	0.0
ABCC2	0.0	0.0
ABCC3	0.0	6481.7497
ABCC4	946.5599	438.9088
ABCC5	0.0	2036.7168000000001
ABCC6	0.0	3991.3492
ABCC6P1	0.0	4642.5729
ABCC6P2	0.0	2906.2422
ABCC8	0.0	2806.1721
ABCD1	1294.9605000000001	1408.9681
ABCD2	11509.0	7443.329099999999
ABCD3	1131.1438	0.0
ABCD4	0.0	1614.6288000000002
ABCE1	2425.0682	6140.3078000000005
ABCF1	1796.2	21486.804699999997
ABCF2	2260.2000000000003	305.0514
ABCF3	4405.599999999999	3576.9867999999997
ABCG1	2768.0077	32800.1151
ABCG2	0.0	16129.716699999999
ABCG4	0.0	9771.8654
ABCG5	0.0	0.0
ABCG8	0.0	0.0
ABHD1	1732.497	58938.4869
ABHD10	2932.7265	4530.9732
ABHD11	3847.2236	3722.9241
ABHD12	3409.6000000000004	65141.9756
ABHD12B	0.0	5265.928800000001
ABHD13	2028.4474	205.01459999999997
ABHD14A	3184.7431	1616.0129
ABHD14B	4161.262100000001	1616.0129
ABHD15	4254.5082999999995	5834.3926
ABHD2	3248.2000000000003	68930.2551
ABHD3	4651.1934	6494.2365
ABHD4	6252.17	30355.935400000006
ABHD5	3812.0	217.85500000000002
ABHD6	1471.4826	1365.5218999999997
ABHD8	1439.4912000000002	8593.6104
ABI1	4048.8525	8520.480599999999
ABI2	2516.394	1474.4038
ABI3	0.0	6004.153800000001
ABL1	2709.5769	721.5133000000001
ABL2	2216.83	8111.934400000002
ABLIM1	1664.2209999999998	1134.4124
ABO	0.0	295.6164
ABP1	0.0	8505.625300000002
ABR	6045.0	21423.910100000005
ABRA	0.0	1015.6019
ABT1	2347.2	24167.505
ABTB1	3236.5333	12674.5472
ABTB2	691.4264	456.3519
ACAA1	4459.1435	305.4192
ACAA2	5498.6443	2753.9931
ACACA	6571.6486	2601.5278000000003
ACACB	0.0	9888.4546
ACAD10	752.9985	51.7972
