REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X14_0EX0_0229Kronos_MM1S.KB.1hr.2_H3K27Ac_hs.dm_i23.bam	X38_0EXQ_0229Kronos_MM1S.KB.1hr.2_Input_hs_i81.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank.1	isSuper
10_MACS_peak_16852_lociStitched	chr3	141079255	141159178	10	54860	375214.5081	16088.4999	1	ZBTB38	RASA2	ZBTB38	1	1
3_MACS_peak_19920_lociStitched	chr6	7880073	7919627	3	36982	246377.9106	8927.3378	2	BMP6,MUTED-TXNDC5,TXNDC5		TXNDC5	2	1
7_MACS_peak_1195_lociStitched	chr1	118147591	118219140	7	55077	241957.2533	8178.0507	3	FAM46C		FAM46C	3	1
5_MACS_peak_18530_lociStitched	chr5	1311809	1346330	5	25067	230403.5103	7194.1764	4	CLPTM1L	TERT	CLPTM1L	4	1
4_MACS_peak_11138_lociStitched	chr19	2594906	2629028	4	19113	215883.0696	8445.195	5	GNG7		GNG7	5	1
9_MACS_peak_8459_lociStitched	chr16	11765955	11843343	9	64117	180027.7044	14107.8324	6	SNN,TXNDC11	ZC3H7A	TXNDC11	6	1
3_MACS_peak_22628_lociStitched	chr8	2027255	2050915	3	18507	160204.226	4261.166	7	MYOM2		MYOM2	7	1
5_MACS_peak_15261_lociStitched	chr22	23217787	23249030	5	25856	158442.6259	4495.8677	8	IGLL5		IGLL5	8	1
1_MACS_peak_6613_lociStitched	chr13	114828897	114835097	1	6201	155062.62	1567.98	9	RASA3		RASA3	9	1
5_MACS_peak_1468_lociStitched	chr1	154908113	154957811	5	36087	165081.8466	13005.9666	10	CKS1B,MIR4258,FLAD1,PMVK,PBXIP1,PYGO2,SHC1	LENEP,ZBTB7B,DCST1,DCST2	PYGO2	10	1
4_MACS_peak_1968_lociStitched	chr1	203255070	203298045	4	29263	159080.5575	12346.7175	11	BTG2,LOC730227	FMOD	BTG2	11	1
1_MACS_peak_2539_lociStitched	chr10	11202613	11223905	1	21293	150547.2152	4786.4416	12	CELF2		CELF2	12	1
2_MACS_peak_5361_lociStitched	chr12	53573155	53603950	2	24771	151668.4545	6593.2095	13	ZNF740,CSAD,ITGB7	MFSD5,RARG	ITGB7	13	1
5_MACS_peak_12416_lociStitched	chr2	37528399	37586350	5	46174	153373.1166	9828.4896	14	QPCT,PRKD3		PRKD3	14	1
6_MACS_peak_12997_lociStitched	chr2	99054910	99108072	6	43314	152511.1456	10419.752	15	INPP4A		INPP4A	15	1
4_MACS_peak_9477_lociStitched	chr17	16864032	16895401	4	20790	147870.3291	5960.11	16	TNFRSF13B		TNFRSF13B	16	1
2_MACS_peak_4138_lociStitched	chr11	65183276	65209397	2	19484	144540.5535	6498.9048	17	NEAT1	FRMD8,MIR612,SLC25A45	NEAT1	17	1
7_MACS_peak_19817_lociStitched	chr6	290154	337843	7	31916	148451.0881	14850.3546	18	DUSP22		DUSP22	18	1
2_MACS_peak_15266_lociStitched	chr22	23269436	23285969	2	15892	136046.7504	3908.4012	19		IGLL5	IGLL5	19	1
1_MACS_peak_24824_lociStitched	chrX	19469773	19470944	1	1172	125816.1043	133.1427	20	MAP3K15		MAP3K15	20	1
3_MACS_peak_7285_lociStitched	chr14	106024682	106052638	3	25474	129643.1544	4819.6144	21		TMEM121	TMEM121	21	1
7_MACS_peak_14371_lociStitched	chr20	30249177	30312252	7	49027	136305.075	11895.945	22	BCL2L1	COX4I2,TPX2	BCL2L1	22	1
3_MACS_peak_15286_lociStitched	chr22	24176797	24200981	3	15877	122936.9456	4476.4584	23	SLC2A11,DERL3	SMARCB1,MIF	DERL3	23	1
8_MACS_peak_7149_lociStitched	chr14	91813200	91885820	8	52628	126068.32	7617.838	24	CCDC88C		CCDC88C	24	1
5_MACS_peak_14348_lociStitched	chr20	25261611	25303060	5	24491	122274.55	6805.9258	25	PYGB,ABHD12		PYGB	25	1
