#14_0EX0_0229Kronos_MM1S-KB-1hr-2_H3K27Ac_hs-dm_i23_peaks Enhancers
#Created from /data/projects/IRF4_mm_trn_data/p300_internal_ChIP/rose/14_0EX0_0229Kronos_MM1S-KB-1hr-2_H3K27Ac_hs-dm_i23_ROSE/14_0EX0_0229Kronos_MM1S-KB-1hr-2_H3K27Ac_hs-dm_i23_peaks_7KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by X14_0EX0_0229Kronos_MM1S.KB.1hr.2_H3K27Ac_hs.dm_i23.bam
#Using cutoff of 21564.0092 for Super-Enhancers
#Created on Jul 18 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X14_0EX0_0229Kronos_MM1S.KB.1hr.2_H3K27Ac_hs.dm_i23.bam	X38_0EXQ_0229Kronos_MM1S.KB.1hr.2_Input_hs_i81.bam	enhancerRank	isSuper
10_MACS_peak_16852_lociStitched	chr3	141079255	141159178	10	54860	375214.5081	16088.4999	1	1
3_MACS_peak_19920_lociStitched	chr6	7880073	7919627	3	36982	246377.9106	8927.3378	2	1
7_MACS_peak_1195_lociStitched	chr1	118147591	118219140	7	55077	241957.2533	8178.0507	3	1
5_MACS_peak_18530_lociStitched	chr5	1311809	1346330	5	25067	230403.5103	7194.1764	4	1
4_MACS_peak_11138_lociStitched	chr19	2594906	2629028	4	19113	215883.0696	8445.195	5	1
9_MACS_peak_8459_lociStitched	chr16	11765955	11843343	9	64117	180027.7044	14107.8324	6	1
3_MACS_peak_22628_lociStitched	chr8	2027255	2050915	3	18507	160204.226	4261.166	7	1
5_MACS_peak_15261_lociStitched	chr22	23217787	23249030	5	25856	158442.6259	4495.8677	8	1
1_MACS_peak_6613_lociStitched	chr13	114828897	114835097	1	6201	155062.62	1567.98	9	1
5_MACS_peak_1468_lociStitched	chr1	154908113	154957811	5	36087	165081.8466	13005.9666	10	1
4_MACS_peak_1968_lociStitched	chr1	203255070	203298045	4	29263	159080.5575	12346.7175	11	1
1_MACS_peak_2539_lociStitched	chr10	11202613	11223905	1	21293	150547.2152	4786.4416	12	1
2_MACS_peak_5361_lociStitched	chr12	53573155	53603950	2	24771	151668.4545	6593.2095	13	1
5_MACS_peak_12416_lociStitched	chr2	37528399	37586350	5	46174	153373.1166	9828.4896	14	1
6_MACS_peak_12997_lociStitched	chr2	99054910	99108072	6	43314	152511.1456	10419.752	15	1
4_MACS_peak_9477_lociStitched	chr17	16864032	16895401	4	20790	147870.3291	5960.11	16	1
2_MACS_peak_4138_lociStitched	chr11	65183276	65209397	2	19484	144540.5535	6498.9048	17	1
7_MACS_peak_19817_lociStitched	chr6	290154	337843	7	31916	148451.0881	14850.3546	18	1
2_MACS_peak_15266_lociStitched	chr22	23269436	23285969	2	15892	136046.7504	3908.4012	19	1
1_MACS_peak_24824_lociStitched	chrX	19469773	19470944	1	1172	125816.1043	133.1427	20	1
3_MACS_peak_7285_lociStitched	chr14	106024682	106052638	3	25474	129643.1544	4819.6144	21	1
7_MACS_peak_14371_lociStitched	chr20	30249177	30312252	7	49027	136305.075	11895.945	22	1
3_MACS_peak_15286_lociStitched	chr22	24176797	24200981	3	15877	122936.9456	4476.4584	23	1
8_MACS_peak_7149_lociStitched	chr14	91813200	91885820	8	52628	126068.32	7617.838	24	1
5_MACS_peak_14348_lociStitched	chr20	25261611	25303060	5	24491	122274.55	6805.9258	25	1
3_MACS_peak_205_lociStitched	chr1	17221287	17241638	3	9112	116784.2135	5539.5422	26	1
4_MACS_peak_5842_lociStitched	chr12	109009598	109036292	4	19890	115035.1236	5506.9722	27	1
4_MACS_peak_22138_lociStitched	chr7	102063624	102093328	4	19973	113490.0728	4817.9888	28	1
4_MACS_peak_15111_lociStitched	chr21	45552504	45580510	4	17816	115325.9074	7113.524	29	1
2_MACS_peak_1519_lociStitched	chr1	156115330	156137180	2	21816	112289.335	6139.85	30	1
1_MACS_peak_20799_lociStitched	chr6	106530950	106556011	1	25062	107546.7754	4814.2181	31	1
1_MACS_peak_3385_lociStitched	chr10	112112747	112119216	1	6470	99314.6756	1932.2903	32	1
2_MACS_peak_22549_lociStitched	chr7	150063691	150084635	2	19747	102353.328	5321.8704	33	1
4_MACS_peak_17944_lociStitched	chr4	90205115	90240682	4	27545	100974.713	5662.2664	34	1
2_MACS_peak_11113_lociStitched	chr19	2081609	2098368	2	15170	99647.3381	5193.6141	35	1
6_MACS_peak_9731_lociStitched	chr17	34509755	34540081	6	25940	99147.8244	7460.196	36	1
3_MACS_peak_7293_lociStitched	chr14	106145151	106169317	3	19866	91707.5534	2890.2536	37	1
2_MACS_peak_5008_lociStitched	chr12	12866588	12881948	2	15239	90663.936	2466.816	38	1
8_MACS_peak_9737_lociStitched	chr17	34597816	34641502	8	34694	97472.2032	9361.9098	39	1
1_MACS_peak_9946_lociStitched	chr17	43298152	43308710	1	10559	90172.7106	2372.3826	40	1
1_MACS_peak_6604_lociStitched	chr13	114556217	114568151	1	11935	88535.9592	3302.1378	41	1
3_MACS_peak_11733_lociStitched	chr19	39880550	39904130	3	18065	88498.098	4772.592	42	1
1_MACS_peak_20077_lociStitched	chr6	25402935	25415161	1	12227	86041.6976	2525.8916	43	1
2_MACS_peak_4276_lociStitched	chr11	70042319	70050921	2	2467	84196.376	1268.795	44	1
7_MACS_peak_14416_lociStitched	chr20	32398703	32452343	7	36799	92759.652	10062.864	45	1
3_MACS_peak_8475_lociStitched	chr16	12052292	12071975	3	13118	86024.5515	3997.6173	46	1
4_MACS_peak_10632_lociStitched	chr18	9055122	9085175	4	16718	86086.8185	4853.5595	47	1
2_MACS_peak_13145_lociStitched	chr2	112455670	112465597	2	9743	83544.6393	2323.9107	48	1
2_MACS_peak_4866_lociStitched	chr12	4216212	4229820	2	6963	84097.44	2963.8224	49	1
2_MACS_peak_4312_lociStitched	chr11	72850795	72869694	2	12393	84247.9622	3738.2222	50	1
