REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X14_0EX0_0229Kronos_MM1S.KB.1hr.2_H3K27Ac_hs.dm_i23.bam	X38_0EXQ_0229Kronos_MM1S.KB.1hr.2_Input_hs_i81.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isSuperStretch
10_MACS_peak_16852_lociStitched	chr3	141079255	141159178	10	54860	375214.5081	16088.4999	1	ZBTB38	RASA2	ZBTB38	1	1
9_MACS_peak_8459_lociStitched	chr16	11765955	11843343	9	64117	180027.7044	14107.8324	2	SNN,TXNDC11	ZC3H7A	TXNDC11	2	1
7_MACS_peak_1195_lociStitched	chr1	118147591	118219140	7	55077	241957.2533	8178.0507	3	FAM46C		FAM46C	3	1
10_MACS_peak_20826_lociStitched	chr6	108878247	108952046	10	59003	80573.7482	10612.2962	4	FOXO3		FOXO3	4	1
8_MACS_peak_7149_lociStitched	chr14	91813200	91885820	8	52628	126068.32	7617.838	5	CCDC88C		CCDC88C	5	1
3_MACS_peak_19920_lociStitched	chr6	7880073	7919627	3	36982	246377.9106	8927.3378	6	BMP6,MUTED-TXNDC5,TXNDC5		TXNDC5	6	1
7_MACS_peak_14371_lociStitched	chr20	30249177	30312252	7	49027	136305.075	11895.945	7	BCL2L1	COX4I2,TPX2	BCL2L1	7	1
5_MACS_peak_12416_lociStitched	chr2	37528399	37586350	5	46174	153373.1166	9828.4896	8	QPCT,PRKD3		PRKD3	8	1
6_MACS_peak_12997_lociStitched	chr2	99054910	99108072	6	43314	152511.1456	10419.752	9	INPP4A		INPP4A	9	1
5_MACS_peak_18530_lociStitched	chr5	1311809	1346330	5	25067	230403.5103	7194.1764	10	CLPTM1L	TERT	CLPTM1L	10	1
5_MACS_peak_1468_lociStitched	chr1	154908113	154957811	5	36087	165081.8466	13005.9666	11	CKS1B,MIR4258,FLAD1,PMVK,PBXIP1,PYGO2,SHC1	LENEP,ZBTB7B,DCST1,DCST2	PYGO2	11	1
4_MACS_peak_11138_lociStitched	chr19	2594906	2629028	4	19113	215883.0696	8445.195	12	GNG7		GNG7	12	1
7_MACS_peak_19817_lociStitched	chr6	290154	337843	7	31916	148451.0881	14850.3546	13	DUSP22		DUSP22	13	1
7_MACS_peak_14416_lociStitched	chr20	32398703	32452343	7	36799	92759.652	10062.864	14	CHMP4B		CHMP4B	14	1
4_MACS_peak_1968_lociStitched	chr1	203255070	203298045	4	29263	159080.5575	12346.7175	15	BTG2,LOC730227	FMOD	BTG2	15	1
8_MACS_peak_9737_lociStitched	chr17	34597816	34641502	8	34694	97472.2032	9361.9098	16	CCL4L1,CCL3L1,CCL3L3	TBC1D3C	TBC1D3C	16	1
5_MACS_peak_10835_lociStitched	chr18	46440500	46480084	5	35587	80422.8128	6832.1984	17	SMAD7		SMAD7	17	1
5_MACS_peak_15261_lociStitched	chr22	23217787	23249030	5	25856	158442.6259	4495.8677	18	IGLL5		IGLL5	18	1
10_MACS_peak_20496_lociStitched	chr6	52392862	52442929	10	34292	79521.4161	8741.6982	19	TRAM2		TRAM2	19	1
2_MACS_peak_5361_lociStitched	chr12	53573155	53603950	2	24771	151668.4545	6593.2095	20	ZNF740,CSAD,ITGB7	MFSD5,RARG	ITGB7	20	1
8_MACS_peak_8971_lociStitched	chr16	68269852	68320895	8	33346	60848.3603	8171.9843	21	PLA2G15,SLC7A6,ESRP2	PRMT7,SLC7A6OS	SLC7A6	21	1
3_MACS_peak_7285_lociStitched	chr14	106024682	106052638	3	25474	129643.1544	4819.6144	22		TMEM121	TMEM121	22	1
1_MACS_peak_2539_lociStitched	chr10	11202613	11223905	1	21293	150547.2152	4786.4416	23	CELF2		CELF2	23	1
3_MACS_peak_22628_lociStitched	chr8	2027255	2050915	3	18507	160204.226	4261.166	24	MYOM2		MYOM2	24	1
8_MACS_peak_1503_lociStitched	chr1	155902658	155952041	8	31132	73146.0996	10691.4195	25	RXFP4,KIAA0907,ARHGEF2	RIT1,SNORA42,SCARNA4,SSR2	RXFP4	25	1
4_MACS_peak_9477_lociStitched	chr17	16864032	16895401	4	20790	147870.3291	5960.11	26	TNFRSF13B		TNFRSF13B	26	1
4_MACS_peak_17944_lociStitched	chr4	90205115	90240682	4	27545	100974.713	5662.2664	27	GPRIN3		GPRIN3	27	1
5_MACS_peak_14348_lociStitched	chr20	25261611	25303060	5	24491	122274.55	6805.9258	28	PYGB,ABHD12		PYGB	28	1
2_MACS_peak_4138_lociStitched	chr11	65183276	65209397	2	19484	144540.5535	6498.9048	29	NEAT1	FRMD8,MIR612,SLC25A45	NEAT1	29	1
