REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	14_0EX0_0229Kronos_MM1S-KB-1hr-2_H3K27Ac_hs-dm_i23.bam	38_0EXQ_0229Kronos_MM1S-KB-1hr-2_Input_hs_i81.bam
10_MACS_peak_16852_lociStitched	chr3	141079255	141159178	10	54860	375214.50810000004	16088.4999
9_MACS_peak_8459_lociStitched	chr16	11765955	11843343	9	64117	180027.7044	14107.8324
10_MACS_peak_20826_lociStitched	chr6	108878247	108952046	10	59003	80573.7482	10612.2962
8_MACS_peak_7149_lociStitched	chr14	91813200	91885820	8	52628	126068.31999999999	7617.838
7_MACS_peak_1195_lociStitched	chr1	118147591	118219140	7	55077	241957.25329999998	8178.0507
7_MACS_peak_14371_lociStitched	chr20	30249177	30312252	7	49027	136305.075	11895.945
5_MACS_peak_12416_lociStitched	chr2	37528399	37586350	5	46174	153373.11659999998	9828.4896
7_MACS_peak_14416_lociStitched	chr20	32398703	32452343	7	36799	92759.652	10062.864
6_MACS_peak_12997_lociStitched	chr2	99054910	99108072	6	43314	152511.1456	10419.752
8_MACS_peak_8971_lociStitched	chr16	68269852	68320895	8	33346	60848.3603	8171.984299999999
9_MACS_peak_21080_lociStitched	chr6	138247146	138297449	9	19131	34281.4945	7706.4196
10_MACS_peak_20496_lociStitched	chr6	52392862	52442929	10	34292	79521.4161	8741.6982
5_MACS_peak_1468_lociStitched	chr1	154908113	154957811	5	36087	165081.8466	13005.9666
8_MACS_peak_1503_lociStitched	chr1	155902658	155952041	8	31132	73146.0996	10691.4195
7_MACS_peak_19817_lociStitched	chr6	290154	337843	7	31916	148451.0881	14850.3546
7_MACS_peak_10317_lociStitched	chr17	72733359	72781015	7	25141	42418.6056	7486.7576
7_MACS_peak_19714_lociStitched	chr5	173310005	173357116	7	30274	45725.9366	6925.317
8_MACS_peak_9737_lociStitched	chr17	34597816	34641502	8	34694	97472.20319999999	9361.9098
6_MACS_peak_7406_lociStitched	chr15	31616905	31660471	6	28473	65823.8694	7410.5766
4_MACS_peak_1968_lociStitched	chr1	203255070	203298045	4	29263	159080.5575	12346.7175
5_MACS_peak_14348_lociStitched	chr20	25261611	25303060	5	24491	122274.55	6805.925800000001
7_MACS_peak_4918_lociStitched	chr12	7045500	7085705	7	25806	77812.757	7679.155
8_MACS_peak_7198_lociStitched	chr14	95946036	95985778	8	18243	24802.9822	3238.973
