REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X14_0EX0_0229Kronos_MM1S.KB.1hr.2_H3K27Ac_hs.dm_i23.bam	X38_0EXQ_0229Kronos_MM1S.KB.1hr.2_Input_hs_i81.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isStretch
9_MACS_peak_8459_lociStitched	chr16	11765955	11843343	9	64117	180027.7044	14107.8324	1	SNN,TXNDC11	ZC3H7A	TXNDC11	TXNDC11	2.2313	1	1
10_MACS_peak_20826_lociStitched	chr6	108878247	108952046	10	59003	80573.7482	10612.2962	2	FOXO3		FOXO3	FOXO3	0.6697	2	1
7_MACS_peak_1195_lociStitched	chr1	118147591	118219140	7	55077	241957.2533	8178.0507	3	FAM46C		FAM46C	FAM46C	3.8005	3	1
10_MACS_peak_16852_lociStitched	chr3	141079255	141159178	10	54860	375214.5081	16088.4999	4	ZBTB38	RASA2	ZBTB38	ZBTB38	2.6525	4	1
8_MACS_peak_7149_lociStitched	chr14	91813200	91885820	8	52628	126068.32	7617.838	5	CCDC88C		CCDC88C	CCDC88C	0.8379	5	1
7_MACS_peak_14371_lociStitched	chr20	30249177	30312252	7	49027	136305.075	11895.945	6	BCL2L1	COX4I2,TPX2	BCL2L1	BCL2L1	1.8168	6	1
5_MACS_peak_12416_lociStitched	chr2	37528399	37586350	5	46174	153373.1166	9828.4896	7	QPCT,PRKD3		PRKD3	PRKD3	0.8462	7	1
6_MACS_peak_12997_lociStitched	chr2	99054910	99108072	6	43314	152511.1456	10419.752	8	INPP4A		INPP4A	INPP4A	1.0076	8	1
3_MACS_peak_19920_lociStitched	chr6	7880073	7919627	3	36982	246377.9106	8927.3378	9	BMP6,MUTED-TXNDC5,TXNDC5		TXNDC5	TXNDC5	5.3356	9	1
7_MACS_peak_14416_lociStitched	chr20	32398703	32452343	7	36799	92759.652	10062.864	10	CHMP4B		CHMP4B	CHMP4B	1.3581	10	1
5_MACS_peak_1468_lociStitched	chr1	154908113	154957811	5	36087	165081.8466	13005.9666	11	CKS1B,MIR4258,FLAD1,PMVK,PBXIP1,PYGO2,SHC1	LENEP,ZBTB7B,DCST1,DCST2	PYGO2	PYGO2	2.2829	11	1
5_MACS_peak_10835_lociStitched	chr18	46440500	46480084	5	35587	80422.8128	6832.1984	12	SMAD7		SMAD7	SMAD7	1.7692999999999999	12	1
8_MACS_peak_9737_lociStitched	chr17	34597816	34641502	8	34694	97472.2032	9361.9098	13	CCL4L1,CCL3L1,CCL3L3	TBC1D3C	TBC1D3C	NONE	NONE	13	1
10_MACS_peak_20496_lociStitched	chr6	52392862	52442929	10	34292	79521.4161	8741.6982	14	TRAM2		TRAM2	TRAM2	0.972	14	1
8_MACS_peak_8971_lociStitched	chr16	68269852	68320895	8	33346	60848.3603	8171.9843	15	PLA2G15,SLC7A6,ESRP2	PRMT7,SLC7A6OS	SLC7A6	SLC7A6	0.5398000000000001	15	1
7_MACS_peak_19817_lociStitched	chr6	290154	337843	7	31916	148451.0881	14850.3546	16	DUSP22		DUSP22	DUSP22	1.9144	16	1
8_MACS_peak_1503_lociStitched	chr1	155902658	155952041	8	31132	73146.0996	10691.4195	17	RXFP4,KIAA0907,ARHGEF2	RIT1,SNORA42,SCARNA4,SSR2	RXFP4	RXFP4	0.9238000000000001	17	1
7_MACS_peak_19714_lociStitched	chr5	173310005	173357116	7	30274	45725.9366	6925.317	18	CPEB4		CPEB4	CPEB4	0.48879999999999996	18	1
4_MACS_peak_1968_lociStitched	chr1	203255070	203298045	4	29263	159080.5575	12346.7175	19	BTG2,LOC730227	FMOD	BTG2	BTG2	1.824	19	1
1_MACS_peak_5376_lociStitched	chr12	53845927	53874834	1	28908	39839.6274	5070.2878	20	PCBP2,MAP3K12	AMHR2,PRR13,TARBP2,NPFF	PCBP2	PCBP2	0.9059	20	1
6_MACS_peak_7406_lociStitched	chr15	31616905	31660471	6	28473	65823.8694	7410.5766	21	KLF13		KLF13	KLF13	0.9594	21	1
6_MACS_peak_10210_lociStitched	chr17	62150187	62186640	6	28318	56844.8082	5909.0313	22	ERN1	SNORD104,SNORA76	ERN1	ERN1	0.8137	22	1
1_MACS_peak_14003_lociStitched	chr2	232686851	232714980	1	28130	55132.84	3277.0285	23		COPS7B,PDE6D,MIR1471	COPS7B	COPS7B	0.1	23	1
4_MACS_peak_17944_lociStitched	chr4	90205115	90240682	4	27545	100974.713	5662.2664	24	GPRIN3		GPRIN3	GPRIN3	1.2036	24	1
4_MACS_peak_3483_lociStitched	chr10	125822284	125854645	4	27270	67521.2265	5812.0356	25	CHST15		CHST15	CHST15	0.7041	25	1
