GENE_ID	locusLine	bin_1_RPMI8226_jia.bam
NM_021222	chr1(.):150975972-151013189	0.6456
NM_017891	chr1(.):1012197-1056736	0.2731
NM_006559	chr1(.):32474490-32514472	0.4661
NM_024408	chr1(.):120449175-120617276	0.3275
NM_021642	chr1(.):161470204-161494360	0.1913
NM_201569	chr1(.):183436505-183528328	0.3372
NM_145214	chr1(.):228576376-228599517	0.5576
NM_001167740	chr1(.):245907641-246675644	0.1161
NM_022743	chr1(.):245907641-246585714	0.1184
NM_001198993	chr1(.):1677670-1715297	1.0396
NM_023018	chr1(.):1677670-1714909	1.0482
NM_033487	chr1(.):1566099-1660775	0.5354
NM_001014980	chr1(.):1172832-1187102	0.1885
NM_001198994	chr1(.):1677670-1716508	1.0121
NM_015001	chr1(.):16169358-16271950	0.3372
NM_001113348	chr1(.):21538739-21677034	0.3175
NM_004091	chr1(.):23827921-23862713	1.0709
NM_001100910	chr1(.):120834004-120860681	0.9363
NR_024584	chr1(.):144295516-144346755	0.445
NR_034178	chr1(.):143910747-144099477	0.3575
NM_203458	chr1(.):145204110-145290912	0.7462
NM_153713	chr1(.):145472084-145504091	0.6527
NM_207168	chr1(.):150594521-150607098	0.8538
NM_015203	chr1(.):150331989-150454041	0.3313
NM_020699	chr1(.):153772202-153900451	0.3302
NM_020524	chr1(.):154911558-154933567	1.4518
NM_181359	chr1(.):154372668-154445188	0.8922
NM_004952	chr1(.):155046347-155065014	0.7896
NM_005572	chr1(.):156079460-156112657	1.1568
NM_018489	chr1(.):155300051-155537324	0.2768
NM_170708	chr1(.):156079460-156114878	1.0945
NM_018116	chr1(.):155575006-155589758	0.5001
NM_005973	chr1(.):156732273-156775609	0.4609
NM_001135050	chr1(.):159891828-159920386	0.7983
NM_052862	chr1(.):167594473-167680486	0.5648
NM_002697	chr1(.):167185065-167401582	0.2179
NR_037163	chr1(.):167185122-167401582	0.2179
NM_018442	chr1(.):167900796-168050083	0.2547
NR_026550	chr1(.):167882309-167910380	0.9296
NM_001143674	chr1(.):167882309-167911278	0.9038
NM_015415	chr1(.):167882309-167910233	0.9339
NM_014412	chr1(.):174963891-174986163	1.0679
NM_014857	chr1(.):174123633-174932327	0.1324
NM_001007214	chr1(.):174963570-174986163	1.0536
NM_025191	chr1(.):184654624-184729041	0.3589
NM_144977	chr1(.):197516384-197749623	0.1561
NM_001195215	chr1(.):197468878-197749623	0.1411
NM_182663	chr1(.):206675878-206767616	0.8529
NM_002221	chr1(.):226814390-226931876	0.4208
NM_152490	chr1(.):235605532-235672781	0.3941
NM_032328	chr1(.):245128170-245256148	0.2598
NR_026588	chr1(.):245128630-245256148	0.2602
NR_026587	chr1(.):245128630-245293530	0.2219
NR_026586	chr1(.):245128283-245293530	0.2216
NM_001130045	chr1(.):1104285-1138313	0.2042
NR_029639	chr1(.):1097483-1107578	0.2916
NM_016547	chr1(.):1147287-1172447	0.7208
NM_080605	chr1(.):1162628-1175420	1.1477
NM_153254	chr1(.):1110076-1126243	0.2005
NM_003327	chr1(.):1141705-1154512	1.2855
NM_004195	chr1(.):1133887-1147089	2.0536
NR_029834	chr1(.):1098242-1108332	0.2935
NR_029957	chr1(.):1099384-1109467	0.294
NM_001130413	chr1(.):1212488-1232409	0.2014
NM_194458	chr1(.):1184291-1214234	0.4026
NM_017871	chr1(.):1241964-1265046	1.526
NM_004421	chr1(.):1265657-1289492	0.7574
NM_030649	chr1(.):1222763-1248269	1.3638
NM_001029885	chr1(.):1255142-1269276	0.9973
NM_152228	chr1(.):1261725-1274844	0.1852
NM_153339	chr1(.):1238993-1252057	2.4931
NM_002978	chr1(.):1212575-1232409	0.2017
NM_032348	chr1(.):1283070-1298915	1.0015
NM_080875	chr1(.):1545794-1570990	1.3447
NM_006983	chr1(.):1562559-1575030	1.006
NM_014188	chr1(.):1472052-1515262	0.3782
NR_002946	chr1(.):1563158-1575027	1.0486
NM_001170689	chr1(.):1546244-1570990	1.3253
NM_182838	chr1(.):1658680-1682431	0.97
NM_001110781	chr1(.):1587938-1629243	0.878
NM_024011	chr1(.):1629169-1660791	0.3027
NR_002946	chr1(.):1626377-1638247	0.1427
NM_001198995	chr1(.):1677670-1695081	0.424
NM_002074	chr1(.):1711728-1827495	0.3808
NM_138705	chr1(.):1841265-1853733	0.5299
NM_178545	chr1(.):1844028-1855740	0.3368
NM_001428	chr1(.):8916062-8943780	1.2441
NM_001089591	chr1(.):16128656-16139194	0.1118
NR_024279	chr1(.):16155709-16179642	1.9399
NM_001136204	chr1(.):17728250-17770057	1.1037
NM_018715	chr1(.):17728250-17771220	1.0824
NM_001397	chr1(.):21538739-21621982	0.3578
NM_001113347	chr1(.):21538739-21611183	0.1271
NM_001113349	chr1(.):21538739-21621766	0.3555
NM_017707	chr1(.):23750055-23815750	0.1093
NM_002167	chr1(.):23879408-23891322	0.5156
NM_001031680	chr1(.):25221001-25296501	0.5371
NM_004350	chr1(.):25221001-25261770	0.8243
NR_026685	chr1(.):26432655-26457026	1.0793
NM_152835	chr1(.):26433267-26457026	1.1041
NM_032588	chr1(.):26372797-26399121	0.1288
NR_023345	chr1(.):26498981-26521375	0.1211
NM_024869	chr1(.):26480510-26494119	0.1686
NM_015871	chr1(.):26491387-26502364	0.3465
NM_006314	chr1(.):26498980-26521375	0.1211
NM_006015	chr1(.):27017521-27113601	0.8183
NR_034112	chr1(.):31966838-31979167	0.4734
NR_027085	chr1(.):31979035-31994846	0.1183
NM_005202	chr1(.):36555843-36570850	0.1036
