REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	MM24.jin.bam	enhancerRank	isSuper	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isSuper
5_MACS_peak_20235_lociStitched	chr3	141078470	141174818	5	93693	281634.8388	1	1	ZBTB38	RASA2	RASA2	1	1
2_MACS_peak_23457_lociStitched	chr5	131742460	131837964	2	93023	228760.7312	2	1	C5orf56,IRF1	SLC22A5,MIR3936,IL5	IRF1	2	1
8_MACS_peak_26186_lociStitched	chr7	7998671	8132723	8	128091	224188.5648	3	1	GLCCI1		GLCCI1	3	1
8_MACS_peak_13197_lociStitched	chr19	2031006	2100152	8	51527	173763.898	4	1	IZUMO4,MKNK2,MOBKL2A	BTBD2	MKNK2	4	1
6_MACS_peak_8808_lociStitched	chr14	91781098	91886415	6	95551	165705.7678	5	1	CCDC88C		CCDC88C	5	1
18_MACS_peak_25349_lociStitched	chr6	108861974	109025351	18	139121	156825.5823	6	1	FOXO3	NCRNA00222	FOXO3	6	1
4_MACS_peak_27179_lociStitched	chr7	104617051	104662775	4	45054	155493.6068	7	1	MLL5,LOC100216545	LOC723809	LOC100216545	7	1
3_MACS_peak_5715_lociStitched	chr11	128552866	128610620	3	52553	148439.3308	8	1	FLI1		FLI1	8	1
1_MACS_peak_9002_lociStitched	chr14	106024104	106059077	1	34974	142350.6019	9	1		TMEM121	TMEM121	9	1
13_MACS_peak_27584_lociStitched	chr7	137604293	137717908	13	89620	137474.15	10	1	CREB3L2	AKR1D1	CREB3L2	10	1
1_MACS_peak_9132_lociStitched	chr15	31614741	31663531	1	48791	133708.995	11	1	KLF13		KLF13	11	1
6_MACS_peak_23589_lociStitched	chr5	139011059	139081870	6	58906	133294.6264	12	1	CXXC5		CXXC5	12	1
6_MACS_peak_10142_lociStitched	chr15	93423796	93482129	6	45987	124885.1197	13	1	LOC100507217,CHD2,MIR3175		MIR3175	13	1
2_MACS_peak_4877_lociStitched	chr11	65234863	65279223	2	39253	124784.68	14	1	MALAT1	NEAT1,MIR612,SCYL1,LTBP3	MALAT1	14	1
3_MACS_peak_20712_lociStitched	chr3	183218497	183279463	3	58605	124474.2822	15	1	KLHL6		KLHL6	15	1
2_MACS_peak_4874_lociStitched	chr11	65181980	65214649	2	31135	123407.1475	16	1	NEAT1,MIR612	FRMD8,SLC25A45	NEAT1	16	1
1_MACS_peak_9011_lociStitched	chr14	106144721	106180015	1	35295	123116.0602	17	1			TMEM121	17	1
4_MACS_peak_26675_lociStitched	chr7	50339191	50370885	4	28675	122649.4412	18	1	IKZF1		IKZF1	18	1
7_MACS_peak_27272_lociStitched	chr7	114555155	114629532	7	57529	120364.2991	19	1	MDFIC		MDFIC	19	1
8_MACS_peak_20361_lociStitched	chr3	151984798	152058804	8	58501	119556.693	20	1	MBNL1,LOC401093,TMEM14E		MBNL1	20	1
6_MACS_peak_30347_lociStitched	chr9	134493769	134555882	6	55572	118859.4368	21	1	RAPGEF1		RAPGEF1	21	1
3_MACS_peak_18065_lociStitched	chr22	23240977	23299319	3	57873	113819.4078	22	1		IGLL5	IGLL5	22	1
12_MACS_peak_2473_lociStitched	chr1	203235960	203309836	12	61868	111767.0004	23	1	BTG2,LOC730227,FMOD	CHIT1	LOC730227	23	1
1_MACS_peak_29545_lociStitched	chr9	66454407	66462206	1	7800	110547.7054	24	1		LOC442421	LOC442421	24	1
6_MACS_peak_25232_lociStitched	chr6	90020116	90086502	6	60073	108162.7098	25	1	GABRR2,UBE2J1,RRAGD		UBE2J1	25	1
7_MACS_peak_1976_lociStitched	chr1	160574951	160662894	7	80831	105417.2741	26	1	SLAMF1,CD48	SLAMF7,CD84	SLAMF1	26	1
6_MACS_peak_5872_lociStitched	chr12	7022277	7085945	6	46758	103288.5964	27	1	LRRC23,ENO2,ATN1,C12orf57,PTPN6,MIR200C,MIR141,EMG1,PHB2,SCARNA12,LPCAT3	TPI1,RPL13P5,DSTNP2,SPSB2	C12orf57	27	1
5_MACS_peak_23969_lociStitched	chr5	173309194	173374641	5	60947	103098.6591	28	1	CPEB4	C5orf47	CPEB4	28	1
4_MACS_peak_13512_lociStitched	chr19	12885108	12913873	4	26064	101839.606	29	1	JUNB,HOOK2,PRDX2	ASNA1,BEST2,RNASEH2A,MAST1,C19orf43,RTBDN	JUNB	29	1
8_MACS_peak_19657_lociStitched	chr3	98448047	98508461	8	53119	101568.0168	30	1	ST3GAL6		ST3GAL6	30	1
6_MACS_peak_24107_lociStitched	chr6	285564	348074	6	56469	100422.315	31	1	DUSP22	IRF4	DUSP22	31	1
13_MACS_peak_23123_lociStitched	chr5	95213362	95300974	13	66759	95593.4532	32	1	ELL2	C5orf27	ELL2	32	1
3_MACS_peak_26259_lociStitched	chr7	18529377	18570329	3	34461	95512.3496	33	1	HDAC9		HDAC9	33	1
1_MACS_peak_5949_lociStitched	chr12	12865412	12880477	1	15066	94825.136	34	1	CDKN1B,APOLD1	MIR613,GPR19	CDKN1B	34	1
