#MM24 Enhancers
#Created from /data/projects/IRF4_mm_trn_data/myeloma_public_data/rose/MM24.H3K27ac_ROSE/MM24_5KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by MM24.jin.bam
#Using cutoff of 20712.3 for Super-Enhancers
#Created on Jul 16 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	MM24.jin.bam	enhancerRank	isStretch
18_MACS_peak_25349_lociStitched	chr6	108861974	109025351	18	139121	156825.5823	1	1
8_MACS_peak_26186_lociStitched	chr7	7998671	8132723	8	128091	224188.5648	2	1
6_MACS_peak_8808_lociStitched	chr14	91781098	91886415	6	95551	165705.7678	3	1
5_MACS_peak_20235_lociStitched	chr3	141078470	141174818	5	93693	281634.8388	4	1
2_MACS_peak_23457_lociStitched	chr5	131742460	131837964	2	93023	228760.7312	5	1
13_MACS_peak_27584_lociStitched	chr7	137604293	137717908	13	89620	137474.15	6	1
7_MACS_peak_1976_lociStitched	chr1	160574951	160662894	7	80831	105417.2741	7	1
10_MACS_peak_27985_lociStitched	chr8	27206797	27300161	10	79051	85147.968	8	1
7_MACS_peak_1497_lociStitched	chr1	118147059	118238040	7	74975	78134.4828	9	1
7_MACS_peak_12142_lociStitched	chr17	62132551	62210428	7	67491	92455.5744	10	1
13_MACS_peak_23123_lociStitched	chr5	95213362	95300974	13	66759	95593.4532	11	1
12_MACS_peak_2473_lociStitched	chr1	203235960	203309836	12	61868	111767.0004	12	1
7_MACS_peak_2577_lociStitched	chr1	206844832	206917097	7	61611	72857.573	13	1
9_MACS_peak_15404_lociStitched	chr2	87741503	87826366	9	61479	78820.7544	14	1
5_MACS_peak_23969_lociStitched	chr5	173309194	173374641	5	60947	103098.6591	15	1
11_MACS_peak_15509_lociStitched	chr2	99060430	99136282	11	60423	53187.4224	16	1
12_MACS_peak_10154_lociStitched	chr15	94764472	94858082	12	60217	80663.737	17	1
6_MACS_peak_25232_lociStitched	chr6	90020116	90086502	6	60073	108162.7098	18	1
9_MACS_peak_21940_lociStitched	chr4	144256103	144331270	9	59632	86411.9832	19	1
9_MACS_peak_11341_lociStitched	chr17	16825804	16895852	9	58953	64486.1888	20	1
6_MACS_peak_23589_lociStitched	chr5	139011059	139081870	6	58906	133294.6264	21	1
3_MACS_peak_20712_lociStitched	chr3	183218497	183279463	3	58605	124474.2822	22	1
8_MACS_peak_20361_lociStitched	chr3	151984798	152058804	8	58501	119556.693	23	1
3_MACS_peak_18065_lociStitched	chr22	23240977	23299319	3	57873	113819.4078	24	1
7_MACS_peak_27272_lociStitched	chr7	114555155	114629532	7	57529	120364.2991	25	1
10_MACS_peak_10446_lociStitched	chr16	11761216	11838332	10	56715	76907.7868	26	1
8_MACS_peak_20778_lociStitched	chr3	186702518	186769340	8	56670	90577.221	27	1
6_MACS_peak_24107_lociStitched	chr6	285564	348074	6	56469	100422.315	28	1
6_MACS_peak_30347_lociStitched	chr9	134493769	134555882	6	55572	118859.4368	29	1
8_MACS_peak_19657_lociStitched	chr3	98448047	98508461	8	53119	101568.0168	30	1
13_MACS_peak_11044_lociStitched	chr16	81811968	81877037	13	52614	55074.4016	31	1
3_MACS_peak_5715_lociStitched	chr11	128552866	128610620	3	52553	148439.3308	32	1
7_MACS_peak_17096_lociStitched	chr20	30257697	30312442	7	51672	52828.925	33	1
8_MACS_peak_13197_lociStitched	chr19	2031006	2100152	8	51527	173763.898	34	1
4_MACS_peak_24237_lociStitched	chr6	7865107	7922129	4	51420	87198.0424	35	1
6_MACS_peak_8858_lociStitched	chr14	95944508	96003018	6	50211	91386.769	36	1
5_MACS_peak_23346_lociStitched	chr5	118643477	118706772	5	48943	61161.9585	37	1
1_MACS_peak_9132_lociStitched	chr15	31614741	31663531	1	48791	133708.995	38	1
9_MACS_peak_25661_lociStitched	chr6	137050821	137115742	9	48446	54806.3082	39	1
4_MACS_peak_28388_lociStitched	chr8	81031702	81084990	4	47833	68618.9576	40	1
8_MACS_peak_18400_lociStitched	chr22	39813403	39875181	8	47757	78297.4372	41	1
6_MACS_peak_5872_lociStitched	chr12	7022277	7085945	6	46758	103288.5964	42	1
8_MACS_peak_9897_lociStitched	chr15	78323085	78381636	8	46757	60553.4442	43	1
