REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	MM24.jin.bam	enhancerRank	isSuperStretch	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isSuperStretch
8_MACS_peak_26186_lociStitched	chr7	7998671	8132723	8	128091	224188.5648	1	1	GLCCI1		GLCCI1	1	1
5_MACS_peak_20235_lociStitched	chr3	141078470	141174818	5	93693	281634.8388	2	1	ZBTB38	RASA2	RASA2	2	1
18_MACS_peak_25349_lociStitched	chr6	108861974	109025351	18	139121	156825.5823	3	1	FOXO3	NCRNA00222	FOXO3	3	1
2_MACS_peak_23457_lociStitched	chr5	131742460	131837964	2	93023	228760.7312	4	1	C5orf56,IRF1	SLC22A5,MIR3936,IL5	IRF1	4	1
6_MACS_peak_8808_lociStitched	chr14	91781098	91886415	6	95551	165705.7678	5	1	CCDC88C		CCDC88C	5	1
13_MACS_peak_27584_lociStitched	chr7	137604293	137717908	13	89620	137474.15	6	1	CREB3L2	AKR1D1	CREB3L2	6	1
8_MACS_peak_13197_lociStitched	chr19	2031006	2100152	8	51527	173763.898	7	1	IZUMO4,MKNK2,MOBKL2A	BTBD2	MKNK2	7	1
7_MACS_peak_1976_lociStitched	chr1	160574951	160662894	7	80831	105417.2741	8	1	SLAMF1,CD48	SLAMF7,CD84	SLAMF1	8	1
3_MACS_peak_5715_lociStitched	chr11	128552866	128610620	3	52553	148439.3308	9	1	FLI1		FLI1	9	1
10_MACS_peak_27985_lociStitched	chr8	27206797	27300161	10	79051	85147.968	10	1	PTK2B	EPHX2,TRIM35,CHRNA2	PTK2B	10	1
4_MACS_peak_27179_lociStitched	chr7	104617051	104662775	4	45054	155493.6068	11	1	MLL5,LOC100216545	LOC723809	LOC100216545	11	1
6_MACS_peak_23589_lociStitched	chr5	139011059	139081870	6	58906	133294.6264	12	1	CXXC5		CXXC5	12	1
3_MACS_peak_20712_lociStitched	chr3	183218497	183279463	3	58605	124474.2822	13	1	KLHL6		KLHL6	13	1
7_MACS_peak_1497_lociStitched	chr1	118147059	118238040	7	74975	78134.4828	14	1	FAM46C		FAM46C	14	1
8_MACS_peak_20361_lociStitched	chr3	151984798	152058804	8	58501	119556.693	15	1	MBNL1,LOC401093,TMEM14E		MBNL1	15	1
12_MACS_peak_2473_lociStitched	chr1	203235960	203309836	12	61868	111767.0004	16	1	BTG2,LOC730227,FMOD	CHIT1	LOC730227	16	1
7_MACS_peak_27272_lociStitched	chr7	114555155	114629532	7	57529	120364.2991	17	1	MDFIC		MDFIC	17	1
1_MACS_peak_9132_lociStitched	chr15	31614741	31663531	1	48791	133708.995	18	1	KLF13		KLF13	18	1
13_MACS_peak_23123_lociStitched	chr5	95213362	95300974	13	66759	95593.4532	19	1	ELL2	C5orf27	ELL2	19	1
7_MACS_peak_12142_lociStitched	chr17	62132551	62210428	7	67491	92455.5744	20	1	ERN1	SNORD104,SNORA76,ICAM2	ERN1	20	1
6_MACS_peak_30347_lociStitched	chr9	134493769	134555882	6	55572	118859.4368	21	1	RAPGEF1		RAPGEF1	21	1
3_MACS_peak_18065_lociStitched	chr22	23240977	23299319	3	57873	113819.4078	22	1		IGLL5	IGLL5	22	1
6_MACS_peak_25232_lociStitched	chr6	90020116	90086502	6	60073	108162.7098	23	1	GABRR2,UBE2J1,RRAGD		UBE2J1	23	1
5_MACS_peak_23969_lociStitched	chr5	173309194	173374641	5	60947	103098.6591	24	1	CPEB4	C5orf47	CPEB4	24	1
1_MACS_peak_9002_lociStitched	chr14	106024104	106059077	1	34974	142350.6019	25	1		TMEM121	TMEM121	25	1
6_MACS_peak_10142_lociStitched	chr15	93423796	93482129	6	45987	124885.1197	26	1	LOC100507217,CHD2,MIR3175		MIR3175	26	1
6_MACS_peak_24107_lociStitched	chr6	285564	348074	6	56469	100422.315	27	1	DUSP22	IRF4	DUSP22	27	1
9_MACS_peak_21940_lociStitched	chr4	144256103	144331270	9	59632	86411.9832	28	1	GAB1		GAB1	28	1
2_MACS_peak_4877_lociStitched	chr11	65234863	65279223	2	39253	124784.68	29	1	MALAT1	NEAT1,MIR612,SCYL1,LTBP3	MALAT1	29	1
8_MACS_peak_19657_lociStitched	chr3	98448047	98508461	8	53119	101568.0168	30	1	ST3GAL6		ST3GAL6	30	1
9_MACS_peak_15404_lociStitched	chr2	87741503	87826366	9	61479	78820.7544	31	1	NCRNA00152		NCRNA00152	31	1
12_MACS_peak_10154_lociStitched	chr15	94764472	94858082	12	60217	80663.737	32	1	MCTP2	MCTP2	MCTP2	32	1
