REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	MM5_jia.bam	enhancerRank	isSuper	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isSuper
4_MACS_peak_914_lociStitched	chr1	118147638	118177052	4	29115	30393.4862	1	1	FAM46C		FAM46C	1	1
7_MACS_peak_14251_lociStitched	chr6	7887536	7914378	7	25484	30114.0398	2	1	MUTED-TXNDC5,TXNDC5		TXNDC5	2	1
3_MACS_peak_2878_lociStitched	chr11	65184022	65199000	3	14938	24333.2588	3	1	NEAT1	FRMD8,MIR612,SLC25A45	NEAT1	3	1
1_MACS_peak_2885_lociStitched	chr11	65263664	65275373	1	11710	18788.2614	4	1	MALAT1	SCYL1	MALAT1	4	1
5_MACS_peak_13532_lociStitched	chr5	88167972	88186923	5	17654	17935.2264	5	1	MEF2C	MEF2C	MEF2C	5	1
5_MACS_peak_10991_lociStitched	chr22	23222842	23239085	5	15659	17704.87	6	1	IGLL5		IGLL5	6	1
1_MACS_peak_15952_lociStitched	chr7	130788667	130797060	1	8394	17057.0939	7	1	MKLN1,FLJ43663		FLJ43663	7	1
3_MACS_peak_9488_lociStitched	chr2	89154505	89167733	3	12910	15933.126	8	1			ANKRD36BP2	8	1
4_MACS_peak_11001_lociStitched	chr22	23270093	23281814	4	11414	15859.6851	9	1		IGLL5	IGLL5	9	1
1_MACS_peak_5993_lociStitched	chr15	93443158	93452098	1	8941	14900.298	10	1	CHD2,MIR3175	LOC100507217	MIR3175	10	1
3_MACS_peak_15816_lociStitched	chr7	104650757	104659004	3	8009	14739.0384	11	1	MLL5,LOC100216545		MLL5	11	1
3_MACS_peak_5782_lociStitched	chr15	75742245	75748896	3	6591	14163.3045	12	1	SIN3A		SIN3A	12	1
1_MACS_peak_16951_lociStitched	chr9	66454627	66460801	1	6175	13932.8658	13	1		LOC442421	LOC442421	13	1
2_MACS_peak_1871_lociStitched	chr10	22601782	22615475	2	13688	13818.9756	14	1	COMMD3,BMI1	SPAG6	BMI1	14	1
5_MACS_peak_5149_lociStitched	chr14	91829901	91843518	5	13136	13306.5324	15	1	CCDC88C		CCDC88C	15	1
4_MACS_peak_4335_lociStitched	chr12	125395651	125406439	4	10615	13077.2136	16	1	UBC	SCARB1	UBC	16	1
1_MACS_peak_15814_lociStitched	chr7	104581275	104587186	1	5912	12842.2386	17	1		LOC723809	LOC723809	17	1
2_MACS_peak_5925_lociStitched	chr15	89177497	89185772	2	8254	12320.6475	18	1	ISG20	MIR1179,MIR7-2,AEN	ISG20	18	1
6_MACS_peak_15251_lociStitched	chr7	8004623	8017761	6	12075	12089.5876	19	1	GLCCI1		GLCCI1	19	1
1_MACS_peak_13559_lociStitched	chr5	90674182	90680862	1	6681	11569.76	20	1	LOC100129716,ARRDC3		LOC100129716	20	1
1_MACS_peak_5501_lociStitched	chr15	45001924	45007781	1	5858	11392.4507	21	1	B2M	TRIM69,SPG11,PATL2	B2M	21	1
1_MACS_peak_5562_lociStitched	chr15	52968642	52973492	1	4851	11274.795	22	1	KIAA1370		KIAA1370	22	1
3_MACS_peak_8495_lociStitched	chr19	39892759	39902518	3	9288	11273.5968	23	1	ZFP36	MED29,PLEKHG2,SUPT5H,PAF1,RPS16	ZFP36	23	1
1_MACS_peak_14878_lociStitched	chr6	106531929	106542798	1	10870	11198.3307	24	1	PRDM1	PRDM1	PRDM1	24	1
2_MACS_peak_5991_lociStitched	chr15	93424574	93429742	2	5117	10995.4368	25	1	LOC100507217	CHD2,MIR3175	LOC100507217	25	1
3_MACS_peak_4299_lociStitched	chr12	123371421	123381439	3	9626	10853.5012	26	1	VPS37B		VPS37B	26	1
2_MACS_peak_5358_lociStitched	chr15	31616408	31622191	2	5737	10743.6574	27	1	KLF13		KLF13	27	1
4_MACS_peak_5850_lociStitched	chr15	81584233	81596561	4	11772	10724.1272	28	1	IL16	STARD5	IL16	28	1
3_MACS_peak_2758_lociStitched	chr11	58340282	58347880	3	7412	10646.3176	29	1	ZFP91-CNTF,ZFP91,LPXN	CNTF	LPXN	29	1
1_MACS_peak_5720_lociStitched	chr15	72765212	72768332	1	3121	10626.72	30	1	ARIH1		ARIH1	30	1
6_MACS_peak_5749_lociStitched	chr15	75073636	75086411	6	12322	10566.2025	31	1	CSK	CYP1A2,LMAN1L,CPLX3,ULK3	CSK	31	1
4_MACS_peak_7491_lociStitched	chr17	74258539	74269400	4	9995	10551.4615	32	1	FAM100B	RNF157,QRICH2	FAM100B	32	1
5_MACS_peak_9478_lociStitched	chr2	89130631	89140915	5	9917	10326.1644	33	1			ANKRD36BP2	33	1
3_MACS_peak_16594_lociStitched	chr8	126441283	126449912	3	8029	10304.7518	34	1	TRIB1		TRIB1	34	1
2_MACS_peak_7186_lociStitched	chr17	43298275	43307738	2	9420	10271.1402	35	1	FMNL1	LOC100133991,C17orf46	FMNL1	35	1
