REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	MM5_jia.bam	enhancerRank	isStretch	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isStretch
4_MACS_peak_914_lociStitched	chr1	118147638	118177052	4	29115	30393.4862	1	1	FAM46C		FAM46C	FAM46C	0.9317	1	1
7_MACS_peak_14251_lociStitched	chr6	7887536	7914378	7	25484	30114.0398	2	1	MUTED-TXNDC5,TXNDC5		TXNDC5	TXNDC5	0.8858	2	1
5_MACS_peak_13532_lociStitched	chr5	88167972	88186923	5	17654	17935.2264	3	1	MEF2C	MEF2C	MEF2C	MEF2C	0.2822	3	1
5_MACS_peak_10991_lociStitched	chr22	23222842	23239085	5	15659	17704.87	4	1	IGLL5		IGLL5	IGLL5	0.9891	4	1
3_MACS_peak_2878_lociStitched	chr11	65184022	65199000	3	14938	24333.2588	5	1	NEAT1	FRMD8,MIR612,SLC25A45	NEAT1	NEAT1	1.6733	5	1
2_MACS_peak_1871_lociStitched	chr10	22601782	22615475	2	13688	13818.9756	6	1	COMMD3,BMI1	SPAG6	BMI1	BMI1	0.71	6	1
5_MACS_peak_5149_lociStitched	chr14	91829901	91843518	5	13136	13306.5324	7	1	CCDC88C		CCDC88C	CCDC88C	0.2961	7	1
3_MACS_peak_9488_lociStitched	chr2	89154505	89167733	3	12910	15933.126	8	1			ANKRD36BP2	ANKRD36BP2	0.2025	8	1
6_MACS_peak_5749_lociStitched	chr15	75073636	75086411	6	12322	10566.2025	9	1	CSK	CYP1A2,LMAN1L,CPLX3,ULK3	CSK	CSK	0.5251	9	1
6_MACS_peak_15251_lociStitched	chr7	8004623	8017761	6	12075	12089.5876	10	1	GLCCI1		GLCCI1	GLCCI1	0.2749	10	1
4_MACS_peak_5850_lociStitched	chr15	81584233	81596561	4	11772	10724.1272	11	1	IL16	STARD5	IL16	STARD5	0.3757	11	1
1_MACS_peak_2885_lociStitched	chr11	65263664	65275373	1	11710	18788.2614	12	1	MALAT1	SCYL1	MALAT1	MALAT1	1.0962	12	1
6_MACS_peak_4640_lociStitched	chr13	78484484	78496849	6	11482	8644.3715	13	1	EDNRB		EDNRB	EDNRB	0.2444	13	1
4_MACS_peak_11001_lociStitched	chr22	23270093	23281814	4	11414	15859.6851	14	1		IGLL5	IGLL5	IGLL5	0.9891	14	1
5_MACS_peak_11983_lociStitched	chr3	114164983	114176203	5	10878	9412.458	15	1	ZBTB20		ZBTB20	ZBTB20	0.1581	15	1
1_MACS_peak_14878_lociStitched	chr6	106531929	106542798	1	10870	11198.3307	16	1	PRDM1	PRDM1	PRDM1	PRDM1	0.581	16	1
4_MACS_peak_4335_lociStitched	chr12	125395651	125406439	4	10615	13077.2136	17	1	UBC	SCARB1	UBC	UBC	0.8374	17	1
1_MACS_peak_12169_lociStitched	chr3	141101463	141111821	1	10359	10102.1574	18	1	ZBTB38		ZBTB38	ZBTB38	0.4081	18	1
4_MACS_peak_7491_lociStitched	chr17	74258539	74269400	4	9995	10551.4615	19	1	FAM100B	RNF157,QRICH2	FAM100B	FAM100B	0.7168	19	1
6_MACS_peak_1689_lociStitched	chr1	234738307	234748948	6	9962	10161.0909	20	1	IRF2BP2	NCRNA00184	IRF2BP2	IRF2BP2	0.7973	20	1
5_MACS_peak_9478_lociStitched	chr2	89130631	89140915	5	9917	10326.1644	21	1			ANKRD36BP2	ANKRD36BP2	0.2025	21	1
5_MACS_peak_3603_lociStitched	chr12	26269394	26280389	5	9835	9032.3925	22	1	BHLHE41		BHLHE41	BHLHE41	0.6499	22	1
2_MACS_peak_5578_lociStitched	chr15	56656791	56666617	2	9704	9380.8822	23	1	TEX9		TEX9	TEX9	0.2425	23	1
3_MACS_peak_4299_lociStitched	chr12	123371421	123381439	3	9626	10853.5012	24	1	VPS37B		VPS37B	VPS37B	0.4928	24	1
2_MACS_peak_7186_lociStitched	chr17	43298275	43307738	2	9420	10271.1402	25	1	FMNL1	LOC100133991,C17orf46	FMNL1	FMNL1	0.4316	25	1
3_MACS_peak_8495_lociStitched	chr19	39892759	39902518	3	9288	11273.5968	26	1	ZFP36	MED29,PLEKHG2,SUPT5H,PAF1,RPS16	ZFP36	ZFP36	0.9696	26	1
